video_id,category,adqa_full_order,ensemble_full_order,clip_full_order,adqa_fail,ensemble_fail,clip_fail,mean_visual_gap,max_visual_gap,top1_vs_uniform,top1_share,scene_agent_time_rho,scene_agent_peak_apart
F-mRnL_XmJU_000000_000010,Entertainment,1,1,1,0,0,0,0.36214732319312576,1.4402525697364772,3.976979746909298,0.3976979746909298,0.9780684874411701,0.0
GOH6fBhoi2o_000010_000020,Entertainment,0,0,0,1,1,1,0.818331242947543,1.0077491301049082,1.231468477819693,0.1231468477819693,-0.8238916692308272,1.0
HpRmj5ce32c_000001_000011,Sports,1,1,1,0,0,0,0.5038012674053584,0.8163882973825453,1.6204570139075882,0.14731427399159894,-0.26075000052486036,1.0
N-LZPc27kjM_000229_000239,How-to & Instructional,1,1,1,0,0,0,0.09256529634864843,0.2224456404409303,2.4031213555789392,0.24031213555789394,0.9193890296598944,0.0
OASCPKazLIM_000132_000142,How-to & Instructional,1,1,1,0,0,0,0.16810691305391517,0.41541523801848446,2.4711371499948527,0.2246488318177139,0.5324529539155274,1.0
RjPp0ZPW0yc_000000_000010,How-to & Instructional,1,1,1,0,0,0,0.2663328261450171,0.40561520414596874,1.5229636166783023,0.13845123787984567,0.6182009963803269,0.0
RlfVK8z5wJ0_000000_000010,Sports,1,1,1,0,0,0,0.27812995372929294,0.5577384386638331,2.0053159725711756,0.20053159725711756,0.653172218380755,0.0
S-C86j0keqc_000217_000227,Event,1,1,1,0,0,0,0.24730429018436648,1.1544561232218353,4.668160517398154,0.42437822885437765,0.9608201932594173,0.0
ShSSAEfnyDs_000000_000010,Entertainment,0,1,1,1,0,0,0.08822300854684657,0.11807211717465615,1.3383370066320017,0.2676674013264004,0.8417334470562101,1.0
Xdz1cxEjLYc_000007_000017,Food & Cooking,1,1,1,0,0,0,0.045408382179413634,0.13495272105603096,2.9719781806543457,0.2971978180654346,0.8375340705645777,1.0
Z5w-wkrjHuw_000345_000355,Entertainment,1,1,0,0,0,1,0.08389665934255087,0.17610657414701836,2.099089231049993,0.19082629373181756,-0.19131610111586458,1.0
ZcYB6tPK2Eo_000138_000148,How-to & Instructional,1,1,1,0,0,0,0.23782107649138612,0.7005952820630961,2.945892317027131,0.2945892317027131,0.8107606117433909,0.0
_TKzyWZHjm8_000002_000012,Health & Wellness,1,1,1,0,0,0,0.4940985420573885,1.321116843086283,2.6737922309692586,0.24307202099720532,0.9271556969866402,0.0
_oAKCHh_Av4_000003_000013,People & Vlogs,1,1,0,0,0,1,0.3309372605313422,0.654070096417799,1.9764172078044195,0.19764172078044195,0.7824254919482663,1.0
bgt29znHCzs_000343_000353,Sports,1,1,0,0,0,1,0.09893435754056168,0.2607039636667312,2.6351206006451933,0.2635120600645193,0.8563220327314655,1.0
c_gQ9CSaZY4_000000_000010,How-to & Instructional,1,1,1,0,0,0,0.1399189380536967,0.352719957851357,2.520887899506453,0.22917162722785936,0.4892434443641492,0.0
crjesEwF0Ks_000197_000207,How-to & Instructional,0,1,1,1,0,0,0.3278958838994596,0.9026884582180909,2.7529728262611424,0.27529728262611425,0.8171296834435804,0.0
d7_SY48r__8_000060_000070,How-to & Instructional,0,0,0,1,1,1,0.3357883333321757,1.2900624561536096,3.841891835108596,0.3841891835108596,0.9863982817435745,0.0
dlBeUWrse3I_000019_000029,How-to & Instructional,1,1,1,0,0,0,0.32436410319642284,1.3775210861939686,4.246835801555369,0.42468358015553687,0.8866766930617855,0.0
eb-ufaFcUas_000008_000018,Entertainment,1,1,1,0,0,0,0.049808726416120594,0.19568934385978232,3.9288164532640506,0.3571651321149137,0.9613442444767305,0.0
g8Idd47kGqo_000037_000047,Entertainment,0,1,1,1,0,0,0.2823850458411598,0.6473849405803418,2.292560991152813,0.20841463555934664,0.9029403044710128,0.0
gFBO3zrod9Y_000005_000015,People & Vlogs,1,1,0,0,0,1,0.281395414445399,0.5856489099335302,2.0812311781547086,0.20812311781547085,0.6176262411199848,1.0
h8wsO9A9v_c_000016_000026,People & Vlogs,1,1,0,0,0,1,0.05605401106280417,0.13834739421470932,2.4681087328380795,0.22437352116709816,-0.19095862035560207,1.0
heWD9j45Emw_000225_000235,Music,1,1,0,0,0,1,0.05110901615036232,0.1001261679589639,1.9590705417688632,0.19590705417688634,0.3690364379956597,1.0
iEAWgsSvJAE_000023_000033,Film & Animation,1,1,1,0,0,0,0.3210530627888026,1.3035904053019887,4.060358103979609,0.3691234639981463,0.9778830507267023,0.0
iGmGQxox43I_000000_000010,How-to & Instructional,1,1,1,0,0,0,0.18212301541777867,1.0863189082371136,5.964753580129161,0.5422503254662874,0.7029141769071918,0.0
iZP6gjlr_nM_000113_000123,How-to & Instructional,1,1,0,0,0,1,0.24478121915430404,0.7526990299855018,3.0749868498327024,0.30749868498327027,0.8984910578325038,0.0
j4CKRgv3jUg_000000_000010,Entertainment,1,1,0,0,0,1,0.39633441880545184,0.7253805587851099,1.8302234788777618,0.1830223478877762,0.926475550679746,0.0
j6CgiNeWQwM_000842_000852,Food & Cooking,1,1,1,0,0,0,0.1312230357136999,0.21439319497708154,1.6338076147303955,0.16338076147303957,0.20401696772347538,1.0
jeweRSnAJeo_000050_000060,Film & Animation,1,1,1,0,0,0,0.29497734848555496,0.5153065741077678,1.7469360842566608,0.15881237129606007,0.0051718527637411495,1.0
lgJywzzdUC8_000000_000010,Event,1,1,0,0,0,1,0.19169140750254027,0.3726289204622779,1.9438999656640314,0.19438999656640316,0.7767179694272235,1.0
rGQ64NXktF8_000006_000016,People & Vlogs,1,1,1,0,0,0,0.09127928467589778,0.17519016065690773,1.9192762221893982,0.19192762221893983,0.9847584291046082,0.0
u-olDM7oGGM_000012_000022,Health & Wellness,1,1,1,0,0,0,0.1198731951225767,0.3219531003410223,2.6857805868260054,0.26857805868260054,0.6549211892765382,0.0
v2Hr1CH-yb0_000076_000086,How-to & Instructional,1,1,1,0,0,0,0.42448630480375504,1.6433004227278163,3.8712684110916915,0.3871268411091692,0.9633828654473647,0.0
wbOD_G3ttgU_000083_000093,How-to & Instructional,1,1,1,0,0,0,0.06195286010795551,0.16275834985954518,2.62713213846676,0.262713213846676,0.9397804684890813,1.0
xW6hpK-DBMY_000080_000090,How-to & Instructional,1,1,1,0,0,0,0.1357094317782581,0.4012098956713289,2.9563891795441624,0.26876265268583294,0.3654666219767752,1.0
yBO8rAMeqjc_000007_000017,"Education, Seminar & Talks",1,1,0,0,0,1,0.11940467948937346,0.26673991495174454,2.2339150868495343,0.22339150868495344,0.66995724900777,1.0
zTJ0Zbv1jBo_000045_000055,Health & Wellness,1,1,1,0,0,0,0.5920116555955585,1.0262665348950901,1.7335242054696969,0.15759310958815426,0.7376065981000166,0.0
