clip_idx,video_id,category,question_model,tribe_mean_need,tribe_route,q_idx,question,answer_key,required_visual_evidence,importance,rationale
13,KFcH6BYZWhc_000011_000021,Sports,anthropic:claude-haiku-4-5-20251001,0.3757655783862,standard AD priority,4,How many players are actively visible on the ice in the final frames?,Multiple players; at least three to four visible in different areas.,multiple skaters; distributed positions; team play,useful,Indicates team activity and game context; helps listener understand scale of play.
14,UDD6YcChywc_000000_000010,Sports,anthropic:claude-haiku-4-5-20251001,0.4003728105074168,extended/integrated AD likely needed,0,What sport or activity is taking place on the marked surface?,Curling; a person is sliding across a curling rink with a stone.,curling rink with red and blue circles; person in sliding position; curling stone,critical,Establishes the sport and main activity; essential context for understanding the scene.
14,UDD6YcChywc_000000_000010,Sports,anthropic:claude-haiku-4-5-20251001,0.4003728105074168,extended/integrated AD likely needed,1,Describe the person's body position and movement in the opening frames.,"The curler is in a low, extended sliding position, propelling themselves across the ice.",person bent forward in lunge; extended leg position; forward motion,critical,High-need window (0–3s); visual description of the athletic posture is key for blind listeners.
14,UDD6YcChywc_000000_000010,Sports,anthropic:claude-haiku-4-5-20251001,0.4003728105074168,extended/integrated AD likely needed,2,What happens to the curler between the first and final frames shown?,The curler falls or slides to the ground and remains lying on the ice.,person upright in motion; person horizontal on ice; prone position,critical,High-need window (11.9–14.9s); the fall is a major visual event blind listeners must understand.
14,UDD6YcChywc_000000_000010,Sports,anthropic:claude-haiku-4-5-20251001,0.4003728105074168,extended/integrated AD likely needed,3,What is the setting or venue for this activity?,"An indoor curling rink with a marked playing surface, boards, and spectators.",indoor facility; curling sheet with target circles; boards and railings,useful,Establishes the location and environment; helps blind listeners visualize the space.
14,UDD6YcChywc_000000_000010,Sports,anthropic:claude-haiku-4-5-20251001,0.4003728105074168,extended/integrated AD likely needed,4,How many people are visible as active participants or observers in the scene?,At least three to four people: the curler and several others standing or watching nearby.,person sliding/falling; people in dark clothing standing; spectators in background,useful,Helps blind listeners understand the social context and whether this is a formal or casual setting.
15,OGWuj_FtaQc_000010_000020,Pets & Animals,anthropic:claude-haiku-4-5-20251001,0.5596241940798036,extended/integrated AD likely needed,0,What is the person wearing and what is their body position in the opening frames?,"Green shirt, dark shorts, sneakers; bent forward at the waist in a stretching position.",green shirt; bent forward posture; stretching stance,critical,Establishes subject identity and initial action during highest-need window (0-3s).
15,OGWuj_FtaQc_000010_000020,Pets & Animals,anthropic:claude-haiku-4-5-20251001,0.5596241940798036,extended/integrated AD likely needed,1,What type of fencing and setting surrounds the person during the activity?,Black chain-link and wooden rail fencing; rural/farm setting with grass and trees.,chain-link fence; wooden rails; pastoral background,critical,Location context essential for blind listener to visualize the environment (3-6s window).
15,OGWuj_FtaQc_000010_000020,Pets & Animals,anthropic:claude-haiku-4-5-20251001,0.5596241940798036,extended/integrated AD likely needed,2,What is the person doing with the wooden fence as they move along the path?,Jogging past and alongside the wooden fence in a rural pathway.,jogging motion; wooden fence; pathway,critical,Main action during peak-need window (6-8.9s); critical for understanding activity sequence.
15,OGWuj_FtaQc_000010_000020,Pets & Animals,anthropic:claude-haiku-4-5-20251001,0.5596241940798036,extended/integrated AD likely needed,3,What object is visible on the ground near the fence in the later frames?,A dark log or fallen tree branch lying on the ground beside the fence.,dark log; ground level; near fence,useful,Environmental detail that grounds the scene and aids spatial visualization.
15,OGWuj_FtaQc_000010_000020,Pets & Animals,anthropic:claude-haiku-4-5-20251001,0.5596241940798036,extended/integrated AD likely needed,4,What is visible on the fence that provides information about the location?,A yellow sign or marker attached to the fence.,yellow sign; fence attachment,useful,Signage suggests official/managed location; helps contextualize the setting for listener.
16,kOf-vl-GmVI_000115_000125,Pets & Animals,anthropic:claude-haiku-4-5-20251001,0.2185619742134476,standard AD priority,0,What is the person wearing on their head?,A bright pink or magenta colored hat or cap,pink/magenta hat; person's head,useful,Distinctive visual identifier of the person in the scene
16,kOf-vl-GmVI_000115_000125,Pets & Animals,anthropic:claude-haiku-4-5-20251001,0.2185619742134476,standard AD priority,1,What animal is the person interacting with?,A dark-colored horse or pony,horse; dark colored animal; person mounted,critical,Main subject of the action; essential for understanding the scene
16,kOf-vl-GmVI_000115_000125,Pets & Animals,anthropic:claude-haiku-4-5-20251001,0.2185619742134476,standard AD priority,2,Where is this scene taking place?,At a ranch or farm with wooden fencing and barn buildings,wooden fence; barn; ranch setting; buildings,critical,Setting context crucial for blind listener to visualize the environment
16,kOf-vl-GmVI_000115_000125,Pets & Animals,anthropic:claude-haiku-4-5-20251001,0.2185619742134476,standard AD priority,3,What is the person doing with the horse?,Riding or mounted on the horse in the fenced area,person on horse; mounted position; fence,critical,Main action in high-need window; core activity blind listener must understand
16,kOf-vl-GmVI_000115_000125,Pets & Animals,anthropic:claude-haiku-4-5-20251001,0.2185619742134476,standard AD priority,4,What type of barrier separates the horse area from the surroundings?,Wooden ranch-style fencing with horizontal rails,wooden fence; horizontal rails; brown wood,useful,Key environmental detail that frames the activity space
17,gjoZic4WjiQ_000012_000022,Pets & Animals,anthropic:claude-haiku-4-5-20251001,0.5719618255815417,extended/integrated AD likely needed,0,What winter sport or activity are the people participating in?,Sledding or snow tubing down an inflatable slope,inflatable tube slide; people sliding down snow; winter setting,critical,Core activity is invisible without AD; defines entire scene purpose
17,gjoZic4WjiQ_000012_000022,Pets & Animals,anthropic:claude-haiku-4-5-20251001,0.5719618255815417,extended/integrated AD likely needed,1,Describe the structure people are using to slide down.,A large inflatable tube slide with blue and white striped sections,inflatable structure; blue and white stripes; curved slide design,critical,Main object in scene; essential for understanding the activity setup
17,gjoZic4WjiQ_000012_000022,Pets & Animals,anthropic:claude-haiku-4-5-20251001,0.5719618255815417,extended/integrated AD likely needed,2,What happens to the person in the red hat during the sequence?,They slide down the slope and reach the bottom of the inflatable slide,person in red hat; sliding motion; reaching bottom,critical,High-need window (11.9–14.9s); tracks main subject's progression through activity
17,gjoZic4WjiQ_000012_000022,Pets & Animals,anthropic:claude-haiku-4-5-20251001,0.5719618255815417,extended/integrated AD likely needed,3,How many people are visible actively sledding or waiting to sled?,"At least three people; one sliding, others at top or bottom of slope",multiple participants; person in red; person in brown jacket,useful,Helps listener understand social context and activity flow
17,gjoZic4WjiQ_000012_000022,Pets & Animals,anthropic:claude-haiku-4-5-20251001,0.5719618255815417,extended/integrated AD likely needed,4,What is the ground surface covered with throughout the scene?,Snow; the entire slope and surrounding area are snow-covered,white snow coverage; winter conditions; snowy ground,useful,Establishes season and environmental context for the activity
18,q2ZBVyR1k-U_000021_000031,Pets & Animals,anthropic:claude-haiku-4-5-20251001,0.5679584541079548,extended/integrated AD likely needed,0,What is covering the person's head and face in the first image?,A large woven basket or cylindrical wicker container,woven basket; head covering; dark opening,critical,Dominant visual element in high-need window (t=3.0–6.0s); essential for understanding the scene
18,q2ZBVyR1k-U_000021_000031,Pets & Animals,anthropic:claude-haiku-4-5-20251001,0.5679584541079548,extended/integrated AD likely needed,1,What is the person holding in their hands during the middle sequence?,A blue container or bucket and what appears to be a yellow object,blue bucket; yellow object; holding,critical,Key action in high-need window (t=8.9–11.9s); clarifies what the person is doing
18,q2ZBVyR1k-U_000021_000031,Pets & Animals,anthropic:claude-haiku-4-5-20251001,0.5679584541079548,extended/integrated AD likely needed,2,What type of outdoor setting is visible in these images?,A wooded area with bare or sparse trees and natural ground,trees; woodland; outdoor; bare branches,useful,Establishes location context for blind listener; visible across multiple frames
18,q2ZBVyR1k-U_000021_000031,Pets & Animals,anthropic:claude-haiku-4-5-20251001,0.5679584541079548,extended/integrated AD likely needed,3,What is the person wearing on their upper body?,A white or light-colored jacket or shirt over other clothing,white jacket; light clothing; layered,useful,Visible in high-need window (t=11.9–14.9s); helps listener visualize the person
18,q2ZBVyR1k-U_000021_000031,Pets & Animals,anthropic:claude-haiku-4-5-20251001,0.5679584541079548,extended/integrated AD likely needed,4,What happens to the basket covering in the final images?,"The basket is removed, revealing the person's face underneath",basket removed; face visible; uncovered,critical,Major visual transition in high-need window (t=14.9–16.4s); critical narrative moment
19,qIWQHyOIpEY_000003_000013,Pets & Animals,anthropic:claude-haiku-4-5-20251001,0.333624183997777,standard AD priority,0,"What animals are visible on the wooden floor, and what are they doing?",Multiple cats playing and interacting with each other on the floor.,cats on floor; playing/wrestling; multiple animals,critical,Main action in high-need window (0-3s); establishes scene subject and primary activity.
19,qIWQHyOIpEY_000003_000013,Pets & Animals,anthropic:claude-haiku-4-5-20251001,0.333624183997777,standard AD priority,1,How many cats are present in this scene?,At least three cats visible on the floor.,multiple cats; distinct animals,critical,Essential for understanding the scope of action in high-need window (0-6s).
19,qIWQHyOIpEY_000003_000013,Pets & Animals,anthropic:claude-haiku-4-5-20251001,0.333624183997777,standard AD priority,2,What is the setting or location where this activity takes place?,"An indoor home with wooden flooring, stairs, and furniture visible.",wooden floor; stairs; indoor setting,useful,Spatial context helps blind listener orient to the scene during high-need window (3-6s).
19,qIWQHyOIpEY_000003_000013,Pets & Animals,anthropic:claude-haiku-4-5-20251001,0.333624183997777,standard AD priority,3,"What colors are the cats, and are they all the same color?",Mix of dark/black and white cats; at least one appears to be black and white.,dark cats; white cats; color variation,useful,Visual distinction helps listener differentiate between individual animals during action sequences.
