clip_idx,video_id,category,question_model,q_idx,question,answer_key,required_visual_evidence,importance,question_rationale
11,z8Q-s8AthrA_000002_000012,Sports,gpt-4o,1,Where is the scene taking place?,On a track and field area.,track; field,critical,Identifies the setting of the action.
11,z8Q-s8AthrA_000002_000012,Sports,gpt-4o,2,What key objects are involved in the action?,High jump bar and mat.,bar; mat,critical,Identifies objects central to the action.
11,z8Q-s8AthrA_000002_000012,Sports,gpt-4o,3,What is the main subject wearing?,A yellow shirt.,yellow shirt,useful,Describes the main subject's appearance.
11,z8Q-s8AthrA_000002_000012,Sports,gpt-4o,4,What visible text is on the banners?,No visible text is clear.,banners,useful,Addresses visible on-screen text.
12,abaLFY_GI8k_000295_000305,Sports,gpt-4o,0,What is the main subject doing?,Playing volleyball.,hitting the ball; jumping near the net,critical,Describes the main action.
12,abaLFY_GI8k_000295_000305,Sports,gpt-4o,1,What is the setting of the activity?,An outdoor volleyball court.,volleyball net; open ground,critical,Identifies the location.
12,abaLFY_GI8k_000295_000305,Sports,gpt-4o,2,What key object is involved in the activity?,A volleyball.,ball in the air; ball being hit,critical,Central to the action.
12,abaLFY_GI8k_000295_000305,Sports,gpt-4o,3,How many people are actively participating?,Three people.,three individuals near the net,useful,Gives context to the action.
12,abaLFY_GI8k_000295_000305,Sports,gpt-4o,4,What is visible on the buildings in the background?,Green and white paint.,painted buildings,useful,Describes the background setting.
13,KFcH6BYZWhc_000011_000021,Sports,gpt-4o,0,What is the main subject doing?,Skating on the ice rink.,skating; ice rink,critical,Main action performed by the subject.
13,KFcH6BYZWhc_000011_000021,Sports,gpt-4o,1,What is the setting of the scene?,An indoor ice hockey rink.,indoor; ice rink,critical,Identifies the location of the action.
13,KFcH6BYZWhc_000011_000021,Sports,gpt-4o,2,What key object is the main subject using?,A hockey stick.,hockey stick,critical,Essential for understanding the action.
13,KFcH6BYZWhc_000011_000021,Sports,gpt-4o,3,What is visible in the background?,Other players and a goal net.,players; goal net,useful,Provides context for the scene.
13,KFcH6BYZWhc_000011_000021,Sports,gpt-4o,4,What text is visible on the boards?,Text on the boards is not clear.,boards; text,useful,Describes visible on-screen text.
14,UDD6YcChywc_000000_000010,Sports,gpt-4o,0,What is the main subject doing?,Sliding a stone on ice.,subject sliding; stone on ice,critical,Describes the main action.
14,UDD6YcChywc_000000_000010,Sports,gpt-4o,1,What is the setting of the scene?,An indoor curling rink.,curling rink; indoor setting,critical,Identifies the location.
14,UDD6YcChywc_000000_000010,Sports,gpt-4o,2,What happens to the main subject at the end?,Lies down on the ice.,subject lying down; end of action,useful,Concludes the action sequence.
14,UDD6YcChywc_000000_000010,Sports,gpt-4o,3,What key object is involved in the action?,A curling stone.,curling stone; object being slid,critical,Central to the action.
14,UDD6YcChywc_000000_000010,Sports,gpt-4o,4,What is visible on the ice surface?,Circular target markings.,circular markings; ice surface,useful,Provides context for the action.
15,OGWuj_FtaQc_000010_000020,Pets & Animals,gpt-4o,0,What is the main subject doing?,The person is bending down near a fence.,bending down; near a fence,critical,Describes the main action.
15,OGWuj_FtaQc_000010_000020,Pets & Animals,gpt-4o,1,What type of fence is visible?,A chain-link fence with wooden posts.,chain-link fence; wooden posts,useful,Describes the setting.
15,OGWuj_FtaQc_000010_000020,Pets & Animals,gpt-4o,2,What is the setting of the scene?,An outdoor area with grass and trees.,outdoor area; grass and trees,critical,Provides context for the location.
15,OGWuj_FtaQc_000010_000020,Pets & Animals,gpt-4o,3,What key objects are near the fence?,Logs and a sign are near the fence.,logs; sign,useful,Identifies key objects in the scene.
15,OGWuj_FtaQc_000010_000020,Pets & Animals,gpt-4o,4,What text is visible on the signs?,The signs read 'KINDER' and 'PRIVAT'.,text on signs; 'KINDER'; 'PRIVAT',critical,Conveys important on-screen text.
16,kOf-vl-GmVI_000115_000125,Pets & Animals,gpt-4o,0,What is the main subject doing?,Riding a horse.,person on horse; holding reins,critical,Describes the main action.
16,kOf-vl-GmVI_000115_000125,Pets & Animals,gpt-4o,1,Where is the main subject located?,In a fenced area near a stable.,fence; stable building,critical,Identifies the setting.
16,kOf-vl-GmVI_000115_000125,Pets & Animals,gpt-4o,2,What is the main subject wearing?,A pink cap and a hoodie.,pink cap; hoodie,useful,Describes the main subject's appearance.
16,kOf-vl-GmVI_000115_000125,Pets & Animals,gpt-4o,3,What key object is the main subject interacting with?,A horse.,horse; riding,critical,Identifies the main object involved.
16,kOf-vl-GmVI_000115_000125,Pets & Animals,gpt-4o,4,Is there any visible on-screen text?,No visible on-screen text.,absence of text,useful,Confirms absence of text.
17,gjoZic4WjiQ_000012_000022,Pets & Animals,gpt-4o,0,What is the main subject doing?,Climbing a snowy hill.,subject climbing; snowy hill,critical,Describes the main action.
17,gjoZic4WjiQ_000012_000022,Pets & Animals,gpt-4o,1,What is the setting of the scene?,A snowy playground.,snow; playground equipment,critical,Identifies the location.
17,gjoZic4WjiQ_000012_000022,Pets & Animals,gpt-4o,2,What key object is involved in the scene?,A blue slide.,blue slide; playground,useful,Highlights a significant object.
17,gjoZic4WjiQ_000012_000022,Pets & Animals,gpt-4o,3,What is the main subject wearing?,A red hat and white jacket.,red hat; white jacket,useful,Describes the main subject's appearance.
17,gjoZic4WjiQ_000012_000022,Pets & Animals,gpt-4o,4,Is there any visible on-screen text?,No visible text.,absence of text,useful,Confirms lack of text.
18,q2ZBVyR1k-U_000021_000031,Pets & Animals,gpt-4o,0,What is the main subject doing?,Removing a beekeeping hat.,removing hat; beekeeping suit,critical,Main action performed by the subject.
18,q2ZBVyR1k-U_000021_000031,Pets & Animals,gpt-4o,1,What is the setting or location?,A wooded area.,trees; outdoors,useful,Provides context for the scene.
18,q2ZBVyR1k-U_000021_000031,Pets & Animals,gpt-4o,2,What key object is the second person holding?,A large blue thermos.,blue thermos; holding,useful,Identifies a significant object in the scene.
18,q2ZBVyR1k-U_000021_000031,Pets & Animals,gpt-4o,3,What is the second person doing?,Drinking from a cup.,drinking; cup,critical,Main action performed by the second person.
18,q2ZBVyR1k-U_000021_000031,Pets & Animals,gpt-4o,4,What visible text is on the second person's shirt?,Partial text: 'BRA'.,text on shirt,useful,Identifies visible text on clothing.
19,qIWQHyOIpEY_000003_000013,Pets & Animals,gpt-4o,0,What is the main subject doing?,A cat is sitting and watching another cat.,cat sitting; cat watching,critical,Describes the main action.
19,qIWQHyOIpEY_000003_000013,Pets & Animals,gpt-4o,1,What is the setting of the scene?,A dimly lit room with wooden floors.,dimly lit room; wooden floors,useful,Provides context for the action.
19,qIWQHyOIpEY_000003_000013,Pets & Animals,gpt-4o,2,What key objects are visible in the room?,A television and a small table.,television; small table,useful,Identifies important objects in the setting.
19,qIWQHyOIpEY_000003_000013,Pets & Animals,gpt-4o,3,What is the position of the second cat?,The second cat is lying on its back.,cat lying on back,critical,Describes the main subject's interaction.
19,qIWQHyOIpEY_000003_000013,Pets & Animals,gpt-4o,4,Is there any visible on-screen text?,No visible on-screen text.,absence of text,useful,Confirms lack of text information.
