corpus,video_id,category,tier,gt,visual_fidelity,completeness,informativeness,overall,raw_text
inbench,gjoZic4WjiQ_000012_000022,Pets & Animals,tier3_va11y,3,82.0,70.0,74.0,76.0,
inbench,PbGvLf7HvXQ_000063_000073,Food & Cooking,tier0_cross,0,0.0,0.0,0.0,0.0,
inbench,PbGvLf7HvXQ_000063_000073,Food & Cooking,tier1_vatex_short,1,40.0,25.0,30.0,35.0,
inbench,PbGvLf7HvXQ_000063_000073,Food & Cooking,tier2_vatex_long,2,42.0,35.0,45.0,40.0,
inbench,PbGvLf7HvXQ_000063_000073,Food & Cooking,tier3_va11y,3,48.0,60.0,55.0,52.0,
inbench,hOirknJr3os_000001_000011,Travel,tier0_cross,0,2.0,0.0,1.0,1.0,
inbench,hOirknJr3os_000001_000011,Travel,tier1_vatex_short,1,88.0,35.0,30.0,48.0,
inbench,hOirknJr3os_000001_000011,Travel,tier2_vatex_long,2,82.0,60.0,55.0,66.0,
inbench,hOirknJr3os_000001_000011,Travel,tier3_va11y,3,58.0,66.0,60.0,60.0,
inbench,058y9xGmmTQ_000206_000216,Food & Cooking,tier0_cross,0,0.0,0.0,0.0,0.0,
inbench,058y9xGmmTQ_000206_000216,Food & Cooking,tier1_vatex_short,1,18.0,10.0,10.0,12.0,
inbench,058y9xGmmTQ_000206_000216,Food & Cooking,tier2_vatex_long,2,50.0,30.0,35.0,40.0,
inbench,058y9xGmmTQ_000206_000216,Food & Cooking,tier3_va11y,3,42.0,60.0,48.0,46.0,
inbench,0HEi6q3bGaw_000011_000021,Travel,tier0_cross,0,0.0,0.0,0.0,0.0,
inbench,0HEi6q3bGaw_000011_000021,Travel,tier1_vatex_short,1,34.0,28.0,25.0,30.0,
inbench,0HEi6q3bGaw_000011_000021,Travel,tier2_vatex_long,2,42.0,28.0,25.0,33.0,
inbench,0HEi6q3bGaw_000011_000021,Travel,tier3_va11y,3,42.0,48.0,44.0,45.0,
inbench,KFcH6BYZWhc_000011_000021,Sports,tier0_cross,0,0.0,0.0,0.0,0.0,
inbench,KFcH6BYZWhc_000011_000021,Sports,tier1_vatex_short,1,85.0,35.0,30.0,45.0,
inbench,KFcH6BYZWhc_000011_000021,Sports,tier2_vatex_long,2,62.0,45.0,48.0,52.0,
inbench,KFcH6BYZWhc_000011_000021,Sports,tier3_va11y,3,62.0,48.0,45.0,52.0,
inbench,09dQut5GJ68_000049_000059,Travel,tier0_cross,0,0.0,0.0,0.0,0.0,
inbench,09dQut5GJ68_000049_000059,Travel,tier1_vatex_short,1,70.0,40.0,35.0,50.0,
inbench,09dQut5GJ68_000049_000059,Travel,tier2_vatex_long,2,38.0,42.0,35.0,38.0,
inbench,09dQut5GJ68_000049_000059,Travel,tier3_va11y,3,35.0,40.0,38.0,37.0,
inbench,TF4q9y0rJoc_000000_000010,Sports,tier0_cross,0,0.0,0.0,0.0,0.0,
inbench,TF4q9y0rJoc_000000_000010,Sports,tier1_vatex_short,1,84.0,48.0,50.0,60.0,
inbench,TF4q9y0rJoc_000000_000010,Sports,tier2_vatex_long,2,88.0,72.0,68.0,76.0,
inbench,TF4q9y0rJoc_000000_000010,Sports,tier3_va11y,3,66.0,58.0,63.0,62.0,
inbench,Q76JRCyTnSc_000007_000017,Food & Cooking,tier0_cross,0,0.0,0.0,0.0,0.0,
inbench,Q76JRCyTnSc_000007_000017,Food & Cooking,tier1_vatex_short,1,15.0,10.0,10.0,12.0,
inbench,Q76JRCyTnSc_000007_000017,Food & Cooking,tier2_vatex_long,2,18.0,20.0,18.0,18.0,
inbench,Q76JRCyTnSc_000007_000017,Food & Cooking,tier3_va11y,3,40.0,45.0,48.0,44.0,
inbench,q2ZBVyR1k-U_000021_000031,Pets & Animals,tier0_cross,0,0.0,0.0,0.0,0.0,
inbench,q2ZBVyR1k-U_000021_000031,Pets & Animals,tier1_vatex_short,1,60.0,20.0,25.0,35.0,
inbench,q2ZBVyR1k-U_000021_000031,Pets & Animals,tier2_vatex_long,2,88.0,62.0,58.0,70.0,
inbench,q2ZBVyR1k-U_000021_000031,Pets & Animals,tier3_va11y,3,78.0,70.0,75.0,74.0,
inbench,kOf-vl-GmVI_000115_000125,Pets & Animals,tier0_cross,0,0.0,0.0,0.0,0.0,
inbench,kOf-vl-GmVI_000115_000125,Pets & Animals,tier1_vatex_short,1,80.0,42.0,38.0,54.0,
inbench,kOf-vl-GmVI_000115_000125,Pets & Animals,tier2_vatex_long,2,58.0,45.0,46.0,50.0,
inbench,kOf-vl-GmVI_000115_000125,Pets & Animals,tier3_va11y,3,68.0,60.0,58.0,62.0,
external,3ufJNSez5Is_000008_000018,How-to & Instructional,tier0_cross,0,0.0,0.0,0.0,0.0,
external,3ufJNSez5Is_000008_000018,How-to & Instructional,tier1_vatex_short,1,50.0,25.0,25.0,35.0,
external,3ufJNSez5Is_000008_000018,How-to & Instructional,tier2_vatex_long,2,85.0,70.0,72.0,77.0,
external,3ufJNSez5Is_000008_000018,How-to & Instructional,tier3_va11y,3,78.0,80.0,75.0,78.0,
external,_oAKCHh_Av4_000003_000013,People & Vlogs,tier0_cross,0,0.0,0.0,0.0,0.0,
external,_oAKCHh_Av4_000003_000013,People & Vlogs,tier1_vatex_short,1,88.0,55.0,52.0,65.0,
external,_oAKCHh_Av4_000003_000013,People & Vlogs,tier2_vatex_long,2,82.0,72.0,68.0,74.0,
external,_oAKCHh_Av4_000003_000013,People & Vlogs,tier3_va11y,3,78.0,68.0,70.0,73.0,
external,BHxn3qfPAl4_000018_000028,Health & Wellness,tier0_cross,0,0.0,0.0,0.0,0.0,
external,BHxn3qfPAl4_000018_000028,Health & Wellness,tier1_vatex_short,1,88.0,55.0,58.0,67.0,
external,BHxn3qfPAl4_000018_000028,Health & Wellness,tier2_vatex_long,2,62.0,38.0,40.0,47.0,
external,BHxn3qfPAl4_000018_000028,Health & Wellness,tier3_va11y,3,82.0,70.0,72.0,76.0,
external,BcW6Y7eufQE_000239_000249,People & Vlogs,tier0_cross,0,0.0,0.0,0.0,0.0,
external,BcW6Y7eufQE_000239_000249,People & Vlogs,tier1_vatex_short,1,20.0,20.0,15.0,19.0,
external,BcW6Y7eufQE_000239_000249,People & Vlogs,tier2_vatex_long,2,25.0,20.0,20.0,22.0,
external,BcW6Y7eufQE_000239_000249,People & Vlogs,tier3_va11y,3,58.0,44.0,47.0,50.0,
external,EA3HCx0yTIY_000281_000291,Music,tier0_cross,0,0.0,0.0,0.0,0.0,
external,EA3HCx0yTIY_000281_000291,Music,tier1_vatex_short,1,88.0,42.0,45.0,60.0,
external,EA3HCx0yTIY_000281_000291,Music,tier2_vatex_long,2,92.0,60.0,58.0,75.0,
external,EA3HCx0yTIY_000281_000291,Music,tier3_va11y,3,88.0,76.0,72.0,80.0,
external,j6CgiNeWQwM_000842_000852,Food & Cooking,tier0_cross,0,0.0,0.0,0.0,0.0,
external,j6CgiNeWQwM_000842_000852,Food & Cooking,tier1_vatex_short,1,82.0,40.0,38.0,53.0,
external,j6CgiNeWQwM_000842_000852,Food & Cooking,tier2_vatex_long,2,18.0,32.0,28.0,22.0,
external,j6CgiNeWQwM_000842_000852,Food & Cooking,tier3_va11y,3,62.0,74.0,68.0,66.0,
external,9fuIpQgnNEQ_000049_000059,Event,tier0_cross,0,0.0,0.0,0.0,0.0,
external,9fuIpQgnNEQ_000049_000059,Event,tier1_vatex_short,1,72.0,45.0,48.0,56.0,
external,9fuIpQgnNEQ_000049_000059,Event,tier2_vatex_long,2,76.0,48.0,52.0,58.0,
external,9fuIpQgnNEQ_000049_000059,Event,tier3_va11y,3,52.0,58.0,50.0,53.0,
external,u-olDM7oGGM_000012_000022,Health & Wellness,tier0_cross,0,0.0,0.0,0.0,0.0,
external,u-olDM7oGGM_000012_000022,Health & Wellness,tier1_vatex_short,1,25.0,18.0,18.0,20.0,
external,u-olDM7oGGM_000012_000022,Health & Wellness,tier2_vatex_long,2,60.0,50.0,55.0,56.0,
external,u-olDM7oGGM_000012_000022,Health & Wellness,tier3_va11y,3,68.0,60.0,58.0,62.0,
external,eb-ufaFcUas_000008_000018,Entertainment,tier0_cross,0,0.0,0.0,0.0,0.0,
external,eb-ufaFcUas_000008_000018,Entertainment,tier1_vatex_short,1,93.0,86.0,88.0,90.0,
external,eb-ufaFcUas_000008_000018,Entertainment,tier2_vatex_long,2,90.0,72.0,74.0,80.0,
external,eb-ufaFcUas_000008_000018,Entertainment,tier3_va11y,3,88.0,78.0,80.0,83.0,
external,heWD9j45Emw_000225_000235,Music,tier0_cross,0,0.0,0.0,0.0,0.0,
external,heWD9j45Emw_000225_000235,Music,tier1_vatex_short,1,92.0,35.0,30.0,50.0,
external,heWD9j45Emw_000225_000235,Music,tier2_vatex_long,2,42.0,30.0,28.0,33.0,
external,heWD9j45Emw_000225_000235,Music,tier3_va11y,3,82.0,68.0,70.0,74.0,
external,2kJxrcNRS9w_000047_000057,Sports,tier0_cross,0,0.0,0.0,0.0,0.0,
external,2kJxrcNRS9w_000047_000057,Sports,tier1_vatex_short,1,64.0,45.0,50.0,55.0,
external,2kJxrcNRS9w_000047_000057,Sports,tier2_vatex_long,2,32.0,35.0,30.0,32.0,
external,2kJxrcNRS9w_000047_000057,Sports,tier3_va11y,3,33.0,30.0,32.0,32.0,
external,OASCPKazLIM_000132_000142,How-to & Instructional,tier0_cross,0,0.0,0.0,0.0,0.0,
external,OASCPKazLIM_000132_000142,How-to & Instructional,tier1_vatex_short,1,40.0,20.0,25.0,30.0,
external,OASCPKazLIM_000132_000142,How-to & Instructional,tier2_vatex_long,2,32.0,26.0,25.0,28.0,
external,OASCPKazLIM_000132_000142,How-to & Instructional,tier3_va11y,3,55.0,32.0,38.0,42.0,
external,j4CKRgv3jUg_000000_000010,Entertainment,tier0_cross,0,0.0,0.0,0.0,0.0,
external,j4CKRgv3jUg_000000_000010,Entertainment,tier1_vatex_short,1,52.0,28.0,30.0,37.0,
external,j4CKRgv3jUg_000000_000010,Entertainment,tier2_vatex_long,2,45.0,25.0,30.0,33.0,
external,j4CKRgv3jUg_000000_000010,Entertainment,tier3_va11y,3,62.0,42.0,45.0,50.0,
external,N-LZPc27kjM_000229_000239,How-to & Instructional,tier0_cross,0,0.0,0.0,0.0,0.0,
external,N-LZPc27kjM_000229_000239,How-to & Instructional,tier1_vatex_short,1,70.0,38.0,42.0,52.0,
external,N-LZPc27kjM_000229_000239,How-to & Instructional,tier2_vatex_long,2,35.0,30.0,28.0,31.0,
external,N-LZPc27kjM_000229_000239,How-to & Instructional,tier3_va11y,3,72.0,65.0,68.0,68.0,
external,RlfVK8z5wJ0_000000_000010,Sports,tier0_cross,0,0.0,0.0,0.0,0.0,
external,RlfVK8z5wJ0_000000_000010,Sports,tier1_vatex_short,1,38.0,30.0,30.0,33.0,
external,RlfVK8z5wJ0_000000_000010,Sports,tier2_vatex_long,2,70.0,40.0,45.0,55.0,
external,RlfVK8z5wJ0_000000_000010,Sports,tier3_va11y,3,86.0,83.0,82.0,84.0,
external,_TKzyWZHjm8_000002_000012,Health & Wellness,tier0_cross,0,0.0,0.0,0.0,0.0,
external,_TKzyWZHjm8_000002_000012,Health & Wellness,tier1_vatex_short,1,62.0,28.0,30.0,40.0,
external,_TKzyWZHjm8_000002_000012,Health & Wellness,tier2_vatex_long,2,80.0,55.0,60.0,65.0,
external,_TKzyWZHjm8_000002_000012,Health & Wellness,tier3_va11y,3,84.0,78.0,74.0,79.0,
external,F-mRnL_XmJU_000000_000010,Entertainment,tier0_cross,0,0.0,0.0,0.0,0.0,
external,F-mRnL_XmJU_000000_000010,Entertainment,tier1_vatex_short,1,74.0,38.0,40.0,54.0,
external,F-mRnL_XmJU_000000_000010,Entertainment,tier2_vatex_long,2,52.0,46.0,48.0,49.0,
external,F-mRnL_XmJU_000000_000010,Entertainment,tier3_va11y,3,68.0,55.0,58.0,60.0,
external,g8Idd47kGqo_000037_000047,Entertainment,tier0_cross,0,0.0,0.0,0.0,0.0,
external,g8Idd47kGqo_000037_000047,Entertainment,tier1_vatex_short,1,88.0,55.0,58.0,67.0,
external,g8Idd47kGqo_000037_000047,Entertainment,tier2_vatex_long,2,62.0,30.0,35.0,43.0,
external,g8Idd47kGqo_000037_000047,Entertainment,tier3_va11y,3,72.0,78.0,79.0,76.0,
external,ShSSAEfnyDs_000000_000010,Entertainment,tier0_cross,0,0.0,0.0,0.0,0.0,
external,ShSSAEfnyDs_000000_000010,Entertainment,tier1_vatex_short,1,10.0,10.0,8.0,9.0,
external,ShSSAEfnyDs_000000_000010,Entertainment,tier2_vatex_long,2,42.0,30.0,28.0,34.0,
external,ShSSAEfnyDs_000000_000010,Entertainment,tier3_va11y,3,30.0,35.0,33.0,33.0,
external,d7_SY48r__8_000060_000070,How-to & Instructional,tier0_cross,0,0.0,0.0,0.0,0.0,
external,d7_SY48r__8_000060_000070,How-to & Instructional,tier1_vatex_short,1,92.0,74.0,72.0,84.0,
external,d7_SY48r__8_000060_000070,How-to & Instructional,tier2_vatex_long,2,86.0,62.0,60.0,70.0,
external,d7_SY48r__8_000060_000070,How-to & Instructional,tier3_va11y,3,86.0,78.0,75.0,82.0,
external,xW6hpK-DBMY_000080_000090,How-to & Instructional,tier0_cross,0,0.0,0.0,0.0,0.0,
external,xW6hpK-DBMY_000080_000090,How-to & Instructional,tier1_vatex_short,1,90.0,74.0,72.0,80.0,
external,xW6hpK-DBMY_000080_000090,How-to & Instructional,tier2_vatex_long,2,92.0,80.0,82.0,86.0,
external,xW6hpK-DBMY_000080_000090,How-to & Instructional,tier3_va11y,3,92.0,86.0,88.0,89.0,
external,iEAWgsSvJAE_000023_000033,Film & Animation,tier0_cross,0,0.0,0.0,0.0,0.0,
external,iEAWgsSvJAE_000023_000033,Film & Animation,tier1_vatex_short,1,30.0,25.0,24.0,27.0,
external,iEAWgsSvJAE_000023_000033,Film & Animation,tier2_vatex_long,2,35.0,25.0,30.0,30.0,
external,iEAWgsSvJAE_000023_000033,Film & Animation,tier3_va11y,3,52.0,50.0,48.0,50.0,
external,3su234u58DA_000172_000182,Entertainment,tier0_cross,0,2.0,0.0,2.0,1.0,
external,3su234u58DA_000172_000182,Entertainment,tier1_vatex_short,1,48.0,28.0,32.0,36.0,
external,3su234u58DA_000172_000182,Entertainment,tier2_vatex_long,2,30.0,28.0,34.0,30.0,
external,3su234u58DA_000172_000182,Entertainment,tier3_va11y,3,66.0,74.0,70.0,69.0,
external,v2Hr1CH-yb0_000076_000086,How-to & Instructional,tier0_cross,0,0.0,0.0,0.0,0.0,
external,v2Hr1CH-yb0_000076_000086,How-to & Instructional,tier1_vatex_short,1,70.0,35.0,38.0,47.0,
external,v2Hr1CH-yb0_000076_000086,How-to & Instructional,tier2_vatex_long,2,68.0,22.0,25.0,38.0,
external,v2Hr1CH-yb0_000076_000086,How-to & Instructional,tier3_va11y,3,72.0,64.0,60.0,66.0,
external,S-C86j0keqc_000217_000227,Event,tier0_cross,0,0.0,0.0,0.0,0.0,
external,S-C86j0keqc_000217_000227,Event,tier1_vatex_short,1,68.0,35.0,40.0,48.0,
external,S-C86j0keqc_000217_000227,Event,tier2_vatex_long,2,72.0,48.0,50.0,58.0,
external,S-C86j0keqc_000217_000227,Event,tier3_va11y,3,68.0,76.0,72.0,70.0,
external,wbOD_G3ttgU_000083_000093,How-to & Instructional,tier0_cross,0,0.0,0.0,0.0,0.0,
external,wbOD_G3ttgU_000083_000093,How-to & Instructional,tier1_vatex_short,1,68.0,28.0,30.0,42.0,
external,wbOD_G3ttgU_000083_000093,How-to & Instructional,tier2_vatex_long,2,72.0,38.0,40.0,50.0,
external,wbOD_G3ttgU_000083_000093,How-to & Instructional,tier3_va11y,3,68.0,60.0,58.0,62.0,
external,RjPp0ZPW0yc_000000_000010,How-to & Instructional,tier0_cross,0,0.0,0.0,0.0,0.0,
external,RjPp0ZPW0yc_000000_000010,How-to & Instructional,tier1_vatex_short,1,88.0,35.0,30.0,52.0,
external,RjPp0ZPW0yc_000000_000010,How-to & Instructional,tier2_vatex_long,2,86.0,40.0,42.0,56.0,
external,RjPp0ZPW0yc_000000_000010,How-to & Instructional,tier3_va11y,3,68.0,60.0,56.0,61.0,
external,8vkNr_eysXY_000002_000012,How-to & Instructional,tier0_cross,0,0.0,0.0,0.0,0.0,
external,8vkNr_eysXY_000002_000012,How-to & Instructional,tier1_vatex_short,1,90.0,55.0,60.0,68.0,
external,8vkNr_eysXY_000002_000012,How-to & Instructional,tier2_vatex_long,2,72.0,38.0,42.0,52.0,
external,8vkNr_eysXY_000002_000012,How-to & Instructional,tier3_va11y,3,63.0,55.0,58.0,59.0,
external,GOH6fBhoi2o_000010_000020,Entertainment,tier0_cross,0,0.0,0.0,0.0,0.0,
external,GOH6fBhoi2o_000010_000020,Entertainment,tier1_vatex_short,1,32.0,35.0,33.0,33.0,
external,GOH6fBhoi2o_000010_000020,Entertainment,tier2_vatex_long,2,20.0,30.0,25.0,24.0,
external,GOH6fBhoi2o_000010_000020,Entertainment,tier3_va11y,3,55.0,40.0,44.0,46.0,
external,bgt29znHCzs_000343_000353,Sports,tier0_cross,0,2.0,2.0,2.0,2.0,
external,bgt29znHCzs_000343_000353,Sports,tier1_vatex_short,1,68.0,42.0,45.0,55.0,
external,bgt29znHCzs_000343_000353,Sports,tier2_vatex_long,2,55.0,35.0,35.0,42.0,
external,bgt29znHCzs_000343_000353,Sports,tier3_va11y,3,42.0,55.0,48.0,46.0,
external,0m0-Q0zz_-c_000112_000122,How-to & Instructional,tier0_cross,0,0.0,0.0,0.0,0.0,
external,0m0-Q0zz_-c_000112_000122,How-to & Instructional,tier1_vatex_short,1,85.0,60.0,55.0,67.0,
external,0m0-Q0zz_-c_000112_000122,How-to & Instructional,tier2_vatex_long,2,15.0,10.0,10.0,12.0,
external,0m0-Q0zz_-c_000112_000122,How-to & Instructional,tier3_va11y,3,34.0,44.0,38.0,39.0,
external,Ccgwurislg8_000082_000092,How-to & Instructional,tier0_cross,0,0.0,0.0,0.0,0.0,
external,Ccgwurislg8_000082_000092,How-to & Instructional,tier1_vatex_short,1,90.0,62.0,60.0,71.0,
external,Ccgwurislg8_000082_000092,How-to & Instructional,tier2_vatex_long,2,63.0,52.0,56.0,58.0,
external,Ccgwurislg8_000082_000092,How-to & Instructional,tier3_va11y,3,83.0,78.0,77.0,80.0,
external,1YemrpNBpf4_000001_000011,Entertainment,tier0_cross,0,0.0,0.0,0.0,0.0,
external,1YemrpNBpf4_000001_000011,Entertainment,tier1_vatex_short,1,45.0,30.0,35.0,38.0,
external,1YemrpNBpf4_000001_000011,Entertainment,tier2_vatex_long,2,28.0,35.0,30.0,31.0,
external,1YemrpNBpf4_000001_000011,Entertainment,tier3_va11y,3,60.0,62.0,64.0,61.0,
external,D297atE3gag_000203_000213,How-to & Instructional,tier0_cross,0,0.0,0.0,0.0,0.0,
external,D297atE3gag_000203_000213,How-to & Instructional,tier1_vatex_short,1,35.0,8.0,8.0,15.0,
external,D297atE3gag_000203_000213,How-to & Instructional,tier2_vatex_long,2,67.0,45.0,50.0,55.0,
external,D297atE3gag_000203_000213,How-to & Instructional,tier3_va11y,3,87.0,80.0,83.0,84.0,
external,Z5w-wkrjHuw_000345_000355,Entertainment,tier0_cross,0,0.0,0.0,0.0,0.0,
external,Z5w-wkrjHuw_000345_000355,Entertainment,tier1_vatex_short,1,58.0,32.0,30.0,40.0,
external,Z5w-wkrjHuw_000345_000355,Entertainment,tier2_vatex_long,2,62.0,32.0,34.0,44.0,
external,Z5w-wkrjHuw_000345_000355,Entertainment,tier3_va11y,3,60.0,55.0,45.0,53.0,
external,ZcYB6tPK2Eo_000138_000148,How-to & Instructional,tier0_cross,0,0.0,0.0,0.0,0.0,
external,ZcYB6tPK2Eo_000138_000148,How-to & Instructional,tier1_vatex_short,1,75.0,40.0,40.0,52.0,
external,ZcYB6tPK2Eo_000138_000148,How-to & Instructional,tier2_vatex_long,2,35.0,25.0,25.0,28.0,
external,ZcYB6tPK2Eo_000138_000148,How-to & Instructional,tier3_va11y,3,52.0,44.0,46.0,48.0,
external,0t0DB1B1w8Y_000000_000010,Sports,tier0_cross,0,0.0,0.0,0.0,0.0,
external,0t0DB1B1w8Y_000000_000010,Sports,tier1_vatex_short,1,72.0,45.0,40.0,55.0,
external,0t0DB1B1w8Y_000000_000010,Sports,tier2_vatex_long,2,62.0,48.0,44.0,52.0,
external,0t0DB1B1w8Y_000000_000010,Sports,tier3_va11y,3,82.0,80.0,75.0,80.0,
external,1-jIze6gy0g_000026_000036,How-to & Instructional,tier0_cross,0,0.0,0.0,0.0,0.0,
external,1-jIze6gy0g_000026_000036,How-to & Instructional,tier1_vatex_short,1,55.0,30.0,28.0,38.0,
external,1-jIze6gy0g_000026_000036,How-to & Instructional,tier2_vatex_long,2,48.0,38.0,40.0,42.0,
external,1-jIze6gy0g_000026_000036,How-to & Instructional,tier3_va11y,3,55.0,42.0,46.0,49.0,
external,AEkLDauJVi0_000069_000079,Food & Cooking,tier0_cross,0,0.0,0.0,0.0,0.0,
external,AEkLDauJVi0_000069_000079,Food & Cooking,tier1_vatex_short,1,45.0,30.0,30.0,37.0,
external,AEkLDauJVi0_000069_000079,Food & Cooking,tier2_vatex_long,2,86.0,45.0,55.0,62.0,
external,AEkLDauJVi0_000069_000079,Food & Cooking,tier3_va11y,3,82.0,75.0,78.0,79.0,
external,gFBO3zrod9Y_000005_000015,People & Vlogs,tier0_cross,0,0.0,0.0,0.0,0.0,
external,gFBO3zrod9Y_000005_000015,People & Vlogs,tier1_vatex_short,1,82.0,58.0,60.0,69.0,
external,gFBO3zrod9Y_000005_000015,People & Vlogs,tier2_vatex_long,2,88.0,70.0,72.0,78.0,
external,gFBO3zrod9Y_000005_000015,People & Vlogs,tier3_va11y,3,88.0,83.0,80.0,85.0,
external,1kLhK8KfIEw_000020_000030,How-to & Instructional,tier0_cross,0,0.0,0.0,0.0,0.0,
external,1kLhK8KfIEw_000020_000030,How-to & Instructional,tier1_vatex_short,1,58.0,30.0,38.0,42.0,
external,1kLhK8KfIEw_000020_000030,How-to & Instructional,tier2_vatex_long,2,40.0,20.0,25.0,28.0,
external,1kLhK8KfIEw_000020_000030,How-to & Instructional,tier3_va11y,3,86.0,78.0,80.0,82.0,
external,21T1JDdJgsM_000047_000057,Entertainment,tier0_cross,0,0.0,0.0,0.0,0.0,
external,21T1JDdJgsM_000047_000057,Entertainment,tier1_vatex_short,1,40.0,45.0,45.0,42.0,
external,21T1JDdJgsM_000047_000057,Entertainment,tier2_vatex_long,2,84.0,78.0,80.0,81.0,
external,21T1JDdJgsM_000047_000057,Entertainment,tier3_va11y,3,78.0,80.0,82.0,80.0,
external,750QhTe9Z4U_000000_000010,People & Vlogs,tier0_cross,0,0.0,0.0,0.0,0.0,
external,750QhTe9Z4U_000000_000010,People & Vlogs,tier1_vatex_short,1,62.0,30.0,35.0,43.0,
external,750QhTe9Z4U_000000_000010,People & Vlogs,tier2_vatex_long,2,47.0,42.0,38.0,43.0,
external,750QhTe9Z4U_000000_000010,People & Vlogs,tier3_va11y,3,95.0,92.0,90.0,93.0,
external,lgJywzzdUC8_000000_000010,Event,tier0_cross,0,0.0,0.0,0.0,0.0,
external,lgJywzzdUC8_000000_000010,Event,tier1_vatex_short,1,55.0,45.0,45.0,49.0,
external,lgJywzzdUC8_000000_000010,Event,tier2_vatex_long,2,30.0,35.0,30.0,31.0,
external,lgJywzzdUC8_000000_000010,Event,tier3_va11y,3,65.0,70.0,68.0,67.0,
external,A0e7Z55s8pE_000008_000018,How-to & Instructional,tier0_cross,0,0.0,0.0,0.0,0.0,
external,A0e7Z55s8pE_000008_000018,How-to & Instructional,tier1_vatex_short,1,42.0,40.0,40.0,41.0,
external,A0e7Z55s8pE_000008_000018,How-to & Instructional,tier2_vatex_long,2,50.0,55.0,52.0,52.0,
external,A0e7Z55s8pE_000008_000018,How-to & Instructional,tier3_va11y,3,56.0,52.0,54.0,54.0,
external,Xdz1cxEjLYc_000007_000017,Food & Cooking,tier0_cross,0,0.0,0.0,0.0,0.0,
external,Xdz1cxEjLYc_000007_000017,Food & Cooking,tier1_vatex_short,1,70.0,50.0,48.0,58.0,
