video_id,q_idx,condition,score,matched
ZcYB6tPK2Eo_000138_000148,3,baseline,0.0,0
ZcYB6tPK2Eo_000138_000148,4,baseline,0.0,1
ZcYB6tPK2Eo_000138_000148,0,gap_targeted,1.0,0
ZcYB6tPK2Eo_000138_000148,1,gap_targeted,1.0,0
ZcYB6tPK2Eo_000138_000148,2,gap_targeted,0.5,0
ZcYB6tPK2Eo_000138_000148,3,gap_targeted,0.5,0
ZcYB6tPK2Eo_000138_000148,4,gap_targeted,0.0,1
c_gQ9CSaZY4_000000_000010,0,baseline,1.0,0
c_gQ9CSaZY4_000000_000010,1,baseline,0.5,0
c_gQ9CSaZY4_000000_000010,2,baseline,0.0,1
c_gQ9CSaZY4_000000_000010,3,baseline,0.0,0
c_gQ9CSaZY4_000000_000010,4,baseline,1.0,0
c_gQ9CSaZY4_000000_000010,0,gap_targeted,0.0,0
c_gQ9CSaZY4_000000_000010,1,gap_targeted,0.5,0
c_gQ9CSaZY4_000000_000010,2,gap_targeted,1.0,1
c_gQ9CSaZY4_000000_000010,3,gap_targeted,0.0,0
c_gQ9CSaZY4_000000_000010,4,gap_targeted,1.0,0
d7_SY48r__8_000060_000070,0,baseline,0.0,0
d7_SY48r__8_000060_000070,1,baseline,0.0,0
d7_SY48r__8_000060_000070,2,baseline,0.0,0
d7_SY48r__8_000060_000070,3,baseline,0.0,1
d7_SY48r__8_000060_000070,4,baseline,0.0,0
d7_SY48r__8_000060_000070,0,gap_targeted,0.0,0
d7_SY48r__8_000060_000070,1,gap_targeted,0.0,0
d7_SY48r__8_000060_000070,2,gap_targeted,0.0,0
d7_SY48r__8_000060_000070,3,gap_targeted,0.0,1
d7_SY48r__8_000060_000070,4,gap_targeted,0.0,0
h8wsO9A9v_c_000016_000026,0,baseline,0.0,0
h8wsO9A9v_c_000016_000026,1,baseline,0.0,0
h8wsO9A9v_c_000016_000026,2,baseline,0.0,1
h8wsO9A9v_c_000016_000026,3,baseline,0.0,0
h8wsO9A9v_c_000016_000026,4,baseline,0.0,0
h8wsO9A9v_c_000016_000026,0,gap_targeted,0.0,0
h8wsO9A9v_c_000016_000026,1,gap_targeted,0.0,0
h8wsO9A9v_c_000016_000026,2,gap_targeted,0.5,1
h8wsO9A9v_c_000016_000026,3,gap_targeted,0.0,0
h8wsO9A9v_c_000016_000026,4,gap_targeted,0.0,0
iGmGQxox43I_000000_000010,0,gap_targeted,1.0,0
iGmGQxox43I_000000_000010,1,gap_targeted,0.0,0
iGmGQxox43I_000000_000010,2,gap_targeted,0.0,1
iGmGQxox43I_000000_000010,3,gap_targeted,0.0,0
iGmGQxox43I_000000_000010,4,gap_targeted,0.0,0
iGmGQxox43I_000000_000010,0,baseline,1.0,0
iGmGQxox43I_000000_000010,1,baseline,0.0,0
iGmGQxox43I_000000_000010,2,baseline,0.0,1
iGmGQxox43I_000000_000010,3,baseline,0.0,0
iGmGQxox43I_000000_000010,4,baseline,0.0,0
j4CKRgv3jUg_000000_000010,0,gap_targeted,0.0,1
j4CKRgv3jUg_000000_000010,1,gap_targeted,0.0,0
j4CKRgv3jUg_000000_000010,2,gap_targeted,0.5,0
j4CKRgv3jUg_000000_000010,3,gap_targeted,1.0,0
j4CKRgv3jUg_000000_000010,4,gap_targeted,0.5,0
j4CKRgv3jUg_000000_000010,0,baseline,0.0,1
j4CKRgv3jUg_000000_000010,1,baseline,0.0,0
j4CKRgv3jUg_000000_000010,2,baseline,0.0,0
j4CKRgv3jUg_000000_000010,3,baseline,1.0,0
j4CKRgv3jUg_000000_000010,4,baseline,0.5,0
j6CgiNeWQwM_000842_000852,0,baseline,0.0,0
j6CgiNeWQwM_000842_000852,1,baseline,0.0,1
j6CgiNeWQwM_000842_000852,2,baseline,0.0,0
j6CgiNeWQwM_000842_000852,3,baseline,0.0,0
j6CgiNeWQwM_000842_000852,4,baseline,0.0,0
j6CgiNeWQwM_000842_000852,0,gap_targeted,0.0,0
j6CgiNeWQwM_000842_000852,1,gap_targeted,1.0,1
j6CgiNeWQwM_000842_000852,2,gap_targeted,0.0,0
j6CgiNeWQwM_000842_000852,3,gap_targeted,1.0,0
j6CgiNeWQwM_000842_000852,4,gap_targeted,0.0,0
rGQ64NXktF8_000006_000016,0,gap_targeted,0.0,0
rGQ64NXktF8_000006_000016,1,gap_targeted,0.0,1
rGQ64NXktF8_000006_000016,2,gap_targeted,0.0,0
rGQ64NXktF8_000006_000016,3,gap_targeted,0.0,0
rGQ64NXktF8_000006_000016,4,gap_targeted,0.0,0
rGQ64NXktF8_000006_000016,0,baseline,0.0,0
rGQ64NXktF8_000006_000016,1,baseline,0.0,1
rGQ64NXktF8_000006_000016,2,baseline,0.0,0
rGQ64NXktF8_000006_000016,3,baseline,0.0,0
rGQ64NXktF8_000006_000016,4,baseline,0.0,0
v2Hr1CH-yb0_000076_000086,0,gap_targeted,0.0,1
v2Hr1CH-yb0_000076_000086,1,gap_targeted,0.0,0
v2Hr1CH-yb0_000076_000086,2,gap_targeted,0.5,0
v2Hr1CH-yb0_000076_000086,3,gap_targeted,0.0,0
v2Hr1CH-yb0_000076_000086,4,gap_targeted,0.0,1
v2Hr1CH-yb0_000076_000086,0,baseline,0.0,1
v2Hr1CH-yb0_000076_000086,1,baseline,0.0,0
v2Hr1CH-yb0_000076_000086,2,baseline,0.5,0
v2Hr1CH-yb0_000076_000086,3,baseline,0.0,0
v2Hr1CH-yb0_000076_000086,4,baseline,0.0,1
xW6hpK-DBMY_000080_000090,0,baseline,0.0,1
xW6hpK-DBMY_000080_000090,1,baseline,0.0,1
xW6hpK-DBMY_000080_000090,2,baseline,0.0,0
xW6hpK-DBMY_000080_000090,3,baseline,0.0,0
xW6hpK-DBMY_000080_000090,4,baseline,0.0,1
xW6hpK-DBMY_000080_000090,0,gap_targeted,0.0,1
xW6hpK-DBMY_000080_000090,1,gap_targeted,0.0,1
xW6hpK-DBMY_000080_000090,2,gap_targeted,0.0,0
xW6hpK-DBMY_000080_000090,3,gap_targeted,0.0,0
xW6hpK-DBMY_000080_000090,4,gap_targeted,0.5,1
