clip_idx,duration_s,mean_need,total_need,slotable_debt,collision_debt,high_need_windows,mean_speech_density,slotable_debt_frac,collision_debt_frac,debt_mode,category,risk_rank,risk_score,target,quality_risk,tribe_route,all4_mean_full_order,all4_mean_tier3_margin,pro_questions,pro_yes_rate,pro_misses,pro_miss_rate,critical_questions,critical_misses,critical_miss_rate,missed_critical_examples,collision_norm,slotable_norm,unanswered_norm,risk_norm,agency_score,agency_rank,recommended_intervention
19,20.86,0.333624183997777,6.959400478193629,2.4462152385132416,4.5131852396803875,1,0.5714285714285714,0.3514979840832751,0.6485020159167248,balanced,Pets & Animals,6.0,0.1171860557291687,0.0,clean,low/normal AD pressure,1.0,0.3928571428571428,5.0,0.7,1.0,0.2,2.0,0.0,0.0,,0.3073987537045662,0.2631211855064612,0.0,0.41723851078376706,0.23595563679077852,11,lightweight_or_no_ad
3,16.39,0.3421158410344386,6.1170312376957625,1.477408774647038,4.639622463048724,1,0.8333333333333334,0.2415238237697093,0.7584761762302906,collision,Food & Cooking,5.0,0.1174465648562957,0.0,clean,low/normal AD pressure,1.0,0.0666666666666668,5.0,0.5,2.0,0.4,2.0,0.0,0.0,,0.321302395373757,0.15891387730011988,0.0,0.4181660481052659,0.21490921492163478,12,extended_or_integrated_ad
14,16.39,0.3813265542015931,6.562110364216562,0.8010595386887731,5.761050825527789,1,0.9166666666666666,0.1220734632957381,0.8779265367042619,collision,Sports,7.0,0.0644179718060927,0.0,clean,extended/integrated AD likely needed,1.0,0.2999999999999999,5.0,1.0,0.0,0.0,3.0,0.0,0.0,,0.4446200204702365,0.08616401866957299,0.0,0.22935884697922052,0.2115618388788591,13,extended_or_integrated_ad
6,17.88,0.3976061903273661,7.109198683053306,0.0,7.109198683053306,3,1.0,0.0,1.0,collision,Travel,12.0,0.0,0.0,clean,extended/integrated AD likely needed,1.0,0.432142857142857,5.0,0.4,2.0,0.4,2.0,0.0,0.0,,0.5928688053515421,0.0,0.0,0.0,0.2075040818730397,14,extended_or_integrated_ad
20,17.88,0.3610301768411606,6.455219561919952,0.0,6.455219561919952,2,1.0,0.0,1.0,collision,,,,,,,,,,,,0.0,,,0.0,,0.5209541340455953,0.0,0.0,0.0,0.18233394691595836,15,extended_or_integrated_ad
8,16.39,0.3530305690086523,6.211720973831168,0.0,6.211720973831168,2,1.0,0.0,1.0,collision,Travel,10.0,0.0,0.0,clean,low/normal AD pressure,1.0,0.28125,5.0,0.8,0.0,0.0,2.0,0.0,0.0,,0.49417786495688193,0.0,0.0,0.0,0.17296225273490867,16,extended_or_integrated_ad
1,16.39,0.330036249304514,5.691009589095149,0.0,5.691009589095149,2,1.0,0.0,1.0,collision,Food & Cooking,11.0,0.0,0.0,clean,low/normal AD pressure,1.0,0.4361111111111111,5.0,0.9,0.0,0.0,2.0,0.0,0.0,,0.43691795119440663,0.0,0.0,0.0,0.1529212829180423,17,extended_or_integrated_ad
13,14.9,0.3757655783862,5.598907117954381,0.0,5.598907117954381,2,1.0,0.0,1.0,collision,Sports,13.0,0.0,0.0,clean,low/normal AD pressure,1.0,0.2218253968253968,5.0,0.9,0.0,0.0,3.0,0.0,0.0,,0.4267899230593874,0.0,0.0,0.0,0.14937647307078558,18,extended_or_integrated_ad
4,19.37,0.1856560970756702,3.849472766728953,2.1317166534635086,1.7177561132654444,1,0.3571428571428571,0.5537684723705452,0.4462315276294547,balanced,Food & Cooking,4.0,0.1237965014793331,0.0,clean,low/normal AD pressure,1.0,0.5208333333333333,5.0,0.8,1.0,0.2,2.0,0.0,0.0,,0.0,0.22929291102122626,0.0,0.44077486520113784,0.12343945753547725,19,standard_inserted_ad
16,16.39,0.2049597604188314,3.5822307573584076,0.0,3.5822307573584076,1,1.0,0.0,1.0,collision,Pets & Animals,18.0,0.0,0.0,clean,low/normal AD pressure,1.0,0.5468253968253969,5.0,0.3,2.0,0.4,2.0,0.0,0.0,,0.2050265472632366,0.0,0.0,0.0,0.0717592915421328,20,extended_or_integrated_ad
