clip_idx,video_id,category,tier,gt,model,candidate_id,visual_accuracy,completeness,specificity,concision,listener_utility,overall,rationale
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,tier1_vatex_short,1,openai:gpt-4o,D,85.0,70.0,70.0,85.0,75.0,77.0,Accurate and concise but lacks detail about the setting and the girl's interaction with the camera.
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,tier0_cross,0,openai:gpt-4o,A,0.0,0.0,0.0,0.0,0.0,0.0,"Description is unrelated to the images, mentioning a skier and slalom course, which are not present."
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,tier1_vatex_short,1,openai:gpt-4o,B,20.0,20.0,20.0,50.0,20.0,26.0,Mentions mixing spinach in a bowl but lacks detail about the garlic and the presence of two people.
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,tier3_va11y,3,openai:gpt-4o,C,80.0,80.0,80.0,80.0,80.0,80.0,"Accurately describes the actions and setting, including the garlic and two people mixing spinach."
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,tier2_vatex_long,2,openai:gpt-4o,D,90.0,90.0,90.0,90.0,90.0,90.0,Provides a clear and concise description of the actions involving garlic and spinach mixing.
6,0HEi6q3bGaw_000011_000021,Travel,tier3_va11y,3,openai:gpt-4o,A,70.0,70.0,70.0,70.0,70.0,70.0,"Accurately describes the snowy setting and snowmobiles, but includes some assumptions about conversation and gestures not clearly visible."
6,0HEi6q3bGaw_000011_000021,Travel,tier1_vatex_short,1,openai:gpt-4o,B,50.0,40.0,40.0,60.0,50.0,48.0,Briefly describes the action but lacks detail and context about the setting and other snowmobiles.
6,0HEi6q3bGaw_000011_000021,Travel,tier2_vatex_long,2,openai:gpt-4o,C,80.0,60.0,60.0,70.0,65.0,67.0,"Accurately describes the stopping and starting of snowmobiles, but lacks detail about the setting."
6,0HEi6q3bGaw_000011_000021,Travel,tier0_cross,0,openai:gpt-4o,D,0.0,0.0,0.0,0.0,0.0,0.0,"Completely unrelated to the images, describing a different scene entirely."
7,09dQut5GJ68_000049_000059,Travel,tier1_vatex_short,1,openai:gpt-4o,A,80.0,70.0,70.0,90.0,75.0,77.0,"Accurately describes the main action and objects, but lacks detail about the setting and specifics of the sled."
7,09dQut5GJ68_000049_000059,Travel,tier2_vatex_long,2,openai:gpt-4o,B,85.0,80.0,75.0,85.0,80.0,81.0,"Provides a clear description of the action and setting, with a slight addition of the sled grinding to a halt."
7,09dQut5GJ68_000049_000059,Travel,tier3_va11y,3,openai:gpt-4o,C,90.0,90.0,85.0,80.0,85.0,86.0,"Detailed and accurate description, including the color of the sled and the connection by a wire, enhancing listener understanding."
7,09dQut5GJ68_000049_000059,Travel,tier0_cross,0,openai:gpt-4o,D,0.0,0.0,0.0,0.0,0.0,0.0,Completely inaccurate; describes a different scene not present in the images.
8,hOirknJr3os_000001_000011,Travel,tier0_cross,0,openai:gpt-4o,A,0.0,0.0,0.0,0.0,0.0,0.0,"The description is inaccurate and does not match the visuals. It mentions a man and a deer, which are not present in the images."
8,hOirknJr3os_000001_000011,Travel,tier1_vatex_short,1,openai:gpt-4o,B,60.0,50.0,40.0,70.0,50.0,54.0,The description is accurate for the last few frames but lacks detail about the sign and grazing horses.
8,hOirknJr3os_000001_000011,Travel,tier2_vatex_long,2,openai:gpt-4o,C,80.0,70.0,60.0,80.0,70.0,72.0,"The description accurately covers the main elements: the sign, grazing horses, and people riding horses. It could be more specific about the sign's text."
8,hOirknJr3os_000001_000011,Travel,tier3_va11y,3,openai:gpt-4o,D,90.0,90.0,80.0,85.0,90.0,87.0,"The description is detailed and accurate, covering all key elements including the sign, horses, and the setting. It provides context about the advertisement."
9,TF4q9y0rJoc_000000_000010,Sports,tier3_va11y,3,openai:gpt-4o,A,95.0,95.0,90.0,90.0,95.0,93.0,"Accurately describes the night skiing scene, including the slalom course and skier's actions."
9,TF4q9y0rJoc_000000_000010,Sports,tier2_vatex_long,2,openai:gpt-4o,B,85.0,80.0,75.0,95.0,85.0,84.0,Provides a concise description of the skiing action but lacks detail about the setting and skier's interaction with poles.
9,TF4q9y0rJoc_000000_000010,Sports,tier1_vatex_short,1,openai:gpt-4o,C,80.0,75.0,70.0,95.0,80.0,80.0,Describes the basic action but lacks detail about the night setting and skier's movements.
9,TF4q9y0rJoc_000000_000010,Sports,tier0_cross,0,openai:gpt-4o,D,0.0,0.0,0.0,0.0,0.0,0.0,Completely unrelated to the visual content of skiing at night.
11,z8Q-s8AthrA_000002_000012,Sports,tier1_vatex_short,1,openai:gpt-4o,A,60.0,50.0,50.0,80.0,60.0,60.0,Accurately describes the high jump but lacks detail about the setting and other actions.
11,z8Q-s8AthrA_000002_000012,Sports,tier2_vatex_long,2,openai:gpt-4o,B,70.0,70.0,70.0,60.0,70.0,68.0,"Describes multiple actions and the setting, but mentions a hurdle which is not visible."
11,z8Q-s8AthrA_000002_000012,Sports,tier0_cross,0,openai:gpt-4o,C,0.0,0.0,0.0,0.0,0.0,0.0,Completely unrelated to the video content.
11,z8Q-s8AthrA_000002_000012,Sports,tier3_va11y,3,openai:gpt-4o,D,90.0,90.0,85.0,85.0,90.0,88.0,"Provides a detailed and accurate description of the actions, setting, and emotions."
12,abaLFY_GI8k_000295_000305,Sports,tier2_vatex_long,2,openai:gpt-4o,A,50.0,40.0,40.0,60.0,45.0,47.0,"Accurately describes a person running and playing volleyball, but lacks detail about the group and setting."
12,abaLFY_GI8k_000295_000305,Sports,tier1_vatex_short,1,openai:gpt-4o,B,30.0,30.0,20.0,50.0,30.0,32.0,Mentions boys playing volleyball but lacks detail and specificity about the scene.
12,abaLFY_GI8k_000295_000305,Sports,tier3_va11y,3,openai:gpt-4o,C,80.0,80.0,70.0,70.0,75.0,75.0,"Provides a detailed and accurate description of the volleyball game, setting, and actions."
12,abaLFY_GI8k_000295_000305,Sports,tier0_cross,0,openai:gpt-4o,D,0.0,0.0,0.0,0.0,0.0,0.0,Completely unrelated to the visual content.
13,KFcH6BYZWhc_000011_000021,Sports,tier3_va11y,3,openai:gpt-4o,A,80.0,80.0,75.0,70.0,80.0,77.0,"Accurately describes the scene with players practicing on the ice rink. Provides details about the players' actions and the setting, though some parts are slightly embellished."
13,KFcH6BYZWhc_000011_000021,Sports,tier2_vatex_long,2,openai:gpt-4o,B,85.0,70.0,70.0,85.0,75.0,77.0,Accurate and concise description of the scene. Covers the main actions but lacks some detail about the setting and other players.
13,KFcH6BYZWhc_000011_000021,Sports,tier0_cross,0,openai:gpt-4o,C,0.0,0.0,0.0,0.0,0.0,0.0,Completely inaccurate; describes a kitchen scene unrelated to the images.
13,KFcH6BYZWhc_000011_000021,Sports,tier1_vatex_short,1,openai:gpt-4o,D,90.0,60.0,60.0,90.0,70.0,74.0,"Accurate but very brief. Lacks detail about specific actions and setting, though it correctly identifies the main activity."
14,UDD6YcChywc_000000_000010,Sports,tier2_vatex_long,2,openai:gpt-4o,A,80.0,70.0,70.0,75.0,75.0,74.0,"Accurately describes the curling activity and the fall. Mentions reactions, though clapping is not visible."
14,UDD6YcChywc_000000_000010,Sports,tier0_cross,0,openai:gpt-4o,B,0.0,0.0,0.0,0.0,0.0,0.0,"Completely unrelated to the images, describing a kitchen scene instead."
14,UDD6YcChywc_000000_000010,Sports,tier1_vatex_short,1,openai:gpt-4o,C,70.0,60.0,60.0,80.0,65.0,67.0,Describes the main action but lacks detail about the setting and other people.
14,UDD6YcChywc_000000_000010,Sports,tier3_va11y,3,openai:gpt-4o,D,90.0,85.0,85.0,80.0,90.0,86.0,"Provides a detailed and accurate description of the scene, including setting and reactions."
15,OGWuj_FtaQc_000010_000020,Pets & Animals,tier0_cross,0,openai:gpt-4o,A,0.0,0.0,0.0,0.0,0.0,0.0,"Description is completely inaccurate; it describes a snowy landscape and snowmobiles, which are not present in the images."
15,OGWuj_FtaQc_000010_000020,Pets & Animals,tier1_vatex_short,1,openai:gpt-4o,B,60.0,50.0,50.0,70.0,60.0,58.0,Accurately describes the main action of a man with a deer following him along a fence. Lacks detail about the setting and the man's appearance.
15,OGWuj_FtaQc_000010_000020,Pets & Animals,tier2_vatex_long,2,openai:gpt-4o,C,70.0,60.0,60.0,65.0,65.0,64.0,Describes the man's clothing and interaction with the deer. Could include more about the setting and the deer's actions.
15,OGWuj_FtaQc_000010_000020,Pets & Animals,tier3_va11y,3,openai:gpt-4o,D,90.0,85.0,85.0,80.0,90.0,86.0,"Provides a detailed and accurate description of the man's actions, the deer's behavior, and the setting. Useful for understanding the scene."
16,kOf-vl-GmVI_000115_000125,Pets & Animals,tier1_vatex_short,1,openai:gpt-4o,A,50.0,30.0,30.0,60.0,40.0,42.0,"Accurately mentions a woman riding a horse, but lacks detail about the setting and actions. No mention of the paddock or stable."
16,kOf-vl-GmVI_000115_000125,Pets & Animals,tier3_va11y,3,openai:gpt-4o,B,90.0,90.0,85.0,80.0,90.0,87.0,"Provides a detailed and accurate description of the scene, including the setting, attire, and actions. Very useful for a listener."
16,kOf-vl-GmVI_000115_000125,Pets & Animals,tier2_vatex_long,2,openai:gpt-4o,C,80.0,70.0,70.0,85.0,75.0,76.0,Accurately describes the main action and setting but lacks detail about the woman's attire and the environment.
16,kOf-vl-GmVI_000115_000125,Pets & Animals,tier0_cross,0,openai:gpt-4o,D,0.0,0.0,0.0,0.0,0.0,0.0,Completely inaccurate; describes a scene unrelated to the images.
17,gjoZic4WjiQ_000012_000022,Pets & Animals,tier3_va11y,3,openai:gpt-4o,A,90.0,90.0,85.0,85.0,90.0,88.0,Accurately describes the scene with details about the actions and setting. Captures the playful nature and attempts to climb the hill.
17,gjoZic4WjiQ_000012_000022,Pets & Animals,tier1_vatex_short,1,openai:gpt-4o,B,70.0,60.0,50.0,90.0,65.0,67.0,Very brief and lacks detail. Captures the main action but misses specifics about the setting and actions.
17,gjoZic4WjiQ_000012_000022,Pets & Animals,tier2_vatex_long,2,openai:gpt-4o,C,85.0,75.0,75.0,80.0,80.0,79.0,Describes the main actions accurately but lacks detail about the setting and the playful nature of the scene.
17,gjoZic4WjiQ_000012_000022,Pets & Animals,tier0_cross,0,openai:gpt-4o,D,0.0,0.0,0.0,0.0,0.0,0.0,Completely inaccurate description of the scene.
18,q2ZBVyR1k-U_000021_000031,Pets & Animals,tier0_cross,0,openai:gpt-4o,A,0.0,0.0,0.0,0.0,0.0,0.0,"The description is completely inaccurate as it describes a snowy landscape and snowmobiles, which are not present in the images."
18,q2ZBVyR1k-U_000021_000031,Pets & Animals,tier1_vatex_short,1,openai:gpt-4o,B,50.0,40.0,40.0,60.0,45.0,47.0,"The description mentions a person drinking water and a beekeeper, which is partially accurate. However, it lacks detail about the setting and actions, such as the removal of the be"
18,q2ZBVyR1k-U_000021_000031,Pets & Animals,tier2_vatex_long,2,openai:gpt-4o,C,70.0,60.0,60.0,70.0,65.0,65.0,"The description accurately mentions the beekeeper's suit and the removal of the hood, as well as the person drinking. It could be more detailed about the setting and context."
18,q2ZBVyR1k-U_000021_000031,Pets & Animals,tier3_va11y,3,openai:gpt-4o,D,90.0,85.0,85.0,80.0,88.0,86.0,"The description is detailed and accurate, covering the beekeeper's suit, the removal of the hood, the person drinking, and the setting. It provides a clear understanding of the sce"
19,qIWQHyOIpEY_000003_000013,Pets & Animals,tier1_vatex_short,1,openai:gpt-4o,A,60.0,40.0,50.0,70.0,50.0,54.0,Accurately describes two cats but misses the third cat and setting details.
19,qIWQHyOIpEY_000003_000013,Pets & Animals,tier3_va11y,3,openai:gpt-4o,B,90.0,90.0,90.0,85.0,90.0,89.0,"Provides a detailed and accurate description of the scene, including all visible elements and setting."
19,qIWQHyOIpEY_000003_000013,Pets & Animals,tier0_cross,0,openai:gpt-4o,C,0.0,0.0,0.0,0.0,0.0,0.0,Completely unrelated to the visual content.
19,qIWQHyOIpEY_000003_000013,Pets & Animals,tier2_vatex_long,2,openai:gpt-4o,D,40.0,50.0,40.0,50.0,40.0,44.0,Includes some correct elements but inaccurately describes human interaction and misses key details.
