clip_idx,video_id,category,tier,gt,description,grader_model,candidate_id,q_idx,score,label,evidence_quote,grade_rationale
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier2_vatex_long,2,The man holding the camera is counting backward in spanish as the other man pins a cherry tomato to the wall by throwing a knife.,gpt-4o,C,0,0.0,no,pins a cherry tomato to the wall,Incorrect object and setting.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier2_vatex_long,2,The man holding the camera is counting backward in spanish as the other man pins a cherry tomato to the wall by throwing a knife.,gpt-4o,C,1,0.0,no,,No mention of a lab setting.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier2_vatex_long,2,The man holding the camera is counting backward in spanish as the other man pins a cherry tomato to the wall by throwing a knife.,gpt-4o,C,2,0.0,no,,No mention of a wooden board.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier2_vatex_long,2,The man holding the camera is counting backward in spanish as the other man pins a cherry tomato to the wall by throwing a knife.,gpt-4o,C,3,0.0,no,man holding the camera,Focus is on a different activity.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier2_vatex_long,2,The man holding the camera is counting backward in spanish as the other man pins a cherry tomato to the wall by throwing a knife.,gpt-4o,C,4,0.0,no,pins a cherry tomato to the wall,Describes a different activity.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier1_vatex_short,1,A chef in a kitchen demonstrates his skill throwing a knife,gpt-4o,D,0,0.0,no,chef in a kitchen,Incorrect setting and object.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier1_vatex_short,1,A chef in a kitchen demonstrates his skill throwing a knife,gpt-4o,D,1,0.0,no,kitchen,"Describes a kitchen, not a lab."
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier1_vatex_short,1,A chef in a kitchen demonstrates his skill throwing a knife,gpt-4o,D,2,0.0,no,,No mention of a wooden board.
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier1_vatex_short,1,A chef in a kitchen demonstrates his skill throwing a knife,gpt-4o,D,3,0.0,no,chef,"Focus is on a chef, not a scientist."
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier1_vatex_short,1,A chef in a kitchen demonstrates his skill throwing a knife,gpt-4o,D,4,0.0,no,chef in a kitchen,"Describes a chef, not a scientist."
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier2_vatex_long,2,"A man is at Burger King, eating a hamburger very fast, and going to take a drink of soda.",gpt-4o,A,0,1.0,yes,eating a hamburger,Directly states eating.
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier2_vatex_long,2,"A man is at Burger King, eating a hamburger very fast, and going to take a drink of soda.",gpt-4o,A,1,0.5,partial,at Burger King,Implies indoors but not explicit.
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier2_vatex_long,2,"A man is at Burger King, eating a hamburger very fast, and going to take a drink of soda.",gpt-4o,A,2,1.0,yes,at Burger King,Directly states Burger King.
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier2_vatex_long,2,"A man is at Burger King, eating a hamburger very fast, and going to take a drink of soda.",gpt-4o,A,3,0.0,no,,No text mentioned.
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier2_vatex_long,2,"A man is at Burger King, eating a hamburger very fast, and going to take a drink of soda.",gpt-4o,A,4,0.0,no,,Clothing not described.
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier1_vatex_short,1,A  man eats a lot of burgers and than starts to get sick.,gpt-4o,B,0,1.0,yes,eats a lot of burgers,Implies eating.
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier1_vatex_short,1,A  man eats a lot of burgers and than starts to get sick.,gpt-4o,B,1,0.0,no,,Location not described.
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier1_vatex_short,1,A  man eats a lot of burgers and than starts to get sick.,gpt-4o,B,2,0.0,no,,Brand not mentioned.
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier1_vatex_short,1,A  man eats a lot of burgers and than starts to get sick.,gpt-4o,B,3,0.0,no,,No text mentioned.
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier1_vatex_short,1,A  man eats a lot of burgers and than starts to get sick.,gpt-4o,B,4,0.0,no,,Clothing not described.
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",gpt-4o,C,0,0.0,no,,Unrelated description.
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",gpt-4o,C,1,0.0,no,,Unrelated description.
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",gpt-4o,C,2,0.0,no,,Unrelated description.
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",gpt-4o,C,3,0.0,no,,Unrelated description.
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",gpt-4o,C,4,0.0,no,,Unrelated description.
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier3_va11y,3,"In a Burger King restaurant, a bald man in a gray hoodie is rapidly eating a hamburger. He takes quick bites and washes them down with a drink. As he continues, he appears to struggle slightly, coughing at times. Around him, people are laughing and clapping, encouraging him to finish. Afterward, someone uses ketchup to write 'BURGER EATING' on a tray liner.",gpt-4o,D,0,1.0,yes,rapidly eating a hamburger,Directly states eating.
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier3_va11y,3,"In a Burger King restaurant, a bald man in a gray hoodie is rapidly eating a hamburger. He takes quick bites and washes them down with a drink. As he continues, he appears to struggle slightly, coughing at times. Around him, people are laughing and clapping, encouraging him to finish. Afterward, someone uses ketchup to write 'BURGER EATING' on a tray liner.",gpt-4o,D,1,1.0,yes,In a Burger King restaurant,Indoors in a restaurant.
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier3_va11y,3,"In a Burger King restaurant, a bald man in a gray hoodie is rapidly eating a hamburger. He takes quick bites and washes them down with a drink. As he continues, he appears to struggle slightly, coughing at times. Around him, people are laughing and clapping, encouraging him to finish. Afterward, someone uses ketchup to write 'BURGER EATING' on a tray liner.",gpt-4o,D,2,1.0,yes,In a Burger King restaurant,Directly states Burger King.
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier3_va11y,3,"In a Burger King restaurant, a bald man in a gray hoodie is rapidly eating a hamburger. He takes quick bites and washes them down with a drink. As he continues, he appears to struggle slightly, coughing at times. Around him, people are laughing and clapping, encouraging him to finish. Afterward, someone uses ketchup to write 'BURGER EATING' on a tray liner.",gpt-4o,D,3,1.0,yes,ketchup to write 'BURGER EATING',Text directly mentioned.
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier3_va11y,3,"In a Burger King restaurant, a bald man in a gray hoodie is rapidly eating a hamburger. He takes quick bites and washes them down with a drink. As he continues, he appears to struggle slightly, coughing at times. Around him, people are laughing and clapping, encouraging him to finish. Afterward, someone uses ketchup to write 'BURGER EATING' on a tray liner.",gpt-4o,D,4,1.0,yes,gray hoodie,Directly states gray hoodie.
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",gpt-4o,A,0,0.0,no,,No cooking described.
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",gpt-4o,A,1,0.0,no,,No liquid pouring described.
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",gpt-4o,A,2,0.0,no,,No kitchen setting described.
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",gpt-4o,A,3,0.0,no,,No cooking equipment described.
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",gpt-4o,A,4,0.0,no,,No oil brand described.
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,tier2_vatex_long,2,"A man is holding a frying pan with food over a stove, he pushes the fork around in it.",gpt-4o,B,0,0.5,partial,frying pan with food,"Food mentioned, but not specific."
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,tier2_vatex_long,2,"A man is holding a frying pan with food over a stove, he pushes the fork around in it.",gpt-4o,B,1,0.0,no,,No liquid pouring described.
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,tier2_vatex_long,2,"A man is holding a frying pan with food over a stove, he pushes the fork around in it.",gpt-4o,B,2,0.5,partial,over a stove,"Stove mentioned, not full kitchen."
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,tier2_vatex_long,2,"A man is holding a frying pan with food over a stove, he pushes the fork around in it.",gpt-4o,B,3,0.5,partial,frying pan,One pan mentioned.
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,tier2_vatex_long,2,"A man is holding a frying pan with food over a stove, he pushes the fork around in it.",gpt-4o,B,4,0.0,no,,No oil brand described.
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,tier1_vatex_short,1,A man is stirring food in a cast iron skillet with a fork.,gpt-4o,C,0,0.5,partial,stirring food,"Food mentioned, not specific."
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,tier1_vatex_short,1,A man is stirring food in a cast iron skillet with a fork.,gpt-4o,C,1,0.0,no,,No liquid pouring described.
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,tier1_vatex_short,1,A man is stirring food in a cast iron skillet with a fork.,gpt-4o,C,2,0.0,no,,No kitchen setting described.
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,tier1_vatex_short,1,A man is stirring food in a cast iron skillet with a fork.,gpt-4o,C,3,0.5,partial,cast iron skillet,One skillet mentioned.
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,tier1_vatex_short,1,A man is stirring food in a cast iron skillet with a fork.,gpt-4o,C,4,0.0,no,,No oil brand described.
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,tier3_va11y,3,"A man in a grey shirt stands at a stove, demonstrating how to cook an omelette with spaghetti and eggs in a black cast iron skillet. He stirs the mixture with a fork, moving the pan back and forth to ensure even cooking. The ingredients sizzle as he explains each step of the process.",gpt-4o,D,0,1.0,yes,omelette with spaghetti and eggs,Omelette explicitly described.
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,tier3_va11y,3,"A man in a grey shirt stands at a stove, demonstrating how to cook an omelette with spaghetti and eggs in a black cast iron skillet. He stirs the mixture with a fork, moving the pan back and forth to ensure even cooking. The ingredients sizzle as he explains each step of the process.",gpt-4o,D,1,0.0,no,,No liquid pouring described.
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,tier3_va11y,3,"A man in a grey shirt stands at a stove, demonstrating how to cook an omelette with spaghetti and eggs in a black cast iron skillet. He stirs the mixture with a fork, moving the pan back and forth to ensure even cooking. The ingredients sizzle as he explains each step of the process.",gpt-4o,D,2,1.0,yes,at a stove,Stove in kitchen implied.
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,tier3_va11y,3,"A man in a grey shirt stands at a stove, demonstrating how to cook an omelette with spaghetti and eggs in a black cast iron skillet. He stirs the mixture with a fork, moving the pan back and forth to ensure even cooking. The ingredients sizzle as he explains each step of the process.",gpt-4o,D,3,1.0,yes,black cast iron skillet,Skillet described.
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,tier3_va11y,3,"A man in a grey shirt stands at a stove, demonstrating how to cook an omelette with spaghetti and eggs in a black cast iron skillet. He stirs the mixture with a fork, moving the pan back and forth to ensure even cooking. The ingredients sizzle as he explains each step of the process.",gpt-4o,D,4,0.0,no,,No oil brand described.
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,tier3_va11y,3,"In a cozy kitchen, a young girl stands at the stove, skillfully stirring scrambled eggs in a frying pan with a spatula. She mentions that the eggs are for her and her mother, if her mother wants some. The girl is focused and seems to enjoy the cooking process, occasionally glancing at the camera with a smile. The kitchen is warm and inviting, with a granite countertop and wooden cabinets in the background.",gpt-4o,A,0,1.0,yes,skillfully stirring scrambled eggs in a frying pan,Directly states stirring with spatula.
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,tier3_va11y,3,"In a cozy kitchen, a young girl stands at the stove, skillfully stirring scrambled eggs in a frying pan with a spatula. She mentions that the eggs are for her and her mother, if her mother wants some. The girl is focused and seems to enjoy the cooking process, occasionally glancing at the camera with a smile. The kitchen is warm and inviting, with a granite countertop and wooden cabinets in the background.",gpt-4o,A,1,1.0,yes,In a cozy kitchen,Directly states kitchen setting.
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,tier3_va11y,3,"In a cozy kitchen, a young girl stands at the stove, skillfully stirring scrambled eggs in a frying pan with a spatula. She mentions that the eggs are for her and her mother, if her mother wants some. The girl is focused and seems to enjoy the cooking process, occasionally glancing at the camera with a smile. The kitchen is warm and inviting, with a granite countertop and wooden cabinets in the background.",gpt-4o,A,2,1.0,yes,stirring scrambled eggs,Directly states scrambled eggs.
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,tier3_va11y,3,"In a cozy kitchen, a young girl stands at the stove, skillfully stirring scrambled eggs in a frying pan with a spatula. She mentions that the eggs are for her and her mother, if her mother wants some. The girl is focused and seems to enjoy the cooking process, occasionally glancing at the camera with a smile. The kitchen is warm and inviting, with a granite countertop and wooden cabinets in the background.",gpt-4o,A,3,1.0,yes,with a spatula,Directly states spatula use.
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,tier3_va11y,3,"In a cozy kitchen, a young girl stands at the stove, skillfully stirring scrambled eggs in a frying pan with a spatula. She mentions that the eggs are for her and her mother, if her mother wants some. The girl is focused and seems to enjoy the cooking process, occasionally glancing at the camera with a smile. The kitchen is warm and inviting, with a granite countertop and wooden cabinets in the background.",gpt-4o,A,4,0.5,partial,granite countertop,Mentions countertop but not items.
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,tier2_vatex_long,2,A young girl is shown cooking eggs in a frying pan and talking about who it's for.,gpt-4o,B,0,0.5,partial,cooking eggs in a frying pan,Mentions cooking but not stirring.
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,tier2_vatex_long,2,A young girl is shown cooking eggs in a frying pan and talking about who it's for.,gpt-4o,B,1,0.5,partial,cooking eggs,Implies kitchen but not explicit.
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,tier2_vatex_long,2,A young girl is shown cooking eggs in a frying pan and talking about who it's for.,gpt-4o,B,2,0.5,partial,cooking eggs,Mentions eggs but not appearance.
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,tier2_vatex_long,2,A young girl is shown cooking eggs in a frying pan and talking about who it's for.,gpt-4o,B,3,0.0,no,,No mention of utensil.
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,tier2_vatex_long,2,A young girl is shown cooking eggs in a frying pan and talking about who it's for.,gpt-4o,B,4,0.0,no,,No mention of counter items.
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",gpt-4o,C,0,0.0,no,,"Describes skiing, not cooking."
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",gpt-4o,C,1,0.0,no,,"Describes skiing, not kitchen."
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",gpt-4o,C,2,0.0,no,,"Describes skiing, not food."
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",gpt-4o,C,3,0.0,no,,"Describes skiing, not utensil."
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",gpt-4o,C,4,0.0,no,,"Describes skiing, not counter."
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,tier1_vatex_short,1,A preteen girl is making scrambled eggs on the stove.,gpt-4o,D,0,0.5,partial,making scrambled eggs,Mentions making but not stirring.
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,tier1_vatex_short,1,A preteen girl is making scrambled eggs on the stove.,gpt-4o,D,1,0.5,partial,on the stove,Implies kitchen but not explicit.
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,tier1_vatex_short,1,A preteen girl is making scrambled eggs on the stove.,gpt-4o,D,2,0.5,partial,scrambled eggs,Mentions eggs but not appearance.
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,tier1_vatex_short,1,A preteen girl is making scrambled eggs on the stove.,gpt-4o,D,3,0.0,no,,No mention of utensil.
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,tier1_vatex_short,1,A preteen girl is making scrambled eggs on the stove.,gpt-4o,D,4,0.0,no,,No mention of counter items.
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",gpt-4o,A,0,0.0,no,,Description unrelated to greens.
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",gpt-4o,A,1,0.0,no,,Description unrelated to container.
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",gpt-4o,A,2,0.0,no,,Description unrelated to cutting board.
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",gpt-4o,A,3,0.0,no,,Description unrelated to hands.
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,tier0_cross,0,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",gpt-4o,A,4,0.0,no,,Description unrelated to ingredients.
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,tier1_vatex_short,1,A woman is explaining how to mix spinach in a bowl,gpt-4o,B,0,0.5,partial,explaining how to mix spinach,Mentions mixing but lacks detail.
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,tier1_vatex_short,1,A woman is explaining how to mix spinach in a bowl,gpt-4o,B,1,0.0,no,,No container description.
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,tier1_vatex_short,1,A woman is explaining how to mix spinach in a bowl,gpt-4o,B,2,0.0,no,,No cutting board description.
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,tier1_vatex_short,1,A woman is explaining how to mix spinach in a bowl,gpt-4o,B,3,0.0,no,,No mention of hands.
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,tier1_vatex_short,1,A woman is explaining how to mix spinach in a bowl,gpt-4o,B,4,0.5,partial,mix spinach in a bowl,Mentions spinach but lacks detail.
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,tier3_va11y,3,"In a kitchen setting, two individuals demonstrate how to prepare a spinach salad. One person drops chopped garlic from a knife into a large wooden bowl filled with fresh spinach leaves. The other person uses their hands to thoroughly mix the garlic and spinach together. The video focuses on the process of combining these ingredients to create a healthy salad.",gpt-4o,C,0,1.0,yes,uses their hands to thoroughly mix,Describes mixing with hands.
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,tier3_va11y,3,"In a kitchen setting, two individuals demonstrate how to prepare a spinach salad. One person drops chopped garlic from a knife into a large wooden bowl filled with fresh spinach leaves. The other person uses their hands to thoroughly mix the garlic and spinach together. The video focuses on the process of combining these ingredients to create a healthy salad.",gpt-4o,C,1,1.0,yes,large wooden bowl,Describes container accurately.
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,tier3_va11y,3,"In a kitchen setting, two individuals demonstrate how to prepare a spinach salad. One person drops chopped garlic from a knife into a large wooden bowl filled with fresh spinach leaves. The other person uses their hands to thoroughly mix the garlic and spinach together. The video focuses on the process of combining these ingredients to create a healthy salad.",gpt-4o,C,2,0.0,no,,No cutting board description.
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,tier3_va11y,3,"In a kitchen setting, two individuals demonstrate how to prepare a spinach salad. One person drops chopped garlic from a knife into a large wooden bowl filled with fresh spinach leaves. The other person uses their hands to thoroughly mix the garlic and spinach together. The video focuses on the process of combining these ingredients to create a healthy salad.",gpt-4o,C,3,1.0,yes,two individuals demonstrate,Implies two hands mixing.
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,tier3_va11y,3,"In a kitchen setting, two individuals demonstrate how to prepare a spinach salad. One person drops chopped garlic from a knife into a large wooden bowl filled with fresh spinach leaves. The other person uses their hands to thoroughly mix the garlic and spinach together. The video focuses on the process of combining these ingredients to create a healthy salad.",gpt-4o,C,4,1.0,yes,fresh spinach leaves,Describes primary ingredient.
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,tier2_vatex_long,2,"A person drops chopped garlic from a knife into a wooden bowl, on top of spinach, and another person starts mixing the garlic and spinach leaves with their hands.",gpt-4o,D,0,1.0,yes,mixing the garlic and spinach leaves with their hands,Describes mixing with hands.
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,tier2_vatex_long,2,"A person drops chopped garlic from a knife into a wooden bowl, on top of spinach, and another person starts mixing the garlic and spinach leaves with their hands.",gpt-4o,D,1,1.0,yes,wooden bowl,Describes container accurately.
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,tier2_vatex_long,2,"A person drops chopped garlic from a knife into a wooden bowl, on top of spinach, and another person starts mixing the garlic and spinach leaves with their hands.",gpt-4o,D,2,0.0,no,,No cutting board description.
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,tier2_vatex_long,2,"A person drops chopped garlic from a knife into a wooden bowl, on top of spinach, and another person starts mixing the garlic and spinach leaves with their hands.",gpt-4o,D,3,1.0,yes,another person starts mixing,Implies two hands mixing.
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,tier2_vatex_long,2,"A person drops chopped garlic from a knife into a wooden bowl, on top of spinach, and another person starts mixing the garlic and spinach leaves with their hands.",gpt-4o,D,4,1.0,yes,spinach,Describes primary ingredient.
6,0HEi6q3bGaw_000011_000021,Travel,tier3_va11y,3,"In a snowy landscape, two people on snowmobiles pause to converse. One rider, wearing a helmet, gestures while speaking. After a brief exchange, they both rev their engines and ride off across the snow-covered terrain, leaving tracks behind them.",gpt-4o,A,0,0.5,partial,ride off across the snow-covered terrain,Mentions riding but not continuous motion.
6,0HEi6q3bGaw_000011_000021,Travel,tier3_va11y,3,"In a snowy landscape, two people on snowmobiles pause to converse. One rider, wearing a helmet, gestures while speaking. After a brief exchange, they both rev their engines and ride off across the snow-covered terrain, leaving tracks behind them.",gpt-4o,A,1,0.5,partial,snowy landscape,Mentions snow but lacks trees and sky.
