source,video_id,q_idx,question_type,is_scene_model_question,question
output\scenetwin_timing_20clip\adqa\adqa_questions.csv,qIWQHyOIpEY_000003_000013,0,action_relation,1,What is the orange cat doing to the black and white cat?
output\scenetwin_timing_20clip\adqa\adqa_questions.csv,qIWQHyOIpEY_000003_000013,1,other,0,Describe the positions of the cats in the scene.
output\scenetwin_timing_20clip\adqa\adqa_questions.csv,qIWQHyOIpEY_000003_000013,2,object_attr,0,What type of flooring and lighting are visible in the room?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,Q76JRCyTnSc_000007_000017,0,who_role,1,What is the man in the white shirt holding and demonstrating?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,Q76JRCyTnSc_000007_000017,1,spatial_relation,1,Where is this demonstration taking place?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,Q76JRCyTnSc_000007_000017,2,spatial_relation,1,What is visible on the wooden board or surface in the background?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,Q76JRCyTnSc_000007_000017,3,who_role,1,What is the man's apparent role or profession based on the setting?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,Q76JRCyTnSc_000007_000017,4,who_role,1,What containers or equipment are visible on the shelves behind the man?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,058y9xGmmTQ_000206_000216,0,who_role,1,What is the man in the gray hoodie doing?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,058y9xGmmTQ_000206_000216,1,other,0,What fast food restaurant is referenced in the video?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,058y9xGmmTQ_000206_000216,2,object_attr,0,What text appears on the food packaging shown?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,058y9xGmmTQ_000206_000216,3,spatial_relation,1,Where does this video appear to take place?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,058y9xGmmTQ_000206_000216,4,who_role,1,What is the man wearing?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,vLGOZvJ_v4Q_000285_000295,0,who_role,1,What is the person cooking in the skillet?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,vLGOZvJ_v4Q_000285_000295,1,other,0,What cooking ingredient is being added to the omelet?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,vLGOZvJ_v4Q_000285_000295,2,spatial_relation,1,Where is this cooking taking place?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,vLGOZvJ_v4Q_000285_000295,3,who_role,1,What utensil is the person using to cook the omelet?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,vLGOZvJ_v4Q_000285_000295,4,object_attr,0,What beverage bottle is visible on the counter?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,B0EKYDSv_yQ_000002_000012,0,action_relation,1,What is the child doing in the kitchen?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,B0EKYDSv_yQ_000002_000012,1,other,0,What type of food is being cooked in the pan?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,B0EKYDSv_yQ_000002_000012,2,spatial_relation,1,Where is this scene taking place?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,B0EKYDSv_yQ_000002_000012,3,action_relation,1,What utensil is the child using to cook?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,B0EKYDSv_yQ_000002_000012,4,spatial_relation,1,What is on the counter next to the stove?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,PbGvLf7HvXQ_000063_000073,0,action_relation,1,What is the main subject doing?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,PbGvLf7HvXQ_000063_000073,1,other,0,What type of container holds the greens?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,PbGvLf7HvXQ_000063_000073,2,other,0,What is the primary ingredient being prepared?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,PbGvLf7HvXQ_000063_000073,3,count,1,How many hands are visible performing the action?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,PbGvLf7HvXQ_000063_000073,4,object_attr,0,What is visible on the work surface to the right of the bowl?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,0HEi6q3bGaw_000011_000021,0,who_role,1,What winter sport activity is the person in the center engaged in?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,0HEi6q3bGaw_000011_000021,1,spatial_relation,1,What is the terrain like where the snowmobiler is riding?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,0HEi6q3bGaw_000011_000021,2,object_attr,0,What other snowmobiles are visible in the frames?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,0HEi6q3bGaw_000011_000021,3,spatial_relation,1,What is visible on the left side of the frames in the foreground?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,0HEi6q3bGaw_000011_000021,4,other,0,What time of day does the lighting suggest in these frames?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,09dQut5GJ68_000049_000059,0,action_relation,1,What is the main subject doing in these frames?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,09dQut5GJ68_000049_000059,1,object_attr,0,What is the setting or environment shown?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,09dQut5GJ68_000049_000059,2,object_attr,0,What blue object is visible in the later frames?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,09dQut5GJ68_000049_000059,3,who_role,1,What is the person wearing that stands out visually?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,09dQut5GJ68_000049_000059,4,who_role,1,Is the person in control or losing control during this action?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,hOirknJr3os_000001_000011,0,object_attr,0,What type of facility or venue is shown in the middle frames?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,hOirknJr3os_000001_000011,1,object_attr,0,What animals are visible in the pasture scenes?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,hOirknJr3os_000001_000011,2,object_attr,0,What is displayed on the entrance sign in the first frame?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,hOirknJr3os_000001_000011,3,object_attr,0,What is visible in the wooded area shown in the final frames?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,hOirknJr3os_000001_000011,4,other,0,What logo appears consistently throughout the video frames?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,TF4q9y0rJoc_000000_000010,0,who_role,1,What sport or activity is the person performing?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,TF4q9y0rJoc_000000_000010,1,object_attr,0,What type of course markers are visible on the slope?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,TF4q9y0rJoc_000000_000010,2,other,0,What is the lighting condition during this skiing activity?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,TF4q9y0rJoc_000000_000010,3,object_attr,0,What is visible on the snow surface in the early frames?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,TF4q9y0rJoc_000000_000010,4,object_attr,0,What color is the skier's clothing?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,z8Q-s8AthrA_000002_000012,0,who_role,1,What is the young person in the yellow shirt doing in these video clips?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,z8Q-s8AthrA_000002_000012,1,spatial_relation,1,What type of athletic facility is shown in the background?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,z8Q-s8AthrA_000002_000012,2,object_attr,0,What equipment is visible on the track field?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,z8Q-s8AthrA_000002_000012,3,other,0,What is the surface of the running area made of?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,z8Q-s8AthrA_000002_000012,4,other,0,What time of day are these training activities taking place?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,abaLFY_GI8k_000295_000305,0,other,0,What sport or activity are the people playing?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,abaLFY_GI8k_000295_000305,1,other,0,What type of surface is the playing area made of?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,abaLFY_GI8k_000295_000305,2,object_attr,0,What structures or barriers are visible around the court?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,abaLFY_GI8k_000295_000305,3,other,0,What is dividing the two sides of the playing area?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,abaLFY_GI8k_000295_000305,4,other,0,What natural features are present in the setting?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,KFcH6BYZWhc_000011_000021,0,other,0,What sport is being played in this video?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,KFcH6BYZWhc_000011_000021,1,spatial_relation,1,What is the setting where this activity takes place?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,KFcH6BYZWhc_000011_000021,2,other,0,What equipment do the players have in their hands?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,KFcH6BYZWhc_000011_000021,3,count,1,How many players are visible on the ice during gameplay?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,KFcH6BYZWhc_000011_000021,4,action_relation,1,What is the primary action occurring on the ice?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,UDD6YcChywc_000000_000010,0,other,0,What sport is being played in this video?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,UDD6YcChywc_000000_000010,1,action_relation,1,What is the player doing in the first frames?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,UDD6YcChywc_000000_000010,2,spatial_relation,1,Where does this curling match take place?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,UDD6YcChywc_000000_000010,3,action_relation,1,What happens to the player after releasing the stone?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,UDD6YcChywc_000000_000010,4,count,1,How many other people are visible on or near the rink?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,OGWuj_FtaQc_000010_000020,0,action_relation,1,What is the main subject doing in these frames?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,OGWuj_FtaQc_000010_000020,1,object_attr,0,What type of setting or location is shown?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,OGWuj_FtaQc_000010_000020,2,who_role,1,What is the man wearing on his upper body?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,OGWuj_FtaQc_000010_000020,3,object_attr,0,What key objects are visible in the immediate area?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,OGWuj_FtaQc_000010_000020,4,spatial_relation,1,What is visible on the fence in the background?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,kOf-vl-GmVI_000115_000125,0,action_relation,1,What is the main subject doing in these frames?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,kOf-vl-GmVI_000115_000125,1,object_attr,0,What type of setting or location is shown?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,kOf-vl-GmVI_000115_000125,2,object_attr,0,What color is the horse in these frames?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,kOf-vl-GmVI_000115_000125,3,who_role,1,What is the person wearing on their head?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,kOf-vl-GmVI_000115_000125,4,who_role,1,What key object separates the person from the horse's body?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,gjoZic4WjiQ_000012_000022,0,other,0,What is the main activity taking place in these video frames?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,gjoZic4WjiQ_000012_000022,1,spatial_relation,1,What is the setting or location where this activity occurs?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,gjoZic4WjiQ_000012_000022,2,other,0,What equipment or structure is used for the main activity?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,gjoZic4WjiQ_000012_000022,3,count,1,How many people are visible participating in this activity?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,gjoZic4WjiQ_000012_000022,4,who_role,1,What is the person wearing on their head?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,q2ZBVyR1k-U_000021_000031,0,who_role,1,What is the person wearing on their head and upper body?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,q2ZBVyR1k-U_000021_000031,1,action_relation,1,What is the primary action being performed in these clips?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,q2ZBVyR1k-U_000021_000031,2,spatial_relation,1,What is the setting or location where this activity takes place?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,q2ZBVyR1k-U_000021_000031,3,object_attr,0,What color is the large cylindrical object being examined?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,q2ZBVyR1k-U_000021_000031,4,count,1,How many people are visible in these video frames?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,qIWQHyOIpEY_000003_000013,0,object_attr,0,What animals are visible in this video clip?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,qIWQHyOIpEY_000003_000013,1,action_relation,1,What is the primary action taking place in the video?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,qIWQHyOIpEY_000003_000013,2,spatial_relation,1,Where does this scene take place?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,qIWQHyOIpEY_000003_000013,3,count,1,How many cats are present in the scene?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-claude-haiku-4-5\questions.csv,qIWQHyOIpEY_000003_000013,4,spatial_relation,1,What furniture or architectural features are visible in the background?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,Q76JRCyTnSc_000007_000017,0,who_role,1,What is the man in the white shirt holding and demonstrating?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,Q76JRCyTnSc_000007_000017,1,object_attr,0,What type of setting or location is shown in the video?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,Q76JRCyTnSc_000007_000017,2,spatial_relation,1,What is visible on the wooden board or surface in the background?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,Q76JRCyTnSc_000007_000017,3,who_role,1,Describe the man's appearance and attire.
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,Q76JRCyTnSc_000007_000017,4,who_role,1,What is the man's primary action throughout the video frames?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,058y9xGmmTQ_000206_000216,0,who_role,1,What is the man in the gray hoodie doing?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,058y9xGmmTQ_000206_000216,1,other,0,What fast food restaurant is referenced in the video?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,058y9xGmmTQ_000206_000216,2,spatial_relation,1,What is the setting or location where this takes place?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,058y9xGmmTQ_000206_000216,3,object_attr,0,What text appears on the promotional material shown?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,058y9xGmmTQ_000206_000216,4,who_role,1,What is the man wearing?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,vLGOZvJ_v4Q_000285_000295,0,who_role,1,What is the person cooking in the skillet?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,vLGOZvJ_v4Q_000285_000295,1,other,0,What cooking ingredient is being added to the omelet?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,vLGOZvJ_v4Q_000285_000295,2,spatial_relation,1,Where is this cooking taking place?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,vLGOZvJ_v4Q_000285_000295,3,who_role,1,What utensil is the person using to cook the omelet?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,vLGOZvJ_v4Q_000285_000295,4,object_attr,0,What beverage bottle is visible on the counter?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,B0EKYDSv_yQ_000002_000012,0,action_relation,1,What is the child doing in the kitchen?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,B0EKYDSv_yQ_000002_000012,1,object_attr,0,What type of food is visible in the skillet?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,B0EKYDSv_yQ_000002_000012,2,spatial_relation,1,Where is this scene taking place?
