video_id,swap_class,slice,probe_type,swap
iEAWgsSvJAE_000023_000033,object_scene,object_scene,action_relation,cluttered garage->driveway
S-C86j0keqc_000217_000227,object_scene,object_scene,action_relation,violin->acoustic guitar
S-C86j0keqc_000217_000227,object_scene,object_scene,action_relation,Amazing Grace->folk tune
S-C86j0keqc_000217_000227,object_scene,object_scene,action_relation,canvas tent->picnic blanket
ShSSAEfnyDs_000000_000010,relational_action,scene_model,action_relation,dozing->laughing
ShSSAEfnyDs_000000_000010,relational_action,scene_model,action_relation,stir and react->grin and relax
ShSSAEfnyDs_000000_000010,relational_action,scene_model,who_role,pushes person away->pulls person closer
ShSSAEfnyDs_000000_000010,relational_action,scene_model,action_relation,covers camera/blocking->points camera/widening view
wbOD_G3ttgU_000083_000093,count_relational,scene_model,count,three couples->two couples
wbOD_G3ttgU_000083_000093,count_relational,scene_model,count,move in sync->move out of step
wbOD_G3ttgU_000083_000093,count_relational,scene_model,count,occasionally twirling->rarely twirling
wbOD_G3ttgU_000083_000093,count_relational,scene_model,count,changing partners->never changing partners
3su234u58DA_000172_000182,action_relational,scene_model,who_role,snowball fight->build a snowman
3su234u58DA_000172_000182,action_relational,scene_model,who_role,woman foreground->man foreground
3su234u58DA_000172_000182,action_relational,scene_model,action_relation,energetically throws snowballs->calmly rolls snowballs
3su234u58DA_000172_000182,action_relational,scene_model,action_relation,playful and bustling->focused and patient
8vkNr_eysXY_000002_000012,action_relational,scene_model,who_role,man->woman
8vkNr_eysXY_000002_000012,action_relational,scene_model,action_relation,demonstrating/skillfully->struggling/clumsily
8vkNr_eysXY_000002_000012,action_relational,scene_model,action_relation,cut into decorative spirals->mash into uneven chunks
8vkNr_eysXY_000002_000012,action_relational,scene_model,spatial_relation,placing into a basket->dropping onto the ground
8vkNr_eysXY_000002_000012,action_relational,scene_model,action_relation,showcasing->hiding technique
RjPp0ZPW0yc_000000_000010,count_action,scene_model,count,a person->two people
RjPp0ZPW0yc_000000_000010,count_action,scene_model,count,pull down the lever->lift the lever upward
RjPp0ZPW0yc_000000_000010,count_action,scene_model,count,activating->stalling the machine
RjPp0ZPW0yc_000000_000010,count_action,scene_model,count,grinding sound cutting->clicking sound jamming
RjPp0ZPW0yc_000000_000010,count_action,scene_model,count,guide the saw/precise cut->step back/abandon the cut
