clip_idx,video_id,category,tier,gt,model,candidate_id,visual_accuracy,completeness,specificity,concision,listener_utility,overall,rationale
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,tier0_cross,0,anthropic:claude-haiku-4-5-20251001,A,0.0,0.0,0.0,100.0,0.0,0.0,Completely hallucinated content. Describes skiing and slalom poles when the video shows kitchen food preparation with spinach and garlic. No accuracy to the actual visual content.
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,tier1_vatex_short,1,anthropic:claude-haiku-4-5-20251001,B,50.0,20.0,30.0,100.0,15.0,23.0,"Identifies the general activity (mixing spinach) and mentions a woman, but lacks critical details: no mention of garlic, the wooden bowl, the two-person demonstration, or the speci"
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,tier3_va11y,3,anthropic:claude-haiku-4-5-20251001,C,85.0,95.0,90.0,70.0,90.0,86.0,"Accurately describes the kitchen setting, wooden bowl, spinach, garlic being dropped from a knife, and hand-mixing. Mentions two individuals and the salad preparation context. Slig"
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,tier2_vatex_long,2,anthropic:claude-haiku-4-5-20251001,D,95.0,85.0,85.0,95.0,85.0,89.0,"Highly accurate and specific description of the visible actions: garlic being dropped from knife, wooden bowl, spinach, and hand-mixing. Concise without unnecessary elaboration. On"
6,0HEi6q3bGaw_000011_000021,Travel,tier3_va11y,3,anthropic:claude-haiku-4-5-20251001,A,85.0,80.0,75.0,80.0,80.0,80.0,"Accurately describes the snowy landscape, two snowmobilers, pausing/conversing, helmet-wearing, engine revving, and riding off with tracks. Minor issue: frames show one person stat"
6,0HEi6q3bGaw_000011_000021,Travel,tier1_vatex_short,1,anthropic:claude-haiku-4-5-20251001,B,40.0,25.0,15.0,95.0,20.0,19.0,"Severely incomplete and vague. Describes only one person's actions (getting off/on/riding) when frames clearly show two snowmobiles and two riders. Missing setting details, landsca"
6,0HEi6q3bGaw_000011_000021,Travel,tier2_vatex_long,2,anthropic:claude-haiku-4-5-20251001,C,75.0,60.0,50.0,90.0,55.0,56.0,"Captures basic action (stopping, speaking, starting again) and identifies two snowmobiles. However, lacks setting description (snowy landscape, trees, terrain), lacks detail about "
6,0HEi6q3bGaw_000011_000021,Travel,tier0_cross,0,anthropic:claude-haiku-4-5-20251001,D,0.0,0.0,0.0,0.0,0.0,0.0,"Complete hallucination. Describes a man in colored clothing, a deer, a fence, and a zoo setting. None of this is visible in the frames. The actual content shows snowmobiles on a fr"
7,09dQut5GJ68_000049_000059,Travel,tier1_vatex_short,1,anthropic:claude-haiku-4-5-20251001,A,85.0,70.0,60.0,95.0,75.0,77.0,"Accurately describes the core action (man on motorcycle pulling sleigh in snow). Concise and clear. Missing details about the blue sled, wire connection, and the apparent stopping/"
7,09dQut5GJ68_000049_000059,Travel,tier2_vatex_long,2,anthropic:claude-haiku-4-5-20251001,B,90.0,75.0,70.0,85.0,80.0,80.0,"Accurately captures the main action and adds the detail about coming to a halt, which is visible in the frames. Mentions 'motorbike' and 'sled' with specificity. Missing color deta"
7,09dQut5GJ68_000049_000059,Travel,tier3_va11y,3,anthropic:claude-haiku-4-5-20251001,C,95.0,90.0,85.0,70.0,85.0,85.0,"Highly accurate with specific details: blue sled, wire connection, snowy landscape. Describes the action clearly. Slightly verbose with 'captures the thrill of the ride' which is i"
7,09dQut5GJ68_000049_000059,Travel,tier0_cross,0,anthropic:claude-haiku-4-5-20251001,D,0.0,0.0,0.0,0.0,0.0,0.0,Complete hallucination. Describes a man and deer in a zoo/enclosure scenario with no basis in the visible frames. The frames clearly show a motorcycle pulling a sled in snow. This 
8,hOirknJr3os_000001_000011,Travel,tier0_cross,0,anthropic:claude-haiku-4-5-20251001,A,5.0,10.0,15.0,20.0,5.0,11.0,"Severely inaccurate. Describes a man and deer, but frames show horses and KOA signage. Hallucinates a zoo/follow-the-leader game. Misidentifies all main subjects. Not useful for un"
8,hOirknJr3os_000001_000011,Travel,tier1_vatex_short,1,anthropic:claude-haiku-4-5-20251001,B,70.0,40.0,25.0,85.0,35.0,51.0,"Accurate about horses and woods, but omits crucial opening content (KOA sign, grazing horses, pasture setting). Too vague and incomplete. Misses significant portions of the video s"
8,hOirknJr3os_000001_000011,Travel,tier2_vatex_long,2,anthropic:claude-haiku-4-5-20251001,C,85.0,75.0,60.0,80.0,72.0,74.0,"Accurate and covers main sequence: ranch sign, grazing horses, riding through woods, music. Appropriately concise. Mentions KOA implicitly via 'ranch sign.' Good structural overvie"
8,hOirknJr3os_000001_000011,Travel,tier3_va11y,3,anthropic:claude-haiku-4-5-20251001,D,90.0,90.0,85.0,75.0,88.0,86.0,"Highly accurate and comprehensive. Explicitly names KOA, describes sign details, grazing scene, wooded trail riding, and music. Provides context about camping/advertisement. Specif"
9,TF4q9y0rJoc_000000_000010,Sports,tier3_va11y,3,anthropic:claude-haiku-4-5-20251001,A,85.0,90.0,85.0,80.0,88.0,86.0,"Accurately describes nighttime skiing with slalom poles, the weaving pattern, and downhill movement. Mentions 'flexible poles' and 'purposefully making contact' which adds specific"
9,TF4q9y0rJoc_000000_000010,Sports,tier2_vatex_long,2,anthropic:claude-haiku-4-5-20251001,B,90.0,60.0,50.0,95.0,65.0,72.0,"Accurate but minimal. Correctly identifies skiing at night around poles in alternating pattern. Lacks context about setting (hill/slope), course type (slalom), speed, or lighting c"
9,TF4q9y0rJoc_000000_000010,Sports,tier1_vatex_short,1,anthropic:claude-haiku-4-5-20251001,C,85.0,50.0,40.0,95.0,55.0,65.0,"Accurate but extremely sparse. Identifies basic elements (man, skiing, poles, snow, hill) but omits critical context: nighttime setting, slalom course, alternating pattern, speed, "
9,TF4q9y0rJoc_000000_000010,Sports,tier0_cross,0,anthropic:claude-haiku-4-5-20251001,D,0.0,0.0,0.0,0.0,0.0,0.0,"Complete hallucination. Describes a kitchen scene with a chef, tomato, and knife. The actual video shows nighttime skiing on a snowy slope with poles. No overlap with visual conten"
11,z8Q-s8AthrA_000002_000012,Sports,tier1_vatex_short,1,anthropic:claude-haiku-4-5-20251001,A,75.0,40.0,50.0,95.0,45.0,61.0,"Accurately identifies high jump activity and girl, but misses hurdle jumping, running, speaking segments, and track setting details. Too vague about the full sequence of events sho"
11,z8Q-s8AthrA_000002_000012,Sports,tier2_vatex_long,2,anthropic:claude-haiku-4-5-20251001,B,70.0,75.0,60.0,50.0,65.0,64.0,"Captures main activities (hurdles, running, high jump, speaking) and identifies multiple children. However, contains grammatical errors ('and and'), lacks specificity about setting"
11,z8Q-s8AthrA_000002_000012,Sports,tier0_cross,0,anthropic:claude-haiku-4-5-20251001,C,0.0,0.0,0.0,0.0,0.0,0.0,"Complete hallucination. Describes a kitchen scene with a chef and tomato-throwing, which bears no relation to the track and field video shown. Entirely inaccurate and useless for u"
11,z8Q-s8AthrA_000002_000012,Sports,tier3_va11y,3,anthropic:claude-haiku-4-5-20251001,D,85.0,90.0,85.0,70.0,88.0,84.0,"Highly accurate and comprehensive. Includes specific details (yellow shirt, black pants, hurdles, high jump, cushioned surface, background children). Captures the sequence of event"
12,abaLFY_GI8k_000295_000305,Sports,tier2_vatex_long,2,anthropic:claude-haiku-4-5-20251001,A,15.0,20.0,30.0,85.0,15.0,33.0,"Describes a man running and bouncing a ball, but frames are unclear about whether this is actually happening or if it's setup. Misses key details: outdoor dirt court, multiple play"
12,abaLFY_GI8k_000295_000305,Sports,tier1_vatex_short,1,anthropic:claude-haiku-4-5-20251001,B,60.0,35.0,25.0,90.0,35.0,49.0,"Correctly identifies volleyball and multiple boys. Accurately notes foreign language communication. However, extremely vague—lacks setting details (outdoor dirt court), player posi"
12,abaLFY_GI8k_000295_000305,Sports,tier3_va11y,3,anthropic:claude-haiku-4-5-20251001,C,45.0,75.0,70.0,60.0,65.0,63.0,"Covers setting (outdoor dirt court), multiple players, net condition, clothing, and energy level well. Mentions serving and spiking actions. However, contains hallucinations: frame"
12,abaLFY_GI8k_000295_000305,Sports,tier0_cross,0,anthropic:claude-haiku-4-5-20251001,D,0.0,0.0,0.0,0.0,0.0,0.0,"Complete hallucination. Describes a kitchen scene with a chef, tomato, knife, and Spanish countdown. Frames show an outdoor volleyball court with boys playing. No kitchen, chef, to"
13,KFcH6BYZWhc_000011_000021,Sports,tier3_va11y,3,anthropic:claude-haiku-4-5-20251001,A,75.0,70.0,65.0,60.0,68.0,68.0,"Accurately describes an indoor ice rink with hockey players practicing. However, contains some generic language ('lively,' 'honing abilities') and doesn't specify observable detail"
13,KFcH6BYZWhc_000011_000021,Sports,tier2_vatex_long,2,anthropic:claude-haiku-4-5-20251001,B,70.0,55.0,50.0,85.0,60.0,64.0,"Concise and mostly accurate—correctly identifies hockey players on a rink with one player skating with the puck. However, 'mid court' is imprecise terminology for hockey (should be"
13,KFcH6BYZWhc_000011_000021,Sports,tier0_cross,0,anthropic:claude-haiku-4-5-20251001,C,0.0,0.0,0.0,100.0,0.0,0.0,"Complete hallucination. The frames clearly show an ice hockey rink with players, not a kitchen scene. No chef, tomato, knife, or Spanish countdown is visible. This description is e"
13,KFcH6BYZWhc_000011_000021,Sports,tier1_vatex_short,1,anthropic:claude-haiku-4-5-20251001,D,95.0,35.0,20.0,100.0,30.0,36.0,"Accurate but extremely vague and generic. While it correctly identifies the setting (hockey rink) and activity (practice), it provides almost no useful detail about what is actuall"
14,UDD6YcChywc_000000_000010,Sports,tier2_vatex_long,2,anthropic:claude-haiku-4-5-20251001,A,75.0,70.0,65.0,80.0,72.0,72.0,"Correctly identifies curling sport, the push/slide action, and the fall. Mentions onlookers reacting. Minor inaccuracy: says 'slips and falls' when frames show a deliberate fall du"
14,UDD6YcChywc_000000_000010,Sports,tier0_cross,0,anthropic:claude-haiku-4-5-20251001,B,0.0,0.0,0.0,0.0,0.0,0.0,"Complete hallucination. Describes a kitchen, chef, cherry tomato, knife, and Spanish countdown—none of which appear in the curling rink footage. Fails on all accuracy metrics."
14,UDD6YcChywc_000000_000010,Sports,tier1_vatex_short,1,anthropic:claude-haiku-4-5-20251001,C,85.0,45.0,50.0,95.0,50.0,55.0,"Accurate core facts: man on ice, pushes curling block, falls. However, severely incomplete—omits setting details (indoor rink), onlookers, and context. Too minimal for useful audio"
14,UDD6YcChywc_000000_000010,Sports,tier3_va11y,3,anthropic:claude-haiku-4-5-20251001,D,90.0,85.0,85.0,75.0,88.0,85.0,"Excellent accuracy and specificity. Correctly identifies indoor curling rink, skillful slide, loss of balance, and fall. Describes onlooker reactions with appropriate detail ('laug"
15,OGWuj_FtaQc_000010_000020,Pets & Animals,tier0_cross,0,anthropic:claude-haiku-4-5-20251001,A,0.0,0.0,0.0,0.0,0.0,0.0,"Completely hallucinated content. Describes snowmobiles, snow, helmets, and engine revving—none of which appear in the frames. The actual scene shows a man in a green shirt and navy"
15,OGWuj_FtaQc_000010_000020,Pets & Animals,tier1_vatex_short,1,anthropic:claude-haiku-4-5-20251001,B,70.0,40.0,30.0,95.0,35.0,34.0,"Captures the core elements (man, deer, fence) but is vague and incomplete. 'Small deer' is accurate, 'follow him' is somewhat accurate but doesn't clarify the fence barrier or the "
15,OGWuj_FtaQc_000010_000020,Pets & Animals,tier2_vatex_long,2,anthropic:claude-haiku-4-5-20251001,C,75.0,60.0,50.0,85.0,55.0,65.0,"Identifies key elements: man, green top, navy bottom, deer, and fence separation. Grammar is awkward ('fenced up to other side') but meaning is discernible. Lacks setting context ("
15,OGWuj_FtaQc_000010_000020,Pets & Animals,tier3_va11y,3,anthropic:claude-haiku-4-5-20251001,D,90.0,95.0,85.0,80.0,90.0,88.0,"Highly accurate and comprehensive. Correctly describes clothing (green shirt, navy shorts), the man's movement pattern (back and forth), the deer's mirroring behavior, the fence ba"
16,kOf-vl-GmVI_000115_000125,Pets & Animals,tier1_vatex_short,1,anthropic:claude-haiku-4-5-20251001,A,45.0,20.0,15.0,95.0,25.0,40.0,"Accurately identifies woman and horse riding, but omits critical visual details: setting (paddock, fence, stable buildings), attire (pink cap, casual clothes), actions (patting hor"
16,kOf-vl-GmVI_000115_000125,Pets & Animals,tier3_va11y,3,anthropic:claude-haiku-4-5-20251001,B,90.0,95.0,90.0,85.0,92.0,90.0,"Highly accurate and comprehensive. Correctly identifies woman, pink cap, casual attire, horse, paddock, fence, stable buildings, and the action of patting the horse's head. Include"
16,kOf-vl-GmVI_000115_000125,Pets & Animals,tier2_vatex_long,2,anthropic:claude-haiku-4-5-20251001,C,85.0,70.0,65.0,90.0,70.0,76.0,"Accurate core elements: girl/woman riding horse in paddock, patting horse's head. Good concision. Lacks important details: pink cap, casual attire, fence type, stable buildings, ti"
16,kOf-vl-GmVI_000115_000125,Pets & Animals,tier0_cross,0,anthropic:claude-haiku-4-5-20251001,D,0.0,0.0,0.0,0.0,0.0,0.0,"Complete hallucination. Describes snowmobiles, snow, two people, helmets, engines, and snow-covered terrain—none of which appear in the frames. The actual scene shows a woman on a "
17,gjoZic4WjiQ_000012_000022,Pets & Animals,tier3_va11y,3,anthropic:claude-haiku-4-5-20251001,A,75.0,85.0,80.0,70.0,78.0,78.0,"Accurately describes the main action (girl climbing snowy hill, slipping, sliding back down, second girl attempting). Correctly identifies blue slides/tubes and red hat. However, a"
17,gjoZic4WjiQ_000012_000022,Pets & Animals,tier1_vatex_short,1,anthropic:claude-haiku-4-5-20251001,B,95.0,35.0,15.0,95.0,25.0,32.0,"Factually accurate but severely lacking in detail. Fails to describe the distinctive blue slide/tube structures, the red hat, the slipping/sliding action, or the sequence of events"
17,gjoZic4WjiQ_000012_000022,Pets & Animals,tier2_vatex_long,2,anthropic:claude-haiku-4-5-20251001,C,90.0,80.0,85.0,90.0,85.0,86.0,"Highly accurate description of the core action sequence: girl attempting to run up slope, slipping halfway, sliding down, second girl starting her attempt. Correctly identifies the"
17,gjoZic4WjiQ_000012_000022,Pets & Animals,tier0_cross,0,anthropic:claude-haiku-4-5-20251001,D,5.0,0.0,0.0,85.0,0.0,18.0,"Completely inaccurate and hallucinatory. Describes snowmobiles, riders, helmets, engines, and conversation—none of which appear in the frames. The actual scene shows children on a "
18,q2ZBVyR1k-U_000021_000031,Pets & Animals,tier0_cross,0,anthropic:claude-haiku-4-5-20251001,A,0.0,0.0,0.0,100.0,0.0,5.0,"Completely inaccurate. Describes snowmobiles, snow, helmets, and engine revving—none of which are present in the frames. The actual scene shows people in a wooded area with a beeke"
18,q2ZBVyR1k-U_000021_000031,Pets & Animals,tier1_vatex_short,1,anthropic:claude-haiku-4-5-20251001,B,50.0,20.0,30.0,100.0,15.0,23.0,"Partially accurate (person drinking from cup, beekeeper present) but extremely vague and incomplete. Misses critical context: the beekeeper suit details, the truck setting, the woo"
18,q2ZBVyR1k-U_000021_000031,Pets & Animals,tier2_vatex_long,2,anthropic:claude-haiku-4-5-20251001,C,85.0,70.0,65.0,85.0,72.0,75.0,"Accurate core elements: beekeeper suit, person drinking from cup, removal of hood. Captures main actions and subjects. Minor gaps: doesn't mention truck, wooded setting, or blue ca"
18,q2ZBVyR1k-U_000021_000031,Pets & Animals,tier3_va11y,3,anthropic:claude-haiku-4-5-20251001,D,95.0,95.0,90.0,85.0,93.0,92.0,"Highly accurate and comprehensive. Correctly identifies: wooded setting, truck, beekeeper suit, hood removal, casual-dressed person, blue canister, drinking action, and conversatio"
19,qIWQHyOIpEY_000003_000013,Pets & Animals,tier1_vatex_short,1,anthropic:claude-haiku-4-5-20251001,A,45.0,25.0,20.0,90.0,30.0,42.0,"Partially accurate but severely incomplete. Correctly identifies cats and basic positioning, but misses the setting (staircase, wooden floor, indoor home), multiple cats (appears t"
19,qIWQHyOIpEY_000003_000013,Pets & Animals,tier3_va11y,3,anthropic:claude-haiku-4-5-20251001,B,70.0,75.0,80.0,75.0,75.0,75.0,"Good accuracy and specificity. Correctly identifies cats, hardwood floor, and interaction (swatting). Mentions dimly lit room and background audio. Minor issues: doesn't clearly me"
19,qIWQHyOIpEY_000003_000013,Pets & Animals,tier0_cross,0,anthropic:claude-haiku-4-5-20251001,C,0.0,0.0,0.0,0.0,0.0,0.0,"Complete hallucination. Describes snowmobiles, snow, people, and helmets—none of which appear in the video. This is an indoor scene with cats, not an outdoor winter scene. Entirely"
19,qIWQHyOIpEY_000003_000013,Pets & Animals,tier2_vatex_long,2,anthropic:claude-haiku-4-5-20251001,D,20.0,40.0,30.0,70.0,25.0,37.0,"Significant hallucinations: no visible people or conversation in frames. Correctly identifies cats and hardwood floor, but invents human interaction. The mention of someone massagi"
