source,kind,id,category,adqa,clip_top3,word_count,sentence_count,experience_severity,anticipation_spoiler,frame_dump_list,uncertain_inference,timing_sequence,snippet
videoa11y,professional_ad,9fuIpQgnNEQ_000049_000059,Event,,,52,4,0,0,0,0,0,"Outside a bustling convention center, a large crowd forms a line along the sidewalk. People are dressed in various outfits, some in cosplay. A man with a camera captures photos of the scene, focusing on individuals in co"
vatex,crowd_caption,9fuIpQgnNEQ_000049_000059#cap0,Event,,,21,1,0,0,0,0,0,"A group of people are walking on a street, some people are in line and a man is giving them something"
vatex,crowd_caption,9fuIpQgnNEQ_000049_000059#cap1,Event,,,14,1,0,0,0,0,0,Someone is taking pictures of a cosplayer dressed as Toph outside of a convention.
vatex,crowd_caption,9fuIpQgnNEQ_000049_000059#cap2,Event,,,17,1,0,0,0,0,0,A man is taking a photo while people wait on line and more people walk around him.
vatex,crowd_caption,9fuIpQgnNEQ_000049_000059#cap3,Event,,,15,1,0,0,0,0,0,A group of people form a line outside and walk slowly as the line moves.
vatex,crowd_caption,9fuIpQgnNEQ_000049_000059#cap4,Event,,,16,1,0,0,0,0,0,"A line forms outside in a public area, a man to the right records the crowd."
vatex,crowd_caption,9fuIpQgnNEQ_000049_000059#cap5,Event,,,13,1,0,0,0,0,0,A large crowd of people walking down a side walk while others talk.
vatex,crowd_caption,9fuIpQgnNEQ_000049_000059#cap6,Event,,,27,1,0,0,0,0,0,A crowd of people is lined up outside what looks to be a busy city and a man take a photo of few people on the line.
vatex,crowd_caption,9fuIpQgnNEQ_000049_000059#cap7,Event,,,12,1,0,0,0,0,0,A large group of people wait in line as others walk by.
vatex,crowd_caption,9fuIpQgnNEQ_000049_000059#cap8,Event,,,16,1,0,0,0,0,0,A man takes a picture of a woman on a street with a lot of people.
vatex,crowd_caption,9fuIpQgnNEQ_000049_000059#cap9,Event,,,14,1,0,0,0,0,0,A group of people are conversing while they are standing in a long line.
videoa11y,professional_ad,2kJxrcNRS9w_000047_000057,Sports,,,40,2,0,0,0,0,0,"A young girl is outside on a sunny day, performing a series of cartwheels and flips on the grass. She moves with energy and precision, showcasing her gymnastics skills against a backdrop of a bright blue sky with scatter"
vatex,crowd_caption,2kJxrcNRS9w_000047_000057#cap0,Sports,,,15,1,1,0,0,0,1,A girl is skipping then does a cartwheel and ends the routine with a pose.
vatex,crowd_caption,2kJxrcNRS9w_000047_000057#cap1,Sports,,,13,1,0,0,0,0,0,A young girl is doing cartwheels while music is playing in the background.
vatex,crowd_caption,2kJxrcNRS9w_000047_000057#cap2,Sports,,,12,1,0,0,0,0,0,Music plays as a youngster performs a cartwheel and positions herself again.
vatex,crowd_caption,2kJxrcNRS9w_000047_000057#cap3,Sports,,,12,1,0,0,0,0,0,A girl is outside and is running and doing cartwheels and splits.
vatex,crowd_caption,2kJxrcNRS9w_000047_000057#cap4,Sports,,,14,1,0,0,0,0,0,A young girl is shown doing cartwheels and other gymnastics outside from the ground.
vatex,crowd_caption,2kJxrcNRS9w_000047_000057#cap5,Sports,,,14,1,0,0,0,0,0,A young woman doing summer saults and gymnastics outdoors as she films her self
vatex,crowd_caption,2kJxrcNRS9w_000047_000057#cap6,Sports,,,11,1,0,0,0,0,0,A girl is doing cartwheels and gymnastics outside in a yard.
vatex,crowd_caption,2kJxrcNRS9w_000047_000057#cap7,Sports,,,15,1,0,0,0,0,0,A young girl does flips outside in the sunlight at close proximity to the camera.
vatex,crowd_caption,2kJxrcNRS9w_000047_000057#cap8,Sports,,,10,1,0,0,0,0,0,A girl is performing cartwheels outside on a cloudy day.
vatex,crowd_caption,2kJxrcNRS9w_000047_000057#cap9,Sports,,,10,1,0,0,0,0,0,A gymnast is doing cartwheels outside on a sunny day.
videoa11y,professional_ad,BHxn3qfPAl4_000018_000028,Health & Wellness,,,37,2,0,0,0,0,0,"A woman lies on a massage table, her eyes closed, as a massage therapist gently stretches and massages her neck. The therapist uses their arm to carefully tilt her head to the side, providing a relaxing experience."
vatex,crowd_caption,BHxn3qfPAl4_000018_000028#cap0,Health & Wellness,,,13,1,0,0,0,0,0,A woman is getting her neck massaged while she lays on a table.
vatex,crowd_caption,BHxn3qfPAl4_000018_000028#cap1,Health & Wellness,,,18,1,0,0,0,0,0,a woman lying on her back is getting her neck stretched and messaged by someone using their arm.
vatex,crowd_caption,BHxn3qfPAl4_000018_000028#cap2,Health & Wellness,,,9,1,0,0,0,0,0,A woman is receiving a massage with gentle stretching.
vatex,crowd_caption,BHxn3qfPAl4_000018_000028#cap3,Health & Wellness,,,23,1,0,0,0,0,0,A woman is lying down with her eyes closed and someone behind her is pushing her neck all the way to the left.
vatex,crowd_caption,BHxn3qfPAl4_000018_000028#cap4,Health & Wellness,,,19,1,0,0,0,0,0,A woman is lying on her back on a table and is having her neck stretched by a masseuse.
vatex,crowd_caption,BHxn3qfPAl4_000018_000028#cap5,Health & Wellness,,,11,1,0,0,0,0,0,A woman's head is being lifted and stretched during a massage.
vatex,crowd_caption,BHxn3qfPAl4_000018_000028#cap6,Health & Wellness,,,17,1,0,0,0,0,0,A lady is receiving a massage while laying in a table in the back of her neck.
vatex,crowd_caption,BHxn3qfPAl4_000018_000028#cap7,Health & Wellness,,,9,1,0,0,0,0,0,a person receives a relaxing massage to the neck.
vatex,crowd_caption,BHxn3qfPAl4_000018_000028#cap8,Health & Wellness,,,20,1,0,0,0,0,0,A person is massaging a woman's neck that is laying on a bed with a towel on top of her.
vatex,crowd_caption,BHxn3qfPAl4_000018_000028#cap9,Health & Wellness,,,13,1,0,0,0,0,0,A women is having her neck massaged and stretched by a massage therapist.
videoa11y,professional_ad,u-olDM7oGGM_000012_000022,Health & Wellness,,,54,3,0,0,0,0,0,"On a residential street, a young boy with a backpack walks alongside a group of people, including an adult with a dog on a leash. The boy playfully drapes a jacket over his head and runs across the road, laughing. The sc"
vatex,crowd_caption,u-olDM7oGGM_000012_000022#cap0,Health & Wellness,,,15,1,0,0,0,0,0,A group of people walk along the street and a boy runs into the street.
vatex,crowd_caption,u-olDM7oGGM_000012_000022#cap1,Health & Wellness,,,17,1,0,0,0,0,0,a little kid is carrying a large school bag and walking with a group of other people
vatex,crowd_caption,u-olDM7oGGM_000012_000022#cap2,Health & Wellness,,,13,1,0,0,0,0,0,A little boy is recorded jay walking by someone as they joke together.
vatex,crowd_caption,u-olDM7oGGM_000012_000022#cap3,Health & Wellness,,,23,1,0,0,0,0,0,A young boy wearing a back pack is told to jay walk on a residential street and an adult it talking to him.
vatex,crowd_caption,u-olDM7oGGM_000012_000022#cap4,Health & Wellness,,,26,1,0,0,0,0,0,People walk down the street with a dog on a leash while a boy puts his sweater around his shoulders and runs out into the road.
vatex,crowd_caption,u-olDM7oGGM_000012_000022#cap5,Health & Wellness,,,10,1,0,0,0,0,0,A young boy is goaded into jaywalking across a street.
vatex,crowd_caption,u-olDM7oGGM_000012_000022#cap6,Health & Wellness,,,11,1,0,0,0,0,0,A young boy is video taped J walking across the street.
vatex,crowd_caption,u-olDM7oGGM_000012_000022#cap7,Health & Wellness,,,17,1,0,0,0,0,0,A young boy walking and covers his head with coat than takes off running across the street.
vatex,crowd_caption,u-olDM7oGGM_000012_000022#cap8,Health & Wellness,,,14,1,1,0,0,0,1,A young boy places a jacket over his head before running across the road.
vatex,crowd_caption,u-olDM7oGGM_000012_000022#cap9,Health & Wellness,,,18,1,1,0,0,0,1,"A boy is talked to about jaywalking, and he says okay then makes like he's going to jaywalk."
videoa11y,professional_ad,BcW6Y7eufQE_000239_000249,People & Vlogs,,,53,4,0,0,0,0,0,"In a cozy room, a young woman in a pink hoodie sits across from an older woman with short hair. They engage in a lively conversation. The young woman adjusts her hair, prompting laughter from the older woman. Their inter"
vatex,crowd_caption,BcW6Y7eufQE_000239_000249#cap0,People & Vlogs,,,11,1,0,0,0,0,0,Three women are sitting around talking with each other and giggling.
vatex,crowd_caption,BcW6Y7eufQE_000239_000249#cap1,People & Vlogs,,,17,1,0,0,0,0,0,A man is explaining something about a young girls hair which is funny to the older woman.
vatex,crowd_caption,BcW6Y7eufQE_000239_000249#cap2,People & Vlogs,,,25,1,0,0,0,0,0,a man was saying something to a lady sitting at a table that made her laugh but the girl in the pink jacket didn't laugh
vatex,crowd_caption,BcW6Y7eufQE_000239_000249#cap3,People & Vlogs,,,20,1,0,0,0,0,0,Two women are staring at each other as a man mumbles in the background and one woman bursts into laughter.
vatex,crowd_caption,BcW6Y7eufQE_000239_000249#cap4,People & Vlogs,,,14,1,0,0,0,0,0,A man is talking while two girls stare at each other and start laughing.
vatex,crowd_caption,BcW6Y7eufQE_000239_000249#cap5,People & Vlogs,,,12,1,0,0,0,0,0,A group of three people talk in a different language and laugh.
vatex,crowd_caption,BcW6Y7eufQE_000239_000249#cap6,People & Vlogs,,,11,1,0,0,0,0,0,In a home two women are seated and having a conversation
vatex,crowd_caption,BcW6Y7eufQE_000239_000249#cap7,People & Vlogs,,,13,1,0,0,0,0,0,Two girls are looking at each other while a man tells a joke.
vatex,crowd_caption,BcW6Y7eufQE_000239_000249#cap8,People & Vlogs,,,14,1,0,0,0,0,0,Two women are talking while someone stands behind the girl with a pony tail.
vatex,crowd_caption,BcW6Y7eufQE_000239_000249#cap9,People & Vlogs,,,20,1,1,0,0,0,1,A guy adjust a girls side of her head then another girl in front of her starts laughing out loud.
videoa11y,professional_ad,d7_SY48r__8_000060_000070,How-to & Instructional,,,41,3,0,0,0,0,0,"In a room, a person is shearing a sheep using electric clippers. The sheep lies calmly on the floor as the person carefully removes its wool. The clippers buzz as they glide over the sheep's body, efficiently trimming th"
vatex,crowd_caption,d7_SY48r__8_000060_000070#cap0,How-to & Instructional,,,13,1,0,0,0,0,0,A person uses electric clippers to shear a sheep lying on the floor
vatex,crowd_caption,d7_SY48r__8_000060_000070#cap1,How-to & Instructional,,,11,1,0,0,0,0,0,Someone is demonstrating how to shear an animal with electric clippers.
vatex,crowd_caption,d7_SY48r__8_000060_000070#cap2,How-to & Instructional,,,12,1,0,0,0,0,0,In a room theirs a man holding a sheep to shear it.
vatex,crowd_caption,d7_SY48r__8_000060_000070#cap3,How-to & Instructional,,,16,1,0,0,0,0,0,A person stands above a sheep and uses electric shears to take wool off the sheep.
vatex,crowd_caption,d7_SY48r__8_000060_000070#cap4,How-to & Instructional,,,12,1,0,0,0,0,0,A guy is using an electric shaver to shave a sheep's wool.
vatex,crowd_caption,d7_SY48r__8_000060_000070#cap5,How-to & Instructional,,,11,1,0,0,0,0,0,An animal is being shaven by his owner using a machine.
vatex,crowd_caption,d7_SY48r__8_000060_000070#cap6,How-to & Instructional,,,16,1,0,0,0,0,0,A man has a pair of sheep shearers and is trimming the wool from a sheep.
vatex,crowd_caption,d7_SY48r__8_000060_000070#cap7,How-to & Instructional,,,15,1,0,0,0,0,0,A man shears a sheep that is lying on the ground using an electric razor.
vatex,crowd_caption,d7_SY48r__8_000060_000070#cap8,How-to & Instructional,,,11,1,0,0,0,0,0,Someone is shaving and removing the wool off of a sheep.
vatex,crowd_caption,d7_SY48r__8_000060_000070#cap9,How-to & Instructional,,,14,1,0,0,0,0,0,An animal is getting its coat shaved off by someone with an electric shaver.
videoa11y,professional_ad,EA3HCx0yTIY_000281_000291,Music,,,37,3,0,0,0,0,0,"A bearded, bald man sits at a drum set in a recording studio. He rhythmically strikes a cymbal with a drumstick, creating a steady beat. The focus remains on his deliberate and repeated motion as he plays."
vatex,crowd_caption,EA3HCx0yTIY_000281_000291#cap0,Music,,,11,1,0,0,0,0,0,A man sits and plays music on a set of drums.
vatex,crowd_caption,EA3HCx0yTIY_000281_000291#cap1,Music,,,14,1,0,0,0,0,0,"A bearded, bald drummer sits at a drumset and strikes a cymbal five times."
vatex,crowd_caption,EA3HCx0yTIY_000281_000291#cap2,Music,,,12,2,0,0,0,0,0,A man is playing two instruments. one of the instruments are drums.
vatex,crowd_caption,EA3HCx0yTIY_000281_000291#cap3,Music,,,13,1,0,0,0,0,0,A man plays the drums and uses the sticks to make some music.
vatex,crowd_caption,EA3HCx0yTIY_000281_000291#cap4,Music,,,13,1,0,0,0,0,0,A man is seated at a drum set striking the cymbal several times.
vatex,crowd_caption,EA3HCx0yTIY_000281_000291#cap5,Music,,,10,1,0,0,0,0,0,A person strikes the cymbal of a drum set repeatedly.
vatex,crowd_caption,EA3HCx0yTIY_000281_000291#cap6,Music,,,14,1,0,0,0,0,0,A man sitting at a drum set slowly hits the cymbals with a drumstick.
vatex,crowd_caption,EA3HCx0yTIY_000281_000291#cap7,Music,,,13,1,0,0,0,0,0,A man is slowing hitting a cymbal with a drumstick while sitting down.
vatex,crowd_caption,EA3HCx0yTIY_000281_000291#cap8,Music,,,13,1,0,0,0,0,0,A man sits at his drum set and slowly hits the symbols continuously.
vatex,crowd_caption,EA3HCx0yTIY_000281_000291#cap9,Music,,,17,1,0,0,0,0,0,An older man is sitting down behind a drumset and he hits the same symbol several times.
videoa11y,professional_ad,y-_wJeVR3QQ_000035_000045,People & Vlogs,,,66,4,1,0,0,0,1,"In a cozy playroom, two young girls are engaged in a playful challenge. One girl, wearing a blindfold, sits expectantly while the other girl, in a red sweater, holds a piece of candy. She gently places the candy into the"
vatex,crowd_caption,y-_wJeVR3QQ_000035_000045#cap0,People & Vlogs,,,22,1,0,0,0,0,0,A young girl places something in the mouth of another young girl who's blindfolded and is supposed to guess what it is.
vatex,crowd_caption,y-_wJeVR3QQ_000035_000045#cap1,People & Vlogs,,,15,1,0,0,0,0,0,One girl blind-folded while another girl puts a piece of candy into her mouth.
vatex,crowd_caption,y-_wJeVR3QQ_000035_000045#cap2,People & Vlogs,,,15,1,0,0,0,0,0,A girl feeds a blindfolded girl and another person holds something up between their fingers.
vatex,crowd_caption,y-_wJeVR3QQ_000035_000045#cap3,People & Vlogs,,,14,1,0,0,0,0,0,A young girl is doing a blind taste test of a piece of candy.
vatex,crowd_caption,y-_wJeVR3QQ_000035_000045#cap4,People & Vlogs,,,13,1,0,0,0,0,0,A girl puts candy into the mouth of a girl who is blindfolded.
vatex,crowd_caption,y-_wJeVR3QQ_000035_000045#cap5,People & Vlogs,,,17,1,0,0,0,0,0,A little girl with a blind fold is being fed bits of food by another little girl.
vatex,crowd_caption,y-_wJeVR3QQ_000035_000045#cap6,People & Vlogs,,,12,1,0,0,0,0,0,A young girl blind folded has to guess what she is eating.
vatex,crowd_caption,y-_wJeVR3QQ_000035_000045#cap7,People & Vlogs,,,22,1,0,0,0,0,0,Two sisters and their mother are trying a blind fold contest where the blind folded girl guesses the color of the candy.
vatex,crowd_caption,y-_wJeVR3QQ_000035_000045#cap8,People & Vlogs,,,19,1,0,0,0,0,0,two girls seems like playing while one of them is blind folded and was given something on he rmouth
vatex,crowd_caption,y-_wJeVR3QQ_000035_000045#cap9,People & Vlogs,,,17,1,0,0,0,0,0,A group of young girls are doing a blindfold challenge to guess a certain type of candy.
videoa11y,professional_ad,abaLFY_GI8k_000295_000305,Sports,,,64,5,0,0,0,0,0,"A group of boys is playing volleyball on an outdoor dirt court. The net is slightly broken, and the setting is casual. One boy serves the ball, and another jumps to spike it over the net. The players are wearing shorts a"
vatex,crowd_caption,abaLFY_GI8k_000295_000305#cap0,Sports,,,13,1,0,0,0,0,0,A group of boys are outside playing volleyball across a very big net
vatex,crowd_caption,abaLFY_GI8k_000295_000305#cap1,Sports,,,14,1,0,0,0,0,0,A few boys talking a foreign language are playing a game of volley ball.
vatex,crowd_caption,abaLFY_GI8k_000295_000305#cap2,Sports,,,11,1,0,0,0,0,0,Some boys talking in a foreign language are playing Volley Ball.
vatex,crowd_caption,abaLFY_GI8k_000295_000305#cap3,Sports,,,14,1,0,0,0,0,0,boys are playing volley ball and one boy hits the ball over the net.
vatex,crowd_caption,abaLFY_GI8k_000295_000305#cap4,Sports,,,16,1,0,0,0,0,0,"Four boys are playing volleyball on an outdoor court; one sets, one hits, and two watch."
vatex,crowd_caption,abaLFY_GI8k_000295_000305#cap5,Sports,,,20,1,1,0,0,0,1,A man runs to the back of a volleyball field bouncing the ball before he plays a game of volleyball.
vatex,crowd_caption,abaLFY_GI8k_000295_000305#cap6,Sports,,,15,1,0,0,0,0,0,Two teams are playing volleyball outside and one sets up and another spikes the ball.
vatex,crowd_caption,abaLFY_GI8k_000295_000305#cap7,Sports,,,11,1,0,0,0,0,0,Several volleyball players wearing shorts are playing on a dirt court.
vatex,crowd_caption,abaLFY_GI8k_000295_000305#cap8,Sports,,,13,1,1,0,0,0,1,A boy serves a volleyball then another boy hits it over the net.
vatex,crowd_caption,abaLFY_GI8k_000295_000305#cap9,Sports,,,12,1,0,0,0,0,0,young boys playing volleyball outdoors on dirt floors and slightly broken net.
videoa11y,professional_ad,j6CgiNeWQwM_000842_000852,Food & Cooking,,,57,3,0,0,0,0,0,"In a kitchen, a chef and an assistant are preparing a cake. The assistant holds a large mixing bowl filled with batter, while the chef uses a spatula to transfer the batter into a round cake pan lined with parchment pape"
vatex,crowd_caption,j6CgiNeWQwM_000842_000852#cap0,Food & Cooking,,,10,1,0,0,0,0,0,A person is scooping a batter into a cake pan.
vatex,crowd_caption,j6CgiNeWQwM_000842_000852#cap1,Food & Cooking,,,11,1,0,0,0,0,0,Two people pour a batter from a bowl into a pot.
vatex,crowd_caption,j6CgiNeWQwM_000842_000852#cap2,Food & Cooking,,,18,1,0,0,0,0,0,A man is using a spatula to get batter out of a bowl that a woman is holding.
vatex,crowd_caption,j6CgiNeWQwM_000842_000852#cap3,Food & Cooking,,,17,1,0,0,0,0,0,"In a kitchen, a man and a woman are moving batter from a bowl to a pan."
vatex,crowd_caption,j6CgiNeWQwM_000842_000852#cap4,Food & Cooking,,,15,1,0,0,0,0,0,Assistant lifts mixing bowl and chef uses spoon to scoop out batter into round pan.
vatex,crowd_caption,j6CgiNeWQwM_000842_000852#cap5,Food & Cooking,,,15,1,0,0,0,0,0,a chef is scooping out a food substance out of a bowl with a spatula
vatex,crowd_caption,j6CgiNeWQwM_000842_000852#cap6,Food & Cooking,,,22,1,1,0,0,0,1,Two people are pouring a mix into a bowl then the man wipes the remaining mix off the spoon into the bowl.
vatex,crowd_caption,j6CgiNeWQwM_000842_000852#cap7,Food & Cooking,,,14,1,0,0,0,0,0,In the kitchen where a man and a woman are trying to bake cake
vatex,crowd_caption,j6CgiNeWQwM_000842_000852#cap8,Food & Cooking,,,25,1,0,0,0,0,0,"Two women in a kitchen are scraping icing out of a large mixing bowl into a smaller baking pan, presumably onto an already baked cake,"
vatex,crowd_caption,j6CgiNeWQwM_000842_000852#cap9,Food & Cooking,,,22,1,0,0,0,0,0,A woman is holding a bowl of batter and the chef is scraping it out into a pan sitting on parchment paper.
videoa11y,professional_ad,eb-ufaFcUas_000008_000018,Entertainment,,,61,4,0,0,0,0,0,"In a bustling shopping mall, a young boy is harnessed to elastic cords, bouncing energetically on a trampoline. The setup allows him to soar high into the air, suspended by the bungee cords. Surrounding him are various s"
vatex,crowd_caption,eb-ufaFcUas_000008_000018#cap0,Entertainment,,,19,1,0,0,0,0,0,"Child attached to harness, with elastic cords on sides, is pulled up and down over trampoline inside a mall."
vatex,crowd_caption,eb-ufaFcUas_000008_000018#cap1,Entertainment,,,18,1,0,0,0,0,0,"A young man, suspended in the air by a pair of elastic bands is bouncing up and down."
vatex,crowd_caption,eb-ufaFcUas_000008_000018#cap2,Entertainment,,,12,1,0,0,0,0,0,A boy is tied to a bungee and jumping up and down.
vatex,crowd_caption,eb-ufaFcUas_000008_000018#cap3,Entertainment,,,12,1,0,0,0,0,0,A person is jumping in a big sling in a shopping mall.
vatex,crowd_caption,eb-ufaFcUas_000008_000018#cap4,Entertainment,,,14,1,0,0,0,0,0,A young boy is able to jump very high while attached to elastic cords.
vatex,crowd_caption,eb-ufaFcUas_000008_000018#cap5,Entertainment,,,11,1,0,0,0,0,0,A boy is bouncing on a trampoline attached to bungee cords.
vatex,crowd_caption,eb-ufaFcUas_000008_000018#cap6,Entertainment,,,10,1,0,0,0,0,0,A young male jumps on a trampoline at the mall.
vatex,crowd_caption,eb-ufaFcUas_000008_000018#cap7,Entertainment,,,16,1,0,0,0,0,0,A boy is bouncing in air while seated in a device held by two stretchable ropes.
vatex,crowd_caption,eb-ufaFcUas_000008_000018#cap8,Entertainment,,,10,1,0,0,0,0,0,A kid is jumping on the trampoline by using straps
vatex,crowd_caption,eb-ufaFcUas_000008_000018#cap9,Entertainment,,,12,1,0,0,0,0,0,A boy swings up and down on a harness and elastic ropes.
videoa11y,professional_ad,OASCPKazLIM_000132_000142,How-to & Instructional,,,55,4,0,0,0,0,0,"On a wooden table, a person demonstrates how to wrap a book using colorful wrapping paper. The book is placed on a sheet of shiny foil paper. The person carefully folds the paper over the book, ensuring it is neatly cove"
vatex,crowd_caption,OASCPKazLIM_000132_000142#cap0,How-to & Instructional,,,14,1,0,0,0,0,0,A person is wrapping an object in foil on top of a wooden table.
vatex,crowd_caption,OASCPKazLIM_000132_000142#cap1,How-to & Instructional,,,17,1,0,0,0,0,0,"Somebody is demonstrating the proper way to begin wrapping a gift, using a piece of wrapping paper."
vatex,crowd_caption,OASCPKazLIM_000132_000142#cap2,How-to & Instructional,,,24,1,0,0,0,0,0,A book is on top of a paper wrapper and a person is folding the wrapping paper with her hands with the book inside.
vatex,crowd_caption,OASCPKazLIM_000132_000142#cap3,How-to & Instructional,,,14,1,0,0,0,0,0,A person is wrapping an object in a foil wrapping on a wooden table.
vatex,crowd_caption,OASCPKazLIM_000132_000142#cap4,How-to & Instructional,,,11,1,0,0,0,0,0,A person shows how to wrap a book the right way.
vatex,crowd_caption,OASCPKazLIM_000132_000142#cap5,How-to & Instructional,,,10,1,0,0,0,0,0,A person is covering up a book with wrapping paper.
vatex,crowd_caption,OASCPKazLIM_000132_000142#cap6,How-to & Instructional,,,14,1,1,1,0,0,0,A person begins to wrap a small box in a sheet of colorful paper.
vatex,crowd_caption,OASCPKazLIM_000132_000142#cap7,How-to & Instructional,,,12,1,0,0,0,0,0,A person is carefully wrapping a book in multi-colored wrapping paper.
