name,kind,best_target,best_auc,tier_gt_rho,auc_ensemble_violation,auc_critical_miss,auc_judge_disagree,auc_gt_dispute,auc_low_margin
novel:research_audit_index,single,auc_ensemble_violation,0.6666666666666666,0.0,0.6666666666666666,0.24444444444444444,0.21875,0.0625,0.4107142857142857
disc:lex_x_gain,single,auc_ensemble_violation,0.6666666666666666,0.6920358040504717,0.6666666666666666,0.1111111111111111,0.4375,0.28125,0.36607142857142855
disc:lex_spread_proxy,single,auc_ensemble_violation,0.6666666666666666,0.3611338453117201,0.6666666666666666,0.1111111111111111,0.4375,0.28125,0.36607142857142855
disc:cond_lex_inversion,single,auc_ensemble_violation,0.6666666666666666,0.46982723872401866,0.6666666666666666,0.4222222222222222,0.5625,0.46875,0.33035714285714285
disc:need_peak_x_adqa,single,auc_ensemble_violation,0.6444444444444445,0.726451075127372,0.6444444444444445,0.24444444444444444,0.46875,0.4375,0.30357142857142855
disc:read_minus_lex,single,auc_judge_disagree,0.625,0.2905251279428861,0.4,0.4888888888888889,0.625,0.3125,0.375
disc:lex_per_need,single,auc_gt_dispute,0.625,0.43127653926856685,0.6222222222222222,0.4,0.34375,0.625,0.25
novel:head_agreement_index,single,auc_low_margin,0.625,0.0,0.16666666666666666,0.5666666666666667,0.46875,0.46875,0.625
"disc:ratio(clip_norm,need_mean)",single,auc_gt_dispute,0.625,0.6759508365079507,0.4,0.4666666666666667,0.25,0.625,0.25
disc:words_x_lex,single,auc_judge_disagree,0.625,0.643818030441334,0.4888888888888889,0.4444444444444444,0.625,0.375,0.35714285714285715
"disc:diff(words,gain_vs_cross)",single,auc_judge_disagree,0.625,0.29066304635936235,0.4,0.4888888888888889,0.625,0.34375,0.39285714285714285
disc:lex_x_adqa,single,auc_ensemble_violation,0.6222222222222222,0.7106892280337112,0.6222222222222222,0.13333333333333333,0.40625,0.34375,0.3482142857142857
"disc:diff(words,adqa_norm)",single,auc_judge_disagree,0.609375,0.28620745136951836,0.4,0.4777777777777778,0.609375,0.328125,0.375
"disc:std_ratio(adqa_v4_score,clip_top3)",single,auc_ensemble_violation,0.6,0.0,0.6,0.17777777777777778,0.53125,0.25,0.26785714285714285
"disc:spread_diff(adqa_v4_score,crit_w)",single,auc_low_margin,0.5982142857142857,0.0,0.2222222222222222,0.5111111111111111,0.578125,0.453125,0.5982142857142857
"disc:diff(story_recall,speech_mean)",single,auc_judge_disagree,0.59375,0.5904082713133152,0.4888888888888889,0.2111111111111111,0.59375,0.34375,0.4642857142857143
disc:spread_x_need(adqa_v4_score),single,auc_ensemble_violation,0.5555555555555556,0.0,0.5555555555555556,0.08888888888888889,0.40625,0.1875,0.5
disc:t3_adqa_minus_clip,single,auc_ensemble_violation,0.5555555555555556,0.020051559802783232,0.5555555555555556,0.06666666666666667,0.28125,0.171875,0.3392857142857143
disc:spread_x_need(gain_vs_cross),single,auc_ensemble_violation,0.5555555555555556,0.0,0.5555555555555556,0.08888888888888889,0.40625,0.1875,0.5
disc:crit_slope,single,auc_ensemble_violation,0.5444444444444444,0.9311682056654771,0.5444444444444444,0.044444444444444446,0.265625,0.203125,0.3125
"disc:product(clip_top3,read_s)",single,auc_judge_disagree,0.53125,0.7113109217213678,0.3111111111111111,0.4888888888888889,0.53125,0.34375,0.5178571428571429
"disc:product(need_weighted_clip,gain_vs_cross)",single,auc_low_margin,0.5178571428571429,0.7765751977622877,0.4666666666666667,0.044444444444444446,0.21875,0.34375,0.5178571428571429
novel:comprehension_per_second,single,auc_ensemble_violation,0.5111111111111111,0.33269175278384167,0.5111111111111111,0.022222222222222223,0.1875,0.28125,0.5
novel:audio_leakage,single,auc_ensemble_violation,0.5,,0.5,0.5,0.5,0.5,0.5
novel:saturation_ratio,single,auc_ensemble_violation,0.4888888888888889,0.350206878611189,0.4888888888888889,0.0,0.1875,0.25,0.4642857142857143
"disc:ratio(gain_vs_cross,need_max)",single,auc_ensemble_violation,0.4888888888888889,0.7648163562588121,0.4888888888888889,0.06666666666666667,0.1875,0.28125,0.30357142857142855
disc:gain_x_tier,single,auc_ensemble_violation,0.4777777777777778,0.8722293464290964,0.4777777777777778,0.05555555555555555,0.265625,0.234375,0.39285714285714285
adqa_v4_score,single,auc_ensemble_violation,0.45555555555555555,0.7888337624146254,0.45555555555555555,0.06666666666666667,0.234375,0.28125,0.36607142857142855
disc:adqa_slope,single,auc_ensemble_violation,0.45555555555555555,0.9387018135292173,0.45555555555555555,0.06666666666666667,0.234375,0.28125,0.36607142857142855
"disc:diff(gain_vs_cross,adqa_norm)",single,auc_ensemble_violation,0.45555555555555555,-0.6737267259761592,0.45555555555555555,0.1111111111111111,0.234375,0.359375,0.36607142857142855
"disc:diff(story_recall,lex_purity)",single,auc_low_margin,0.42857142857142855,0.6092344864808455,0.37777777777777777,0.2222222222222222,0.21875,0.3125,0.42857142857142855
"disc:product(adqa_v4_score,read_s)",single,auc_ensemble_violation,0.4222222222222222,0.8854323826354239,0.4222222222222222,0.1111111111111111,0.375,0.3125,0.375
disc:cond_story_need,single,auc_low_margin,0.4107142857142857,0.6650323829812843,0.3111111111111111,0.2,0.125,0.40625,0.4107142857142857
disc:cond_vt_spread,single,auc_low_margin,0.39285714285714285,0.6601396553717354,0.35555555555555557,0.08888888888888889,0.15625,0.25,0.39285714285714285
"disc:product(vt_consistency,clip_norm)",single,auc_low_margin,0.38392857142857145,0.8207084050493089,0.17777777777777778,0.24444444444444444,0.09375,0.328125,0.38392857142857145
"disc:ratio(story_recall,adqa_norm)",single,auc_ensemble_violation,0.37777777777777777,0.516421208058498,0.37777777777777777,0.32222222222222224,0.25,0.34375,0.3392857142857143
disc:story_tier_gap,single,auc_ensemble_violation,0.37777777777777777,-0.5175254369740618,0.37777777777777777,0.35555555555555557,0.25,0.375,0.33035714285714285
novel:marginal_word_value_t3,single,auc_low_margin,0.35714285714285715,0.0,0.28888888888888886,0.15555555555555556,0.09375,0.15625,0.35714285714285715
disc:lex_x_vt,single,auc_ensemble_violation,0.3333333333333333,0.6860869279455162,0.3333333333333333,0.3111111111111111,0.1875,0.25,0.33035714285714285
