name,kind,best_target,best_auc,tier_gt_rho,auc_ensemble_violation,auc_critical_miss,auc_judge_disagree,auc_gt_dispute,auc_low_margin,metric_a,metric_b,blend
"pair:disc:product(read_s,extended_seconds_frac)|disc:mut_log_ratio(read_s,adqa_t3_minus_t0)|harmonic",pair,auc_critical_miss,1.0,0.2582258727054909,0.5777777777777777,1.0,0.84375,0.53125,0.5,"disc:product(read_s,extended_seconds_frac)","disc:mut_log_ratio(read_s,adqa_t3_minus_t0)",harmonic
"pair:disc:diff(adqa_norm,speech_mean)|disc:lex_x_vt|abs_diff",pair,auc_judge_disagree,1.0,0.2524169049252393,0.7111111111111111,0.5777777777777777,1.0,0.4375,0.6428571428571429,"disc:diff(adqa_norm,speech_mean)",disc:lex_x_vt,abs_diff
"pair:disc:mut_ext_scale_peak_over_words|disc:mut_tier_scale_diff(need_mean,speech_mean)|product",pair,auc_judge_disagree,1.0,-0.36283126095424306,0.7111111111111111,0.6666666666666666,1.0,0.375,0.7142857142857143,disc:mut_ext_scale_peak_over_words,"disc:mut_tier_scale_diff(need_mean,speech_mean)",product
"pair:disc:diff(need_mean,speech_mean)|disc:cond_ext_crit|mean_mm",pair,auc_judge_disagree,1.0,-0.42652540225974506,0.5111111111111111,0.6888888888888889,1.0,0.46875,0.75,"disc:diff(need_mean,speech_mean)",disc:cond_ext_crit,mean_mm
"pair:disc:lex_spread_proxy|disc:mut_inv_diff(need_mean,speech_mean)|harmonic",pair,auc_judge_disagree,1.0,0.05295197315034511,0.5777777777777777,0.3888888888888889,1.0,0.234375,0.6964285714285714,disc:lex_spread_proxy,"disc:mut_inv_diff(need_mean,speech_mean)",harmonic
"pair:disc:lex_spread_proxy|disc:mut_inv_diff(need_mean,speech_mean)|max",pair,auc_judge_disagree,1.0,0.28464338398705613,0.6444444444444445,0.4444444444444444,1.0,0.25,0.5982142857142857,disc:lex_spread_proxy,"disc:mut_inv_diff(need_mean,speech_mean)",max
"pair:disc:diff(adqa_norm,speech_mean)|disc:lex_per_need|abs_diff",pair,auc_judge_disagree,1.0,0.5092747103416851,0.5333333333333333,0.37777777777777777,1.0,0.21875,0.7142857142857143,"disc:diff(adqa_norm,speech_mean)",disc:lex_per_need,abs_diff
"pair:disc:lex_spread_proxy|disc:mut_inv_diff(need_mean,speech_mean)|product",pair,auc_judge_disagree,1.0,0.14629104446620766,0.5333333333333333,0.3888888888888889,1.0,0.265625,0.6785714285714286,disc:lex_spread_proxy,"disc:mut_inv_diff(need_mean,speech_mean)",product
"pair:disc:lex_spread_proxy|disc:mut_inv_diff(need_mean,speech_mean)|mean_mm",pair,auc_judge_disagree,1.0,0.29740447626489136,0.6444444444444445,0.4,1.0,0.25,0.5714285714285714,disc:lex_spread_proxy,"disc:mut_inv_diff(need_mean,speech_mean)",mean_mm
"pair:disc:diff(adqa_norm,speech_mean)|disc:mut_inv_diff(need_mean,speech_mean)|mean_mm",pair,auc_judge_disagree,1.0,0.5963274221783309,0.6222222222222222,0.4,1.0,0.34375,0.6964285714285714,"disc:diff(adqa_norm,speech_mean)","disc:mut_inv_diff(need_mean,speech_mean)",mean_mm
"pair:disc:diff(adqa_norm,speech_mean)|disc:mut_inv_diff(need_mean,speech_mean)|product",pair,auc_judge_disagree,1.0,0.3550269577009952,0.5555555555555556,0.4444444444444444,1.0,0.3125,0.6964285714285714,"disc:diff(adqa_norm,speech_mean)","disc:mut_inv_diff(need_mean,speech_mean)",product
"pair:disc:diff(adqa_norm,speech_mean)|disc:mut_inv_diff(need_mean,speech_mean)|harmonic",pair,auc_judge_disagree,1.0,0.21661138431883503,0.5333333333333333,0.5111111111111111,1.0,0.40625,0.7142857142857143,"disc:diff(adqa_norm,speech_mean)","disc:mut_inv_diff(need_mean,speech_mean)",harmonic
"pair:disc:mut_ext_scale_peak_over_words|disc:mut_tier_scale_diff(need_mean,speech_mean)|mean_mm",pair,auc_judge_disagree,1.0,-0.6359956476567523,0.5777777777777777,0.5555555555555556,1.0,0.34375,0.6428571428571429,disc:mut_ext_scale_peak_over_words,"disc:mut_tier_scale_diff(need_mean,speech_mean)",mean_mm
"pair:disc:mut_ext_scale_peak_over_words|disc:mut_tier_scale_diff(need_mean,speech_mean)|max",pair,auc_judge_disagree,1.0,-0.6831858363642993,0.5555555555555556,0.4888888888888889,1.0,0.40625,0.6964285714285714,disc:mut_ext_scale_peak_over_words,"disc:mut_tier_scale_diff(need_mean,speech_mean)",max
"pair:disc:diff(adqa_norm,speech_mean)|disc:mut_ext_scale_diff(need_mean,speech_mean)|product",pair,auc_judge_disagree,1.0,0.423032923719433,0.35555555555555557,0.6,1.0,0.5,0.4642857142857143,"disc:diff(adqa_norm,speech_mean)","disc:mut_ext_scale_diff(need_mean,speech_mean)",product
"pair:disc:mut_ext_scale_peak_over_words|disc:mut_inv_diff(need_mean,speech_mean)|max",pair,auc_judge_disagree,1.0,-0.11150994022948182,0.8,0.6888888888888889,1.0,0.40625,0.6607142857142857,disc:mut_ext_scale_peak_over_words,"disc:mut_inv_diff(need_mean,speech_mean)",max
"pair:disc:mut_ext_scale_peak_over_words|disc:diff(clip_norm,speech_mean)|mean_mm",pair,auc_judge_disagree,1.0,0.40586564357042754,0.5555555555555556,0.5333333333333333,1.0,0.4375,0.625,disc:mut_ext_scale_peak_over_words,"disc:diff(clip_norm,speech_mean)",mean_mm
"pair:disc:mut_ext_scale_peak_over_words|disc:diff(need_std,speech_mean)|product",pair,auc_judge_disagree,1.0,-0.13929588106971205,0.5444444444444444,0.7333333333333333,1.0,0.53125,0.6964285714285714,disc:mut_ext_scale_peak_over_words,"disc:diff(need_std,speech_mean)",product
"pair:disc:mut_ext_scale_peak_over_words|disc:diff(need_std,speech_mean)|mean_mm",pair,auc_judge_disagree,1.0,-0.11177743055621493,0.5111111111111111,0.5777777777777777,1.0,0.625,0.6607142857142857,disc:mut_ext_scale_peak_over_words,"disc:diff(need_std,speech_mean)",mean_mm
"pair:disc:mut_ext_scale_peak_over_words|disc:mut_tier_scale_ratio(read_s,adqa_t3_minus_t0)|harmonic",pair,auc_critical_miss,1.0,0.8826202655032924,0.5555555555555556,1.0,0.84375,0.78125,0.5892857142857143,disc:mut_ext_scale_peak_over_words,"disc:mut_tier_scale_ratio(read_s,adqa_t3_minus_t0)",harmonic
"pair:disc:mut_ext_scale_peak_over_words|disc:mut_ext_scale_diff(need_mean,speech_mean)|max",pair,auc_judge_disagree,1.0,-0.08824689143504755,0.35555555555555557,0.6444444444444445,1.0,0.5625,0.48214285714285715,disc:mut_ext_scale_peak_over_words,"disc:mut_ext_scale_diff(need_mean,speech_mean)",max
"pair:disc:mut_ext_scale_peak_over_words|disc:mut_ext_scale_diff(need_mean,speech_mean)|product",pair,auc_judge_disagree,1.0,-0.16619851904454913,0.6444444444444445,0.8,1.0,0.5,0.4017857142857143,disc:mut_ext_scale_peak_over_words,"disc:mut_ext_scale_diff(need_mean,speech_mean)",product
"pair:disc:mut_ext_scale_peak_over_words|disc:mut_ext_scale_diff(need_mean,speech_mean)|mean_mm",pair,auc_judge_disagree,1.0,-0.13568704137037854,0.35555555555555557,0.7111111111111111,1.0,0.65625,0.4642857142857143,disc:mut_ext_scale_peak_over_words,"disc:mut_ext_scale_diff(need_mean,speech_mean)",mean_mm
"pair:disc:mut_ext_scale_peak_over_words|disc:mut_inv_diff(need_mean,speech_mean)|harmonic",pair,auc_judge_disagree,1.0,-0.0890776235166828,0.6222222222222222,0.6,1.0,0.28125,0.6785714285714286,disc:mut_ext_scale_peak_over_words,"disc:mut_inv_diff(need_mean,speech_mean)",harmonic
"pair:disc:mut_ext_scale_peak_over_words|disc:mut_inv_diff(need_mean,speech_mean)|abs_diff",pair,auc_judge_disagree,1.0,-0.07830397541638587,0.8,0.7111111111111111,1.0,0.4375,0.6607142857142857,disc:mut_ext_scale_peak_over_words,"disc:mut_inv_diff(need_mean,speech_mean)",abs_diff
"pair:disc:mut_ext_scale_peak_over_words|disc:mut_inv_diff(need_mean,speech_mean)|product",pair,auc_judge_disagree,1.0,-0.11657809789096073,0.6666666666666666,0.6444444444444445,1.0,0.34375,0.7142857142857143,disc:mut_ext_scale_peak_over_words,"disc:mut_inv_diff(need_mean,speech_mean)",product
"pair:disc:mut_ext_scale_peak_over_words|disc:mut_tier_scale_diff(need_mean,speech_mean)|abs_diff",pair,auc_judge_disagree,1.0,-0.5307933600744325,0.4444444444444444,0.5111111111111111,1.0,0.40625,0.6964285714285714,disc:mut_ext_scale_peak_over_words,"disc:mut_tier_scale_diff(need_mean,speech_mean)",abs_diff
"pair:disc:mut_ext_scale_peak_over_words|disc:mut_inv_diff(need_mean,speech_mean)|mean_mm",pair,auc_judge_disagree,1.0,-0.12074353461152632,0.7555555555555555,0.6888888888888889,1.0,0.40625,0.6785714285714286,disc:mut_ext_scale_peak_over_words,"disc:mut_inv_diff(need_mean,speech_mean)",mean_mm
"pair:disc:std_ratio(clip_top3,crit_w)|disc:mut_ext_scale_diff(need_mean,speech_mean)|max",pair,auc_judge_disagree,1.0,0.0,0.35555555555555557,0.7111111111111111,1.0,0.6875,0.5,"disc:std_ratio(clip_top3,crit_w)","disc:mut_ext_scale_diff(need_mean,speech_mean)",max
"pair:disc:mut_ext_scale_peak_over_words|disc:diff(adqa_norm,speech_mean)|mean_mm",pair,auc_judge_disagree,1.0,0.5021018270974361,0.6888888888888889,0.4,1.0,0.125,0.625,disc:mut_ext_scale_peak_over_words,"disc:diff(adqa_norm,speech_mean)",mean_mm
pair:disc:mut_ext_scale_peak_over_words|disc:cond_clip_adqa|abs_diff,pair,auc_gt_dispute,1.0,0.1326983400186081,0.15555555555555556,0.6666666666666666,0.4375,1.0,0.4107142857142857,disc:mut_ext_scale_peak_over_words,disc:cond_clip_adqa,abs_diff
pair:disc:mut_ext_scale_peak_over_words|disc:tier3_clip_diverge|abs_diff,pair,auc_gt_dispute,1.0,0.05738306595399269,0.4888888888888889,0.5777777777777777,0.375,1.0,0.48214285714285715,disc:mut_ext_scale_peak_over_words,disc:tier3_clip_diverge,abs_diff
pair:disc:mut_ext_scale_peak_over_words|disc:mut_tier_scale_lex_minus_clip|harmonic,pair,auc_ensemble_violation,1.0,-0.331748517017471,1.0,0.5111111111111111,0.6875,0.40625,0.48214285714285715,disc:mut_ext_scale_peak_over_words,disc:mut_tier_scale_lex_minus_clip,harmonic
pair:disc:mut_ext_scale_peak_over_words|disc:mut_tier_scale_lex_minus_clip|product,pair,auc_ensemble_violation,1.0,-0.5158540003352747,1.0,0.5333333333333333,0.65625,0.40625,0.5,disc:mut_ext_scale_peak_over_words,disc:mut_tier_scale_lex_minus_clip,product
"pair:disc:diff(adqa_v4_score,gain_vs_cross)|disc:diff(need_mean,speech_mean)|abs_diff",pair,auc_judge_disagree,1.0,-0.0017957344504778002,0.4888888888888889,0.6222222222222222,1.0,0.59375,0.6428571428571429,"disc:diff(adqa_v4_score,gain_vs_cross)","disc:diff(need_mean,speech_mean)",abs_diff
pair:disc:mut_ext_scale_peak_over_words|disc:mut_tier_scale_lex_minus_clip|mean_mm,pair,auc_ensemble_violation,1.0,-0.7884194165970455,1.0,0.5555555555555556,0.53125,0.375,0.32142857142857145,disc:mut_ext_scale_peak_over_words,disc:mut_tier_scale_lex_minus_clip,mean_mm
"pair:disc:diff(adqa_norm,speech_mean)|disc:mut_ext_scale_diff(need_mean,speech_mean)|mean_mm",pair,auc_judge_disagree,1.0,0.4229590488132021,0.4,0.5111111111111111,1.0,0.375,0.48214285714285715,"disc:diff(adqa_norm,speech_mean)","disc:mut_ext_scale_diff(need_mean,speech_mean)",mean_mm
"pair:disc:diff(adqa_norm,speech_mean)|disc:mut_ext_scale_diff(need_mean,speech_mean)|harmonic",pair,auc_judge_disagree,1.0,0.4374136463387905,0.35555555555555557,0.6,1.0,0.5,0.4642857142857143,"disc:diff(adqa_norm,speech_mean)","disc:mut_ext_scale_diff(need_mean,speech_mean)",harmonic
"pair:disc:diff(story_recall,speech_mean)|disc:mut_inv_diff(need_mean,speech_mean)|harmonic",pair,auc_judge_disagree,1.0,0.2313026137343029,0.5555555555555556,0.4888888888888889,1.0,0.40625,0.6964285714285714,"disc:diff(story_recall,speech_mean)","disc:mut_inv_diff(need_mean,speech_mean)",harmonic
"pair:disc:product(read_s,extended_seconds_frac)|disc:mut_inv_diff(need_mean,speech_mean)|harmonic",pair,auc_judge_disagree,1.0,0.04842085465714768,0.5333333333333333,0.5111111111111111,1.0,0.40625,0.7142857142857143,"disc:product(read_s,extended_seconds_frac)","disc:mut_inv_diff(need_mean,speech_mean)",harmonic
"pair:disc:diff(adqa_norm,speech_mean)|disc:diff(adqa_v4_score,n_ext)|abs_diff",pair,auc_judge_disagree,1.0,0.01345218444143182,0.5777777777777777,0.4888888888888889,1.0,0.4375,0.8482142857142857,"disc:diff(adqa_norm,speech_mean)","disc:diff(adqa_v4_score,n_ext)",abs_diff
"pair:disc:read_minus_lex|disc:mut_tier_scale_ratio(read_s,adqa_t3_minus_t0)|harmonic",pair,auc_critical_miss,1.0,0.9248509002163686,0.5111111111111111,1.0,0.8125,0.75,0.5357142857142857,disc:read_minus_lex,"disc:mut_tier_scale_ratio(read_s,adqa_t3_minus_t0)",harmonic
"pair:disc:read_minus_lex|disc:mut_tier_scale_ratio(read_s,adqa_t3_minus_t0)|product",pair,auc_critical_miss,1.0,0.9308838480325222,0.4666666666666667,1.0,0.8125,0.65625,0.44642857142857145,disc:read_minus_lex,"disc:mut_tier_scale_ratio(read_s,adqa_t3_minus_t0)",product
"pair:disc:read_minus_lex|disc:mut_inv_diff(need_mean,speech_mean)|harmonic",pair,auc_judge_disagree,1.0,0.08608844151947868,0.5555555555555556,0.4888888888888889,1.0,0.40625,0.6964285714285714,disc:read_minus_lex,"disc:mut_inv_diff(need_mean,speech_mean)",harmonic
"pair:disc:read_minus_lex|disc:mut_inv_diff(need_mean,speech_mean)|product",pair,auc_judge_disagree,1.0,0.14945909986020606,0.4888888888888889,0.5333333333333333,1.0,0.40625,0.6964285714285714,disc:read_minus_lex,"disc:mut_inv_diff(need_mean,speech_mean)",product
"pair:disc:read_minus_lex|disc:mut_inv_diff(need_mean,speech_mean)|mean_mm",pair,auc_judge_disagree,1.0,0.22714130273455438,0.4666666666666667,0.6666666666666666,1.0,0.3125,0.5,disc:read_minus_lex,"disc:mut_inv_diff(need_mean,speech_mean)",mean_mm
"pair:disc:diff(need_mean,speech_mean)|disc:product(read_s,extended_seconds_frac)|harmonic",pair,auc_judge_disagree,1.0,0.17156525045186896,0.6222222222222222,0.5777777777777777,1.0,0.21875,0.6607142857142857,"disc:diff(need_mean,speech_mean)","disc:product(read_s,extended_seconds_frac)",harmonic
"pair:disc:product(read_s,extended_seconds_frac)|disc:mut_inv_diff(need_mean,speech_mean)|mean_mm",pair,auc_judge_disagree,1.0,0.15660795083277174,0.7111111111111111,0.5555555555555556,1.0,0.09375,0.6785714285714286,"disc:product(read_s,extended_seconds_frac)","disc:mut_inv_diff(need_mean,speech_mean)",mean_mm
"pair:disc:product(read_s,extended_seconds_frac)|disc:mut_inv_diff(need_mean,speech_mean)|product",pair,auc_judge_disagree,1.0,0.10879747589630714,0.5777777777777777,0.6,1.0,0.25,0.6428571428571429,"disc:product(read_s,extended_seconds_frac)","disc:mut_inv_diff(need_mean,speech_mean)",product
"pair:disc:product(read_s,extended_seconds_frac)|disc:mut_ext_scale_diff(need_mean,speech_mean)|mean_mm",pair,auc_judge_disagree,1.0,0.14704410650710628,0.35555555555555557,0.5777777777777777,1.0,0.375,0.6071428571428571,"disc:product(read_s,extended_seconds_frac)","disc:mut_ext_scale_diff(need_mean,speech_mean)",mean_mm
"pair:tribe_pressure|disc:mut_inv_diff(need_mean,speech_mean)|product",pair,auc_judge_disagree,1.0,0.0,0.6222222222222222,0.5777777777777777,1.0,0.4375,0.7678571428571429,tribe_pressure,"disc:mut_inv_diff(need_mean,speech_mean)",product
"pair:disc:product(read_s,extended_seconds_frac)|disc:mut_ext_scale_diff(need_mean,speech_mean)|product",pair,auc_judge_disagree,1.0,0.19668817541603117,0.35555555555555557,0.6888888888888889,1.0,0.3125,0.42857142857142855,"disc:product(read_s,extended_seconds_frac)","disc:mut_ext_scale_diff(need_mean,speech_mean)",product
"pair:disc:product(read_s,extended_seconds_frac)|disc:mut_ext_scale_diff(need_mean,speech_mean)|harmonic",pair,auc_judge_disagree,1.0,0.18353577462833304,0.37777777777777777,0.7777777777777778,1.0,0.34375,0.35714285714285715,"disc:product(read_s,extended_seconds_frac)","disc:mut_ext_scale_diff(need_mean,speech_mean)",harmonic
"pair:disc:product(read_s,extended_seconds_frac)|disc:mut_tier_scale_ratio(read_s,adqa_t3_minus_t0)|harmonic",pair,auc_critical_miss,1.0,0.9248509002163686,0.5111111111111111,1.0,0.8125,0.75,0.5357142857142857,"disc:product(read_s,extended_seconds_frac)","disc:mut_tier_scale_ratio(read_s,adqa_t3_minus_t0)",harmonic
pair:tribe_pressure|disc:mut_tier_scale_lex_minus_clip|harmonic,pair,auc_ensemble_violation,1.0,-0.5105522851224639,1.0,0.4666666666666667,0.625,0.40625,0.42857142857142855,tribe_pressure,disc:mut_tier_scale_lex_minus_clip,harmonic
"pair:disc:diff(story_recall,speech_mean)|disc:lex_x_vt|abs_diff",pair,auc_judge_disagree,1.0,0.12026283472473528,0.4666666666666667,0.6,1.0,0.03125,0.32142857142857145,"disc:diff(story_recall,speech_mean)",disc:lex_x_vt,abs_diff
"pair:tribe_pressure|disc:mut_tier_scale_diff(need_mean,speech_mean)|harmonic",pair,auc_judge_disagree,1.0,-0.2552556165259513,0.6666666666666666,0.6,1.0,0.40625,0.7678571428571429,tribe_pressure,"disc:mut_tier_scale_diff(need_mean,speech_mean)",harmonic
"pair:disc:diff(story_recall,speech_mean)|disc:mut_inv_diff(need_mean,speech_mean)|mean_mm",pair,auc_judge_disagree,1.0,0.490505043694793,0.4666666666666667,0.4444444444444444,1.0,0.28125,0.625,"disc:diff(story_recall,speech_mean)","disc:mut_inv_diff(need_mean,speech_mean)",mean_mm
"pair:tribe_pressure|disc:mut_tier_scale_diff(need_mean,speech_mean)|product",pair,auc_judge_disagree,1.0,-0.316827814423312,0.6666666666666666,0.5777777777777777,1.0,0.375,0.7678571428571429,tribe_pressure,"disc:mut_tier_scale_diff(need_mean,speech_mean)",product
"pair:tribe_pressure|disc:mut_tier_scale_diff(need_mean,speech_mean)|mean_mm",pair,auc_judge_disagree,1.0,-0.46384644979477424,0.6222222222222222,0.5111111111111111,1.0,0.28125,0.7857142857142857,tribe_pressure,"disc:mut_tier_scale_diff(need_mean,speech_mean)",mean_mm
"pair:tribe_pressure|disc:mut_inv_diff(need_mean,speech_mean)|mean_mm",pair,auc_judge_disagree,1.0,0.0,0.7111111111111111,0.6,1.0,0.25,0.75,tribe_pressure,"disc:mut_inv_diff(need_mean,speech_mean)",mean_mm
"pair:tribe_pressure|disc:mut_inv_diff(need_mean,speech_mean)|harmonic",pair,auc_judge_disagree,1.0,0.0,0.5777777777777777,0.5555555555555556,1.0,0.46875,0.7678571428571429,tribe_pressure,"disc:mut_inv_diff(need_mean,speech_mean)",harmonic
"pair:disc:lex_spread_proxy|disc:mut_tier_scale_diff(need_mean,speech_mean)|max",pair,auc_judge_disagree,1.0,-0.6645151071054325,0.5777777777777777,0.4,1.0,0.25,0.5803571428571429,disc:lex_spread_proxy,"disc:mut_tier_scale_diff(need_mean,speech_mean)",max
"pair:disc:product(read_s,extended_seconds_frac)|disc:mut_tier_scale_diff(need_mean,speech_mean)|product",pair,auc_judge_disagree,1.0,-0.16378215074376046,0.6222222222222222,0.5777777777777777,1.0,0.15625,0.6607142857142857,"disc:product(read_s,extended_seconds_frac)","disc:mut_tier_scale_diff(need_mean,speech_mean)",product
"pair:disc:diff(adqa_norm,speech_mean)|disc:mut_tier_scale_ratio(read_s,adqa_t3_minus_t0)|harmonic",pair,auc_critical_miss,1.0,0.928980561403975,0.5111111111111111,1.0,0.8125,0.75,0.5357142857142857,"disc:diff(adqa_norm,speech_mean)","disc:mut_tier_scale_ratio(read_s,adqa_t3_minus_t0)",harmonic
"pair:disc:diff(adqa_norm,speech_mean)|disc:diff(need_peak_t,lex_purity)|mean_mm",pair,auc_judge_disagree,1.0,0.5182408143969964,0.7111111111111111,0.5111111111111111,1.0,0.3125,0.42857142857142855,"disc:diff(adqa_norm,speech_mean)","disc:diff(need_peak_t,lex_purity)",mean_mm
"pair:disc:diff(adqa_norm,speech_mean)|disc:diff(need_peak_t,lex_purity)|product",pair,auc_judge_disagree,1.0,0.6419284926778027,0.7333333333333333,0.5111111111111111,1.0,0.1875,0.5535714285714286,"disc:diff(adqa_norm,speech_mean)","disc:diff(need_peak_t,lex_purity)",product
"pair:disc:diff(need_mean,speech_mean)|disc:product(need_mean,n_ext)|product",pair,auc_judge_disagree,1.0,0.0,0.6666666666666666,0.5555555555555556,1.0,0.25,0.6785714285714286,"disc:diff(need_mean,speech_mean)","disc:product(need_mean,n_ext)",product
"pair:disc:diff(need_mean,speech_mean)|disc:product(need_mean,n_ext)|mean_mm",pair,auc_judge_disagree,1.0,0.0,0.6,0.5111111111111111,1.0,0.3125,0.7321428571428571,"disc:diff(need_mean,speech_mean)","disc:product(need_mean,n_ext)",mean_mm
"pair:disc:lex_spread_proxy|disc:diff(words,gain_vs_cross)|abs_diff",pair,auc_critical_miss,1.0,-0.13628806858150228,0.3333333333333333,1.0,0.75,0.5625,0.42857142857142855,disc:lex_spread_proxy,"disc:diff(words,gain_vs_cross)",abs_diff
"pair:disc:diff(adqa_norm,speech_mean)|disc:diff(need_peak_t,lex_purity)|harmonic",pair,auc_judge_disagree,1.0,0.6407314232275876,0.7333333333333333,0.4888888888888889,1.0,0.21875,0.5892857142857143,"disc:diff(adqa_norm,speech_mean)","disc:diff(need_peak_t,lex_purity)",harmonic
"pair:disc:diff(need_mean,speech_mean)|disc:diff(clip_mean,read_s)|max",pair,auc_judge_disagree,1.0,-0.15186998737240043,0.6222222222222222,0.5111111111111111,1.0,0.34375,0.5714285714285714,"disc:diff(need_mean,speech_mean)","disc:diff(clip_mean,read_s)",max
"pair:disc:product(read_s,extended_seconds_frac)|disc:mut_tier_scale_diff(need_mean,speech_mean)|mean_mm",pair,auc_judge_disagree,1.0,-0.43814361816954833,0.6,0.5777777777777777,1.0,0.15625,0.6607142857142857,"disc:product(read_s,extended_seconds_frac)","disc:mut_tier_scale_diff(need_mean,speech_mean)",mean_mm
"pair:disc:product(read_s,extended_seconds_frac)|disc:mut_tier_scale_diff(need_mean,speech_mean)|harmonic",pair,auc_judge_disagree,1.0,-0.022714312876871885,0.6222222222222222,0.5777777777777777,1.0,0.21875,0.6607142857142857,"disc:product(read_s,extended_seconds_frac)","disc:mut_tier_scale_diff(need_mean,speech_mean)",harmonic
"pair:tribe_pressure|disc:mut_ext_scale_diff(need_mean,speech_mean)|mean_mm",pair,auc_judge_disagree,1.0,0.0,0.3111111111111111,0.5555555555555556,1.0,0.5,0.7857142857142857,tribe_pressure,"disc:mut_ext_scale_diff(need_mean,speech_mean)",mean_mm
"pair:tribe_pressure|disc:diff(need_std,speech_mean)|harmonic",pair,auc_judge_disagree,1.0,0.0,0.4777777777777778,0.6444444444444445,1.0,0.625,0.7678571428571429,tribe_pressure,"disc:diff(need_std,speech_mean)",harmonic
"pair:disc:diff(need_mean,speech_mean)|disc:diff(clip_mean,read_s)|mean_mm",pair,auc_judge_disagree,1.0,-0.2337164457084494,0.6222222222222222,0.5777777777777777,1.0,0.46875,0.6071428571428571,"disc:diff(need_mean,speech_mean)","disc:diff(clip_mean,read_s)",mean_mm
"pair:tribe_pressure|disc:diff(need_std,speech_mean)|product",pair,auc_judge_disagree,1.0,0.0,0.4777777777777778,0.6,1.0,0.5625,0.8214285714285714,tribe_pressure,"disc:diff(need_std,speech_mean)",product
"pair:tribe_pressure|disc:diff(need_std,speech_mean)|mean_mm",pair,auc_judge_disagree,1.0,0.0,0.4888888888888889,0.5111111111111111,1.0,0.40625,0.8035714285714286,tribe_pressure,"disc:diff(need_std,speech_mean)",mean_mm
"pair:tribe_pressure|disc:mut_tier_scale_ratio(read_s,adqa_t3_minus_t0)|harmonic",pair,auc_critical_miss,1.0,0.8619197830190941,0.5333333333333333,1.0,0.8125,0.75,0.5357142857142857,tribe_pressure,"disc:mut_tier_scale_ratio(read_s,adqa_t3_minus_t0)",harmonic
"pair:disc:read_minus_lex|disc:spread_diff(clip_top3,crit_w)|mean_mm",pair,auc_critical_miss,1.0,0.2104045751646399,0.37777777777777777,1.0,0.71875,0.78125,0.625,disc:read_minus_lex,"disc:spread_diff(clip_top3,crit_w)",mean_mm
