name,kind,best_target,best_auc,tier_gt_rho,auc_ensemble_violation,auc_critical_miss,auc_judge_disagree,auc_gt_dispute,auc_low_margin
"triple:disc:mut_inv_diff(need_mean,speech_mean)|disc:diff(adqa_norm,speech_mean)|novel:inversion_mass_adqa|mean_mm",triple,auc_judge_disagree,1.0,0.4289372685844135,0.8666666666666667,0.37777777777777777,1.0,0.28125,0.6071428571428571
"triple:disc:mut_inv_diff(need_mean,speech_mean)|disc:diff(adqa_norm,speech_mean)|novel:visual_lexicon_purity|mean_mm",triple,auc_judge_disagree,1.0,0.5367707627779733,0.7333333333333333,0.5111111111111111,1.0,0.25,0.44642857142857145
"triple:disc:mut_inv_diff(need_mean,speech_mean)|disc:diff(adqa_norm,speech_mean)|disc:std_ratio(clip_top3,crit_w)|mean_mm",triple,auc_judge_disagree,1.0,0.4875238223422846,0.6444444444444445,0.7777777777777778,1.0,0.71875,0.6607142857142857
"triple:disc:mut_inv_diff(need_mean,speech_mean)|disc:diff(adqa_norm,speech_mean)|disc:mut_tier_scale_lex_minus_clip|mean_mm",triple,auc_judge_disagree,1.0,-0.3042497976102321,0.7555555555555555,0.5555555555555556,1.0,0.28125,0.5178571428571429
"triple:disc:mut_inv_diff(need_mean,speech_mean)|disc:diff(need_std,speech_mean)|disc:ratio(adqa_v4_score,crit_w)|mean_mm",triple,auc_judge_disagree,1.0,0.2812616703058305,0.4222222222222222,0.5555555555555556,1.0,0.625,0.5892857142857143
"triple:disc:mut_inv_diff(need_mean,speech_mean)|disc:diff(need_std,speech_mean)|disc:spread_diff(clip_top3,gain_vs_cross)|mean_mm",triple,auc_judge_disagree,1.0,0.0,0.6,0.7777777777777778,1.0,0.6875,0.6964285714285714
"triple:disc:mut_inv_diff(need_mean,speech_mean)|disc:diff(need_std,speech_mean)|novel:inversion_mass_adqa|mean_mm",triple,auc_judge_disagree,1.0,0.0,0.8222222222222222,0.4666666666666667,1.0,0.5,0.5535714285714286
"triple:disc:mut_inv_diff(need_mean,speech_mean)|disc:diff(need_std,speech_mean)|novel:visual_lexicon_purity|mean_mm",triple,auc_judge_disagree,1.0,0.239398827411034,0.5777777777777777,0.7111111111111111,1.0,0.59375,0.44642857142857145
"triple:disc:mut_inv_diff(need_mean,speech_mean)|disc:diff(need_std,speech_mean)|disc:std_ratio(clip_top3,crit_w)|mean_mm",triple,auc_judge_disagree,1.0,0.0,0.4888888888888889,0.6444444444444445,1.0,0.75,0.7142857142857143
"triple:disc:mut_inv_diff(need_mean,speech_mean)|disc:diff(need_std,speech_mean)|disc:mut_tier_scale_lex_minus_clip|mean_mm",triple,auc_judge_disagree,1.0,-0.5881764260284251,0.6222222222222222,0.6444444444444445,1.0,0.625,0.5714285714285714
"triple:disc:mut_tier_scale_diff(need_mean,speech_mean)|disc:mut_ext_scale_diff(need_mean,speech_mean)|disc:mut_tier_scale_lex_minus_clip|mean_mm",triple,auc_judge_disagree,1.0,-0.7083222203695972,0.4444444444444444,0.6444444444444445,1.0,0.53125,0.5357142857142857
"triple:disc:mut_inv_diff(need_mean,speech_mean)|disc:ratio(adqa_v4_score,crit_w)|novel:visual_lexicon_purity|mean_mm",triple,auc_judge_disagree,1.0,0.3162046030173139,0.6666666666666666,0.7777777777777778,1.0,0.46875,0.375
"triple:disc:mut_inv_diff(need_mean,speech_mean)|disc:ratio(adqa_v4_score,crit_w)|disc:std_ratio(clip_top3,crit_w)|mean_mm",triple,auc_judge_disagree,1.0,0.3781041582751069,0.5777777777777777,0.8666666666666667,1.0,0.78125,0.6607142857142857
"triple:disc:mut_ext_scale_diff(need_mean,speech_mean)|disc:diff(adqa_norm,speech_mean)|disc:ratio(adqa_v4_score,crit_w)|mean_mm",triple,auc_judge_disagree,1.0,0.4785334050580601,0.4,0.5111111111111111,1.0,0.40625,0.4642857142857143
"triple:disc:mut_ext_scale_diff(need_mean,speech_mean)|disc:diff(clip_norm,speech_mean)|novel:visual_lexicon_purity|mean_mm",triple,auc_judge_disagree,1.0,0.4608577484430038,0.4666666666666667,0.6666666666666666,1.0,0.59375,0.4107142857142857
"triple:disc:mut_inv_diff(need_mean,speech_mean)|clip_top3|disc:diff(need_std,speech_mean)|mean_mm",triple,auc_judge_disagree,1.0,0.44471876114344344,0.4444444444444444,0.5333333333333333,1.0,0.5625,0.7678571428571429
"triple:disc:diff(need_mean,speech_mean)|disc:diff(clip_norm,speech_mean)|disc:diff(adqa_norm,speech_mean)|mean_mm",triple,auc_judge_disagree,1.0,0.5857854649470088,0.4888888888888889,0.4,1.0,0.34375,0.7321428571428571
"triple:disc:diff(need_mean,speech_mean)|disc:mut_tier_scale_ratio(read_s,adqa_t3_minus_t0)|disc:diff(adqa_norm,speech_mean)|mean_mm",triple,auc_judge_disagree,1.0,0.481778657905397,0.5333333333333333,0.6666666666666666,1.0,0.6875,0.6428571428571429
"triple:disc:diff(need_mean,speech_mean)|disc:mut_tier_scale_ratio(read_s,adqa_t3_minus_t0)|disc:diff(need_std,speech_mean)|mean_mm",triple,auc_judge_disagree,1.0,0.07531527406461541,0.4666666666666667,0.6444444444444445,1.0,0.71875,0.6607142857142857
"triple:disc:diff(need_mean,speech_mean)|disc:mut_ext_scale_diff(need_mean,speech_mean)|disc:mut_need_scale_ratio(read_s,adqa_t3_minus_t0)|mean_mm",triple,auc_judge_disagree,1.0,0.005379662433186815,0.3333333333333333,0.6666666666666666,1.0,0.6875,0.5535714285714286
"triple:disc:diff(need_mean,speech_mean)|disc:mut_ext_scale_diff(need_mean,speech_mean)|disc:spread_x_need(clip_top3)|mean_mm",triple,auc_judge_disagree,1.0,0.0,0.3111111111111111,0.5777777777777777,1.0,0.53125,0.7142857142857143
"triple:disc:diff(need_mean,speech_mean)|disc:diff(need_std,speech_mean)|disc:ratio(adqa_v4_score,crit_w)|mean_mm",triple,auc_judge_disagree,1.0,0.201157390133713,0.4666666666666667,0.5333333333333333,1.0,0.59375,0.6785714285714286
"triple:disc:diff(need_mean,speech_mean)|disc:mut_ext_scale_diff(need_mean,speech_mean)|clip_top3|mean_mm",triple,auc_judge_disagree,1.0,0.36820800653811975,0.3333333333333333,0.5777777777777777,1.0,0.5625,0.6607142857142857
"triple:disc:diff(need_mean,speech_mean)|disc:diff(adqa_norm,speech_mean)|novel:visual_lexicon_purity|mean_mm",triple,auc_judge_disagree,1.0,0.5158498533155802,0.6666666666666666,0.4666666666666667,1.0,0.3125,0.6071428571428571
"triple:disc:diff(need_mean,speech_mean)|disc:diff(adqa_norm,speech_mean)|disc:ratio(adqa_v4_score,crit_w)|mean_mm",triple,auc_judge_disagree,1.0,0.5454862362466956,0.5333333333333333,0.4222222222222222,1.0,0.3125,0.6785714285714286
"triple:disc:diff(need_mean,speech_mean)|disc:mut_ext_scale_diff(need_mean,speech_mean)|disc:diff(clip_norm,speech_mean)|mean_mm",triple,auc_judge_disagree,1.0,0.3813582924859098,0.3111111111111111,0.6222222222222222,1.0,0.65625,0.5892857142857143
"triple:disc:diff(need_mean,speech_mean)|disc:mut_ext_scale_diff(need_mean,speech_mean)|disc:diff(adqa_norm,speech_mean)|mean_mm",triple,auc_judge_disagree,1.0,0.40920914333941605,0.37777777777777777,0.4444444444444444,1.0,0.375,0.5892857142857143
"triple:disc:diff(need_mean,speech_mean)|disc:diff(clip_norm,speech_mean)|novel:visual_lexicon_purity|mean_mm",triple,auc_judge_disagree,1.0,0.46623741087619064,0.6222222222222222,0.5333333333333333,1.0,0.46875,0.5892857142857143
"triple:disc:diff(need_mean,speech_mean)|disc:diff(clip_norm,speech_mean)|disc:ratio(adqa_v4_score,crit_w)|mean_mm",triple,auc_judge_disagree,1.0,0.5445413862925765,0.4888888888888889,0.4666666666666667,1.0,0.46875,0.6964285714285714
"triple:disc:diff(need_mean,speech_mean)|disc:diff(clip_norm,speech_mean)|disc:diff(need_std,speech_mean)|mean_mm",triple,auc_judge_disagree,1.0,0.34429839572395615,0.4666666666666667,0.5333333333333333,1.0,0.59375,0.6964285714285714
"triple:disc:diff(need_mean,speech_mean)|clip_top3|novel:visual_lexicon_purity|mean_mm",triple,auc_judge_disagree,1.0,0.5236204768301834,0.6,0.5333333333333333,1.0,0.40625,0.6785714285714286
"triple:disc:diff(need_mean,speech_mean)|disc:mut_tier_scale_ratio(read_s,adqa_t3_minus_t0)|disc:diff(clip_norm,speech_mean)|mean_mm",triple,auc_judge_disagree,1.0,0.44591424168415156,0.4444444444444444,0.7111111111111111,1.0,0.71875,0.6607142857142857
"triple:disc:diff(need_mean,speech_mean)|clip_top3|disc:ratio(adqa_v4_score,crit_w)|mean_mm",triple,auc_judge_disagree,1.0,0.5857854649470088,0.4888888888888889,0.5111111111111111,1.0,0.46875,0.75
"triple:disc:diff(need_mean,speech_mean)|clip_top3|disc:diff(need_std,speech_mean)|mean_mm",triple,auc_judge_disagree,1.0,0.3526667595089134,0.4666666666666667,0.5111111111111111,1.0,0.5,0.75
"triple:disc:diff(need_mean,speech_mean)|clip_top3|disc:diff(adqa_norm,speech_mean)|mean_mm",triple,auc_judge_disagree,1.0,0.6437662711713555,0.5111111111111111,0.4,1.0,0.28125,0.75
"triple:disc:diff(need_mean,speech_mean)|clip_top3|disc:diff(clip_norm,speech_mean)|mean_mm",triple,auc_judge_disagree,1.0,0.6156724784647133,0.4666666666666667,0.4666666666666667,1.0,0.4375,0.75
"triple:disc:diff(need_mean,speech_mean)|disc:spread_diff(clip_top3,crit_w)|novel:inversion_mass_adqa|mean_mm",triple,auc_judge_disagree,1.0,0.0,0.8222222222222222,0.6888888888888889,1.0,0.5625,0.6071428571428571
"triple:disc:diff(need_mean,speech_mean)|disc:mut_ext_scale_diff(need_mean,speech_mean)|disc:diff(need_std,speech_mean)|mean_mm",triple,auc_judge_disagree,1.0,0.0,0.3333333333333333,0.6,1.0,0.65625,0.5892857142857143
"triple:disc:diff(need_mean,speech_mean)|disc:mut_ext_scale_diff(need_mean,speech_mean)|disc:ratio(adqa_v4_score,crit_w)|mean_mm",triple,auc_judge_disagree,1.0,0.22805808123628973,0.35555555555555557,0.6,1.0,0.65625,0.5714285714285714
"triple:disc:diff(need_mean,speech_mean)|disc:spread_x_need(clip_top3)|disc:diff(need_std,speech_mean)|mean_mm",triple,auc_judge_disagree,1.0,0.0,0.4666666666666667,0.5333333333333333,1.0,0.5,0.7857142857142857
"triple:disc:diff(need_mean,speech_mean)|disc:mut_ext_scale_diff(need_mean,speech_mean)|disc:spread_diff(clip_top3,gain_vs_cross)|mean_mm",triple,auc_judge_disagree,1.0,0.0,0.4888888888888889,0.8222222222222222,1.0,0.71875,0.625
"triple:disc:diff(need_mean,speech_mean)|disc:mut_ext_scale_diff(need_mean,speech_mean)|novel:visual_lexicon_purity|mean_mm",triple,auc_judge_disagree,1.0,0.19576308608517762,0.4666666666666667,0.6666666666666666,1.0,0.59375,0.48214285714285715
"triple:disc:diff(need_mean,speech_mean)|disc:mut_ext_scale_diff(need_mean,speech_mean)|disc:std_ratio(clip_top3,crit_w)|mean_mm",triple,auc_judge_disagree,1.0,0.0,0.3333333333333333,0.7333333333333333,1.0,0.6875,0.6071428571428571
"triple:disc:diff(need_mean,speech_mean)|disc:mut_need_scale_ratio(read_s,adqa_t3_minus_t0)|disc:diff(need_std,speech_mean)|mean_mm",triple,auc_judge_disagree,1.0,0.017334467840268628,0.4666666666666667,0.6444444444444445,1.0,0.71875,0.6607142857142857
"triple:disc:diff(need_mean,speech_mean)|disc:mut_need_scale_ratio(read_s,adqa_t3_minus_t0)|disc:diff(adqa_norm,speech_mean)|mean_mm",triple,auc_judge_disagree,1.0,0.42977525438459113,0.5333333333333333,0.6222222222222222,1.0,0.625,0.6428571428571429
"triple:disc:diff(need_mean,speech_mean)|disc:ratio(adqa_v4_score,crit_w)|novel:visual_lexicon_purity|mean_mm",triple,auc_judge_disagree,1.0,0.4040724227593653,0.6444444444444445,0.5777777777777777,1.0,0.4375,0.5535714285714286
"triple:disc:diff(need_mean,speech_mean)|disc:spread_diff(clip_top3,gain_vs_cross)|novel:inversion_mass_adqa|mean_mm",triple,auc_judge_disagree,1.0,0.0,0.8222222222222222,0.6888888888888889,1.0,0.5625,0.6071428571428571
"triple:disc:mut_tier_scale_diff(need_mean,speech_mean)|disc:diff(clip_norm,speech_mean)|disc:diff(need_std,speech_mean)|mean_mm",triple,auc_judge_disagree,1.0,-0.0830858975792186,0.4666666666666667,0.5333333333333333,1.0,0.59375,0.6964285714285714
"triple:disc:mut_tier_scale_diff(need_mean,speech_mean)|disc:diff(need_std,speech_mean)|disc:ratio(adqa_v4_score,crit_w)|mean_mm",triple,auc_judge_disagree,1.0,-0.29707691436598305,0.4666666666666667,0.5333333333333333,1.0,0.59375,0.6785714285714286
"triple:disc:mut_ext_scale_diff(need_mean,speech_mean)|disc:diff(clip_norm,speech_mean)|disc:ratio(adqa_v4_score,crit_w)|mean_mm",triple,auc_judge_disagree,1.0,0.46563967060583655,0.37777777777777777,0.6222222222222222,1.0,0.59375,0.44642857142857145
"triple:disc:mut_tier_scale_diff(need_mean,speech_mean)|disc:diff(clip_norm,speech_mean)|disc:ratio(adqa_v4_score,crit_w)|mean_mm",triple,auc_judge_disagree,1.0,0.26019487571379296,0.4888888888888889,0.4666666666666667,1.0,0.46875,0.6964285714285714
"triple:disc:mut_ext_scale_diff(need_mean,speech_mean)|disc:diff(clip_norm,speech_mean)|disc:diff(adqa_norm,speech_mean)|mean_mm",triple,auc_judge_disagree,1.0,0.560680373592137,0.37777777777777777,0.5111111111111111,1.0,0.40625,0.48214285714285715
"triple:disc:mut_log_ratio(read_s,adqa_t3_minus_t0)|disc:diff(need_mean,speech_mean)|disc:mut_ext_scale_diff(need_mean,speech_mean)|mean_mm",triple,auc_judge_disagree,1.0,0.054394364602222245,0.3111111111111111,0.8,1.0,0.71875,0.5714285714285714
"triple:disc:mut_ext_scale_diff(need_mean,speech_mean)|clip_top3|novel:visual_lexicon_purity|mean_mm",triple,auc_judge_disagree,1.0,0.5044927881788523,0.5111111111111111,0.6666666666666666,1.0,0.59375,0.4642857142857143
"triple:disc:mut_ext_scale_diff(need_mean,speech_mean)|clip_top3|disc:ratio(adqa_v4_score,crit_w)|mean_mm",triple,auc_judge_disagree,1.0,0.5266091781819537,0.35555555555555557,0.6,1.0,0.5625,0.5892857142857143
