iteration,timestamp,name,recipe,signature,best_target,best_value,metric_col,tier_gt_rho,auc_ensemble_violation,auc_critical_miss,auc_judge_disagree,auc_gt_dispute,auc_low_margin
20,2026-05-27T20:06:02Z,"diff(adqa_norm,speech_mean)",(adqa_norm) - (speech_mean),0680132f30aa9df2,auc_judge_disagree,0.9375,auto_0680132f30aa9df2,0.7562349778477815,0.6333333333333333,0.3888888888888889,0.9375,0.34375,0.5625
27,2026-05-27T20:14:09Z,"ratio(adqa_v4_score,crit_w)",(adqa_v4_score) / (crit_w + 1e-6),0a6128991c270a35,auc_gt_dispute,0.921875,auto_0a6128991c270a35,0.5930447563352979,0.2111111111111111,0.4666666666666667,0.171875,0.921875,0.41964285714285715
21,2026-05-27T20:06:17Z,"spread_diff(clip_top3,gain_vs_cross)",(clip_top3_spread) - (gain_vs_cross_spread),e28443fa55db3572,auc_critical_miss,0.9111111111111111,auto_e28443fa55db3572,0.0,0.4666666666666667,0.9111111111111111,0.625,0.8125,0.7142857142857143
17,2026-05-27T20:05:59Z,mut_tier_scale_lex_minus_clip,(lex_purity - clip_norm) * tier_idx,9f011183e8600879,auc_ensemble_violation,0.8888888888888888,auto_9f011183e8600879,-0.9452544772976944,0.8888888888888888,0.4222222222222222,0.5,0.375,0.25892857142857145
10,2026-05-27T20:05:43Z,"mut_need_scale_std_ratio(clip_top3,gain_vs_cr",((clip_top3_std) / (gain_vs_cross_std + 1e-6)) * need_mean,56f1677ab5cc7faa,auc_critical_miss,0.8888888888888888,auto_56f1677ab5cc7faa,0.0,0.4666666666666667,0.8888888888888888,0.5625,0.78125,0.8392857142857143
16,2026-05-27T20:05:58Z,lex_minus_clip,lex_purity - clip_norm,784dab2683f37f99,auc_ensemble_violation,0.8888888888888888,auto_784dab2683f37f99,-0.7213360234927774,0.8888888888888888,0.4222222222222222,0.5,0.375,0.25892857142857145
14,2026-05-27T20:05:47Z,"std_ratio(clip_top3,crit_w)",(clip_top3_std) / (crit_w_std + 1e-6),6ea56cda625f86a9,auc_critical_miss,0.8888888888888888,auto_6ea56cda625f86a9,0.0,0.3333333333333333,0.8888888888888888,0.5,0.8125,0.75
21,2026-05-27T20:06:17Z,spread_over_read(clip_top3),clip_top3_spread / (read_s + 0.01),7283aa05692f2d28,auc_low_margin,0.875,auto_7283aa05692f2d28,-0.22714130273455438,0.4,0.4666666666666667,0.375,0.5625,0.875
11,2026-05-27T20:05:44Z,clip_spread_x_tier,clip_top3_spread * tier_idx,b9f0b5dacff732c6,auc_low_margin,0.8571428571428571,auto_b9f0b5dacff732c6,0.9253658510483175,0.28888888888888886,0.4666666666666667,0.4375,0.5,0.8571428571428571
12,2026-05-27T20:05:45Z,cond_ext_crit,extended_seconds_frac - crit_w / (need_max + 0.01),ac6a752fde65c998,auc_critical_miss,0.8444444444444444,auto_ac6a752fde65c998,-0.6776312110668051,0.4666666666666667,0.8444444444444444,0.78125,0.59375,0.7857142857142857
18,2026-05-27T20:06:00Z,tier3_clip_diverge,tier_idx * (clip_norm - adqa_norm),40aeb93c992bd071,auc_gt_dispute,0.84375,auto_40aeb93c992bd071,-0.011128680511624894,0.1111111111111111,0.6,0.46875,0.84375,0.6785714285714286
19,2026-05-27T20:06:01Z,cond_clip_adqa,clip_norm - adqa_norm + 0.1 * adqa_inversion,60ae2e5f44818a3e,auc_gt_dispute,0.84375,auto_60ae2e5f44818a3e,-0.036967061081384193,0.1111111111111111,0.6,0.46875,0.84375,0.6785714285714286
7,2026-05-27T20:04:08Z,"std_ratio(clip_top3,gain_vs_cross)",(clip_top3_std) / (gain_vs_cross_std + 1e-6),3d8186f18f664499,auc_critical_miss,0.8222222222222222,auto_3d8186f18f664499,0.0,0.4,0.8222222222222222,0.46875,0.75,0.7321428571428571
8,2026-05-27T20:05:41Z,peak_minus_lex,need_peak_t - lex_purity,4c8a4e9f389985dd,auc_judge_disagree,0.8125,auto_4c8a4e9f389985dd,-0.31830181172628114,0.6888888888888889,0.6888888888888889,0.8125,0.625,0.4642857142857143
20,2026-05-27T20:06:02Z,"product(clip_norm,need_peak_t)",(clip_norm) * (need_peak_t),9977b05fc1618e80,auc_judge_disagree,0.8125,auto_9977b05fc1618e80,0.6849876123970944,0.6666666666666666,0.6888888888888889,0.8125,0.65625,0.48214285714285715
26,2026-05-27T20:06:22Z,"diff(need_peak_t,lex_purity)",(need_peak_t) - (lex_purity),32d46372f6394389,auc_judge_disagree,0.8125,auto_32d46372f6394389,-0.31830181172628114,0.6888888888888889,0.6888888888888889,0.8125,0.625,0.4642857142857143
8,2026-05-27T20:05:41Z,peak_over_words,need_peak_t / (words + 1),67c0fdfcedfa3b08,auc_ensemble_violation,0.8,auto_67c0fdfcedfa3b08,-0.22235938057172172,0.8,0.6222222222222222,0.65625,0.59375,0.48214285714285715
1,2026-05-27T19:53:21Z,"diff(clip_top3,story_recall)",(clip_top3) - (story_recall),c6607c26f7d9507f,auc_gt_dispute,0.78125,auto_c6607c26f7d9507f,-0.5786125817027596,0.5777777777777777,0.7555555555555555,0.71875,0.78125,0.6785714285714286
27,2026-05-27T20:14:09Z,sq(need_std),(need_std) ** 2,8f5a7b7725bc6f96,auc_judge_disagree,0.78125,auto_8f5a7b7725bc6f96,0.0,0.35555555555555557,0.6222222222222222,0.78125,0.75,0.6607142857142857
26,2026-05-27T20:06:22Z,"product(n_ext,need_skew)",(n_ext) * (need_skew),128519245a1aaa84,auc_gt_dispute,0.78125,auto_128519245a1aaa84,0.0,0.35555555555555557,0.6,0.1875,0.78125,0.125
4,2026-05-27T19:53:27Z,"product(read_s,extended_seconds_frac)",(read_s) * (extended_seconds_frac),b959b6bb6c119d36,auc_judge_disagree,0.78125,auto_b959b6bb6c119d36,0.20174058489693875,0.6666666666666666,0.5333333333333333,0.78125,0.09375,0.6607142857142857
7,2026-05-27T20:04:08Z,"std_ratio(crit_w,gain_vs_cross)",(crit_w_std) / (gain_vs_cross_std + 1e-6),2cb5d5f030b18647,auc_critical_miss,0.7777777777777778,auto_2cb5d5f030b18647,0.0,0.6,0.7777777777777778,0.6875,0.5625,0.5178571428571429
21,2026-05-27T20:06:17Z,"spread_diff(crit_w,gain_vs_cross)",(crit_w_spread) - (gain_vs_cross_spread),ed97d81e643681e3,auc_ensemble_violation,0.7777777777777778,auto_ed97d81e643681e3,0.0,0.7777777777777778,0.4888888888888889,0.421875,0.546875,0.4017857142857143
2,2026-05-27T19:53:23Z,"ratio(adqa_v4_score,vt_consistency)",(adqa_v4_score) / (vt_consistency + 1e-6),afd9475e33804647,auc_ensemble_violation,0.7555555555555555,auto_afd9475e33804647,0.4219882506777165,0.7555555555555555,0.3333333333333333,0.625,0.65625,0.48214285714285715
4,2026-05-27T19:53:27Z,log1p(need_mean),log1p(abs(need_mean)),db84256d48f94be1,auc_judge_disagree,0.75,auto_db84256d48f94be1,0.0,0.5555555555555556,0.5555555555555556,0.75,0.40625,0.75
5,2026-05-27T19:54:05Z,"product(need_mean,n_ext)",(need_mean) * (n_ext),7e31c00661ffc9bc,auc_judge_disagree,0.75,auto_7e31c00661ffc9bc,0.0,0.6444444444444445,0.5555555555555556,0.75,0.3125,0.6964285714285714
22,2026-05-27T20:06:18Z,skew_x_crit_spread,need_skew * crit_w_spread,c0d6097989cbc96c,auc_gt_dispute,0.75,auto_c0d6097989cbc96c,0.0,0.3333333333333333,0.5111111111111111,0.1875,0.75,0.19642857142857142
22,2026-05-27T20:06:18Z,need_skew_x_clip,need_skew * clip_norm,a7be7d68f8b5c615,auc_gt_dispute,0.75,auto_a7be7d68f8b5c615,0.004217162081600405,0.3333333333333333,0.5111111111111111,0.15625,0.75,0.16071428571428573
22,2026-05-27T20:06:18Z,skew_per_ext,need_skew / (n_ext + 1),3ce94f08772382fd,auc_gt_dispute,0.75,auto_3ce94f08772382fd,0.0,0.3111111111111111,0.4888888888888889,0.125,0.75,0.16071428571428573
6,2026-05-27T19:55:27Z,"product(need_max,need_mean)",(need_max) * (need_mean),7ab6abdfbfab7c0c,auc_judge_disagree,0.75,auto_7ab6abdfbfab7c0c,0.0,0.4,0.5555555555555556,0.75,0.53125,0.7142857142857143
1,2026-05-27T19:53:21Z,"diff(adqa_v4_score,gain_vs_cross)",(adqa_v4_score) - (gain_vs_cross),b0247071299c6fb8,auc_gt_dispute,0.734375,auto_b0247071299c6fb8,-0.0032878020318813524,0.43333333333333335,0.6444444444444445,0.4375,0.734375,0.42857142857142855
10,2026-05-27T20:05:43Z,mut_ext_scale_peak_over_words,(need_peak_t / (words + 1)) * extended_seconds_frac,f1f3a21ff559d18d,auc_ensemble_violation,0.7111111111111111,auto_f1f3a21ff559d18d,-0.16138987299560445,0.7111111111111111,0.6222222222222222,0.53125,0.46875,0.6071428571428571
29,2026-05-27T20:34:11Z,"diff(adqa_v4_score,n_ext)",(adqa_v4_score) - (n_ext),8b16943a5b01cad9,auc_gt_dispute,0.703125,auto_8b16943a5b01cad9,0.18755750548976,0.34444444444444444,0.43333333333333335,0.25,0.703125,0.2857142857142857
3,2026-05-27T19:53:25Z,"product(crit_w,extended_seconds_frac)",(crit_w) * (extended_seconds_frac),21b278e2cf085a99,auc_ensemble_violation,0.6888888888888889,auto_21b278e2cf085a99,0.7255317021948546,0.6888888888888889,0.17777777777777778,0.46875,0.0625,0.5178571428571429
29,2026-05-27T20:34:11Z,"diff(clip_mean,words)",(clip_mean) - (words),e1a090a69327d3a3,auc_gt_dispute,0.6875,auto_e1a090a69327d3a3,-0.290501771392088,0.6,0.5333333333333333,0.40625,0.6875,0.6428571428571429
5,2026-05-27T19:54:05Z,"diff(clip_mean,read_s)",(clip_mean) - (read_s),39f6c265fc06d574,auc_gt_dispute,0.6875,auto_39f6c265fc06d574,-0.290501771392088,0.6,0.5333333333333333,0.40625,0.6875,0.6428571428571429
9,2026-05-27T20:05:42Z,lex_x_gain,lex_purity * gain_vs_cross,741c7a313a073eb6,auc_ensemble_violation,0.6666666666666666,auto_741c7a313a073eb6,0.6920358040504717,0.6666666666666666,0.1111111111111111,0.4375,0.28125,0.36607142857142855
12,2026-05-27T20:05:45Z,cond_lex_inversion,lex_purity * (1 - adqa_inversion),67c679320f199ca1,auc_ensemble_violation,0.6666666666666666,auto_67c679320f199ca1,0.46982723872401866,0.6666666666666666,0.4222222222222222,0.5625,0.46875,0.33035714285714285
9,2026-05-27T20:05:42Z,lex_spread_proxy,lex_purity * adqa_v4_score_spread,51d336b428ec5d06,auc_ensemble_violation,0.6666666666666666,auto_51d336b428ec5d06,0.3611338453117201,0.6666666666666666,0.1111111111111111,0.4375,0.28125,0.36607142857142855
8,2026-05-27T20:05:41Z,need_peak_x_adqa,need_peak_t * adqa_v4_score,2800a839060572c5,auc_ensemble_violation,0.6444444444444445,auto_2800a839060572c5,0.726451075127372,0.6444444444444445,0.24444444444444444,0.46875,0.4375,0.30357142857142855
13,2026-05-27T20:05:46Z,"diff(words,gain_vs_cross)",(words) - (gain_vs_cross),f269d587d4d8e018,auc_judge_disagree,0.625,auto_f269d587d4d8e018,0.29066304635936235,0.4,0.4888888888888889,0.625,0.34375,0.39285714285714285
3,2026-05-27T19:53:25Z,"ratio(clip_norm,need_mean)",(clip_norm) / (need_mean + 1e-6),d94b2e4951391b8b,auc_gt_dispute,0.625,auto_d94b2e4951391b8b,0.6759508365079507,0.4,0.4666666666666667,0.25,0.625,0.25
23,2026-05-27T20:06:19Z,lex_per_need,lex_purity / (need_mean + 0.01),1a3b2f48a991235d,auc_gt_dispute,0.625,auto_1a3b2f48a991235d,0.43127653926856685,0.6222222222222222,0.4,0.34375,0.625,0.25
16,2026-05-27T20:05:58Z,words_x_lex,words * lex_purity,adc38efd718479dc,auc_judge_disagree,0.625,auto_adc38efd718479dc,0.643818030441334,0.4888888888888889,0.4444444444444444,0.625,0.375,0.35714285714285715
9,2026-05-27T20:05:42Z,read_minus_lex,read_s - lex_purity,61998dac7d301178,auc_judge_disagree,0.625,auto_61998dac7d301178,0.2905251279428861,0.4,0.4888888888888889,0.625,0.3125,0.375
16,2026-05-27T20:05:58Z,lex_x_adqa,lex_purity * adqa_v4_score,5604f1f801e5edbb,auc_ensemble_violation,0.6222222222222222,auto_5604f1f801e5edbb,0.7106892280337112,0.6222222222222222,0.13333333333333333,0.40625,0.34375,0.3482142857142857
5,2026-05-27T19:54:05Z,"diff(words,adqa_norm)",(words) - (adqa_norm),74c210f2f66b89ca,auc_judge_disagree,0.609375,auto_74c210f2f66b89ca,0.28620745136951836,0.4,0.4777777777777778,0.609375,0.328125,0.375
28,2026-05-27T20:24:10Z,"std_ratio(adqa_v4_score,clip_top3)",(adqa_v4_score_std) / (clip_top3_std + 1e-6),05bbf7063f14357c,auc_ensemble_violation,0.6,auto_05bbf7063f14357c,0.0,0.6,0.17777777777777778,0.53125,0.25,0.26785714285714285
14,2026-05-27T20:05:47Z,"spread_diff(adqa_v4_score,crit_w)",(adqa_v4_score_spread) - (crit_w_spread),90e90e14f23da524,auc_low_margin,0.5982142857142857,auto_90e90e14f23da524,0.0,0.2222222222222222,0.5111111111111111,0.578125,0.453125,0.5982142857142857
20,2026-05-27T20:06:02Z,"diff(story_recall,speech_mean)",(story_recall) - (speech_mean),894b297285ca0d9a,auc_judge_disagree,0.59375,auto_894b297285ca0d9a,0.5904082713133152,0.4888888888888889,0.2111111111111111,0.59375,0.34375,0.4642857142857143
7,2026-05-27T20:04:08Z,spread_x_need(adqa_v4_score),adqa_v4_score_spread * need_mean,a1b57bf920bdf5a8,auc_ensemble_violation,0.5555555555555556,auto_a1b57bf920bdf5a8,0.0,0.5555555555555556,0.08888888888888889,0.40625,0.1875,0.5
11,2026-05-27T20:05:44Z,t3_adqa_minus_clip,adqa_t3_minus_t0 - (clip_norm - adqa_norm),e25dd7e5addddbe1,auc_ensemble_violation,0.5555555555555556,auto_e25dd7e5addddbe1,0.020051559802783232,0.5555555555555556,0.06666666666666667,0.28125,0.171875,0.3392857142857143
14,2026-05-27T20:05:47Z,spread_x_need(gain_vs_cross),gain_vs_cross_spread * need_mean,e99c95b36c7ea3c4,auc_ensemble_violation,0.5555555555555556,auto_e99c95b36c7ea3c4,0.0,0.5555555555555556,0.08888888888888889,0.40625,0.1875,0.5
25,2026-05-27T20:06:21Z,crit_slope,crit_w * tier_idx,65e06cafe37895f9,auc_ensemble_violation,0.5444444444444444,auto_65e06cafe37895f9,0.9311682056654771,0.5444444444444444,0.044444444444444446,0.265625,0.203125,0.3125
13,2026-05-27T20:05:46Z,"product(clip_top3,read_s)",(clip_top3) * (read_s),23391278a4933edb,auc_judge_disagree,0.53125,auto_23391278a4933edb,0.7113109217213678,0.3111111111111111,0.4888888888888889,0.53125,0.34375,0.5178571428571429
3,2026-05-27T19:53:25Z,"product(need_weighted_clip,gain_vs_cross)",(need_weighted_clip) * (gain_vs_cross),61d1dc47733383b8,auc_low_margin,0.5178571428571429,auto_61d1dc47733383b8,0.7765751977622877,0.4666666666666667,0.044444444444444446,0.21875,0.34375,0.5178571428571429
1,2026-05-27T19:53:21Z,"ratio(gain_vs_cross,need_max)",(gain_vs_cross) / (need_max + 1e-6),5824f41ee9854009,auc_ensemble_violation,0.4888888888888889,auto_5824f41ee9854009,0.7648163562588121,0.4888888888888889,0.06666666666666667,0.1875,0.28125,0.30357142857142855
18,2026-05-27T20:06:00Z,gain_x_tier,gain_vs_cross * tier_idx,e87334b5af200799,auc_ensemble_violation,0.4777777777777778,auto_e87334b5af200799,0.8722293464290964,0.4777777777777778,0.05555555555555555,0.265625,0.234375,0.39285714285714285
2,2026-05-27T19:53:23Z,"diff(gain_vs_cross,adqa_norm)",(gain_vs_cross) - (adqa_norm),1c7fb7e37a97f135,auc_ensemble_violation,0.45555555555555555,auto_1c7fb7e37a97f135,-0.6737267259761592,0.45555555555555555,0.1111111111111111,0.234375,0.359375,0.36607142857142855
11,2026-05-27T20:05:44Z,adqa_slope,adqa_v4_score * tier_idx,3d30e6f4a48d7861,auc_ensemble_violation,0.45555555555555555,auto_3d30e6f4a48d7861,0.9387018135292173,0.45555555555555555,0.06666666666666667,0.234375,0.28125,0.36607142857142855
6,2026-05-27T19:55:27Z,"diff(story_recall,lex_purity)",(story_recall) - (lex_purity),58a237c773e8dbca,auc_low_margin,0.42857142857142855,auto_58a237c773e8dbca,0.6092344864808455,0.37777777777777777,0.2222222222222222,0.21875,0.3125,0.42857142857142855
4,2026-05-27T19:53:27Z,"product(adqa_v4_score,read_s)",(adqa_v4_score) * (read_s),4c5e25eada8fbe12,auc_ensemble_violation,0.4222222222222222,auto_4c5e25eada8fbe12,0.8854323826354239,0.4222222222222222,0.1111111111111111,0.375,0.3125,0.375
12,2026-05-27T20:05:45Z,cond_story_need,story_recall / (need_peak_t + 0.01),01ed885fac9a384a,auc_low_margin,0.4107142857142857,auto_01ed885fac9a384a,0.6650323829812843,0.3111111111111111,0.2,0.125,0.40625,0.4107142857142857
19,2026-05-27T20:06:01Z,cond_vt_spread,vt_consistency * adqa_v4_score_spread,aa605636732facba,auc_low_margin,0.39285714285714285,auto_aa605636732facba,0.6601396553717354,0.35555555555555557,0.08888888888888889,0.15625,0.25,0.39285714285714285
13,2026-05-27T20:05:46Z,"product(vt_consistency,clip_norm)",(vt_consistency) * (clip_norm),0d19094e17fa1f01,auc_low_margin,0.38392857142857145,auto_0d19094e17fa1f01,0.8207084050493089,0.17777777777777778,0.24444444444444444,0.09375,0.328125,0.38392857142857145
18,2026-05-27T20:06:00Z,story_tier_gap,(story_recall - adqa_norm) * tier_idx,0d3491dd7cff137c,auc_ensemble_violation,0.37777777777777777,auto_0d3491dd7cff137c,-0.5175254369740618,0.37777777777777777,0.35555555555555557,0.25,0.375,0.33035714285714285
29,2026-05-27T20:34:11Z,"ratio(story_recall,adqa_norm)",(story_recall) / (adqa_norm + 1e-6),dd487195f1a30439,auc_ensemble_violation,0.37777777777777777,auto_dd487195f1a30439,0.516421208058498,0.37777777777777777,0.32222222222222224,0.25,0.34375,0.3392857142857143
23,2026-05-27T20:06:19Z,lex_x_vt,lex_purity * vt_consistency,a7ab2a9e44580b12,auc_ensemble_violation,0.3333333333333333,auto_a7ab2a9e44580b12,0.6860869279455162,0.3333333333333333,0.3111111111111111,0.1875,0.25,0.33035714285714285
