rank,clip_key,corpus,video_id,category,case_id,priority_score,suggested_window,access_surface,surface_family,review_action,validation_target,why,adqa_fail,ensemble_fail,top_router_windows,reviewer_pass_fail_column,reviewer_notes_column
16,external_1HUWWCLza0w_000000_000010,external,1HUWWCLza0w_000000_000010,Sports,moment_level_authoring,3.6976595520921487,6.7-10.0s,peak_window_review_card,creator_qc,Spend scarce reviewer/authoring budget on the named moment rather than the whole clip.,Can a reviewer identify the missing moment and propose a concise fix?,Gap is temporally concentrated; spend AD/review budget on the peak window.,0,0,6.7-10.0s agent_action route=action_state_or_agent_cue peak=1.368; 3.3-6.7s scene_spatial route=layout_replay_or_scene_cue peak=0.375; 0.0-3.3s scene_spatial route=static_ad_ok_low_gap peak=0.237,blank_for_manual_or_vlm_review,blank_for_evidence_notes
17,external_BHxn3qfPAl4_000018_000028,external,BHxn3qfPAl4_000018_000028,Health & Wellness,moment_level_authoring,3.4128500926555296,6.0-9.0s,peak_window_review_card,creator_qc,Spend scarce reviewer/authoring budget on the named moment rather than the whole clip.,Can a reviewer identify the missing moment and propose a concise fix?,Gap is temporally concentrated; spend AD/review budget on the peak window.,0,0,6.0-9.0s agent_action route=action_state_or_agent_cue peak=1.081; 9.0-10.0s agent_action route=action_state_or_agent_cue peak=0.755; 0.0-3.0s scene_spatial route=static_ad_ok_low_gap peak=0.179,blank_for_manual_or_vlm_review,blank_for_evidence_notes
18,inbench_clip_04_B0EKYDSv_yQ_000002_000012,inbench,B0EKYDSv_yQ_000002_000012,Food & Cooking,moment_level_authoring,3.347209300081378,13.6-15.5s,peak_window_review_card,creator_qc,Spend scarce reviewer/authoring budget on the named moment rather than the whole clip.,Can a reviewer identify the missing moment and propose a concise fix?,Gap is temporally concentrated; spend AD/review budget on the peak window.,,,13.6-15.5s agent_action route=action_state_or_agent_cue peak=0.506; 15.5-19.4s scene_spatial route=static_ad_ok_low_gap peak=0.234; 0.0-3.9s scene_spatial route=static_ad_ok_low_gap peak=0.161,blank_for_manual_or_vlm_review,blank_for_evidence_notes
19,external_21T1JDdJgsM_000047_000057,external,21T1JDdJgsM_000047_000057,Entertainment,moment_level_authoring,3.2875936577335043,6.4-9.1s,peak_window_review_card,creator_qc,Spend scarce reviewer/authoring budget on the named moment rather than the whole clip.,Can a reviewer identify the missing moment and propose a concise fix?,Gap is temporally concentrated; spend AD/review budget on the peak window.,0,0,6.4-9.1s agent_action route=action_state_or_agent_cue peak=0.646; 0.0-3.6s scene_spatial route=static_ad_ok_low_gap peak=0.284; 3.6-6.4s scene_spatial route=static_ad_ok_low_gap peak=0.235,blank_for_manual_or_vlm_review,blank_for_evidence_notes
20,inbench_clip_11_z8Q-s8AthrA_000002_000012,inbench,z8Q-s8AthrA_000002_000012,Sports,moment_level_authoring,3.277652957736548,0.0-3.3s,peak_window_review_card,creator_qc,Spend scarce reviewer/authoring budget on the named moment rather than the whole clip.,Can a reviewer identify the missing moment and propose a concise fix?,Gap is temporally concentrated; spend AD/review budget on the peak window.,,,0.0-3.3s agent_action route=action_state_or_agent_cue peak=0.647; 13.1-16.4s agent_action route=static_ad_ok_low_gap peak=0.269; 3.3-6.6s scene_spatial route=static_ad_ok_low_gap peak=0.243,blank_for_manual_or_vlm_review,blank_for_evidence_notes
21,external_GOH6fBhoi2o_000010_000020,external,GOH6fBhoi2o_000010_000020,Entertainment,dynamic_type_shift,1.8238916692308274,"3.0-6.0s scene_spatial (layout_replay_or_scene_cue, peak=1.008); 0.0-3.0s scene_spatial (layout_replay_or_scene_cue, peak=0.910); 6.0-9.0s scene_spatial (layout_replay_or_scene_cue, peak=0.740)",segmented_scene_action_surface,defer_replay,Check whether separate scene/layout and action/state treatments are needed across windows.,Does a single global AD miss a later/earlier route-type shift?,Scene/spatial and agent/action losses peak at different moments; one global AD prompt is under-specified.,1,1,3.0-6.0s scene_spatial route=layout_replay_or_scene_cue peak=1.008; 0.0-3.0s scene_spatial route=layout_replay_or_scene_cue peak=0.910; 6.0-9.0s scene_spatial route=layout_replay_or_scene_cue peak=0.740,blank_for_manual_or_vlm_review,blank_for_evidence_notes
22,external_v2Hr1CH-yb0_000076_000086,external,v2Hr1CH-yb0_000076_000086,How-to & Instructional,scene_layout_replay,1.6433004227278163,9.0-10.0s,layout_replay_or_keyframe,defer_replay,"Review spatial layout, key objects, setting, and camera/geography in the peak window.",Does the AD or replay surface preserve where things are and how the scene is arranged?,"Audio drops scene/spatial cortex most; route to layout cue, keyframe, or replay surface.",0,0,9.0-10.0s agent_action route=action_state_or_agent_cue peak=1.643; 6.0-9.0s scene_spatial route=layout_replay_or_scene_cue peak=0.443; 0.0-3.0s scene_spatial route=layout_replay_or_scene_cue peak=0.398,blank_for_manual_or_vlm_review,blank_for_evidence_notes
23,inbench_clip_00_Q76JRCyTnSc_000007_000017,inbench,Q76JRCyTnSc_000007_000017,Food & Cooking,dynamic_type_shift,1.5082166652744777,"10.4-13.4s scene_spatial (layout_replay_or_scene_cue, peak=0.504); 7.5-10.4s scene_spatial (layout_replay_or_scene_cue, peak=0.385); 13.4-14.9s agent_action (static_ad_ok_low_gap, peak=0.253)",segmented_scene_action_surface,defer_replay,Check whether separate scene/layout and action/state treatments are needed across windows.,Does a single global AD miss a later/earlier route-type shift?,Scene/spatial and agent/action losses peak at different moments; one global AD prompt is under-specified.,,,10.4-13.4s scene_spatial route=layout_replay_or_scene_cue peak=0.504; 7.5-10.4s scene_spatial route=layout_replay_or_scene_cue peak=0.385; 13.4-14.9s agent_action route=static_ad_ok_low_gap peak=0.253,blank_for_manual_or_vlm_review,blank_for_evidence_notes
24,external_F-mRnL_XmJU_000000_000010,external,F-mRnL_XmJU_000000_000010,Entertainment,scene_layout_replay,1.4402525697364772,0.0-3.0s,layout_replay_or_keyframe,defer_replay,"Review spatial layout, key objects, setting, and camera/geography in the peak window.",Does the AD or replay surface preserve where things are and how the scene is arranged?,"Audio drops scene/spatial cortex most; route to layout cue, keyframe, or replay surface.",0,0,0.0-3.0s scene_spatial route=layout_replay_or_scene_cue peak=1.440; 9.0-10.0s scene_spatial route=layout_replay_or_scene_cue peak=0.381; 3.0-6.0s scene_spatial route=static_ad_ok_low_gap peak=0.265,blank_for_manual_or_vlm_review,blank_for_evidence_notes
25,external_dlBeUWrse3I_000019_000029,external,dlBeUWrse3I_000019_000029,How-to & Instructional,agent_action_cue,1.3775210861939686,0.0-3.0s,action_state_or_agent_cue,concise_cue,"Review who/what moved, state changes, tool use, and object interaction in the peak window.",Does the AD preserve the agent/action state enough to answer a frame-grounded question?,Audio drops face/body/motion/object cortex most; route to action-state or agent cue.,0,0,0.0-3.0s agent_action route=action_state_or_agent_cue peak=1.378; 3.0-6.0s scene_spatial route=static_ad_ok_low_gap peak=0.216; 6.0-9.0s scene_spatial route=static_ad_ok_low_gap peak=0.142,blank_for_manual_or_vlm_review,blank_for_evidence_notes
