tribe_feature,outcome,spearman_rho,p,n
extended_seconds_frac,strict_all4_80adqa_20clip_tier3_margin,-0.22130347229773628,0.3774949292163058,18
mean_standard_slot_score,tier3_va11y_words,0.21908927071465004,0.35338000087211685,20
max_need,all4_mean_full_order,-0.21903760994431498,0.382522900627575,18
mean_standard_slot_score,pro_minus_short_words,0.21702728477990404,0.3580420031274806,20
mean_speech_density,all4_mean_tier2_vs_tier1,0.21526017452676638,0.39098687337508553,18
mean_extended_need_score,all4_mean_full_order,0.2127205790520552,0.39673444204146135,18
max_need,strict_all4_80adqa_20clip_tier3_margin,0.20949432404540763,0.40410193596361976,18
extended_seconds_frac,claude_vlm_completeness_norm_tier3_margin,-0.19627138830718857,0.43505776805235463,18
mean_need,pro_minus_long_words,-0.19119319676794974,0.41939207613377616,20
tribe_pressure,claude_vlm_specificity_norm_tier3_margin,-0.18304072241448283,0.4672247689773166,18
mean_need,claude_vlm_specificity_norm_tier3_margin,-0.1768359521631444,0.48270862133820647,18
max_need,all4_mean_tier3_vs_tier0,0.1731422095327407,0.49204412401019937,18
mean_standard_slot_score,all4_mean_tier2_vs_tier1,-0.16994224304744712,0.5002016900229542,18
mean_extended_need_score,pro_minus_short_words,-0.16358895993917008,0.49072866867652754,20
mean_speech_density,all4_mean_tier3_vs_tier0,0.16217849659968153,0.5202588353196695,18
mean_extended_need_score,tier3_va11y_words,-0.1580135887496698,0.505822415249856,20
mean_speech_density,strict_all4_80adqa_20clip_full_order,0.15315588035134833,0.5440277035685324,18
max_need,all4_mean_tier3_margin,0.15170278637770898,0.5479006675946312,18
high_need_seconds_frac,all4_mean_tier2_vs_tier1,0.15121797960573816,0.5491955642238542,18
tribe_pressure,pro_minus_long_words,-0.1445239912576628,0.5432408417007851,20
extended_seconds_frac,all4_mean_full_order,-0.14255839247810326,0.5725511494473841,18
high_need_seconds_frac,claude_vlm_completeness_norm_tier3_margin,-0.13589240864601781,0.5908139684878985,18
mean_extended_need_score,strict_all4_80adqa_20clip_full_order,0.12217883836121848,0.6291217314860957,18
extended_seconds_frac,pro_minus_long_words,-0.12174897208651675,0.6091211494829663,20
mean_extended_need_score,all4_mean_tier2_vs_tier1,0.11248710010319916,0.6567565630509027,18
mean_speech_density,all4_mean_tier3_margin,-0.09969944925450232,0.6938725394440273,18
mean_need,all4_mean_tier2_vs_tier1,0.08359133126934985,0.7415774315720882,18
mean_extended_need_score,all4_mean_tier3_vs_tier0,0.07465764998200747,0.7684393823994704,18
mean_need,tier3_va11y_words,-0.07449212041055862,0.7549477069279411,20
tribe_pressure,all4_mean_tier2_vs_tier1,0.07120743034055728,0.7788829476841138,18
high_need_seconds_frac,strict_all4_80adqa_20clip_full_order,-0.06999827747786644,0.7825516086304514,18
mean_speech_density,strict_all4_80adqa_20clip_tier3_margin,-0.06797689721897884,0.7886943548563158,18
mean_need,strict_all4_80adqa_20clip_full_order,-0.06749196164041982,0.7901697992228731,18
mean_need,pro_minus_short_words,-0.06483249103580013,0.7859633779964755,20
high_need_seconds_frac,tier3_va11y_words,-0.06412685868402455,0.7882418867033082,20
max_need,pro_minus_long_words,0.058712871448425505,0.8057776734212805,20
max_need,pro_minus_short_words,-0.05503223076294662,0.8177509008336789,20
max_need,all4_mean_tier2_vs_tier1,-0.054695562435500514,0.8293348337875046,18
max_need,tier3_va11y_words,-0.05191875058917722,0.8279096758451554,20
max_need,claude_vlm_completeness_norm_tier3_margin,-0.050646055701083034,0.8418135870074342,18
high_need_seconds_frac,claude_vlm_specificity_norm_tier3_margin,-0.05033737288516995,0.8427663190240505,18
extended_seconds_frac,strict_all4_80adqa_20clip_full_order,-0.04552220796317717,0.8576541757474474,18
high_need_seconds_frac,pro_minus_short_words,-0.03779289493575208,0.8743086572672812,20
tribe_pressure,strict_all4_80adqa_20clip_full_order,-0.027701643557073434,0.91311458390649,18
high_need_seconds_frac,all4_mean_tier3_vs_tier0,-0.02710189955430864,0.9149891506734137,18
extended_seconds_frac,pro_minus_short_words,0.020385064035192607,0.9320204142350642,20
mean_standard_slot_score,all4_mean_tier3_margin,0.018127172591727695,0.9430864395255862,18
extended_seconds_frac,all4_mean_tier2_vs_tier1,-0.01654605400356907,0.9480440061516823,18
tribe_pressure,pro_minus_short_words,0.013569591147027932,0.9547205564040389,20
extended_seconds_frac,all4_mean_tier3_vs_tier0,0.009550496278899059,0.9699978682421171,18
extended_seconds_frac,tier3_va11y_words,0.009419746457622025,0.9685598943783905,20
tribe_pressure,all4_mean_tier3_vs_tier0,-0.004765381913745157,0.9850275352480873,18
max_need,strict_all4_80adqa_20clip_full_order,0.004585134701541614,0.9855938015223125,18
mean_standard_slot_score,strict_all4_80adqa_20clip_tier3_margin,-0.004531793147931924,0.9857613810982069,18
tribe_pressure,tier3_va11y_words,0.003009782642850853,0.9899521722832628,20
mean_need,all4_mean_tier3_vs_tier0,0.0015884606379150523,0.9950089433472136,18
