clip_idx,video_id,category,tier,gt,adqa_v2_score,adqa_v2_yes_rate,n_questions
14,UDD6YcChywc_000000_000010,Sports,tier1_vatex_short,1,0.6,0.4,5
14,UDD6YcChywc_000000_000010,Sports,tier2_vatex_long,2,0.6,0.4,5
14,UDD6YcChywc_000000_000010,Sports,tier3_va11y,3,1.0,1.0,5
15,OGWuj_FtaQc_000010_000020,Pets & Animals,tier0_cross,0,0.0,0.0,4
15,OGWuj_FtaQc_000010_000020,Pets & Animals,tier1_vatex_short,1,0.375,0.0,4
15,OGWuj_FtaQc_000010_000020,Pets & Animals,tier2_vatex_long,2,0.625,0.25,4
15,OGWuj_FtaQc_000010_000020,Pets & Animals,tier3_va11y,3,0.625,0.25,4
16,kOf-vl-GmVI_000115_000125,Pets & Animals,tier0_cross,0,0.0,0.0,3
16,kOf-vl-GmVI_000115_000125,Pets & Animals,tier1_vatex_short,1,0.0,0.0,3
16,kOf-vl-GmVI_000115_000125,Pets & Animals,tier2_vatex_long,2,0.3333333333333333,0.0,3
16,kOf-vl-GmVI_000115_000125,Pets & Animals,tier3_va11y,3,0.5,0.0,3
17,gjoZic4WjiQ_000012_000022,Pets & Animals,tier0_cross,0,0.6666666666666666,0.6666666666666666,3
17,gjoZic4WjiQ_000012_000022,Pets & Animals,tier1_vatex_short,1,0.6666666666666666,0.6666666666666666,3
17,gjoZic4WjiQ_000012_000022,Pets & Animals,tier2_vatex_long,2,0.6666666666666666,0.3333333333333333,3
17,gjoZic4WjiQ_000012_000022,Pets & Animals,tier3_va11y,3,0.8333333333333334,0.6666666666666666,3
18,q2ZBVyR1k-U_000021_000031,Pets & Animals,tier0_cross,0,0.125,0.0,4
18,q2ZBVyR1k-U_000021_000031,Pets & Animals,tier1_vatex_short,1,0.125,0.0,4
18,q2ZBVyR1k-U_000021_000031,Pets & Animals,tier2_vatex_long,2,0.375,0.0,4
18,q2ZBVyR1k-U_000021_000031,Pets & Animals,tier3_va11y,3,0.625,0.5,4
19,qIWQHyOIpEY_000003_000013,Pets & Animals,tier0_cross,0,0.0,0.0,4
19,qIWQHyOIpEY_000003_000013,Pets & Animals,tier1_vatex_short,1,0.25,0.0,4
19,qIWQHyOIpEY_000003_000013,Pets & Animals,tier2_vatex_long,2,0.75,0.5,4
19,qIWQHyOIpEY_000003_000013,Pets & Animals,tier3_va11y,3,0.875,0.75,4
