clip_idx,video_id,category,provider,model,n_frames,q_idx,question,answer_key,required_visual_evidence,importance,question_rationale
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,anthropic,claude-haiku-4-5-20251001,8,2,What type of food appears to be in the pan?,Scrambled eggs or similar yellow/light-colored cooked food,yellow food in pan; cooked appearance; black cooking pan,useful,Food identification helps listeners understand the cooking activity
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,anthropic,claude-haiku-4-5-20251001,8,3,What utensil is the child using to cook?,A black spatula or cooking utensil,black spatula; child's hand holding utensil; pan,useful,Tool identification clarifies the cooking method and technique
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,anthropic,claude-haiku-4-5-20251001,8,4,What is visible on the counter near the cooking area?,"A white plate, a blue container, and a pink bowl",white plate; blue container; pink bowl; counter items,useful,Surrounding objects provide context for the cooking preparation scene
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,anthropic,claude-haiku-4-5-20251001,7,0,What is the main action being performed with the greens in the wooden bowl?,Tossing or mixing the greens with hands,hands in bowl; leafy greens; wooden bowl; motion across frames,critical,Core action that defines the entire clip; essential for understanding the activity.
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,anthropic,claude-haiku-4-5-20251001,7,1,What type of container holds the greens being prepared?,A large wooden bowl,wooden bowl; light wood color; large round shape,critical,Key object that frames the activity; important for setting and context.
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,anthropic,claude-haiku-4-5-20251001,7,2,What is visible on the cutting board to the right of the bowl?,A white block of cheese or similar ingredient,cutting board; white object; right side of frame,useful,Secondary ingredient visible throughout; helps establish food preparation context.
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,anthropic,claude-haiku-4-5-20251001,7,3,How many hands are visible performing the action in the bowl?,Two hands,two hands; both hands in bowl; consistent across frames,useful,Clarifies whether one or multiple people are involved in the preparation.
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,anthropic,claude-haiku-4-5-20251001,7,4,What is the primary ingredient being handled in the wooden bowl?,"Fresh leafy greens, appearing to be salad greens or herbs",green leaves; leafy texture; fresh appearance,critical,Main ingredient; essential for understanding what food is being prepared.
6,0HEi6q3bGaw_000011_000021,Travel,anthropic,claude-haiku-4-5-20251001,8,0,What is the main subject doing in this video?,Riding a snowmobile across a snowy frozen landscape,person on snowmobile; snow-covered ground; forward motion across terrain,critical,Identifies the primary action and activity central to the clip
6,0HEi6q3bGaw_000011_000021,Travel,anthropic,claude-haiku-4-5-20251001,8,1,What type of environment or setting is shown?,A frozen lake or snowy field with bare trees and clear sky,snow-covered flat terrain; bare trees in background; clear blue sky; winter landscape,critical,Establishes the outdoor winter setting essential for scene comprehension
6,0HEi6q3bGaw_000011_000021,Travel,anthropic,claude-haiku-4-5-20251001,8,2,What vehicles are visible in the foreground of the frames?,"Multiple snowmobiles, including one orange/red and one green/yellow",orange snowmobile; green/yellow snowmobile; multiple vehicles,useful,Describes visible equipment and suggests group activity or multiple riders
6,0HEi6q3bGaw_000011_000021,Travel,anthropic,claude-haiku-4-5-20251001,8,3,What is the perspective or camera viewpoint in this video?,First-person view from a snowmobile rider's perspective,snowmobile handlebars visible; forward-facing view; rider's point of view,useful,Clarifies the immersive perspective crucial for understanding viewer positioning
6,0HEi6q3bGaw_000011_000021,Travel,anthropic,claude-haiku-4-5-20251001,8,4,What visible text or branding appears on the snowmobiles?,Green and yellow branding visible on the snowmobiles in frame,green text/logo; yellow text/logo; snowmobile markings,useful,Identifies brand or model information visible on the main equipment
7,09dQut5GJ68_000049_000059,Travel,anthropic,claude-haiku-4-5-20251001,6,0,What is the main subject doing in these frames?,A person is falling or tumbling through snow,person in dark clothing; snow-covered ground; dynamic falling motion; blue object visible,critical,The primary action is essential for understanding the clip's narrative and context.
7,09dQut5GJ68_000049_000059,Travel,anthropic,claude-haiku-4-5-20251001,6,1,What is the setting or environment where this action takes place?,"A snowy outdoor location, possibly a slope or mountainside",white snow covering ground; light blue sky; steep or uneven terrain,critical,Setting establishes context and helps listeners visualize the scene's geography and conditions.
7,09dQut5GJ68_000049_000059,Travel,anthropic,claude-haiku-4-5-20251001,6,2,What blue object is visible in the later frames?,A blue ski or snowboard equipment,bright blue object; visible in lower frames; associated with person,useful,The equipment clarifies the activity type and is prominent enough for AD inclusion.
7,09dQut5GJ68_000049_000059,Travel,anthropic,claude-haiku-4-5-20251001,6,3,What is the person wearing that makes them visible against the snow?,"Dark-colored clothing, appearing black or dark blue",dark silhouette; contrasts with white snow; visible throughout frames,useful,Clothing color contrast helps listeners distinguish the subject from the snowy background.
7,09dQut5GJ68_000049_000059,Travel,anthropic,claude-haiku-4-5-20251001,6,4,Is the person in control of their movement or falling uncontrollably?,The person appears to be falling or tumbling uncontrollably through the snow,chaotic body position; snow spray around person; dynamic motion across frames,critical,Distinguishing controlled versus uncontrolled movement is crucial for understanding the situation's severity.
8,hOirknJr3os_000001_000011,Travel,anthropic,claude-haiku-4-5-20251001,7,0,What animals are shown grazing in the pasture?,Horses—one dark brown and one brown and white,horses grazing; pasture with fencing; two horses different colors,critical,Horses are the main subjects; their presence and coloring are essential to understanding the scene.
8,hOirknJr3os_000001_000011,Travel,anthropic,claude-haiku-4-5-20251001,7,1,What type of facility or location is shown in the middle frames?,"An equestrian or horse facility with flags, manicured grounds, and formal entrance",flags; manicured lawn; formal entrance gate; wooded background,critical,Setting context is essential; the formal facility with flags distinguishes this from a simple farm.
8,hOirknJr3os_000001_000011,Travel,anthropic,claude-haiku-4-5-20251001,7,2,What logo or branding appears in the bottom left corner of the frames?,KOA logo (yellow and red),KOA logo; yellow and red colors; bottom left corner,useful,On-screen text/branding is a standard AD element; identifies the source or sponsor of the footage.
8,hOirknJr3os_000001_000011,Travel,anthropic,claude-haiku-4-5-20251001,7,3,What is depicted on the sign at the entrance of the property?,A silhouette of a horse in motion or running,entrance sign; horse silhouette; cream/tan colored sign,useful,The sign reinforces the equestrian theme and is a visible landmark in the opening frames.
8,hOirknJr3os_000001_000011,Travel,anthropic,claude-haiku-4-5-20251001,7,4,What is the horse doing in the final frames among the trees?,Standing or moving through wooded area with rope or lead attached,horse in forest; trees; rope or lead visible,useful,Describes the transition from pasture to forest setting and the horse's controlled movement.
9,TF4q9y0rJoc_000000_000010,Sports,anthropic,claude-haiku-4-5-20251001,8,0,What sport or activity is the person performing on the snowy surface?,Skiing down a snowy slope at night,person in dark clothing; skis on feet; snow-covered ground; nighttime setting with artificial lighting,critical,Identifies the main action and activity central to understanding the clip
9,TF4q9y0rJoc_000000_000010,Sports,anthropic,claude-haiku-4-5-20251001,8,1,What type of location or venue is shown in these frames?,A ski slope or ski run with gate markers,snow-covered slope; pole markers/gates; nighttime lighting; buildings/structures in background,critical,Establishes the setting necessary for understanding the context of the action
9,TF4q9y0rJoc_000000_000010,Sports,anthropic,claude-haiku-4-5-20251001,8,2,What objects are visible on the slope that mark the course?,Poles or gate markers positioned on the slope,vertical poles; multiple markers visible; positioned at intervals,useful,Key environmental details that structure the skiing activity shown
9,TF4q9y0rJoc_000000_000010,Sports,anthropic,claude-haiku-4-5-20251001,8,3,What time of day is this skiing activity taking place?,"At night, under artificial lighting",dark sky; artificial lights visible; illuminated slope,useful,Important contextual detail affecting visibility and atmosphere of the scene
9,TF4q9y0rJoc_000000_000010,Sports,anthropic,claude-haiku-4-5-20251001,8,4,What is the skier wearing that is visible in the frames?,Dark-colored jacket or coat and skis with boots,dark upper body clothing; skis visible on feet; person in motion,useful,Basic appearance details help listeners visualize the main subject
11,z8Q-s8AthrA_000002_000012,Sports,anthropic,claude-haiku-4-5-20251001,7,0,What is the main subject wearing?,A yellow shirt and dark pants,yellow shirt; dark pants; consistent across frames,critical,Identifies the main subject visually throughout the sequence of activities
11,z8Q-s8AthrA_000002_000012,Sports,anthropic,claude-haiku-4-5-20251001,7,1,What sport or activity is the person participating in?,"Track and field, specifically hurdles or obstacle course training",red running track; hurdles/barriers; athletic field setting,critical,Establishes the primary activity and context for understanding the scene
11,z8Q-s8AthrA_000002_000012,Sports,anthropic,claude-haiku-4-5-20251001,7,2,What is the setting or location where this takes place?,An outdoor athletic stadium or sports complex with a red running track,red track surface; white goal/net; stadium buildings; night lighting,critical,Provides essential spatial context for the viewer to understand the environment
11,z8Q-s8AthrA_000002_000012,Sports,anthropic,claude-haiku-4-5-20251001,7,3,What equipment or objects are visible on the track?,"Red and blue hurdles, a white soccer goal, and training barriers",red hurdles; blue barriers; white goal net,useful,Describes key objects that define the training setup and activities
11,z8Q-s8AthrA_000002_000012,Sports,anthropic,claude-haiku-4-5-20251001,7,4,What is the person's main action in the later frames?,Running toward and preparing to jump over or navigate the hurdles,running motion; approaching hurdles; athletic positioning,critical,Captures the dynamic action sequence essential to understanding the clip's narrative
12,abaLFY_GI8k_000295_000305,Sports,anthropic,claude-haiku-4-5-20251001,6,0,What sport or activity are the people playing?,Badminton or volleyball on a court,net dividing the court; players in athletic stance; outdoor sports court,critical,Identifies the main activity and purpose of the gathering
12,abaLFY_GI8k_000295_000305,Sports,anthropic,claude-haiku-4-5-20251001,6,1,What is the playing surface made of?,Red or reddish-brown dirt or clay,ground surface throughout frames; consistent earth-toned floor,useful,Describes the distinctive setting characteristic of the venue
12,abaLFY_GI8k_000295_000305,Sports,anthropic,claude-haiku-4-5-20251001,6,2,What structure divides the two sides of the playing area?,A net stretched across the court,net visible in multiple frames; net separating players,critical,Essential for understanding the sport setup and player positioning
12,abaLFY_GI8k_000295_000305,Sports,anthropic,claude-haiku-4-5-20251001,6,3,What is visible in the background of this outdoor venue?,"Green fencing, trees, and a covered structure",green fence; large trees; building or shelter,useful,Establishes the location as an organized sports facility or school grounds
12,abaLFY_GI8k_000295_000305,Sports,anthropic,claude-haiku-4-5-20251001,6,4,How many players are actively visible on the court at once?,Three to four players visible simultaneously,multiple people in frame; players positioned on court,useful,Helps listener understand the scale and number of participants
13,KFcH6BYZWhc_000011_000021,Sports,anthropic,claude-haiku-4-5-20251001,8,0,What sport or activity is taking place in this video?,Ice hockey,ice rink; hockey sticks; puck; goal net,critical,Establishes the primary activity and setting for all subsequent action.
13,KFcH6BYZWhc_000011_000021,Sports,anthropic,claude-haiku-4-5-20251001,8,1,What is the main subject holding and using?,A hockey stick,player with stick; stick in hand; stick on ice,critical,Key object essential to understanding the sport and player actions.
13,KFcH6BYZWhc_000011_000021,Sports,anthropic,claude-haiku-4-5-20251001,8,2,Where is this activity taking place?,An indoor ice hockey arena or rink,indoor facility; ice surface; arena lighting; boards/barriers,critical,Setting context necessary for understanding the environment and scale.
13,KFcH6BYZWhc_000011_000021,Sports,anthropic,claude-haiku-4-5-20251001,8,3,What is the main player attempting to do with the puck?,Shoot or pass the puck toward the goal,player with stick near puck; puck on ice; goal net visible,useful,Describes the primary action and objective of the player's movement.
13,KFcH6BYZWhc_000011_000021,Sports,anthropic,claude-haiku-4-5-20251001,8,4,How many players are visible on the ice during the action?,Multiple players; at least 4-6 visible on ice,multiple figures on ice; players in different positions,useful,Conveys that this is a team activity with multiple participants engaged.
14,UDD6YcChywc_000000_000010,Sports,anthropic,claude-haiku-4-5-20251001,8,0,What sport or activity is taking place in this venue?,Curling,curling rink with red and blue circular target; person in sliding position; person holding broom,critical,Identifies the primary activity and sport being performed in the setting.
14,UDD6YcChywc_000000_000010,Sports,anthropic,claude-haiku-4-5-20251001,8,1,What is the main subject doing in the sequence of frames?,A curler slides across the ice while releasing a stone.,person in horizontal sliding position; curling stone on ice; progression from standing to sliding,critical,Describes the central action that defines the clip's content and purpose.
14,UDD6YcChywc_000000_000010,Sports,anthropic,claude-haiku-4-5-20251001,8,2,Where is this activity taking place?,Inside a curling rink with a sheet of ice.,indoor venue with black ceiling; ice surface; curling sheet markings,critical,Establishes the location and environment essential for understanding the context.
14,UDD6YcChywc_000000_000010,Sports,anthropic,claude-haiku-4-5-20251001,8,3,What object does the curler release during the slide?,A curling stone,dark stone on ice surface; stone visible in multiple frames,useful,Identifies the key equipment involved in the primary action being performed.
14,UDD6YcChywc_000000_000010,Sports,anthropic,claude-haiku-4-5-20251001,8,4,How many other people are visible observing or assisting during the play?,At least two to three other people are present on the rink.,figures standing on ice; people in background; broom holder visible,useful,Provides context about the team structure and typical curling setup.
15,OGWuj_FtaQc_000010_000020,Pets & Animals,anthropic,claude-haiku-4-5-20251001,5,0,What is the main subject doing in this video?,A man is exercising or stretching near a wooden fence gate.,man in green shirt; bending/stretching posture; wooden fence; outdoor setting,critical,Identifies the primary action and subject essential to understanding the clip.
15,OGWuj_FtaQc_000010_000020,Pets & Animals,anthropic,claude-haiku-4-5-20251001,5,1,What type of location or setting is shown in the video?,An outdoor farm or ranch area with wooden fences and pasture.,wooden rail fences; chain-link fence; grass field; rural/farm structures,critical,Setting context is fundamental for listeners to visualize the scene.
15,OGWuj_FtaQc_000010_000020,Pets & Animals,anthropic,claude-haiku-4-5-20251001,5,2,What is the man wearing?,"A green short-sleeved shirt, dark shorts, and athletic shoes.",green shirt; dark shorts; athletic footwear,useful,Clothing details help establish the activity and context of the scene.
15,OGWuj_FtaQc_000010_000020,Pets & Animals,anthropic,claude-haiku-4-5-20251001,5,3,What prominent objects are visible in the foreground of the video?,Wooden logs or branches on the ground near the fence.,logs on ground; wooden debris; near fence gate,useful,Foreground objects provide spatial context and environmental detail.
15,OGWuj_FtaQc_000010_000020,Pets & Animals,anthropic,claude-haiku-4-5-20251001,5,4,What type of fencing is visible in this video?,Wooden rail fences and chain-link fencing surrounding the area.,wooden horizontal rails; chain-link fence; fence gate,useful,Fence types establish the farm/ranch setting and spatial boundaries.
16,kOf-vl-GmVI_000115_000125,Pets & Animals,anthropic,claude-haiku-4-5-20251001,8,0,What is the main subject doing in this video?,A person is riding a horse over a wooden fence.,person on horseback; wooden fence; jumping motion,critical,Core action; essential for understanding the clip's primary activity.
16,kOf-vl-GmVI_000115_000125,Pets & Animals,anthropic,claude-haiku-4-5-20251001,8,1,What is the person wearing on their head?,A pink or magenta-colored riding helmet.,bright pink/magenta helmet; worn on head,useful,Distinctive visible detail; helps establish the equestrian context and safety gear.
16,kOf-vl-GmVI_000115_000125,Pets & Animals,anthropic,claude-haiku-4-5-20251001,8,2,Describe the setting where this activity takes place.,"A ranch or farm with white and metal buildings, fenced paddock area.",white buildings; metal structures; wooden fence; rural setting,critical,Location context essential for understanding the environment and activity type.
16,kOf-vl-GmVI_000115_000125,Pets & Animals,anthropic,claude-haiku-4-5-20251001,8,3,What color is the horse being ridden?,Dark brown or black.,dark-colored horse; consistent across frames,useful,Basic descriptive detail; helps paint a complete picture of the scene.
16,kOf-vl-GmVI_000115_000125,Pets & Animals,anthropic,claude-haiku-4-5-20251001,8,4,What type of fence is the horse jumping over?,A wooden rail fence with horizontal brown planks.,wooden construction; horizontal rails; brown color,useful,Key object detail; clarifies the obstacle and equestrian training context.
17,gjoZic4WjiQ_000012_000022,Pets & Animals,anthropic,claude-haiku-4-5-20251001,8,0,What is the main subject doing in this video?,A person in a red hat is sledding or sliding down a snowy inflatable slide.,person wearing red hat; snow-covered surface; inflatable slide with white and dark blue sections; downward motion,critical,Identifies the primary action and main subject essential to understanding the clip.
17,gjoZic4WjiQ_000012_000022,Pets & Animals,anthropic,claude-haiku-4-5-20251001,8,1,What type of structure or equipment is the person sliding on?,An inflatable slide with white and dark blue striped sections and cylindrical tubes.,inflatable material; white and dark blue coloring; cylindrical tube sections; structured slide design,critical,Key object that defines the setting and activity; essential for scene comprehension.
17,gjoZic4WjiQ_000012_000022,Pets & Animals,anthropic,claude-haiku-4-5-20251001,8,2,What is the ground surface covered with?,Snow covers the ground around and beneath the inflatable slide.,white snow coverage; winter setting; snow on flat ground area,useful,Establishes the season and environmental context for the activity.
17,gjoZic4WjiQ_000012_000022,Pets & Animals,anthropic,claude-haiku-4-5-20251001,8,3,What is visible in the background of this outdoor scene?,Bare trees and a metal fence or railing structure are visible in the background.,bare deciduous trees; metal fence or railing; winter landscape,useful,Provides location context and reinforces the winter outdoor setting.
17,gjoZic4WjiQ_000012_000022,Pets & Animals,anthropic,claude-haiku-4-5-20251001,8,4,How many people are visible participating in or observing the activity?,At least two people are visible; one sliding and others standing or present nearby.,person in red hat sliding; additional people in background; multiple figures on snowy surface,useful,Indicates whether this is a solo or group activity; helps establish scene dynamics.
18,q2ZBVyR1k-U_000021_000031,Pets & Animals,anthropic,claude-haiku-4-5-20251001,8,0,What is the main subject wearing on their head?,A large metal pipe or cylindrical container,large metal pipe; cylindrical shape; worn over head,critical,Dominant visual element; essential to understanding the scene's unusual nature
18,q2ZBVyR1k-U_000021_000031,Pets & Animals,anthropic,claude-haiku-4-5-20251001,8,1,What is the person's primary action throughout the video?,Looking through or examining the pipe on their head,hands near pipe; looking through opening; examining object,critical,Core action that defines the clip's content and comedic intent
18,q2ZBVyR1k-U_000021_000031,Pets & Animals,anthropic,claude-haiku-4-5-20251001,8,2,What is the setting or location where this takes place?,Outdoors in a wooded or forested area with bare trees,bare trees; outdoor setting; natural landscape,useful,Establishes context for understanding the environment and activity
18,q2ZBVyR1k-U_000021_000031,Pets & Animals,anthropic,claude-haiku-4-5-20251001,8,3,What clothing is the main subject wearing?,White or light-colored jacket or shirt and a white cap,white jacket; white cap; light-colored clothing,useful,Helps listeners visualize the person's appearance and overall scene composition
18,q2ZBVyR1k-U_000021_000031,Pets & Animals,anthropic,claude-haiku-4-5-20251001,8,4,"Is there another person visible in the video, and what are they doing?","Yes, another person in blue clothing is visible, appearing to assist or observe",second person; blue clothing; nearby presence,useful,Indicates this is a shared activity or demonstration with multiple participants
19,qIWQHyOIpEY_000003_000013,Pets & Animals,anthropic,claude-haiku-4-5-20251001,8,0,What animals are the main subjects in this video?,Multiple cats (appears to be 3-4 cats),cats on wooden floor; multiple feline silhouettes; cat tails visible,critical,Identifying the main subjects is essential for understanding the scene
19,qIWQHyOIpEY_000003_000013,Pets & Animals,anthropic,claude-haiku-4-5-20251001,8,1,What is the primary action the cats are performing?,Playing or interacting with each other on the floor,cats in motion; cats positioned near each other; dynamic positioning across frames,critical,The main action defines what is happening in the clip
19,qIWQHyOIpEY_000003_000013,Pets & Animals,anthropic,claude-haiku-4-5-20251001,8,2,What type of flooring is visible in this indoor setting?,Wooden floor with warm/golden lighting,wooden floor surface; warm amber/golden tones; reflective floor,useful,Setting details help establish the environment and context
19,qIWQHyOIpEY_000003_000013,Pets & Animals,anthropic,claude-haiku-4-5-20251001,8,3,What architectural features are visible in the background?,Staircase with wooden railings and yellow/cream colored walls,wooden staircase; stair railings; wall color,useful,Background elements establish the indoor residential location
19,qIWQHyOIpEY_000003_000013,Pets & Animals,anthropic,claude-haiku-4-5-20251001,8,4,How many cats can be clearly identified in the scene?,Three to four cats visible throughout the frames,multiple cat silhouettes; distinct cat positions; visible across multiple frames,useful,Quantity of subjects helps listeners understand the scale of activity
