clip_idx,video_id,category,provider,model,q_idx,question,answer_key,required_visual_evidence,importance,question_rationale
13,KFcH6BYZWhc_000011_000021,Sports,anthropic,claude-haiku-4-5-20251001,1,Describe what one player is doing with the puck during the scene.,"One player skates swiftly across the ice, controlling the puck with precision",skating swiftly; controlling the puck; precision,critical,Captures specific player action and skill demonstration
13,KFcH6BYZWhc_000011_000021,Sports,anthropic,claude-haiku-4-5-20251001,2,What type of drills are the other players engaged in?,Players pass the puck back and forth in drills,passing the puck; back and forth; drills,useful,Describes team practice activity and coordination
14,UDD6YcChywc_000000_000010,Sports,anthropic,claude-haiku-4-5-20251001,0,What sport is being played and what object does the man slide down the ice?,Curling; he slides a curling stone down the ice,curling; curling stone; slides down the ice,critical,Establishes the sport and primary action of the clip
14,UDD6YcChywc_000000_000010,Sports,anthropic,claude-haiku-4-5-20251001,1,What happens to the man after he releases the curling stone?,He loses his balance and falls onto the ice,loses his balance; falls; onto the ice,critical,Describes the key incident and consequence of his action
14,UDD6YcChywc_000000_000010,Sports,anthropic,claude-haiku-4-5-20251001,2,How do the onlookers react to the man falling?,"They react with laughter and concern, checking to see if he is okay",laughter; concern; checking if he is okay,useful,Captures the emotional response and social context of the scene
15,OGWuj_FtaQc_000010_000020,Pets & Animals,anthropic,claude-haiku-4-5-20251001,0,"What is the man wearing, and what is he doing along the fence?",A man in a green shirt and navy shorts walks back and forth along a fence.,green shirt; navy shorts; walks back and forth; fence,critical,Establishes main character appearance and primary action.
15,OGWuj_FtaQc_000010_000020,Pets & Animals,anthropic,claude-haiku-4-5-20251001,1,"What animal is on the other side of the fence, and how does it respond to the man?",A small deer mirrors his movements and follows him closely.,small deer; other side of fence; mirrors movements; follows closely,critical,Identifies the animal and its interactive behavior with the man.
15,OGWuj_FtaQc_000010_000020,Pets & Animals,anthropic,claude-haiku-4-5-20251001,2,What type of game or interaction is happening between the man and the deer?,The man is playfully engaging the deer in a game of follow-the-leader.,playful engagement; follow-the-leader; game,useful,Clarifies the nature and intent of their interaction.
16,kOf-vl-GmVI_000115_000125,Pets & Animals,anthropic,claude-haiku-4-5-20251001,0,"What is the woman wearing on her head, and what color is it?",A pink cap,pink cap; woman's head,critical,Distinctive identifying detail of the main character
16,kOf-vl-GmVI_000115_000125,Pets & Animals,anthropic,claude-haiku-4-5-20251001,1,What action does the woman perform with the horse while riding?,She gently pats the horse's head,pats; horse's head; gentle,critical,Key narrative action showing interaction between rider and animal
16,kOf-vl-GmVI_000115_000125,Pets & Animals,anthropic,claude-haiku-4-5-20251001,2,Describe the setting where this scene takes place.,A fenced paddock outdoors near a stable with evening light,fenced paddock; outdoors; stable; evening light,useful,Establishes spatial context and atmospheric conditions of scene
17,gjoZic4WjiQ_000012_000022,Pets & Animals,anthropic,claude-haiku-4-5-20251001,0,What happens to the first girl as she runs up the snowy hill?,She slips halfway up and slides back down,slips; slides back down; halfway,critical,Core action sequence that defines the scene's narrative
17,gjoZic4WjiQ_000012_000022,Pets & Animals,anthropic,claude-haiku-4-5-20251001,1,Describe the playground setting and what's between the two blue slides.,"A snowy playground with a steep, snow-covered hill between two blue slides",snowy playground; steep hill; snow-covered; two blue slides,critical,Essential spatial context for understanding the scene's layout
17,gjoZic4WjiQ_000012_000022,Pets & Animals,anthropic,claude-haiku-4-5-20251001,2,What does the second girl do after the first girl's attempt?,She eagerly takes her turn and attempts to climb the same hill,second girl; takes her turn; attempts to climb; same hill,useful,Shows continuation of playful activity and character engagement
18,q2ZBVyR1k-U_000021_000031,Pets & Animals,anthropic,claude-haiku-4-5-20251001,0,What does the man in the beekeeper's suit do with his protective hood?,"He removes it, revealing his face.",removes protective hood; reveals face,critical,Key action that defines the scene's main moment.
18,q2ZBVyR1k-U_000021_000031,Pets & Animals,anthropic,claude-haiku-4-5-20251001,1,What is the casually dressed man holding and doing?,He is holding a large blue canister and drinking from a cup.,large blue canister; drinks from cup,useful,Describes secondary character's visible objects and actions.
18,q2ZBVyR1k-U_000021_000031,Pets & Animals,anthropic,claude-haiku-4-5-20251001,2,Where does this scene take place and what is the beekeeper standing in?,"In a wooded area, standing in the back of a truck.",wooded area; back of truck,critical,Establishes setting and spatial context for understanding the scene.
19,qIWQHyOIpEY_000003_000013,Pets & Animals,anthropic,claude-haiku-4-5-20251001,0,What is the orange cat doing to the black and white cat?,The orange cat stands over the black and white cat and gently swats at it,orange cat; black and white cat; standing over; swatting,critical,Main action and interaction between primary subjects
19,qIWQHyOIpEY_000003_000013,Pets & Animals,anthropic,claude-haiku-4-5-20251001,1,Describe the positions of the cats in the scene.,"An orange cat stands over a lying black and white cat, with another cat partially visible sitting nearby",orange cat stands; black and white cat lying down; third cat partially visible; sitting nearby,critical,Spatial relationships essential for scene comprehension
19,qIWQHyOIpEY_000003_000013,Pets & Animals,anthropic,claude-haiku-4-5-20251001,2,What type of flooring and lighting are visible in the room?,The room has hardwood flooring and is dimly lit,hardwood floor; dimly lit,useful,Environmental context helps establish scene atmosphere
