clip_key,video_path_local,ad_text_used,audio_only_ok,accessibility_gap,description_gain,alignment_cosine,P_AV_shape,P_A_shape,P_AD_shape,corpus,clip_idx,video_id,category,duration_s,all4_fail,low_tier3_margin,tier2_tier1_inversion,yt_id,start_s,end_s
inbench_clip_16_kOf-vl-GmVI_000115_000125,/content/scenetwin/workspace/vatex_clips/clip_16.mp4,"In a fenced paddock, a woman in a pink cap and casual attire rides a horse. She gently pats the horse's head, guiding it around the corral. The setting is outdoors, near a stable, with the evening light casting a soft glow.",True,0.1540310432853198,-0.26891422567072076,0.9999999999970711,"[11, 20484]","[11, 20484]","[19, 20484]",inbench,16.0,kOf-vl-GmVI_000115_000125,Pets & Animals,16.39,0.0,0.0,0.0,,,
inbench_clip_17_gjoZic4WjiQ_000012_000022,/content/scenetwin/workspace/vatex_clips/clip_17.mp4,"In a snowy playground, a girl in a red hat runs up a steep, snow-covered hill between two blue slides. She slips halfway and slides back down, laughing. Another girl, wearing a knitted hat, eagerly takes her turn, attempting to climb the same hill. The scene is filled with laughter and playful attempts as they enjoy the snowy challenge.",True,0.12337978782273751,-0.20362789203162757,0.9920502516547521,"[11, 20484]","[11, 20484]","[27, 20484]",inbench,17.0,gjoZic4WjiQ_000012_000022,Pets & Animals,19.37,0.0,0.0,0.0,,,
inbench_clip_18_q2ZBVyR1k-U_000021_000031,/content/scenetwin/workspace/vatex_clips/clip_18.mp4,"In a wooded area, a man in a beekeeper's suit stands in the back of a truck. He removes his protective hood, revealing his face. Nearby, another man, dressed casually, sits holding a large blue canister and drinks from a cup. The scene captures a moment of rest and conversation between the two individuals.",True,0.14019508205815057,-0.01802134102727615,0.9634328062314222,"[10, 20484]","[11, 20484]","[25, 20484]",inbench,18.0,q2ZBVyR1k-U_000021_000031,Pets & Animals,16.39,0.0,0.0,0.0,,,
inbench_clip_19_qIWQHyOIpEY_000003_000013,/content/scenetwin/workspace/vatex_clips/clip_19.mp4,"In a dimly lit living room, three cats are on a hardwood floor. An orange cat stands over a black and white cat that is lying down, gently swatting at it. Another cat, partially visible, sits nearby. The room is quiet, with soft murmurs in a non-English language in the background.",True,0.12573551572242592,-0.5164259212963715,0.9886151827484192,"[10, 20484]","[11, 20484]","[23, 20484]",inbench,19.0,qIWQHyOIpEY_000003_000013,Pets & Animals,20.86,0.0,0.0,0.0,,,
external_0m0-Q0zz_-c_000112_000122,/content/scenetwin/workspace/external_clips/0m0-Q0zz_-c_000112_000122.mp4,"A man in a formal suit demonstrates how to tie a bow tie using his knee as a surface. He carefully wraps the fabric around his leg, explaining each step of the process. The bow tie is white and stands out against his dark suit. He finishes by showing the perfectly tied bow resting on his thigh.",True,0.06007087608244499,-0.09042841386298583,0.8129998846011107,"[11, 20484]","[11, 20484]","[23, 20484]",external,,0m0-Q0zz_-c_000112_000122,How-to & Instructional,,,,,0m0-Q0zz_-c,112.0,122.0
external_0t0DB1B1w8Y_000000_000010,/content/scenetwin/workspace/external_clips/0t0DB1B1w8Y_000000_000010.mp4,"On a sunny day at an outdoor track, a young woman in athletic gear demonstrates her agility. She leaps over a series of hurdles, each jump precise and fluid. After clearing the final hurdle, she lands gracefully on a large red foam pad. In the background, a group of people watches her performance.",True,0.07205117390908244,-0.530134258543014,0.0,"[6, 20484]","[6, 20484]","[24, 20484]",external,,0t0DB1B1w8Y_000000_000010,Sports,,,,,0t0DB1B1w8Y,0.0,10.0
external_1-jIze6gy0g_000026_000036,/content/scenetwin/workspace/external_clips/1-jIze6gy0g_000026_000036.mp4,"In a bustling factory, several workers are stationed along an assembly line. They efficiently handle bags of material as they move down a conveyor belt, sealing them before placing them with the rest. The environment is noisy, and one worker raises their voice to communicate over the sound. Large bags are stacked nearby, and the machinery hums steadily as the process continues.",True,0.18127637388283402,-0.6960325611427942,0.0,"[10, 20484]","[11, 20484]","[28, 20484]",external,,1-jIze6gy0g_000026_000036,How-to & Instructional,,,,,1-jIze6gy0g,26.0,36.0
external_1HUWWCLza0w_000000_000010,/content/scenetwin/workspace/external_clips/1HUWWCLza0w_000000_000010.mp4,"In a schoolyard, a young man in a white t-shirt and black shorts plays hopscotch on a painted court. Holding a basketball, he skillfully navigates the hopscotch pattern. After completing the sequence, he steps back and launches the basketball from a distance. The ball arcs through the air and successfully swishes through the hoop. The young man smiles, clearly pleased with his impressive shot.",True,0.13448063106879748,-0.25827869415906424,0.97476659377902,"[9, 20484]","[9, 20484]","[30, 20484]",external,,1HUWWCLza0w_000000_000010,Sports,,,,,1HUWWCLza0w,0.0,10.0
external_1YemrpNBpf4_000001_000011,/content/scenetwin/workspace/external_clips/1YemrpNBpf4_000001_000011.mp4,"A young man with white face paint stands in a room, holding up his shirt to reveal a waxing strip on his chest. A person in a pink sleeve approaches and quickly pulls off the strip. The man screams in pain, his expression a mix of surprise and discomfort.",True,0.14508910167583222,-0.14497626938464525,0.9802584066936912,"[10, 20484]","[11, 20484]","[19, 20484]",external,,1YemrpNBpf4_000001_000011,Entertainment,,,,,1YemrpNBpf4,1.0,11.0
external_1kLhK8KfIEw_000020_000030,/content/scenetwin/workspace/external_clips/1kLhK8KfIEw_000020_000030.mp4,"In a parking lot surrounded by parked cars, a man wearing headphones uses a backpack leaf blower to clear away leaves and debris. He moves methodically around the area, ensuring the space is clean.",True,0.3315123449046128,-0.47696340627222894,0.0,"[10, 20484]","[11, 20484]","[16, 20484]",external,,1kLhK8KfIEw_000020_000030,How-to & Instructional,,,,,1kLhK8KfIEw,20.0,30.0
external_21T1JDdJgsM_000047_000057,/content/scenetwin/workspace/external_clips/21T1JDdJgsM_000047_000057.mp4,"On a sunny day by a lake, a woman in a green shirt stands with two men. She playfully skips a rock across the water. The rock bounces erratically and accidentally hits a man riding a jet ski, causing him to fall into the water. The scene captures a lighthearted moment of unexpected mishap.",True,0.09763596318416057,-0.5321488745773904,0.989744801849075,"[11, 20484]","[11, 20484]","[22, 20484]",external,,21T1JDdJgsM_000047_000057,Entertainment,,,,,21T1JDdJgsM,47.0,57.0
external_2kJxrcNRS9w_000047_000057,/content/scenetwin/workspace/external_clips/2kJxrcNRS9w_000047_000057.mp4,"A young girl is outside on a sunny day, performing a series of cartwheels and flips on the grass. She moves with energy and precision, showcasing her gymnastics skills against a backdrop of a bright blue sky with scattered clouds.",True,0.20958406116872852,-0.53602844955149,0.0,"[11, 20484]","[11, 20484]","[17, 20484]",external,,2kJxrcNRS9w_000047_000057,Sports,,,,,2kJxrcNRS9w,47.0,57.0
external_3su234u58DA_000172_000182,/content/scenetwin/workspace/external_clips/3su234u58DA_000172_000182.mp4,"In a snowy city park, a large group of people, including young adults and children, engage in a lively snowball fight. A woman stands in the foreground, speaking to the camera about a snowball that went down her back. Behind her, the crowd energetically throws snowballs at each other, creating a playful and bustling atmosphere. The scene captures the joy and excitement of a winter day in an open field, with snow covering the ground and trees surrounding the area.",True,0.09881634712057208,-0.25611923001816705,0.9589324070987099,"[11, 20484]","[11, 20484]","[36, 20484]",external,,3su234u58DA_000172_000182,Entertainment,,,,,3su234u58DA,172.0,182.0
external_3ufJNSez5Is_000008_000018,/content/scenetwin/workspace/external_clips/3ufJNSez5Is_000008_000018.mp4,"In a pottery workshop, a woman is shaping a clay vase on a spinning wheel. She carefully molds the clay with her hands, focusing on the form. A man nearby kneels on a wooden plank, reaching for a phone handed to him by someone off-camera. The workshop is filled with pottery tools and finished pieces, creating a creative and industrious atmosphere.",True,0.11843659178237897,-0.2785223001738416,0.9983918225898651,"[10, 20484]","[11, 20484]","[27, 20484]",external,,3ufJNSez5Is_000008_000018,How-to & Instructional,,,,,3ufJNSez5Is,8.0,18.0
external_750QhTe9Z4U_000000_000010,/content/scenetwin/workspace/external_clips/750QhTe9Z4U_000000_000010.mp4,"In a grassy yard, a young boy confidently drives a large red tractor. He is supervised by a man walking alongside, while another adult observes nearby. The boy, wearing glasses and a hoodie, smiles as he steers the tractor, which is equipped with a front loader. The scene is lively and engaging, capturing a moment of learning and fun.",True,0.14713961311655743,-0.3529094155897128,0.9980255376621668,"[10, 20484]","[11, 20484]","[28, 20484]",external,,750QhTe9Z4U_000000_000010,People & Vlogs,,,,,750QhTe9Z4U,0.0,10.0
external_8vkNr_eysXY_000002_000012,/content/scenetwin/workspace/external_clips/8vkNr_eysXY_000002_000012.mp4,"In an outdoor market setting, a man stands at a stall, demonstrating how to carve a pineapple. He skillfully uses a knife to cut the pineapple into decorative spirals, placing the pieces into a basket. The stall is surrounded by other produce, and the man works with precision, showcasing his technique to onlookers.",True,0.28544253278590037,-0.12110402162713141,0.9869083599526195,"[10, 20484]","[10, 20484]","[26, 20484]",external,,8vkNr_eysXY_000002_000012,How-to & Instructional,,,,,8vkNr_eysXY,2.0,12.0
external_9eBhetL8n5Q_000222_000232,/content/scenetwin/workspace/external_clips/9eBhetL8n5Q_000222_000232.mp4,"In a hotel room, two young men sit on a bed, shirtless, with a box of doughnuts beside them. One of the men, who has a tattoo of footprints and calligraphy on his chest, talks animatedly to the camera while eating a doughnut. He gestures with his hands, emphasizing his words, and occasionally shows a close-up of the doughnut. The atmosphere is relaxed and informal as they discuss the number of doughnuts they have eaten.",True,0.08706709611323915,-0.049417324571880195,0.9739274065493341,"[11, 20484]","[11, 20484]","[33, 20484]",external,,9eBhetL8n5Q_000222_000232,People & Vlogs,,,,,9eBhetL8n5Q,222.0,232.0
external_9fuIpQgnNEQ_000049_000059,/content/scenetwin/workspace/external_clips/9fuIpQgnNEQ_000049_000059.mp4,"Outside a bustling convention center, a large crowd forms a line along the sidewalk. People are dressed in various outfits, some in cosplay. A man with a camera captures photos of the scene, focusing on individuals in costume. The atmosphere is lively as attendees chat and move slowly forward in the line.",True,0.059317410929392245,-0.3498371936054525,0.9999999999980427,"[11, 20484]","[11, 20484]","[25, 20484]",external,,9fuIpQgnNEQ_000049_000059,Event,,,,,9fuIpQgnNEQ,49.0,59.0
external_A0e7Z55s8pE_000008_000018,/content/scenetwin/workspace/external_clips/A0e7Z55s8pE_000008_000018.mp4,"A man stands on a ladder, clearing snow from a sloped roof. Suddenly, the snow gives way, causing both the man and the ladder to slide down into a snowbank below. The scene takes place outside a house during a snowy day.",True,0.20038740685368284,-0.21432209918925038,0.9840620116192864,"[6, 20484]","[6, 20484]","[18, 20484]",external,,A0e7Z55s8pE_000008_000018,How-to & Instructional,,,,,A0e7Z55s8pE,8.0,18.0
external_AEkLDauJVi0_000069_000079,/content/scenetwin/workspace/external_clips/AEkLDauJVi0_000069_000079.mp4,"A child in a yellow shirt sits on a wooden bench, holding a bread roll. Using a spoon, they fill the roll with a dark, thick substance from a nearby mug. The child carefully spreads the filling, resembling Nutella, into the center of the roll. The setting appears to be outdoors, adding a playful element to the scene.",True,0.2927704809327547,-0.07002787703105784,0.9956350417005116,"[11, 20484]","[11, 20484]","[26, 20484]",external,,AEkLDauJVi0_000069_000079,Food & Cooking,,,,,AEkLDauJVi0,69.0,79.0
external_BHxn3qfPAl4_000018_000028,/content/scenetwin/workspace/external_clips/BHxn3qfPAl4_000018_000028.mp4,"A woman lies on a massage table, her eyes closed, as a massage therapist gently stretches and massages her neck. The therapist uses their arm to carefully tilt her head to the side, providing a relaxing experience.",True,0.24304902467431522,-0.44231971182387236,0.0,"[10, 20484]","[11, 20484]","[18, 20484]",external,,BHxn3qfPAl4_000018_000028,Health & Wellness,,,,,BHxn3qfPAl4,18.0,28.0
external_BcW6Y7eufQE_000239_000249,/content/scenetwin/workspace/external_clips/BcW6Y7eufQE_000239_000249.mp4,"In a cozy room, a young woman in a pink hoodie sits across from an older woman with short hair. They engage in a lively conversation. The young woman adjusts her hair, prompting laughter from the older woman. Their interaction is light-hearted and filled with giggles, creating a warm and friendly atmosphere.",True,0.1366415140927154,-0.08231350089335776,0.9895052700154282,"[11, 20484]","[11, 20484]","[23, 20484]",external,,BcW6Y7eufQE_000239_000249,People & Vlogs,,,,,BcW6Y7eufQE,239.0,249.0
external_Bss3WwpDdS8_000041_000051,/content/scenetwin/workspace/external_clips/Bss3WwpDdS8_000041_000051.mp4,"In a cozy kitchen, a young man with long hair sings directly into the camera. The scene shifts as he turns the camera to reveal a small group of people gathered in the room, engaging in lively conversation. The atmosphere is warm and animated, with people moving around and interacting with each other. A woman joins the conversation, adding to the dynamic energy of the gathering. The camera occasionally blurs, capturing the excitement and movement of the group as they enjoy their time together.",True,0.08183499042899356,-0.27074525945690897,0.9968915529960043,"[11, 20484]","[11, 20484]","[37, 20484]",external,,Bss3WwpDdS8_000041_000051,People & Vlogs,,,,,Bss3WwpDdS8,41.0,51.0
external_Ccgwurislg8_000082_000092,/content/scenetwin/workspace/external_clips/Ccgwurislg8_000082_000092.mp4,"A person in a tank top and cap is shearing a sheep that is lying on its back on a table. Using electric clippers, they carefully remove the wool, which is then set aside. The setting appears to be outdoors, with the sheep calmly positioned as the shearing continues.",True,0.26079431953837284,-0.29950687525160175,0.0,"[10, 20484]","[11, 20484]","[21, 20484]",external,,Ccgwurislg8_000082_000092,How-to & Instructional,,,,,Ccgwurislg8,82.0,92.0
external_D297atE3gag_000203_000213,/content/scenetwin/workspace/external_clips/D297atE3gag_000203_000213.mp4,"In a sunny park, a man demonstrates slacklining techniques between two trees. He skillfully balances barefoot on the slackline, performing lunges and adopting the warrior pose. The video highlights the 'Warrior Walks' technique, showcasing his focus and control. As he moves across the line, the background reveals a serene park setting with bare trees. The video concludes with an advertisement for an acro festival, featuring acrobatic poses performed indoors.",True,0.08751459644998993,-0.015457330812422954,0.9697436708784817,"[10, 20484]","[11, 20484]","[36, 20484]",external,,D297atE3gag_000203_000213,How-to & Instructional,,,,,D297atE3gag,203.0,213.0
external_EA3HCx0yTIY_000281_000291,/content/scenetwin/workspace/external_clips/EA3HCx0yTIY_000281_000291.mp4,"A bearded, bald man sits at a drum set in a recording studio. He rhythmically strikes a cymbal with a drumstick, creating a steady beat. The focus remains on his deliberate and repeated motion as he plays.",True,0.24461457565097622,-1.040706060420204,0.0,"[11, 20484]","[11, 20484]","[16, 20484]",external,,EA3HCx0yTIY_000281_000291,Music,,,,,EA3HCx0yTIY,281.0,291.0
external_F-mRnL_XmJU_000000_000010,/content/scenetwin/workspace/external_clips/F-mRnL_XmJU_000000_000010.mp4,"A young woman is sleeping on a bed. A person playfully throws paper money over her, causing her to stir and use some of the bills as a pillow. The scene is lighthearted, with the person continuing to drop money while the woman remains in a relaxed state.",True,0.22856270395830125,-0.17067198456600197,0.9990789477223323,"[10, 20484]","[10, 20484]","[19, 20484]",external,,F-mRnL_XmJU_000000_000010,Entertainment,,,,,F-mRnL_XmJU,0.0,10.0
external_GOH6fBhoi2o_000010_000020,/content/scenetwin/workspace/external_clips/GOH6fBhoi2o_000010_000020.mp4,"In a dimly lit room, a toddler sits close to a television, captivated by the screen. The child giggles and fidgets, occasionally falling over and sitting back up. Music plays softly in the background, adding to the playful atmosphere.",True,0.3961782650029143,-0.6411825201878115,0.0,"[10, 20484]","[10, 20484]","[19, 20484]",external,,GOH6fBhoi2o_000010_000020,Entertainment,,,,,GOH6fBhoi2o,10.0,20.0
external_HpRmj5ce32c_000001_000011,/content/scenetwin/workspace/external_clips/HpRmj5ce32c_000001_000011.mp4,"In an indoor ice rink, a group of people is engaged in a curling game. One person slides a curling stone across the ice while others, equipped with brooms, prepare to sweep the path ahead. The rink is spacious, with high ceilings and empty bleachers in the background. The focus is on the coordination and technique involved in the game.",True,0.276380794057565,-0.5413952395316871,0.9969033955437425,"[11, 20484]","[11, 20484]","[26, 20484]",external,,HpRmj5ce32c_000001_000011,Sports,,,,,HpRmj5ce32c,1.0,11.0
external_N-LZPc27kjM_000229_000239,/content/scenetwin/workspace/external_clips/N-LZPc27kjM_000229_000239.mp4,"In a craft tutorial, a woman demonstrates how to transform small blue mittens into earrings. She uses a needle to create tiny grooves on the mittens, giving them a fluffy texture similar to fur. The mittens, made from a clay-like material, are carefully shaped and detailed. As she works, she explains each step, ensuring the mittens will soon become charming earrings.",True,0.09554951254932365,-0.15636603003902982,0.9948293668204518,"[10, 20484]","[11, 20484]","[30, 20484]",external,,N-LZPc27kjM_000229_000239,How-to & Instructional,,,,,N-LZPc27kjM,229.0,239.0
external_OASCPKazLIM_000132_000142,/content/scenetwin/workspace/external_clips/OASCPKazLIM_000132_000142.mp4,"On a wooden table, a person demonstrates how to wrap a book using colorful wrapping paper. The book is placed on a sheet of shiny foil paper. The person carefully folds the paper over the book, ensuring it is neatly covered. The process is shown step-by-step, highlighting the technique for a tidy wrap.",True,0.18390168094751747,-0.1474455029442422,0.0,"[11, 20484]","[11, 20484]","[24, 20484]",external,,OASCPKazLIM_000132_000142,How-to & Instructional,,,,,OASCPKazLIM,132.0,142.0
external_RjPp0ZPW0yc_000000_000010,/content/scenetwin/workspace/external_clips/RjPp0ZPW0yc_000000_000010.mp4,"In a workshop, a person operates an orange-colored stationary saw. They pull down the lever, activating the machine, which emits a loud grinding sound as it cuts through a metal pipe. The person carefully maneuvers the handle to guide the saw, ensuring a precise cut.",True,0.2282156072672632,-0.4170288343487258,0.0,"[11, 20484]","[11, 20484]","[21, 20484]",external,,RjPp0ZPW0yc_000000_000010,How-to & Instructional,,,,,RjPp0ZPW0yc,0.0,10.0
external_RlfVK8z5wJ0_000000_000010,/content/scenetwin/workspace/external_clips/RlfVK8z5wJ0_000000_000010.mp4,"On a frozen lake, a woman in a pink jacket and gray overalls carefully walks towards a yellow marker. She kneels by an ice fishing hole, lifting a device from the water. The scene is set in a cold, wintry environment, emphasizing the activity of checking an ice fishing line.",True,0.1645468950413399,-0.5299760920847479,0.0,"[10, 20484]","[11, 20484]","[22, 20484]",external,,RlfVK8z5wJ0_000000_000010,Sports,,,,,RlfVK8z5wJ0,0.0,10.0
external_S-C86j0keqc_000217_000227,/content/scenetwin/workspace/external_clips/S-C86j0keqc_000217_000227.mp4,"In a park setting, a young woman sings 'Amazing Grace' while a man, dressed in Civil War-era attire, plays the violin. They are positioned near a canvas tent, suggesting a historical reenactment event. The scene takes place on a sunny day, adding to the lively atmosphere.",True,0.1053204411955001,-0.5154061041421358,0.9958059497810471,"[11, 20484]","[11, 20484]","[23, 20484]",external,,S-C86j0keqc_000217_000227,Event,,,,,S-C86j0keqc,217.0,227.0
external_ShSSAEfnyDs_000000_000010,/content/scenetwin/workspace/external_clips/ShSSAEfnyDs_000000_000010.mp4,"In a car, a man wearing a cap is dozing in the back seat. Another person leans over and kisses him on the forehead, causing the man to stir and react. He pushes the person away and covers the camera with his hand, momentarily blocking the view.",True,0.08229304085841571,-0.5905645985997512,0.9956274254172621,"[5, 20484]","[5, 20484]","[19, 20484]",external,,ShSSAEfnyDs_000000_000010,Entertainment,,,,,ShSSAEfnyDs,0.0,10.0
external_Xdz1cxEjLYc_000007_000017,/content/scenetwin/workspace/external_clips/Xdz1cxEjLYc_000007_000017.mp4,"A young girl with blonde hair sits at a round kitchen table, wearing a pink and white striped shirt. She uses a fork to eat from a plate of food in front of her. A glass of milk is nearby. As she takes a bite, she nods in approval, indicating she enjoys the meal. A voice off-screen encourages her to try more.",True,0.08644013184582944,-0.18165979263847076,0.9796780574890843,"[10, 20484]","[11, 20484]","[25, 20484]",external,,Xdz1cxEjLYc_000007_000017,Food & Cooking,,,,,Xdz1cxEjLYc,7.0,17.0
external_Z5w-wkrjHuw_000345_000355,/content/scenetwin/workspace/external_clips/Z5w-wkrjHuw_000345_000355.mp4,"In a lively roller skating rink, groups of people glide smoothly across the wooden floor. They hold hands and skate in synchronized circles, creating a vibrant and energetic atmosphere. The rink is filled with colorful lights and music, enhancing the joyful experience as skaters move in unison around the perimeter.",True,0.08805246984084747,-0.3962320615444055,0.9999999999983852,"[11, 20484]","[11, 20484]","[24, 20484]",external,,Z5w-wkrjHuw_000345_000355,Entertainment,,,,,Z5w-wkrjHuw,345.0,355.0
