video_id,cand,ad,n_words,adqa,clip,expert_sim
u-olDM7oGGM_000012_000022,c0,"A young boy with a black backpack walks on a sidewalk next to a street with cars and other pedestrians. He pulls on a blue and white hooded jacket, covering his face, then pulls it off while running past a chain-link fence. Houses and distant hills are visible under a cloudy sky.",52,0.7,0.33449259400367737,0.6492879390716553
u-olDM7oGGM_000012_000022,c1,"A young boy with a dark backpack walks on a sidewalk next to a road with cars and houses. He pulls a white and blue jacket over his head, then smiles as he puts it on while running forward. A person walks a black dog on a leash behind him, with distant mountains under a cloudy sky.",57,0.5,0.3331097662448883,0.7042591571807861
u-olDM7oGGM_000012_000022,c2,"A young boy with a black backpack walks on a sidewalk, wearing a white shirt. He playfully pulls a blue and white jacket over his head, covering his face, then removes it, smiling, and starts to run. In the background, people walk a black dog on a leash, while cars pass by houses and distant mountains.",56,0.5,0.3565455973148346,0.7324432134628296
u-olDM7oGGM_000012_000022,c3,"A young boy with a black backpack walks along a sidewalk next to a street. He playfully pulls a white and blue jacket over his head, briefly covering his face, then laughs as he puts his arms through the sleeves. Other pedestrians, a leashed black dog, and cars are visible on the street, with houses and mountains in the background.",60,0.5,0.34245672821998596,0.7937617897987366
eb-ufaFcUas_000008_000018,c0,"A person in a white shirt and red shorts repeatedly bounces high into the air on a bungee trampoline. The action occurs inside a bustling multi-story shopping mall, with numerous store signs like 'EMPIRE' and 'WORLD OF WATCHES' visible on a large pillar.",43,0.3,0.3873318135738373,0.7516376972198486
eb-ufaFcUas_000008_000018,c1,"A person in a t-shirt and shorts repeatedly jumps high on a trampoline inside a shopping mall. They spring upward against a tall pillar featuring a large Casio watch advertisement and ""World of Watches"" signage. Storefronts with signs like ""Empire"" and ""Planet Fashion"" are visible in the background.",48,0.7,0.41159069538116455,0.7073023319244385
eb-ufaFcUas_000008_000018,c2,"A young person in a white shirt and red shorts bounces on a trampoline, reaching high up a tall pillar inside a multi-level shopping mall. Large advertisements for watches and electronics adorn the pillar, with various store signs like 'Empire' and 'Planet Fashion' visible in the background.",47,0.4,0.4102184474468231,0.7571887373924255
eb-ufaFcUas_000008_000018,c3,"A person in a white shirt and red shorts bounces repeatedly on a trampoline within a bustling shopping mall. They spring high next to a large pillar displaying watch advertisements. Numerous brightly lit storefronts and signs, including ""Empire"" and ""Planet Fashion,"" are visible in the background.",46,0.3,0.3805448114871979,0.6972431540489197
heWD9j45Emw_000225_000235,c0,"A lively band performs on a stage bathed in bright blue and green lights. Five men in white shirts and jeans play various instruments: an accordion, a saxophone, and a trumpet are prominent. Another man plays drums in the background, as the musicians sway to the rhythm, energized by the stage lights.",52,0.7,0.3058249056339264,0.7862522006034851
heWD9j45Emw_000225_000235,c1,"A lively band performs on a dark stage, illuminated by vibrant blue and green stage lights. The central musician energetically plays an accordion, surrounded by band members playing saxophones, trumpets, and percussion. All are casually dressed in shirts and jeans, moving rhythmically with the music.",45,0.6,0.270989328622818,0.8438247442245483
heWD9j45Emw_000225_000235,c2,"A band of men performs on a dark stage, illuminated by bright blue and green spotlights. The central musician plays an accordion, surrounded by bandmates playing saxophones, a trumpet, and drums. They sway and move energetically, creating a lively musical performance.",41,0.5,0.2615809142589569,0.8132889866828918
heWD9j45Emw_000225_000235,c3,"A band of five men performs energetically on a dark stage, illuminated by vibrant blue and green spotlights. The central musician plays a red and white accordion, while others play saxophone, trumpet, and percussion. Dressed in white shirts and jeans, they sway to the music under a visible metal truss structure.",51,1.0,0.30500373244285583,0.7454460859298706
2kJxrcNRS9w_000047_000057,c0,"A young person with a pink headband, white shirt, and dark pants performs a forward roll in a grassy area. They bend down, disappear, then rise up again. The scene is set outdoors under a bright blue sky filled with white clouds, with green trees in the background.",48,0.8,0.3330491781234741,0.5825905799865723
2kJxrcNRS9w_000047_000057,c1,"A young person in a light t-shirt, dark pants, and a pink headband performs a cartwheel outdoors. The setting is a bright blue sky filled with fluffy white clouds, with distant trees and tall grass visible at the bottom of the frame.",42,0.8,0.3245575726032257,0.7218393087387085
2kJxrcNRS9w_000047_000057,c2,"A young person in a light shirt, dark pants, and pink headband performs a cartwheel outdoors. Under a bright blue sky with scattered white clouds, they move across the frame, reaching hands to the ground then pushing up. Trees and tall grass line the distant horizon, completing the sunny scene.",50,0.8,0.32488149404525757,0.7409461736679077
2kJxrcNRS9w_000047_000057,c3,"A young person in a white shirt and dark pants performs a cartwheel outdoors. They begin upright, bending to place hands on the unseen ground, then their legs swing over before they land upright again. The setting is a bright blue sky with numerous white clouds, green trees, and some tall grass.",52,0.8,0.32387930154800415,0.6958310604095459
OASCPKazLIM_000132_000142,c0,"On a wooden table, hands wrap a small, floral-patterned notebook. A sheet of shiny silver paper is laid out, then a translucent colorful paper with red, yellow, and green hues is folded over the notebook. Scissors are visible to the left, suggesting a gift-wrapping activity.",45,0.5,0.27471527457237244,0.7714437246322632
OASCPKazLIM_000132_000142,c1,"Two hands on a wooden table are wrapping a small, patterned notebook. They first place a piece of shiny silver paper, then lay a translucent rainbow-colored sheet over the notebook. The hands carefully fold the colorful paper around the notebook, tucking it neatly to begin the wrapping process.",48,0.6,0.3073269724845886,0.7764625549316406
OASCPKazLIM_000132_000142,c2,"On a wooden table, a person's hands are meticulously wrapping a small, decorative box. First, they use crinkled silver foil, then overlay it with a narrow strip of translucent paper that transitions from red to yellow to green. They carefully fold the colorful paper over the box. Scissors are nearby.",50,0.6,0.330692857503891,0.8199170827865601
OASCPKazLIM_000132_000142,c3,"Hands on a wooden table carefully wrap a small, floral-patterned rectangular box. First, a sheet of shimmering silver paper is placed, then a translucent paper with vibrant red, yellow, and green gradients is laid over it. The hands begin folding the colorful paper around the box, securing the top edge.",50,0.6,0.31913885474205017,0.7208346724510193
j4CKRgv3jUg_000000_000010,c0,"A person with a backpack walks on a wet street towards a bus shelter. Several people stand under the shelter, waiting. The outdoor scene features a cloudy sky, buildings, and an overpass in the background, with double yellow lines marking the street.",42,0.6,0.2817952334880829,0.5879147052764893
j4CKRgv3jUg_000000_000010,c1,"A person with a backpack walks away on a wet street with double yellow lines towards a bus stop where several people wait under a shelter. The camera pans across the street, revealing an overhead pedestrian bridge and buildings under a cloudy sky.",43,0.6,0.2983390986919403,0.5710201859474182
j4CKRgv3jUg_000000_000010,c2,"A person walks on a wet street with double yellow lines, then along a sidewalk. They pass a group of people waiting under a bus stop shelter next to a brick building. An overhead pedestrian bridge is visible in the background as the person continues. The camera then returns to the waiting group.",53,0.6,0.33923593163490295,0.5521807670593262
j4CKRgv3jUg_000000_000010,c3,"On a wet street with double yellow lines, a person walks towards a bus stop shelter where several people are waiting. A brick building stands behind the shelter, and a pedestrian bridge is visible overhead. The ground appears damp from rain, with a grassy area and playground equipment in the distance.",51,0.6,0.27757692337036133,0.5461848378181458
N-LZPc27kjM_000229_000239,c0,"A person's hands hold two small, light blue clay mittens with dark blue cuffs. Using a needle, they meticulously scratch tiny grooves into the surface of one mitten, creating a knitted texture. The close-up view is set against a white background, bordered by colorful polymer clay blocks.",47,0.6,0.35947951674461365,0.6663496494293213
N-LZPc27kjM_000229_000239,c1,"On a white surface, hands meticulously use a needle to scratch grooves into two small light blue clay mittens, each with a dark blue cuff. This action creates a realistic knitted texture on the miniature winter wear. The finished clay mittens, now resembling tiny knitted earrings, are then displayed.",49,0.7,0.3609718382358551,0.7825833559036255
N-LZPc27kjM_000229_000239,c2,"A person’s hands meticulously use a thin needle to scratch grooves into two small light blue clay mittens, each with a dark blue cuff. This action creates a knitted texture on the clay. The crafting occurs on a white surface, bordered by various colorful clay sticks. The finished mittens are held up, showcasing their detailed design.",56,0.6,0.3360811471939087,0.7238861322402954
N-LZPc27kjM_000229_000239,c3,"A close-up shows hands using a needle to scratch texture into a small light blue clay mitten with a dark blue cuff, resembling knitwear. Two identical finished mittens, sitting on a white surface, are then held up, revealing their detailed, textured finish.",42,0.5,0.3098394572734833,0.6260473132133484
RlfVK8z5wJ0_000000_000010,c0,"A person in a bright pink hoodie and grey waders stands on a smooth, dark frozen lake. They lean down to place a yellow and black ice fishing tip-up over a small, slushy hole. The person then kneels, adjusting the tip-up, seemingly lowering a fishing line into the water through the hole.",52,0.0,0.39706912636756897,0.800094723701477
RlfVK8z5wJ0_000000_000010,c1,"A person in a pink hoodie and grey waders walks onto dark, smooth ice. They bend and kneel, placing a yellow circular ice fishing tip-up over a visible hole in the ice. The frozen lake stretches out under a grey sky, with a faint shoreline in the distance.",48,0.0,0.37787947058677673,0.816810667514801
RlfVK8z5wJ0_000000_000010,c2,"A person in a pink hoodie and grey overalls stands on a dark, frozen lake. They bend down and place a bright yellow ice fishing trap over a small hole in the ice. The slick ice reflects the overcast sky, with a faint, blurry tree line visible in the distance.",50,0.0,0.3588670492172241,0.8146224021911621
RlfVK8z5wJ0_000000_000010,c3,"A person in a pink hoodie and grey overalls stands on a vast frozen lake. They bend down and kneel beside a small hole in the ice. The person places a yellow circular ice fishing tip-up over the hole, inserting a black pole into the center of the device.",49,0.0,0.4037858247756958,0.8089287877082825
_TKzyWZHjm8_000002_000012,c0,"A man in a white shirt and black shorts enters a cluttered room. He approaches a large, bright pink stability ball positioned in the center. The man then carefully sits down on the ball, facing the camera, with a patterned couch to his left and shelves with various items visible in the background.",53,0.5,0.3474762439727783,0.494581401348114
_TKzyWZHjm8_000002_000012,c1,"A man in a white t-shirt and black shorts walks into a cluttered living room setting. He approaches a large pink stability ball on the floor. The man then carefully sits down on the pink ball, positioning himself upright and looking forward. A floral couch is to the left, with shelves and a bicycle visible in the background.",58,0.5,0.33570241928100586,0.452487587928772
_TKzyWZHjm8_000002_000012,c2,"A man in a white t-shirt and black shorts walks into a living room with a patterned couch and shelves. He approaches a large pink stability ball positioned on the floor. The man then squats down and sits centered on the ball, looking directly ahead. Various household items and exercise equipment are visible in the room.",56,0.6,0.340742826461792,0.5302247405052185
_TKzyWZHjm8_000002_000012,c3,"A man in a white t-shirt and black shorts enters a home gym or living area and carefully sits on a large pink stability ball. He faces forward, seated upright, with a patterned couch to his left and shelves with various items and a bicycle in the background.",48,0.5,0.3465122878551483,0.5982393026351929
F-mRnL_XmJU_000000_000010,c0,"A blonde woman wakes up in bed as dollar bills are thrown onto her. She smiles, grabs some cash from her chest, and looks around at the money piling up on the sheets next to her. She then playfully tosses some bills into the air.",45,0.4,0.24025021493434906,0.7340004444122314
F-mRnL_XmJU_000000_000010,c1,"A person with blonde hair lies on a bed, appearing to wake up. Suddenly, dollar bills begin to rain down on them and the bed. The person smiles and starts reaching for the money as it accumulates around them, seemingly delighted by the unexpected cash.",45,0.5,0.25346842408180237,0.6771780252456665
F-mRnL_XmJU_000000_000010,c2,"A person with blonde hair sleeps under a white sheet in a bed. As dollar bills are placed and scattered around them, they slowly open their eyes and begin to smile. More money falls onto the bed, and the person starts collecting the bills, appearing happy with the unexpected discovery.",50,0.5,0.24233190715312958,0.6761770248413086
F-mRnL_XmJU_000000_000010,c3,"A blonde-haired woman in a red top lies on a bed. Banknotes begin falling onto her and the light-colored bedding. She stirs, looks surprised, then breaks into a wide smile as she gathers the falling money with both hands, pulling it close to her. Many bills scatter across the bed.",50,0.5,0.2715476155281067,0.6736577153205872
g8Idd47kGqo_000037_000047,c0,"A young woman in a pink t-shirt and black shorts performs a dance routine in a studio. She smiles while stepping and moving her arms. The room has light blue walls, a dark floor, a wooden ballet barre, and dancer silhouettes on the left wall.",45,0.4,0.3333665430545807,0.8576777577400208
g8Idd47kGqo_000037_000047,c1,"A young woman in a pink shirt and black shorts performs a dance routine in a studio. She moves backward, spins with arms extended, and then steps forward, smiling throughout. The studio features light blue walls, a wooden ballet barre on the right, and black dancer silhouettes on the left.",50,0.4,0.32664042711257935,0.848592221736908
g8Idd47kGqo_000037_000047,c2,"A young woman in a pink t-shirt and black shorts dances in a studio. She steps and turns, extending her arms. She smiles while performing her routine. The studio features light blue walls, a wooden ballet barre on the right, and dark dancer silhouettes on the left wall.",48,0.4,0.3158835470676422,0.8569691181182861
g8Idd47kGqo_000037_000047,c3,"A young woman in a pink shirt and black shorts performs a dance routine in a studio. She smiles while stepping, turning, and moving her arms dynamically. The room has blue walls, a dark floor, a wooden ballet barre on the right, and dark dance silhouette decals on the left wall.",51,0.4,0.33675524592399597,0.8632467985153198
ShSSAEfnyDs_000000_000010,c0,"A person wearing a baseball cap and clear glasses is sitting inside a vehicle. They turn to face forward, lifting a hand to their head. The person then removes dark sunglasses from the top of their cap and puts them on their face. The scene then transitions to a solid red color.",52,0.1,0.34667834639549255,0.5862095355987549
ShSSAEfnyDs_000000_000010,c1,"A person inside a vehicle adjusts their baseball cap, then puts on a pair of dark-rimmed glasses. Blurred light-colored buildings are visible through the window. The person looks forward, wearing a light shirt and the cap over the glasses, before the scene transitions to a solid red.",47,0.5,0.30436304211616516,0.5049760341644287
ShSSAEfnyDs_000000_000010,c2,"A person in a light-colored top sits inside a vehicle during the day. They adjust a beige cap on their head, then pick up a pair of dark sunglasses and put them on over their eyes. A light-colored building is visible outside the vehicle's window. The scene fades to red.",50,0.5,0.29285258054733276,0.46095216274261475
ShSSAEfnyDs_000000_000010,c3,"A person wearing a hat and glasses sits inside a vehicle. They turn towards the camera, then lift a small, light-colored cup or bottle to their mouth, appearing to take a drink. Through the window, buildings and a light pole are visible in the background.",45,0.4,0.30227622389793396,0.5276750922203064
d7_SY48r__8_000060_000070,c0,"A person uses electric clippers to shear wool from a light-colored sheep lying on its back. The sheep's legs are secured by ropes. Patches of thick, dirty wool are removed from its belly and chest, revealing lighter skin underneath. The shearing occurs on a light brown, possibly dirt or concrete, floor.",51,0.2,0.36625221371650696,0.84562087059021
d7_SY48r__8_000060_000070,c1,"A sheep lies on its back on a light brown floor, its legs tied with rope. A person uses electric clippers to shear thick, dirty wool from its belly and chest, revealing the lighter skin beneath. Shorn wool piles on the ground nearby.",43,0.0,0.34252724051475525,0.7598567008972168
d7_SY48r__8_000060_000070,c2,"A person shears a sheep lying on its back on a light brown, possibly dirt-covered floor. An arm holds electric clippers, removing thick wool from the sheep's belly and chest. Patches of lighter, mottled skin are revealed as the wool comes off. Some of the sheep's legs appear to be loosely tied.",52,0.2,0.3640468418598175,0.7993364334106445
d7_SY48r__8_000060_000070,c3,"A person uses electric clippers to shear a sheep lying on its back on a dirty brown floor. The white and grey-patched sheep has its legs tied with a rope as wool is removed from its belly and side, revealing smoother skin underneath.",43,0.2,0.353597491979599,0.8807368874549866
