clip,yt_id,start,tier,gt,clip_score,adqa_score,ad,clip_norm,adqa_norm,ensemble
video-6tDRBb0apDg,6tDRBb0apDg,104.517,tier2_partial,2,0.24948260188102722,0.0,the guy folds his index finger to make a fist the friend write something on a notebook and the friend turns his empty notebook to the guy the guy raises a wire the friend draws a circle with a pencil that is not sharpened,0.6788608982181774,0.0,0.3394304491090887
video-6tDRBb0apDg,6tDRBb0apDg,104.517,tier3_full,3,0.2500026325384776,0.3333333333333333,the guy folds his index finger to make a fist the friend write something on a notebook and the friend turns his empty notebook to the guy the guy raises a wire the friend draws a circle with a pencil that is not sharpened the guy is all of a sudden wearing a beige brown purse and holds it up the friend shows a Siri conversation page on an iPhone the guy takes the phone from the friend in call the person named Troost the friend shakes the weight the guy she was a fine or penalty ticket,0.6884400280559374,1.0,0.8442200140279688
video-8l6T3fwxAyw,8l6T3fwxAyw,13.568667,tier0_cross,0,0.1996723711490631,0.0,Peter runs to flash flash collides with Peter and gets knocked to the floor Peter jumps 10 feet across the gym towards the basket the girl whose paint got knocked over is still watching he soars closer to the basket with the ball above his head ready to dunk a cheerleader watches as she blows a bubble with gum Peter dunks the ball and shatters the glass behind the basket the cheerleader pops are dumb glass falls on Peter as he lands the hoop disconnected from the basket lands on the floor flash looks up from the floor Peter looks up slowly,0.0,0.0,0.0
video-8l6T3fwxAyw,8l6T3fwxAyw,13.568667,tier1_min,1,0.24910877148310342,0.0,a tall joyful person is singing this when a person at the side of the road says,0.6776013464798756,0.0,0.3388006732399378
video-8l6T3fwxAyw,8l6T3fwxAyw,13.568667,tier2_partial,2,0.27263031403223675,0.3333333333333333,a tall joyful person is singing this when a person at the side of the road says after this treating the screen Zooms in on the joyful person who now suddenly looks angry after he blows up a whole is left inside the ground does a tall person a dog and a short haired woman who act,1.0,0.5,0.75
video-8l6T3fwxAyw,8l6T3fwxAyw,13.568667,tier3_full,3,0.2514414091904958,0.6666666666666666,a tall joyful person is singing this when a person at the side of the road says after this treating the screen Zooms in on the joyful person who now suddenly looks angry after he blows up a whole is left inside the ground does a tall person a dog and a short haired woman who act unexpectedly the dog replies instead of the person and the woman is shot after the dog unexpectedly introduces his owner the owner's name tag shows up and he said a little boy is Stone asking a pregnant woman after she replies the baby pops out of the women's ripped stomach,0.7095737077500882,1.0,0.854786853875044
video-BXx51SR_3Sk,BXx51SR_3Sk,105.761392,tier0_cross,0,0.13935323059558868,0.0,a woman covering her mouth with her hands girl covering her mouth with the right hand a man within a Jeep jaw followed by a man with eyes looking down will cover entire face with his right hand a woman with closed eyes a man covering his face with his right hand a woman wiping her tears alone with squinted eyes bringing her right hand to her face a man looking down with the size a man shaking his head up and at his nose and a woman with the right hand on her brow a woman covering her entire face through hands and looking down man shaking his head and covering his face with both hands then dropping his left hand a woman covering her mouth with your left hand a man pinching instructing his chin smiling then looking down,0.0,0.0,0.0
video-BXx51SR_3Sk,BXx51SR_3Sk,105.761392,tier1_min,1,0.23752097288767496,0.0,Peter runs to flash,0.6110599260715505,0.0,0.30552996303577523
video-BXx51SR_3Sk,BXx51SR_3Sk,105.761392,tier2_partial,2,0.3000048100948334,0.3333333333333333,Peter runs to flash flash collides with Peter and gets knocked to the floor Peter jumps 10 feet across the gym towards the basket the girl whose paint got knocked over is still watching he soars closer to the basket with the ball above his head ready to dunk a cheerleader watches as she blows a bubble with gum,1.0,0.5,0.75
video-BXx51SR_3Sk,BXx51SR_3Sk,105.761392,tier3_full,3,0.28261396785577136,0.6666666666666666,Peter runs to flash flash collides with Peter and gets knocked to the floor Peter jumps 10 feet across the gym towards the basket the girl whose paint got knocked over is still watching he soars closer to the basket with the ball above his head ready to dunk a cheerleader watches as she blows a bubble with gum Peter dunks the ball and shatters the glass behind the basket the cheerleader pops are dumb glass falls on Peter as he lands the hoop disconnected from the basket lands on the floor flash looks up from the floor Peter looks up slowly,0.8917480780875623,1.0,0.9458740390437812
