video_id,swap_class,is_relation_action_count,n_swaps,clip_gate_caught,truth_ad,hallucinated_ad
2kJxrcNRS9w_000047_000057,object_scene,0,3,1,"A young girl is outside on a sunny day, performing a series of cartwheels and flips on the grass. She moves with energy and precision, showcasing her gymnastics skills against a backdrop of a bright blue sky with scattered clouds.","A young boy is outside on a sunny day, performing a series of backflips on a trampoline in the yard. He moves with energy and precision, showcasing his acrobatic skills against a backdrop of a bright blue sky with scattered clouds."
N-LZPc27kjM_000229_000239,object_scene,0,3,1,"In a craft tutorial, a woman demonstrates how to transform small blue mittens into earrings. She uses a needle to create tiny grooves on the mittens, giving them a fluffy texture similar to fur. The mittens, made from a clay-like material, are carefully shaped and detailed. As she works, she explains each step, ensuring the mittens will soon become charming earrings.","In a craft tutorial, a woman demonstrates how to transform small green gloves into earrings. She uses a glue gun to add tiny beads onto the gloves, giving them a shiny texture. The gloves, made from a plastic-like material, are carefully shaped and detailed. As she works, she explains each step, ensuring the gloves will soon become charming earrings."
RlfVK8z5wJ0_000000_000010,object_scene,0,3,1,"On a frozen lake, a woman in a pink jacket and gray overalls carefully walks towards a yellow marker. She kneels by an ice fishing hole, lifting a device from the water. The scene is set in a cold, wintry environment, emphasizing the activity of checking an ice fishing line.","On a frozen lake, a woman in a red parka carefully walks toward an orange flag. She kneels by an ice fishing hole, lifting a drilling auger from the water. The scene is set in a cold, wintry environment, emphasizing the activity of checking an ice fishing line."
F-mRnL_XmJU_000000_000010,object_scene,0,3,1,"A young woman is sleeping on a bed. A person playfully throws paper money over her, causing her to stir and use some of the bills as a pillow. The scene is lighthearted, with the person continuing to drop money while the woman remains in a relaxed state.","A young woman is sitting on a couch. A person playfully throws confetti over her, causing her to sit up and laugh. The scene is lighthearted, with the person continuing to drop confetti while the woman claps her hands."
g8Idd47kGqo_000037_000047,object_scene,0,3,1,"In a dance studio, a young woman in a pink shirt and black shorts energetically tap dances across the wooden floor. She performs a series of twirls and rhythmic foot taps, moving in circles with a lively expression. The room is simple, with a light blue wall and a wooden barre along one side.","In a dance studio, a young woman in a white tutu gracefully performs ballet moves across the wooden floor. She executes slow pirouettes and extended arm positions, moving with poise. The room is simple, with a light blue wall and a large mirror on the ceiling."
d7_SY48r__8_000060_000070,object_scene,0,3,1,"In a room, a person is shearing a sheep using electric clippers. The sheep lies calmly on the floor as the person carefully removes its wool. The clippers buzz as they glide over the sheep's body, efficiently trimming the thick coat.","In an outdoor pen, a person is shearing an alpaca using hand shears. The alpaca stands patiently on the ground as the person carefully removes its wool. The shears snip as they move over the animal's body, efficiently trimming the thick coat."
iEAWgsSvJAE_000023_000033,object_scene,0,3,1,"In a black-and-white silent film, a young man is in a cluttered garage, working on a bicycle. He uses a saw and then wipes his hands with a cloth. The scene transitions to him standing up and extending his hand in greeting. The words 'Oh, hello!' appear on the screen, indicating a friendly interaction.","In a color home video, a young man is in a driveway, working on a motorcycle. He uses a wrench and then wipes his hands with a cloth. The scene transitions to him standing up and extending his hand in greeting. The words 'Oh, hello!' appear on the screen, indicating a friendly interaction."
S-C86j0keqc_000217_000227,object_scene,0,3,1,"In a park setting, a young woman sings 'Amazing Grace' while a man, dressed in Civil War-era attire, plays the violin. They are positioned near a canvas tent, suggesting a historical reenactment event. The scene takes place on a sunny day, adding to the lively atmosphere.","In a park setting, a young woman sings a folk tune while a man, dressed in Civil War-era attire, plays an acoustic guitar. They are positioned near a picnic blanket on the grass, suggesting a casual outdoor gathering. The scene takes place on a sunny day, adding to the lively atmosphere."
ShSSAEfnyDs_000000_000010,relational_action,1,4,1,"In a car, a man wearing a cap is dozing in the back seat. Another person leans over and kisses him on the forehead, causing the man to stir and react. He pushes the person away and covers the camera with his hand, momentarily blocking the view.","In a car, a man wearing a cap is laughing in the back seat. Another person leans over and kisses him on the forehead, causing the man to grin and relax. He pulls the person closer and points the camera toward them, deliberately widening the view."
wbOD_G3ttgU_000083_000093,count_relational,1,4,0,"In a brightly lit dance studio with mirrored walls, three couples are practicing dance moves. The room is decorated with hanging star-shaped ornaments. The couples move in sync to the rhythm of country music, occasionally twirling and changing partners. Their reflections are visible in the large mirror, enhancing the sense of movement and coordination.","In a brightly lit dance studio with mirrored walls, two couples are practicing dance moves. The room is decorated with hanging star-shaped ornaments. The couples move out of step with the rhythm of country music, rarely twirling and never changing partners. Their reflections are visible in the large mirror, enhancing the sense of movement and coordination."
3su234u58DA_000172_000182,action_relational,1,4,0,"In a snowy city park, a large group of people, including young adults and children, engage in a lively snowball fight. A woman stands in the foreground, speaking to the camera about a snowball that went down her back. Behind her, the crowd energetically throws snowballs at each other, creating a playful and bustling atmosphere. The scene captures the joy and excitement of a winter day in an open field, with snow covering the ground and trees surrounding the area.","In a snowy city park, a large group of people, including young adults and children, work together to build a snowman. A man stands in the foreground, speaking to the camera about a snowball that went down his back. Behind him, the crowd calmly rolls snowballs along the ground, creating a focused and patient atmosphere. The scene captures the joy and excitement of a winter day in an open field, with snow covering the ground and trees surrounding the area."
8vkNr_eysXY_000002_000012,action_relational,1,5,0,"In an outdoor market setting, a man stands at a stall, demonstrating how to carve a pineapple. He skillfully uses a knife to cut the pineapple into decorative spirals, placing the pieces into a basket. The stall is surrounded by other produce, and the man works with precision, showcasing his technique to onlookers.","In an outdoor market setting, a woman stands at a stall, struggling to carve a pineapple. She clumsily uses a knife to mash the pineapple into uneven chunks, dropping the pieces onto the ground. The stall is surrounded by other produce, and the woman works carelessly, hiding her technique from onlookers."
RjPp0ZPW0yc_000000_000010,count_action,1,5,1,"In a workshop, a person operates an orange-colored stationary saw. They pull down the lever, activating the machine, which emits a loud grinding sound as it cuts through a metal pipe. The person carefully maneuvers the handle to guide the saw, ensuring a precise cut.","In a workshop, two people operate an orange-colored stationary saw. They lift the lever upward, stalling the machine, which emits a faint clicking sound as it jams against a metal pipe. The people step back from the handle, abandoning the cut entirely."
