video_id,category,model,n_frames,q_idx,question,answer_key,required_visual_evidence,importance,question_rationale
BHxn3qfPAl4_000018_000028,Health & Wellness,claude-haiku-4-5-20251001,8,4,How many people are visible in the frames?,Two people; one lying down and one partially visible above/behind.,main subject lying down; second person's arm/shoulder visible; two distinct individuals,critical,"Establishes that this is an interaction between two people, not a solo scene."
BcW6Y7eufQE_000239_000249,People & Vlogs,claude-haiku-4-5-20251001,8,0,What is the main action occurring between the two people in this clip?,Two people are having a conversation or discussion face-to-face.,two people; facing each other; engaged interaction,critical,Establishes the primary action and interpersonal dynamic of the scene.
BcW6Y7eufQE_000239_000249,People & Vlogs,claude-haiku-4-5-20251001,8,1,Describe the clothing worn by the person on the left.,Pink or light-colored hoodie with blonde hair in a bun.,pink hoodie; blonde hair; bun hairstyle,useful,Identifies key visual characteristics of the main subject for scene clarity.
BcW6Y7eufQE_000239_000249,People & Vlogs,claude-haiku-4-5-20251001,8,2,What is the setting or location where this interaction takes place?,An indoor room with plain pale yellow or cream-colored walls.,indoor; plain walls; pale yellow background,useful,Establishes the environment context necessary for scene understanding.
BcW6Y7eufQE_000239_000249,People & Vlogs,claude-haiku-4-5-20251001,8,3,What color is the jacket or top worn by the person on the right?,"Dark-colored jacket, appears black or dark red/maroon.",dark jacket; person on right; contrasting color,useful,Distinguishes the second person visually for listener comprehension.
BcW6Y7eufQE_000239_000249,People & Vlogs,claude-haiku-4-5-20251001,8,4,How many people are visible and engaged in this scene?,Two people are visible and interacting throughout the clip.,two individuals; sustained interaction; both visible,critical,Establishes the number of participants essential to understanding the scene.
EA3HCx0yTIY_000281_000291,Music,claude-haiku-4-5-20251001,8,0,What is the main subject doing in these frames?,Playing drums; a drummer performing at a drum kit,man seated at drum kit; holding drumsticks; positioned behind drums,critical,Identifies the primary action and subject essential to understanding the clip
EA3HCx0yTIY_000281_000291,Music,claude-haiku-4-5-20251001,8,1,Describe the setting where this activity is taking place.,Indoor studio or rehearsal space with brick walls and amplifiers,brick wall background; amplifiers visible; indoor studio environment,critical,Establishes location context necessary for scene comprehension
EA3HCx0yTIY_000281_000291,Music,claude-haiku-4-5-20251001,8,2,What is the main instrument visible in the frames?,"A drum kit with multiple drums, cymbals, and hardware",drum kit; cymbals; drum hardware and stands,critical,Key object central to understanding the activity being performed
EA3HCx0yTIY_000281_000291,Music,claude-haiku-4-5-20251001,8,3,What is the drummer holding in their hands?,Drumsticks used to play the drums,drumsticks in hands; holding implements,useful,Details the tools used to perform the primary action
EA3HCx0yTIY_000281_000291,Music,claude-haiku-4-5-20251001,8,4,What physical appearance characteristics does the main subject have?,"Bald or balding man with facial hair, wearing dark clothing",bald head; facial hair/beard; dark shirt,useful,Provides basic physical description for listener visualization
j6CgiNeWQwM_000842_000852,Food & Cooking,claude-haiku-4-5-20251001,8,0,What is the main action being demonstrated in this video?,Pouring or transferring dough from a cloth into a metal pot or container,cloth with dough; metal cylindrical container; pouring motion; two people handling the cloth,critical,The core action defines the entire clip and is essential for understanding the demonstration
j6CgiNeWQwM_000842_000852,Food & Cooking,claude-haiku-4-5-20251001,8,1,What type of setting or location is shown in the video?,"A kitchen with white tiled walls, cabinets, and cooking equipment",white tile backsplash; kitchen cabinets; countertop; professional kitchen environment,critical,Setting context helps viewers understand the cooking/culinary nature of the demonstration
j6CgiNeWQwM_000842_000852,Food & Cooking,claude-haiku-4-5-20251001,8,2,What is the dough being transferred into?,A large gray or silver metal cylindrical pot or cooking vessel,metal container; cylindrical shape; gray/silver color; cooking pot,useful,Identifying the receiving vessel clarifies the purpose and context of the transfer action
j6CgiNeWQwM_000842_000852,Food & Cooking,claude-haiku-4-5-20251001,8,3,How many people are involved in this cooking demonstration?,"Two people, one wearing a patterned apron and one in white chef's attire",two individuals; apron on one person; white chef uniform; collaborative handling,useful,Number of participants and their roles help viewers understand the instructional or collaborative nature
j6CgiNeWQwM_000842_000852,Food & Cooking,claude-haiku-4-5-20251001,8,4,What material is the dough being held in during the transfer?,A light-colored cloth or fabric with a striped or patterned design,cloth material; light colored fabric; striped pattern; holding the dough,useful,The cloth is a key tool in the technique being demonstrated and should be identified
9fuIpQgnNEQ_000049_000059,Event,claude-haiku-4-5-20251001,8,0,What type of location or venue is shown in these frames?,An indoor public space or corridor with storefronts and display windows,storefront windows; display cases; indoor corridor; tiled flooring,critical,Setting establishes context for understanding the scene and crowd gathering
9fuIpQgnNEQ_000049_000059,Event,claude-haiku-4-5-20251001,8,1,What is the primary activity or event occurring in this scene?,A large crowd of people gathered in a line or queue in an indoor space,large crowd; people standing together; organized gathering; multiple frames showing same scene,critical,Main action defines what viewers are witnessing and why people are assembled
9fuIpQgnNEQ_000049_000059,Event,claude-haiku-4-5-20251001,8,2,What are the people in the crowd wearing or carrying?,Casual clothing; some carry backpacks or bags,backpacks visible; casual attire; bags on shoulders,useful,Clothing and accessories provide context about crowd composition and purpose
9fuIpQgnNEQ_000049_000059,Event,claude-haiku-4-5-20251001,8,3,Are there any uniformed or distinctly dressed individuals visible in the crowd?,"Yes, people wearing camouflage or military-style clothing are present",camouflage pattern clothing; military-style uniforms; distinct from casual crowd,useful,Uniformed individuals suggest official event or organized gathering context
9fuIpQgnNEQ_000049_000059,Event,claude-haiku-4-5-20251001,8,4,How many frames show this same indoor venue and crowd scene?,Multiple frames show the same location from slightly different angles or moments,repeated venue; same storefronts; same crowd composition; sequential progression,useful,Multiple angles help AD writer convey spatial layout and crowd scale effectively
u-olDM7oGGM_000012_000022,Health & Wellness,claude-haiku-4-5-20251001,8,0,What is the main subject doing in this video?,A young boy is playing and dancing on a parking lot or street.,young boy in center frame; dancing/playful movements; parking lot setting,critical,Identifies the primary action and subject essential to understanding the clip.
u-olDM7oGGM_000012_000022,Health & Wellness,claude-haiku-4-5-20251001,8,1,What is the boy wearing on his upper body?,A white shirt and a black jacket or hoodie.,white shirt visible; black jacket/hoodie; worn together,useful,Key visual details that help listeners visualize the main subject clearly.
u-olDM7oGGM_000012_000022,Health & Wellness,claude-haiku-4-5-20251001,8,2,Where is this scene taking place?,On a paved parking lot or street near a chain-link fence and parked cars.,parking lot surface; chain-link fence; parked vehicles; road markings,critical,Setting context is essential for understanding the environment and activity.
u-olDM7oGGM_000012_000022,Health & Wellness,claude-haiku-4-5-20251001,8,3,What is visible in the background of the scene?,"Parked cars, a chain-link fence, buildings, trees, and mountains or hills.",parked vehicles; chain-link fence; buildings; natural landscape,useful,Background elements establish location context and overall scene composition.
u-olDM7oGGM_000012_000022,Health & Wellness,claude-haiku-4-5-20251001,8,4,What is the boy holding or wearing on his head in some frames?,A white cloth or towel draped over his head and shoulders.,white cloth/towel; draped on head; visible in multiple frames,useful,Notable prop that appears during the playful activity and affects visual composition.
eb-ufaFcUas_000008_000018,Entertainment,claude-haiku-4-5-20251001,8,0,What is the main subject doing in these frames?,A person is climbing or moving up a red vertical surface or pole,person climbing; red vertical structure; upward movement across frames,critical,The primary action defines the entire clip's narrative and visual focus
eb-ufaFcUas_000008_000018,Entertainment,claude-haiku-4-5-20251001,8,1,What is the setting or location shown in these frames?,An indoor shopping mall or commercial building with store signage,store signs; indoor ceiling; multiple shop fronts; mall environment,critical,Setting establishes context and helps listeners visualize the scene's environment
eb-ufaFcUas_000008_000018,Entertainment,claude-haiku-4-5-20251001,8,2,What store names are visible on the signage in the background?,"World of Watches, Planet Fashion, and Empire Shop are visible",WORLD OF WATCHES sign; PLANET FASHION sign; EMPIRE SHOP sign,useful,Visible text helps orient listeners to the specific location within the mall
eb-ufaFcUas_000008_000018,Entertainment,claude-haiku-4-5-20251001,8,3,What brand name appears on the large advertisement on the left side?,"Casio, displayed on a smartphone and watch advertisement",CASIO text; watch imagery; smartphone link reference,useful,Prominent signage is typically included in AD to describe visual environment
eb-ufaFcUas_000008_000018,Entertainment,claude-haiku-4-5-20251001,8,4,What is the red structure that the person is interacting with?,A red vertical pole or pillar in the mall's interior,red vertical structure; person contact with pole; mall interior element,critical,The object of interaction is essential to understanding the main action
heWD9j45Emw_000225_000235,Music,claude-haiku-4-5-20251001,8,0,What type of performance is taking place on stage?,A live musical performance with a band playing instruments,musicians on stage; accordion player; saxophone players; stage lighting,critical,Establishes the core activity and setting essential to understanding the clip
heWD9j45Emw_000225_000235,Music,claude-haiku-4-5-20251001,8,1,What is the central musician in the middle playing?,An accordion,accordion; center stage position; musician in brown jacket,critical,The accordion is the most distinctive instrument and focal point across frames
heWD9j45Emw_000225_000235,Music,claude-haiku-4-5-20251001,8,2,Describe the stage setting and lighting.,Outdoor or large venue stage with blue and green stage lights overhead,stage lighting rig; blue lights; green lights; metal stage structure,useful,Lighting and venue type provide important context for the performance environment
heWD9j45Emw_000225_000235,Music,claude-haiku-4-5-20251001,8,3,What are the musicians wearing?,White or light-colored shirts and pants,white shirts; light-colored pants; consistent across band members,useful,Coordinated attire indicates a formal or organized performance presentation
heWD9j45Emw_000225_000235,Music,claude-haiku-4-5-20251001,8,4,How many musicians are visible performing on stage?,Five musicians,accordion player; saxophone players; brass instruments; stage positions,useful,Band size helps listeners visualize the ensemble and performance scale
2kJxrcNRS9w_000047_000057,Sports,claude-haiku-4-5-20251001,8,0,What is the main subject doing in this video clip?,"A person is performing parkour or acrobatic movements, including jumping and flipping.",person in mid-air; inverted body position; dynamic athletic movement,critical,The primary action is essential for understanding the clip's content and purpose.
2kJxrcNRS9w_000047_000057,Sports,claude-haiku-4-5-20251001,8,1,What is visible in the background of this scene?,Trees and green vegetation are visible in the background.,green foliage; trees; natural landscape,useful,Setting context helps listeners understand the outdoor location and environment.
2kJxrcNRS9w_000047_000057,Sports,claude-haiku-4-5-20251001,8,2,What is the weather like during this video?,"It is a clear, sunny day with blue sky and white clouds.",blue sky; white clouds; bright lighting,useful,Weather and lighting conditions establish the scene's atmosphere and visibility.
2kJxrcNRS9w_000047_000057,Sports,claude-haiku-4-5-20251001,8,3,What is the person wearing?,"Dark-colored athletic clothing, including dark pants and a dark top.",dark pants; dark shirt/top; athletic wear,useful,Clothing description helps listeners visualize the subject and activity type.
2kJxrcNRS9w_000047_000057,Sports,claude-haiku-4-5-20251001,8,4,What type of location is this activity taking place in?,"An outdoor area with natural ground and vegetation, likely a park or open field.",outdoor setting; natural ground; trees and grass,critical,Location type is fundamental to understanding the context and safety of the activity.
OASCPKazLIM_000132_000142,How-to & Instructional,claude-haiku-4-5-20251001,8,0,What is the person doing with the rectangular object throughout the sequence?,Wrapping or rolling it in red and yellow material,person's hands manipulating object; red and yellow material being wrapped around rectangular item; progressive wrapping across frames,critical,Main action of the clip; essential for understanding the activity being demonstrated
OASCPKazLIM_000132_000142,How-to & Instructional,claude-haiku-4-5-20251001,8,1,What is the rectangular object being wrapped?,A box or container with yellow and white labeling,rectangular box shape; yellow and white label visible on object; object remains stationary on fabric,critical,Identifies the key object central to the demonstration
OASCPKazLIM_000132_000142,How-to & Instructional,claude-haiku-4-5-20251001,8,2,What surface is the activity taking place on?,A gray and white striped fabric or cloth on a wooden table,wooden table surface; gray and white striped fabric underneath; fabric with vertical fold patterns,useful,Establishes the setting and work surface for the activity
OASCPKazLIM_000132_000142,How-to & Instructional,claude-haiku-4-5-20251001,8,3,What color is the wrapping material being used?,Red and yellow,red material visible in frames 3-8; yellow material visible in frames 3-8; both colors wrapped around object,useful,Describes the materials used in the wrapping process
OASCPKazLIM_000132_000142,How-to & Instructional,claude-haiku-4-5-20251001,8,4,How many hands are visible performing the wrapping action?,Two hands,both hands visible in multiple frames; hands manipulating material on both sides of object; coordinated hand movements,useful,Clarifies that this is a two-handed activity requiring coordination
j4CKRgv3jUg_000000_000010,Entertainment,claude-haiku-4-5-20251001,8,0,What is the main subject doing in the video?,"A person is standing in the middle of a wet street, appearing to pose or wait.",person standing alone; wet pavement; street setting,critical,Identifies the primary action and subject central to the clip.
j4CKRgv3jUg_000000_000010,Entertainment,claude-haiku-4-5-20251001,8,1,What is visible on the street surface in the frames?,Yellow double lines marking the center of the street.,yellow lines; street markings; pavement,useful,Key environmental detail that orients viewer to road setting.
j4CKRgv3jUg_000000_000010,Entertainment,claude-haiku-4-5-20251001,8,2,What type of structure is visible in the background?,A brick building with a covered bus shelter or transit station.,brick building; shelter structure; background,useful,Establishes the urban public transit location context.
j4CKRgv3jUg_000000_000010,Entertainment,claude-haiku-4-5-20251001,8,3,What is the weather condition evident in the video?,"The ground is wet, indicating recent rain or wet conditions.",wet pavement; damp surface,useful,Atmospheric detail that affects scene mood and visibility.
j4CKRgv3jUg_000000_000010,Entertainment,claude-haiku-4-5-20251001,8,4,What is the person wearing that is visible?,A backpack and casual clothing including jeans.,backpack; jeans; casual attire,useful,Describes the main subject's appearance for scene comprehension.
N-LZPc27kjM_000229_000239,How-to & Instructional,claude-haiku-4-5-20251001,8,0,What is the main subject being created in this video?,Small knitted mittens or gloves in blue,blue knitted mittens; small handmade garment; two mittens shown,critical,The primary object being demonstrated is essential to understanding the entire clip's purpose.
N-LZPc27kjM_000229_000239,How-to & Instructional,claude-haiku-4-5-20251001,8,1,What technique is being applied to the mittens to create texture?,Using a needle to scratch grooves making the texture fluffy like fur,needle scratching; creating grooves; fluffy texture; fur-like appearance,critical,The main action and finishing technique is central to the instructional content being demonstrated.
N-LZPc27kjM_000229_000239,How-to & Instructional,claude-haiku-4-5-20251001,8,2,What is the final intended use of these finished mittens?,They will be turned into earrings,earrings mentioned in text; final product shown in hand,useful,Understanding the end purpose helps viewers grasp the complete craft project being shown.
N-LZPc27kjM_000229_000239,How-to & Instructional,claude-haiku-4-5-20251001,8,3,Where is this craft activity taking place?,On a white surface or table with a colorful striped background,white work surface; rainbow striped background; indoor setting,useful,Setting context helps viewers understand the workspace and environment for this craft.
N-LZPc27kjM_000229_000239,How-to & Instructional,claude-haiku-4-5-20251001,8,4,What is the name or title of this craft tutorial?,Selem,Selem text in top left; Marunich.ru watermark,useful,On-screen text identifying the tutorial source provides attribution and reference information.
RlfVK8z5wJ0_000000_000010,Sports,claude-haiku-4-5-20251001,8,0,What is the person wearing on their upper body?,A bright pink/hot pink jacket or hoodie,bright pink upper garment; visible in all frames,critical,Dominant visual element; essential for scene comprehension and subject identification
RlfVK8z5wJ0_000000_000010,Sports,claude-haiku-4-5-20251001,8,1,What is the main setting or location shown in the video?,A frozen lake or icy water surface,flat icy/frozen surface; person standing on ice; water visible in background,critical,Setting establishes context and safety concerns; fundamental to understanding the activity
RlfVK8z5wJ0_000000_000010,Sports,claude-haiku-4-5-20251001,8,2,What action does the person perform during the sequence?,The person kneels down and reaches toward a yellow object on the ice,standing position in early frames; kneeling in later frames; reaching motion; yellow object,critical,Main action sequence; necessary for understanding what is happening in the clip
RlfVK8z5wJ0_000000_000010,Sports,claude-haiku-4-5-20251001,8,3,What yellow object is visible on the ice surface?,"A yellow circular object, possibly a fishing hole cover or ice fishing equipment",yellow circular object; on ice surface; person interacting with it,useful,Key object that motivates the person's action; helps clarify the activity's purpose
RlfVK8z5wJ0_000000_000010,Sports,claude-haiku-4-5-20251001,8,4,What color are the person's pants or lower body clothing?,Gray or dark gray pants,gray lower garment; visible throughout frames,useful,Contributes to overall appearance description; supports visual scene completeness
_TKzyWZHjm8_000002_000012,Health & Wellness,claude-haiku-4-5-20251001,8,0,What is the main subject doing in this video?,Performing stability ball ab exercises; squatting and bouncing on a pink stability ball,person in white shirt; pink stability ball; squatting motion; repeated bouncing,critical,Core action of the entire video; essential for understanding exercise purpose
_TKzyWZHjm8_000002_000012,Health & Wellness,claude-haiku-4-5-20251001,8,1,What is the title or heading shown on screen?,Stability Ball Ab Exercises Part 1,gray banner text; title overlay,critical,On-screen text identifies the video content and exercise type
_TKzyWZHjm8_000002_000012,Health & Wellness,claude-haiku-4-5-20251001,8,2,Where is this exercise being performed?,Indoors in a home or residential living space,couch/sofa visible; home furnishings; indoor flooring; shelving,useful,Setting context helps listener understand exercise accessibility and environment
_TKzyWZHjm8_000002_000012,Health & Wellness,claude-haiku-4-5-20251001,8,3,What equipment is being used for this exercise?,A pink stability ball,pink ball; person seated on ball; ball visible throughout,critical,Primary equipment defines the exercise type and is central to the action
_TKzyWZHjm8_000002_000012,Health & Wellness,claude-haiku-4-5-20251001,8,4,What is the person wearing during the exercise?,"White t-shirt, black shorts with pink trim, and dark shoes",white shirt; black shorts; athletic footwear,useful,Attire context helps listener visualize the exerciser and exercise setting
F-mRnL_XmJU_000000_000010,Entertainment,claude-haiku-4-5-20251001,8,0,What is the main subject of this video?,A baby or young child lying down,infant/baby visible in frames; child in white and red clothing,critical,Identifies the primary subject essential to understanding the scene
F-mRnL_XmJU_000000_000010,Entertainment,claude-haiku-4-5-20251001,8,1,What is the child doing throughout the sequence?,"Lying down, appearing to sleep or rest",child in horizontal position; eyes closed or looking down; consistent positioning across frames,critical,Describes the main action that defines the entire clip
F-mRnL_XmJU_000000_000010,Entertainment,claude-haiku-4-5-20251001,8,2,What objects are visible near or around the child?,Money or paper currency scattered nearby,paper bills visible in frames 5-8; currency on surface near child,useful,Key contextual detail that appears prominently in later frames
F-mRnL_XmJU_000000_000010,Entertainment,claude-haiku-4-5-20251001,8,3,What text appears at the top of each frame?,Dica de como me acordar de bom humor,Portuguese text in header box; consistent text across all frames,useful,On-screen text provides context for the meme's intended message
F-mRnL_XmJU_000000_000010,Entertainment,claude-haiku-4-5-20251001,8,4,What is the setting or location where this scene takes place?,Indoors on a bed or couch with bedding,fabric/bedding visible; indoor domestic setting; person in dark clothing beside child,useful,Establishes the environment necessary for scene comprehension
g8Idd47kGqo_000037_000047,Entertainment,claude-haiku-4-5-20251001,8,0,What is the main subject doing throughout these frames?,A person is jogging or running in place in an indoor gymnasium.,person in pink shirt; running/jogging motion; gymnasium with wooden wall,critical,The primary action is essential for understanding the video's content and purpose.
g8Idd47kGqo_000037_000047,Entertainment,claude-haiku-4-5-20251001,8,1,Where is this activity taking place?,Inside a gymnasium or indoor sports facility with a wooden wall and blue walls.,wooden wall paneling; blue painted wall; indoor floor; gymnasium setting,critical,Setting context is fundamental for listeners to visualize the scene.
g8Idd47kGqo_000037_000047,Entertainment,claude-haiku-4-5-20251001,8,2,What is the person wearing?,A pink short-sleeved shirt and black shorts.,pink shirt; black shorts; athletic wear,useful,Clothing description helps listeners form a complete mental image of the subject.
g8Idd47kGqo_000037_000047,Entertainment,claude-haiku-4-5-20251001,8,3,What objects are visible on the blue wall behind the person?,Small colored squares or markers arranged in a pattern on the wall.,colored squares on wall; wall markers; pattern arrangement,useful,Background objects provide environmental context and may indicate the facility's purpose.
g8Idd47kGqo_000037_000047,Entertainment,claude-haiku-4-5-20251001,8,4,Describe the person's body position during the running motion.,The person alternates between upright running posture and extended arm positions while jogging.,upright posture; extended arms; running stance; dynamic movement,useful,Body position details enhance the listener's understanding of the exercise being performed.
ShSSAEfnyDs_000000_000010,Entertainment,claude-haiku-4-5-20251001,8,0,What is the main subject doing in the video?,"A person is sitting in a vehicle, holding a phone to their ear.",person in vehicle; phone held to ear; seated position,critical,Identifies primary action and subject essential to understanding the scene.
ShSSAEfnyDs_000000_000010,Entertainment,claude-haiku-4-5-20251001,8,1,Where is this scene taking place?,"Inside a vehicle, with a window visible showing buildings outside.",interior vehicle view; window; buildings visible outside,critical,Setting context is fundamental for orienting the listener to the scene.
ShSSAEfnyDs_000000_000010,Entertainment,claude-haiku-4-5-20251001,8,2,What object is the person holding up to their face?,A mobile phone or cellular device.,phone held to ear; rectangular device; hand position,useful,Key object identifies the activity and helps convey the scene's purpose.
ShSSAEfnyDs_000000_000010,Entertainment,claude-haiku-4-5-20251001,8,3,What is visible through the vehicle window in the background?,Buildings and urban structures outside the vehicle.,window view; buildings; exterior setting,useful,Background context helps establish the urban/outdoor environment.
ShSSAEfnyDs_000000_000010,Entertainment,claude-haiku-4-5-20251001,8,4,What is the person wearing?,A tan or beige-colored shirt or jacket.,clothing visible; tan/beige color; upper body garment,useful,Clothing description aids listener visualization of the main subject.
d7_SY48r__8_000060_000070,How-to & Instructional,claude-haiku-4-5-20251001,8,0,What animal is the main subject of these video frames?,A goat,horns; pale/white colored fur; hooved feet; goat-like body shape,critical,Identifying the main subject is essential for understanding the video's content and context.
d7_SY48r__8_000060_000070,How-to & Instructional,claude-haiku-4-5-20251001,8,1,What is the person doing with the goat in these frames?,Putting glasses or eyewear on the goat's face,human hands holding black eyewear; eyewear being placed on goat's head; goat's face as focal point,critical,The main action is the core element an AD must convey for viewer comprehension.
d7_SY48r__8_000060_000070,How-to & Instructional,claude-haiku-4-5-20251001,8,2,What type of eyewear is being placed on the goat?,Black-framed glasses or sunglasses,black eyewear frames; dark lenses; typical glasses shape,useful,Describing the specific object helps listeners visualize the humorous or unusual action.
d7_SY48r__8_000060_000070,How-to & Instructional,claude-haiku-4-5-20251001,8,3,What is the setting or surface where this interaction takes place?,Dirt or sandy ground with straw or hay,brown/tan ground surface; straw visible; outdoor farm-like environment,useful,Setting context helps listeners understand the location and environment of the scene.
d7_SY48r__8_000060_000070,How-to & Instructional,claude-haiku-4-5-20251001,8,4,What white objects are visible in the goat's enclosure?,White PVC pipes or fencing,white cylindrical pipes; pipe structure; enclosure framing,useful,Environmental details establish the farm/pen setting and help paint a complete scene picture.
xW6hpK-DBMY_000080_000090,How-to & Instructional,claude-haiku-4-5-20251001,8,0,What is the man doing with the framed poster?,He is pulling or removing it from the wall.,man in foreground; framed black and white poster; hand grasping frame edge; progressive removal across frames,critical,Main action of the clip; essential for understanding the scene's primary activity.
xW6hpK-DBMY_000080_000090,How-to & Instructional,claude-haiku-4-5-20251001,8,1,What is depicted in the framed poster behind the man?,A black and white image of a dog or animal with textured features.,framed poster; black and white photograph; animal face visible; textured surface detail,useful,Key object in the scene; helps establish setting and context of the action.
xW6hpK-DBMY_000080_000090,How-to & Instructional,claude-haiku-4-5-20251001,8,2,Where is this scene taking place?,"Indoors, on a wall in what appears to be a home or office.",interior wall; framed artwork on wall; indoor lighting; wall-mounted poster,useful,Setting context necessary for listener to visualize the environment and action.
xW6hpK-DBMY_000080_000090,How-to & Instructional,claude-haiku-4-5-20251001,8,3,What text is visible on the poster?,The word 'PRINCE' appears at the bottom of the frame.,text at bottom of poster; word 'PRINCE'; visible across multiple frames,useful,On-screen text provides identifying information about the poster's subject or title.
xW6hpK-DBMY_000080_000090,How-to & Instructional,claude-haiku-4-5-20251001,8,4,Describe the man's appearance and positioning in the scene.,"A bald man with facial hair, positioned to the right side, facing the camera.",man's head and shoulders; bald head; facial hair/goatee; right side of frame; facing camera,critical,Main subject identification; essential for understanding who is performing the action.
iEAWgsSvJAE_000023_000033,Film & Animation,claude-haiku-4-5-20251001,8,0,What is the main subject doing in this clip?,A person is working on or repairing a bicycle in a garage or workshop.,person crouching/bending; bicycle present; workshop/garage setting; hands working on bike,critical,Identifies primary action and subject—essential for understanding clip content.
iEAWgsSvJAE_000023_000033,Film & Animation,claude-haiku-4-5-20251001,8,1,What type of location is shown in the video?,"A garage or workshop with shelves, tools, and motorcycles visible in background.",shelving with items; motorcycles in background; concrete floor; indoor workspace,critical,Setting context necessary for listeners to visualize the scene accurately.
iEAWgsSvJAE_000023_000033,Film & Animation,claude-haiku-4-5-20251001,8,2,What objects are visible in the workspace besides the bicycle?,"Motorcycles, shelves with various items, and tools are visible in the background.",motorcycles; shelving units; workshop equipment,useful,Background objects help establish the nature and purpose of the workspace.
iEAWgsSvJAE_000023_000033,Film & Animation,claude-haiku-4-5-20251001,8,3,What text appears on screen during this clip?,"The phrase 'Oh, hello!' appears as on-screen text.",text overlay; greeting phrase,critical,On-screen text is essential AD content that must be conveyed to listeners.
iEAWgsSvJAE_000023_000033,Film & Animation,claude-haiku-4-5-20251001,8,4,What is the person wearing while working on the bicycle?,A dark short-sleeved shirt and light-colored shorts or pants.,dark upper garment; light lower garment; casual work attire,useful,Clothing details contribute to scene visualization and character description.
3su234u58DA_000172_000182,Entertainment,claude-haiku-4-5-20251001,8,0,What is the main subject doing in the first frame?,Speaking to the camera outdoors in a snowy setting,woman with blonde hair; speaking/talking; snow visible behind her; outdoor winter location,critical,Establishes main subject and primary action for the entire clip
