video_id,category,dominant_clip_type,top_window_route,top_window_type,top_case_id,clip_halluc_drop,clip_para_drop,clip_specific_margin,adqa_halluc_drop,adqa_para_drop,adqa_specific_margin,clip_halluc_detect,clip_specific_detect,adqa_detect,adqa_blind,expert_words,halluc_words,para_words,mean_scene_spatial_gap,mean_agent_action_gap,mean_control_gap,mean_visual_gap,max_visual_gap,top1_share,top1_vs_uniform,scene_agent_peak_apart,route_window_count,top_window_peak_visual_gap,top_window_visual_minus_control,top_case_priority_score,route_peak_action_state_or_agent_cue,route_mean_action_state_or_agent_cue,route_share_action_state_or_agent_cue,top_route_is_action_state_or_agent_cue,route_peak_layout_replay_or_scene_cue,route_mean_layout_replay_or_scene_cue,route_share_layout_replay_or_scene_cue,top_route_is_layout_replay_or_scene_cue,route_peak_static_ad_ok_low_gap,route_mean_static_ad_ok_low_gap,route_share_static_ad_ok_low_gap,top_route_is_static_ad_ok_low_gap,relation_action_probe_count
2kJxrcNRS9w_000047_000057,Sports,scene_spatial,layout_replay_or_scene_cue,scene_spatial,scene_layout_replay,0.04079398513,0.009047418833,0.0317465663,0.1,0.1,0,1,1,1,0,40,41,35,0.427751321,0.1131095926,0.2817322122,0.427751321,0.7995618816,0.1699292094,1.869221303,1,4,0.7995618816,-0.2075464524,0.7995618816,0,0,0,0,0.7995618816,0.4687149134,0.75,1,0.00844703758,0.00844703758,0.25,0,0
OASCPKazLIM_000132_000142,How-to & Instructional,scene_spatial,layout_replay_or_scene_cue,scene_spatial,scene_layout_replay,0.05355259776,0.003115206957,0.0504373908,0.1,0.2,-0.1,1,1,1,0,53,56,47,0.1641984303,0.06516686216,0.1450040692,0.1681069131,0.415415238,0.2246488318,2.47113715,1,4,0.415415238,-0.02922656303,0.415415238,0,0,0,0,0.415415238,0.3146914034,0.25,1,0.2080025094,0.1023251105,0.75,0,0
j4CKRgv3jUg_000000_000010,Entertainment,scene_spatial,layout_replay_or_scene_cue,scene_spatial,scene_layout_replay,0.02146619558,0.0121152699,0.009350925684,0.3,0,0.3,1,1,1,0,47,45,49,0.3963344188,0.09612681535,0.02450134951,0.3963344188,0.7253805588,0.1830223479,1.830223479,0,4,0.7253805588,0.4831550814,0.7253805588,0,0,0,0,0.7253805588,0.4158147867,0.75,1,0.2210111077,0.2210111077,0.25,0,0
N-LZPc27kjM_000229_000239,How-to & Instructional,scene_spatial,static_ad_ok_low_gap,scene_spatial,low_gap_skip,0.04919353127,0.001520574093,0.04767295718,0.4,0,0.4,1,1,1,0,61,60,57,0.09256529635,0.04513006785,0.08269887109,0.09256529635,0.2224456404,0.2403121356,2.403121356,0,4,0.2224456404,0.09330509655,0.1755304454,0,0,0,0,0,0,0,0,0.2224456404,0.08882386783,1,1,0
RlfVK8z5wJ0_000000_000010,Sports,scene_spatial,layout_replay_or_scene_cue,scene_spatial,scene_layout_replay,0.06531986594,0.01168802381,0.05363184214,0,-1,1,1,1,0,1,50,50,54,0.2781299537,0.02440547859,0.1615032458,0.2781299537,0.5577384387,0.2005315973,2.005315973,0,4,0.5577384387,0.358066874,0.5577384387,0,0,0,0,0.5577384387,0.3282610385,0.75,1,0.2131900344,0.1906128293,0.25,0,0
_TKzyWZHjm8_000002_000012,Health & Wellness,scene_spatial,layout_replay_or_scene_cue,scene_spatial,scene_layout_replay,0.001351088285,-0.01071706414,0.01206815243,0.4,0,0.4,1,1,1,0,66,65,65,0.4398668354,0.3752570898,0.2340756921,0.4940985421,1.321116843,0.243072021,2.673792231,0,4,1.321116843,0.6719881275,1.321116843,0.9867366125,0.9867366125,0.25,0,1.321116843,0.5460858051,0.5,1,0.1968309825,0.123694565,0.25,0,0
F-mRnL_XmJU_000000_000010,Entertainment,scene_spatial,layout_replay_or_scene_cue,scene_spatial,moment_level_authoring,0.07226733863,0.01098814607,0.06127919257,0.2,0,0.2,1,1,1,0,48,48,47,0.33834612,0.2082648359,0.09641751053,0.3621473232,1.44025257,0.3976979747,3.976979747,0,4,1.44025257,0.5084499691,3.976979747,0,0,0,0,1.44025257,0.5339023809,0.5,1,0.2650836912,0.196707164,0.5,0,0
g8Idd47kGqo_000037_000047,Entertainment,scene_spatial,layout_replay_or_scene_cue,scene_spatial,scene_layout_replay,0.03386446834,0.005520582199,0.02834388614,0.3,0,0.3,1,1,1,0,54,53,54,0.2816444645,0.09214696522,0.2028045139,0.2823850458,0.6473849406,0.2084146356,2.292560991,0,4,0.6473849406,0.06123857457,0.6473849406,0,0,0,0,0.6473849406,0.4095811028,0.5,1,0.1873137885,0.08863883555,0.5,0,0
ShSSAEfnyDs_000000_000010,Entertainment,scene_spatial,static_ad_ok_low_gap,scene_spatial,low_gap_skip,0.00534299016,-0.0008469521999,0.00618994236,0,0,0,1,1,0,1,47,46,48,0.08822300855,0.04298900108,0.08345373127,0.08822300855,0.1180721172,0.2676674013,1.338337007,1,3,0.1180721172,0.04225640941,0.2799039686,0,0,0,0,0,0,0,0,0.1180721172,0.08709441303,1,1,4
d7_SY48r__8_000060_000070,How-to & Instructional,agent_action,action_state_or_agent_cue,agent_action,moment_level_authoring,0.05310735106,0.01215532422,0.04095202684,0,0,0,1,1,0,1,41,39,40,0.243235662,0.3272326372,0.07753522229,0.3357883333,1.290062456,0.3841891835,3.841891835,0,4,1.290062456,1.010867298,3.841891835,1.290062456,0.8758881214,0.5,1,0,0,0,0,0.1530631445,0.1137799195,0.5,0,0
xW6hpK-DBMY_000080_000090,How-to & Instructional,agent_action,action_state_or_agent_cue,agent_action,dynamic_type_shift,0.03758573532,0.04732808471,-0.009742349386,0,0,0,1,0,0,1,56,57,54,0.09935850417,0.1019771661,0.09163207878,0.1357094318,0.4012098957,0.2687626527,2.95638918,1,4,0.4012098957,0.1979847771,0.634533378,0.4012098957,0.2185015673,0.25,1,0,0,0,0,0.1338419272,0.09849792607,0.75,0,0
iEAWgsSvJAE_000023_000033,Film & Animation,agent_action,action_state_or_agent_cue,agent_action,moment_level_authoring,0.05348700285,-0.0007410943508,0.0542280972,0.3,0,0.3,1,1,1,0,54,54,49,0.2200026546,0.2960338968,0.07079341425,0.3210530628,1.303590405,0.369123464,4.060358104,0,4,1.303590405,0.7509312282,4.060358104,1.303590405,0.9100361737,0.25,1,0,0,0,0,0.2530232441,0.0863341897,0.75,0,0
3su234u58DA_000172_000182,Entertainment,agent_action,action_state_or_agent_cue,agent_action,moment_level_authoring,0.0481634587,0.0235632956,0.0246001631,0.2,0.1,0.1,1,1,1,0,80,79,78,0.1051281239,0.1294045532,0.176333314,0.1933033197,0.7563181075,0.3556906923,3.912597615,1,4,0.7563181075,0.6908372025,3.912597615,0.7563181075,0.4727502417,0.5,1,0,0,0,0,0.1677921987,0.1022148176,0.5,0,4
v2Hr1CH-yb0_000076_000086,How-to & Instructional,scene_spatial,action_state_or_agent_cue,agent_action,moment_level_authoring,0.03289413452,0.01573422551,0.01715990901,0,-0.1,0.1,1,1,0,1,62,62,60,0.3498290586,0.2737031084,0.08816701485,0.4244863048,1.643300423,0.3871268411,3.871268411,0,4,1.643300423,1.114115299,3.871268411,1.643300423,1.643300423,0.25,1,0.442710099,0.3178701094,0.5,0,0.2350921903,0.231447323,0.25,0,0
S-C86j0keqc_000217_000227,Event,agent_action,action_state_or_agent_cue,agent_action,moment_level_authoring,0.06473988295,-0.005347043276,0.07008692622,0.2,0,0.2,1,1,1,0,46,46,45,0.1528156045,0.2145872716,0.1338676197,0.2473042902,1.154456123,0.4243782289,4.668160517,0,4,1.154456123,0.4907598073,4.668160517,1.154456123,0.6934516425,0.25,1,0,0,0,0,0.1286206233,0.06396906641,0.75,0,0
wbOD_G3ttgU_000083_000093,How-to & Instructional,scene_spatial,static_ad_ok_low_gap,scene_spatial,low_gap_skip,0.00983056426,0.03814214468,-0.02831158042,0.2,0,0.2,1,0,1,0,54,54,52,0.06068961481,0.03384078722,0.08805579444,0.06195286011,0.1627583499,0.2627132138,2.627132138,1,4,0.1627583499,0.07038350011,0.235217736,0,0,0,0,0,0,0,0,0.1627583499,0.06159115932,1,1,4
RjPp0ZPW0yc_000000_000010,How-to & Instructional,scene_spatial,layout_replay_or_scene_cue,scene_spatial,scene_layout_replay,0.02743554115,-0.009801834822,0.03723737597,0.1,0,0.1,1,1,1,0,45,45,46,0.2663328261,0.09077978747,0.08237884939,0.2663328261,0.4056152041,0.1384512379,1.522963617,0,4,0.4056152041,0.2098860271,0.4056152041,0,0,0,0,0.4056152041,0.2912051378,0.75,1,0.06966083799,0.06966083799,0.25,0,5
8vkNr_eysXY_000002_000012,How-to & Instructional,scene_spatial,layout_replay_or_scene_cue,scene_spatial,scene_layout_replay,0.09111304581,0.007427126169,0.08368591964,0.1,0,0.1,1,1,1,0,53,53,43,0.4790613306,0.1214528726,0.1391934913,0.4790613306,1.266751525,0.2644236643,2.644236643,0,4,1.266751525,0.9111544098,1.266751525,0,0,0,0,1.266751525,0.7911587571,0.75,1,0.1139233889,0.06789584709,0.25,0,5
GOH6fBhoi2o_000010_000020,Entertainment,scene_spatial,layout_replay_or_scene_cue,scene_spatial,dynamic_type_shift,0.07372008264,0.004267752171,0.06945233047,0.2,0,0.2,1,1,1,0,39,38,39,0.7689367007,0.1991120288,0.1746164182,0.8183312429,1.00774913,0.1231468478,1.231468478,1,4,1.00774913,0.8289889034,1.823891669,0.7385817718,0.7385817718,0.25,0,1.00774913,0.8271922953,0.75,1,0,0,0,0,0
bgt29znHCzs_000343_000353,Sports,agent_action,static_ad_ok_low_gap,agent_action,low_gap_skip,0.04380391538,-0.003436923027,0.04724083841,0.2,0,0.2,1,1,1,0,78,76,70,0.08209658313,0.08236275538,0.05048483317,0.09893435754,0.2607039637,0.2635120601,2.635120601,1,4,0.2607039637,0.08492521626,0.1372721221,0,0,0,0,0,0,0,0,0.2607039637,0.1258959586,1,1,0
0m0-Q0zz_-c_000112_000122,How-to & Instructional,scene_spatial,layout_replay_or_scene_cue,scene_spatial,moment_level_authoring,0.03260323405,0.006874382496,0.02572885156,0.1,0,0.1,1,1,1,0,57,58,54,0.2630581753,0.1430606255,0.0745237753,0.267494666,1.001417164,0.3403354743,3.743690217,0,4,1.001417164,0.2416258065,3.743690217,0,0,0,0,1.001417164,0.3040979242,0.5,1,0.2371307446,0.1994117498,0.5,0,0
Ccgwurislg8_000082_000092,How-to & Instructional,scene_spatial,layout_replay_or_scene_cue,scene_spatial,scene_layout_replay,0.02467224002,0.03387859464,-0.009206354618,0.2,0.2,0,1,0,1,0,49,49,49,0.1984037632,0.09171639205,0.1903628293,0.1984037632,0.6006253531,0.3027288109,3.027288109,1,4,0.6006253531,0.09118276195,0.6006253531,0,0,0,0,0.6006253531,0.4412946692,0.5,1,0.1252855628,0.0758798746,0.5,0,0
1YemrpNBpf4_000001_000011,Entertainment,agent_action,action_state_or_agent_cue,agent_action,dynamic_type_shift,0.03469878435,-0.006402552128,0.04110133648,0,0,0,1,1,0,1,49,48,45,0.1112272118,0.2046522291,0.06129243571,0.2593689353,0.7834556266,0.3020622442,3.020622442,1,4,0.7834556266,0.5246489945,1.002188519,0.7834556266,0.5349265601,0.25,1,0,0,0,0,0.2825121869,0.1726593385,0.75,0,0
D297atE3gag_000203_000213,How-to & Instructional,agent_action,action_state_or_agent_cue,agent_action,low_gap_skip,-0.003723114729,0.01978865266,-0.02351176739,0.1,0,0.1,0,0,1,0,69,70,73,0.0929737705,0.12727929,0.01894694505,0.129923957,0.3971733934,0.3056968111,3.056968111,0,4,0.3971733934,0.2287360268,0.0008026924116,0.3971733934,0.2550274768,0.25,1,0,0,0,0,0.120409548,0.06935906476,0.75,0,0
Z5w-wkrjHuw_000345_000355,Entertainment,scene_spatial,static_ad_ok_low_gap,agent_action,dynamic_type_shift,-0.004028588533,0.01963824034,-0.02366682887,0.2,0,0.2,0,0,1,0,50,50,47,0.07168663957,0.0448808675,0.2680804004,0.08389665934,0.1761065741,0.1908262937,2.099089231,1,4,0.1761065741,0.1345682878,1.191316101,0,0,0,0,0,0,0,0,0.1761065741,0.09692229376,1,1,0
ZcYB6tPK2Eo_000138_000148,How-to & Instructional,scene_spatial,layout_replay_or_scene_cue,scene_spatial,scene_layout_replay,0.007776260376,0.01596820354,-0.008191943169,0.1,0,0.1,1,0,1,0,53,52,52,0.2363217419,0.1221092269,0.2851033928,0.2378210765,0.7005952821,0.2945892317,2.945892317,0,4,0.7005952821,-0.02677403264,0.7005952821,0,0,0,0,0.7005952821,0.3247877834,0.75,1,0.1442724703,0.1167263463,0.25,0,0
0t0DB1B1w8Y_000000_000010,Sports,scene_spatial,static_ad_ok_low_gap,agent_action,dynamic_type_shift,0.03356358409,-0.003416031599,0.03697961569,0.3,-0.1,0.4,1,1,1,0,53,53,52,0.02802413344,0.0197402205,0.05740749324,0.0327252059,0.05543514814,0.2823264546,1.693958728,1,3,0.05543514814,-0.06324128492,0.902719555,0,0,0,0,0,0,0,0,0.05543514814,0.0327252059,1,1,0
1-jIze6gy0g_000026_000036,How-to & Instructional,scene_spatial,layout_replay_or_scene_cue,scene_spatial,dynamic_type_shift,0.00740480423,0.01736995578,-0.009965151548,-0.1,0.1,-0.2,1,0,0,0,62,62,62,0.1918848134,0.06474103597,0.08029502058,0.1918848134,0.5957587045,0.3104772566,3.104772566,1,4,0.5957587045,0.2324190305,0.6437017609,0,0,0,0,0.5957587045,0.3194069329,0.25,1,0.2615993614,0.1625103646,0.75,0,0
AEkLDauJVi0_000069_000079,Food & Cooking,scene_spatial,layout_replay_or_scene_cue,scene_spatial,scene_layout_replay,0.01797702909,0.0204616487,-0.002484619617,0.6,0,0.6,1,0,1,0,58,57,51,0.2749336523,0.07217754391,0.1045870528,0.2749336523,0.4182374322,0.1382936735,1.521230408,0,4,0.4182374322,0.1928730054,0.4182374322,0,0,0,0,0.4182374322,0.2983612184,0.75,1,0.0895328488,0.0895328488,0.25,0,0
gFBO3zrod9Y_000005_000015,People & Vlogs,agent_action,action_state_or_agent_cue,agent_action,agent_action_cue,0.04312123358,-0.002105265856,0.04522649944,0.6,0.1,0.5,1,1,1,0,52,48,48,0.09866285787,0.275181282,0.04412045637,0.2813954144,0.5856489099,0.2081231178,2.081231178,1,4,0.5856489099,0.4461608362,0.5856489099,0.5856489099,0.3561354308,0.75,1,0,0,0,0,0.1177896256,0.1009042683,0.25,0,0
1kLhK8KfIEw_000020_000030,How-to & Instructional,scene_spatial,layout_replay_or_scene_cue,scene_spatial,low_gap_skip,0.1089081466,0.008512526751,0.1003956199,0.4,0.2,0.2,1,1,1,0,34,30,32,0.2924886843,0.1189689987,0.1270653225,0.2924886843,0.3839484193,0.1312694952,1.312694952,0,4,0.3839484193,-0.1877852618,0.01402766646,0,0,0,0,0.3839484193,0.3077319734,1,1,0,0,0,0,0
21T1JDdJgsM_000047_000057,Entertainment,scene_spatial,action_state_or_agent_cue,agent_action,moment_level_authoring,0.04066753387,-0.01512634754,0.05579388142,0.3,0,0.3,1,1,1,0,54,53,56,0.1557502421,0.1077819909,0.1108769051,0.1965599877,0.6462093691,0.2988721507,3.287593658,1,4,0.6462093691,0.07400357366,3.287593658,0.6462093691,0.2993173397,0.25,1,0,0,0,0,0.2836864322,0.1273258213,0.75,0,0
750QhTe9Z4U_000000_000010,People & Vlogs,scene_spatial,layout_replay_or_scene_cue,scene_spatial,scene_layout_replay,0.03288856149,-0.002052485943,0.03494104743,0,-0.9,0.9,1,1,0,1,59,58,59,0.1490079458,0.07495325747,0.0766053885,0.1550594798,0.4508565683,0.2907636275,2.907636275,0,4,0.4508565683,0.1899729001,0.4508565683,0,0,0,0,0.4508565683,0.2266548411,0.25,1,0.1821549437,0.1372155736,0.75,0,0
lgJywzzdUC8_000000_000010,Event,scene_spatial,layout_replay_or_scene_cue,scene_spatial,low_gap_skip,0.02478817105,0.01671302319,0.008075147867,0.2,0,0.2,1,1,1,0,53,50,48,0.1916914075,0.1034845393,0.1320602092,0.1916914075,0.3726289205,0.1943899966,1.943899966,1,4,0.3726289205,0.2067656925,0.02534716535,0,0,0,0,0.3726289205,0.2980699846,0.5,1,0.2598413928,0.1456253348,0.5,0,0
A0e7Z55s8pE_000008_000018,How-to & Instructional,scene_spatial,static_ad_ok_low_gap,agent_action,audio_language_confound_check,0.01135289669,0.03076320887,-0.01941031218,0.2,0.1,0.1,1,0,1,0,42,42,35,0.1379175634,0.1160474647,0.2570368574,0.155545518,0.3003551588,0.3218298656,1.930979193,0,3,0.3003551588,0.01578306628,0.1014913394,0,0,0,0,0,0,0,0,0.3003551588,0.155545518,1,1,0
Xdz1cxEjLYc_000007_000017,Food & Cooking,scene_spatial,static_ad_ok_low_gap,scene_spatial,audio_language_confound_check,0.03921088576,0.0045992136,0.03461167216,0.2,0,0.2,1,1,1,0,62,62,60,0.04540838218,0.01772320804,0.3874936719,0.04540838218,0.1349527211,0.2971978181,2.971978181,1,4,0.1349527211,-0.9610788582,0.3420852897,0,0,0,0,0,0,0,0,0.1349527211,0.06033243866,1,1,0
HpRmj5ce32c_000001_000011,Sports,scene_spatial,layout_replay_or_scene_cue,scene_spatial,dynamic_type_shift,-0.005734711885,0.01950547099,-0.02524018288,0.1,0,0.1,0,0,1,0,60,60,62,0.4167821869,0.2991144761,0.1409861906,0.5038012674,0.8163882974,0.147314274,1.620457014,1,4,0.8163882974,0.4828241701,1.260750001,0.6619872932,0.5602348872,0.25,0,0.8163882974,0.5427723837,0.5,1,0.0442400904,0.0442400904,0.25,0,0
dlBeUWrse3I_000019_000029,How-to & Instructional,agent_action,action_state_or_agent_cue,agent_action,moment_level_authoring,0.0264365375,0.02108639479,0.005350142717,0.4,0,0.4,1,1,1,0,63,63,64,0.1980470644,0.3031318954,0.1038308754,0.3243641032,1.377521086,0.4246835802,4.246835802,0,4,1.377521086,0.6896790037,4.246835802,1.377521086,0.7387502478,0.25,1,0,0,0,0,0.21566586,0.1447277705,0.75,0,0
yBO8rAMeqjc_000007_000017,"Education, Seminar & Talks",agent_action,static_ad_ok_low_gap,agent_action,low_gap_skip,0.09147702157,0.01639336348,0.0750836581,0.2,0.2,0,1,1,1,0,63,63,65,0.09216022104,0.1024123009,0.1323278767,0.1194046795,0.266739915,0.2233915087,2.233915087,1,4,0.266739915,-0.02933640778,0.1312361709,0,0,0,0,0,0,0,0,0.266739915,0.1176868642,1,1,0
c_gQ9CSaZY4_000000_000010,How-to & Instructional,scene_spatial,layout_replay_or_scene_cue,scene_spatial,low_gap_skip,0.02430614829,0.002674907446,0.02163124084,0.2,-0.1,0.3,1,1,1,0,52,52,55,0.1359203244,0.06925181811,0.1374124401,0.1399189381,0.3527199579,0.2291716272,2.5208879,0,4,0.3527199579,-0.01084545403,0.04525612796,0,0,0,0,0.3527199579,0.2370176124,0.25,1,0.178473476,0.08369606235,0.75,0,0
1HUWWCLza0w_000000_000010,Sports,scene_spatial,action_state_or_agent_cue,agent_action,moment_level_authoring,0.02368998528,0.001485109329,0.02220487595,0.5,0,0.5,1,1,1,0,64,64,62,0.2538771876,0.2300658938,0.3049855398,0.3700086369,1.368165971,0.4108510613,3.697659552,1,3,1.368165971,0.4181405094,3.697659552,1.368165971,0.6698364976,0.3333333333,1,0.3753565821,0.2501396958,0.3333333333,0,0.236775129,0.1900497173,0.3333333333,0,0
Bss3WwpDdS8_000041_000051,People & Vlogs,scene_spatial,static_ad_ok_low_gap,scene_spatial,dynamic_type_shift,0.04389573634,0.006448745728,0.03744699061,0,0,0,1,1,0,1,84,87,80,0.1664321201,0.0570155803,0.09167486283,0.1799310507,0.2406291049,0.1215764211,1.337340632,1,4,0.2406291049,0.1580794982,1.335363533,0,0,0,0,0,0,0,0,0.2406291049,0.1722973841,1,1,0
rGQ64NXktF8_000006_000016,People & Vlogs,scene_spatial,static_ad_ok_low_gap,scene_spatial,low_gap_skip,0.05163750052,-0.006637603045,0.05827510357,0,0,0,1,1,0,1,46,44,45,0.09127928468,0.03176911045,0.05905327962,0.09127928468,0.1751901607,0.1919276222,1.919276222,0,4,0.1751901607,0.04939704371,0.2227859252,0,0,0,0,0,0,0,0,0.1751901607,0.1016096939,1,1,0
jeweRSnAJeo_000050_000060,Film & Animation,scene_spatial,layout_replay_or_scene_cue,scene_spatial,dynamic_type_shift,0.03599023819,0.01267361641,0.02331662178,0.2,-0.1,0.3,1,1,1,0,40,40,40,0.2946862708,0.1123738783,0.1583147542,0.2949773485,0.5153065741,0.1588123713,1.746936084,1,4,0.5153065741,0.2097889872,0.9948281472,0,0,0,0,0.5153065741,0.4092333142,0.5,1,0.2061348266,0.1301598064,0.5,0,0
crjesEwF0Ks_000197_000207,How-to & Instructional,scene_spatial,action_state_or_agent_cue,agent_action,scene_layout_replay,0.03265449405,0.01124307513,0.02141141891,0,0,0,1,1,0,1,50,51,49,0.3021601109,0.2201777152,0.04963523919,0.3278958839,0.9026884582,0.2752972826,2.752972826,0,4,0.9026884582,0.309920787,0.9026884582,0.9026884582,0.3779119708,0.25,1,0.5277473347,0.4249831195,0.5,0,0.1985879073,0.1674226043,0.25,0,0
iZP6gjlr_nM_000113_000123,How-to & Instructional,scene_spatial,layout_replay_or_scene_cue,scene_spatial,scene_layout_replay,0.009469538927,-0.01937332749,0.02884286642,0,0,0,1,1,0,1,64,63,60,0.2447812192,0.09485558304,0.2302958099,0.2447812192,0.75269903,0.307498685,3.07498685,0,4,0.75269903,0.3897276184,0.75269903,0,0,0,0,0.75269903,0.3423338864,0.5,1,0.119466235,0.1011447134,0.5,0,0
9eBhetL8n5Q_000222_000232,People & Vlogs,scene_spatial,layout_replay_or_scene_cue,scene_spatial,low_gap_skip,0.005253463984,-0.001033127308,0.006286591291,0.3,0,0.3,1,1,1,0,75,77,71,0.1414799036,0.0678379467,0.05347191602,0.1414799036,0.34703246,0.2229885987,2.452874586,1,4,0.34703246,0.1846545279,0.05094362578,0,0,0,0,0.34703246,0.2246547641,0.25,1,0.1375710275,0.09862738575,0.75,0,0
zTJ0Zbv1jBo_000045_000055,Health & Wellness,scene_spatial,layout_replay_or_scene_cue,scene_spatial,scene_layout_replay,0.001382559538,0.01619315147,-0.01481059194,0.2,0,0.2,1,0,1,0,46,46,40,0.5920116556,0.1984454523,0.04629582652,0.5920116556,1.026266535,0.1575931096,1.733524205,0,4,1.026266535,0.6344538632,1.026266535,0,0,0,0,1.026266535,0.6264821259,0.75,1,0.1955800108,0.1955800108,0.25,0,0
