source,clip_idx,video_id,q_idx,question_type,is_scene_model,question,tribe_route,tribe_mean_need
generic_claude,19,qIWQHyOIpEY_000003_000013,1,action_relation,1,What is the primary action taking place in the video?,,
generic_claude,19,qIWQHyOIpEY_000003_000013,2,spatial_relation,1,Where does this scene take place?,,
generic_claude,19,qIWQHyOIpEY_000003_000013,3,count,1,How many cats are present in the scene?,,
generic_claude,19,qIWQHyOIpEY_000003_000013,4,spatial_relation,1,What furniture or architectural features are visible in the background?,,
generic_gpt4o,0,Q76JRCyTnSc_000007_000017,0,action_relation,1,What is the main subject doing?,,
generic_gpt4o,0,Q76JRCyTnSc_000007_000017,1,spatial_relation,1,Where is the setting of the scene?,,
generic_gpt4o,0,Q76JRCyTnSc_000007_000017,2,action_relation,1,What key object is the subject holding?,,
generic_gpt4o,0,Q76JRCyTnSc_000007_000017,3,object_attr,0,What is visible on the board?,,
generic_gpt4o,0,Q76JRCyTnSc_000007_000017,4,other,0,What is the subject's reaction after throwing the knife?,,
generic_gpt4o,1,058y9xGmmTQ_000206_000216,0,action_relation,1,What is the main subject doing?,,
generic_gpt4o,1,058y9xGmmTQ_000206_000216,1,object_attr,0,What is the setting or location?,,
generic_gpt4o,1,058y9xGmmTQ_000206_000216,2,action_relation,1,What key object is the subject holding?,,
generic_gpt4o,1,058y9xGmmTQ_000206_000216,3,object_attr,0,What text is visible on the tray?,,
generic_gpt4o,1,058y9xGmmTQ_000206_000216,4,object_attr,0,What is the subject wearing?,,
generic_gpt4o,3,vLGOZvJ_v4Q_000285_000295,0,action_relation,1,What is the main subject doing?,,
generic_gpt4o,3,vLGOZvJ_v4Q_000285_000295,1,spatial_relation,1,What kitchen appliance is visible in the background?,,
generic_gpt4o,3,vLGOZvJ_v4Q_000285_000295,2,spatial_relation,1,What ingredient is visible next to the stove?,,
generic_gpt4o,3,vLGOZvJ_v4Q_000285_000295,3,object_attr,0,What brand of salt is visible on the counter?,,
generic_gpt4o,3,vLGOZvJ_v4Q_000285_000295,4,other,0,What is the main ingredient in the pan?,,
generic_gpt4o,4,B0EKYDSv_yQ_000002_000012,0,action_relation,1,What is the main subject doing?,,
generic_gpt4o,4,B0EKYDSv_yQ_000002_000012,1,spatial_relation,1,What kitchen appliance is visible in the background?,,
generic_gpt4o,4,B0EKYDSv_yQ_000002_000012,2,object_attr,0,What is the main subject wearing?,,
generic_gpt4o,4,B0EKYDSv_yQ_000002_000012,3,spatial_relation,1,What is on the counter next to the stove?,,
generic_gpt4o,4,B0EKYDSv_yQ_000002_000012,4,other,0,What is the main subject's expression?,,
generic_gpt4o,5,PbGvLf7HvXQ_000063_000073,0,action_relation,1,What is the main subject doing?,,
generic_gpt4o,5,PbGvLf7HvXQ_000063_000073,1,object_attr,0,What is the main object being used?,,
generic_gpt4o,5,PbGvLf7HvXQ_000063_000073,2,other,0,What is on the cutting board?,,
generic_gpt4o,5,PbGvLf7HvXQ_000063_000073,3,count,1,How many hands are involved in the action?,,
generic_gpt4o,5,PbGvLf7HvXQ_000063_000073,4,other,0,What type of leaves are being mixed?,,
generic_gpt4o,6,0HEi6q3bGaw_000011_000021,0,action_relation,1,What is the main subject doing?,,
generic_gpt4o,6,0HEi6q3bGaw_000011_000021,1,object_attr,0,What type of terrain is visible?,,
generic_gpt4o,6,0HEi6q3bGaw_000011_000021,2,object_attr,0,What is the setting of the scene?,,
generic_gpt4o,6,0HEi6q3bGaw_000011_000021,3,object_attr,0,What key objects are visible besides the snowmobile?,,
generic_gpt4o,6,0HEi6q3bGaw_000011_000021,4,object_attr,0,What text is visible on the snowmobile?,,
generic_gpt4o,7,09dQut5GJ68_000049_000059,0,action_relation,1,What is the main subject doing?,,
generic_gpt4o,7,09dQut5GJ68_000049_000059,1,object_attr,0,What is the setting of the scene?,,
generic_gpt4o,7,09dQut5GJ68_000049_000059,2,object_attr,0,What key object is visible in the frames?,,
generic_gpt4o,7,09dQut5GJ68_000049_000059,3,object_attr,0,What is the main subject wearing?,,
generic_gpt4o,7,09dQut5GJ68_000049_000059,4,object_attr,0,Is there any visible text on screen?,,
generic_gpt4o,8,hOirknJr3os_000001_000011,0,other,0,What animals are prominently featured in the frames?,,
generic_gpt4o,8,hOirknJr3os_000001_000011,1,object_attr,0,What is the setting of the video?,,
generic_gpt4o,8,hOirknJr3os_000001_000011,2,object_attr,0,What text is visible on the sign in the first frame?,,
generic_gpt4o,8,hOirknJr3os_000001_000011,3,object_attr,0,What flags are visible in the frames?,,
generic_gpt4o,8,hOirknJr3os_000001_000011,4,other,0,What activity are the horses engaged in?,,
generic_gpt4o,9,TF4q9y0rJoc_000000_000010,0,action_relation,1,What is the main subject doing?,,
generic_gpt4o,9,TF4q9y0rJoc_000000_000010,1,object_attr,0,What is the setting of the scene?,,
generic_gpt4o,9,TF4q9y0rJoc_000000_000010,2,action_relation,1,What equipment is the main subject using?,,
generic_gpt4o,9,TF4q9y0rJoc_000000_000010,3,spatial_relation,1,What is visible in the background?,,
generic_gpt4o,9,TF4q9y0rJoc_000000_000010,4,object_attr,0,What is the main subject wearing?,,
generic_gpt4o,11,z8Q-s8AthrA_000002_000012,0,action_relation,1,What is the main subject doing?,,
generic_gpt4o,11,z8Q-s8AthrA_000002_000012,1,spatial_relation,1,Where is the scene taking place?,,
generic_gpt4o,11,z8Q-s8AthrA_000002_000012,2,action_relation,1,What key object is involved in the action?,,
generic_gpt4o,11,z8Q-s8AthrA_000002_000012,3,spatial_relation,1,What is visible in the background?,,
generic_gpt4o,11,z8Q-s8AthrA_000002_000012,4,object_attr,0,What is the main subject wearing?,,
generic_gpt4o,12,abaLFY_GI8k_000295_000305,0,who_role,1,What activity are the people engaged in?,,
generic_gpt4o,12,abaLFY_GI8k_000295_000305,1,object_attr,0,What is the setting of the activity?,,
generic_gpt4o,12,abaLFY_GI8k_000295_000305,2,object_attr,0,What key object is used in the activity?,,
generic_gpt4o,12,abaLFY_GI8k_000295_000305,3,count,1,How many people are visible in the frames?,,
generic_gpt4o,12,abaLFY_GI8k_000295_000305,4,spatial_relation,1,What is visible in the background?,,
generic_gpt4o,13,KFcH6BYZWhc_000011_000021,0,other,0,What activity is taking place in the images?,,
generic_gpt4o,13,KFcH6BYZWhc_000011_000021,1,action_relation,1,What is the main action happening in the images?,,
generic_gpt4o,13,KFcH6BYZWhc_000011_000021,2,object_attr,0,What is the setting of the images?,,
generic_gpt4o,13,KFcH6BYZWhc_000011_000021,3,object_attr,0,What key objects are visible in the images?,,
generic_gpt4o,13,KFcH6BYZWhc_000011_000021,4,object_attr,0,What on-screen text is visible in the images?,,
generic_gpt4o,14,UDD6YcChywc_000000_000010,0,action_relation,1,What is the main subject doing?,,
generic_gpt4o,14,UDD6YcChywc_000000_000010,1,object_attr,0,What is the setting of the activity?,,
generic_gpt4o,14,UDD6YcChywc_000000_000010,2,action_relation,1,What happens to the main subject after sliding the stone?,,
generic_gpt4o,14,UDD6YcChywc_000000_000010,3,object_attr,0,What key object is involved in the activity?,,
generic_gpt4o,14,UDD6YcChywc_000000_000010,4,count,1,How many people are visible in the frames?,,
generic_gpt4o,15,OGWuj_FtaQc_000010_000020,0,action_relation,1,What is the main subject doing?,,
generic_gpt4o,15,OGWuj_FtaQc_000010_000020,1,object_attr,0,What type of fence is visible?,,
generic_gpt4o,15,OGWuj_FtaQc_000010_000020,2,object_attr,0,What is the setting of the scene?,,
generic_gpt4o,15,OGWuj_FtaQc_000010_000020,3,object_attr,0,What is the main subject wearing?,,
generic_gpt4o,15,OGWuj_FtaQc_000010_000020,4,object_attr,0,What text is visible on signs?,,
generic_gpt4o,16,kOf-vl-GmVI_000115_000125,0,action_relation,1,What is the main subject doing?,,
generic_gpt4o,16,kOf-vl-GmVI_000115_000125,1,object_attr,0,What type of setting is shown?,,
generic_gpt4o,16,kOf-vl-GmVI_000115_000125,2,action_relation,1,What is the main object involved in the action?,,
generic_gpt4o,16,kOf-vl-GmVI_000115_000125,3,object_attr,0,What is the main subject wearing?,,
generic_gpt4o,16,kOf-vl-GmVI_000115_000125,4,spatial_relation,1,What is visible in the background?,,
generic_gpt4o,17,gjoZic4WjiQ_000012_000022,0,action_relation,1,What is the main subject doing?,,
generic_gpt4o,17,gjoZic4WjiQ_000012_000022,1,object_attr,0,What is the setting of the scene?,,
generic_gpt4o,17,gjoZic4WjiQ_000012_000022,2,object_attr,0,What key object is prominently featured?,,
generic_gpt4o,17,gjoZic4WjiQ_000012_000022,3,count,1,How many people are visible in the frames?,,
generic_gpt4o,17,gjoZic4WjiQ_000012_000022,4,object_attr,0,What type of clothing is the main subject wearing?,,
generic_gpt4o,18,q2ZBVyR1k-U_000021_000031,0,action_relation,1,What is the main subject doing?,,
generic_gpt4o,18,q2ZBVyR1k-U_000021_000031,1,object_attr,0,What is the setting of the video?,,
generic_gpt4o,18,q2ZBVyR1k-U_000021_000031,2,who_role,1,What is the second person doing?,,
generic_gpt4o,18,q2ZBVyR1k-U_000021_000031,3,who_role,1,What key object is the second person holding?,,
generic_gpt4o,18,q2ZBVyR1k-U_000021_000031,4,object_attr,0,What is visible on the vehicle's window?,,
generic_gpt4o,19,qIWQHyOIpEY_000003_000013,0,action_relation,1,What are the two animals doing?,,
generic_gpt4o,19,qIWQHyOIpEY_000003_000013,1,object_attr,0,What is the setting of the scene?,,
generic_gpt4o,19,qIWQHyOIpEY_000003_000013,2,object_attr,0,What furniture is visible in the scene?,,
generic_gpt4o,19,qIWQHyOIpEY_000003_000013,3,count,1,How many animals are visible in the frames?,,
generic_gpt4o,19,qIWQHyOIpEY_000003_000013,4,spatial_relation,1,What is the position of the third animal?,,
tribe_prompted_all,0,Q76JRCyTnSc_000007_000017,0,who_role,1,What is the man in the white shirt holding and demonstrating?,extended/integrated AD likely needed,0.3883963677748515
tribe_prompted_all,0,Q76JRCyTnSc_000007_000017,1,who_role,1,What type of setting or environment is the man in?,extended/integrated AD likely needed,0.3883963677748515
tribe_prompted_all,0,Q76JRCyTnSc_000007_000017,2,object_attr,0,What is visible on the wooden board or surface shown in the later frames?,extended/integrated AD likely needed,0.3883963677748515
tribe_prompted_all,0,Q76JRCyTnSc_000007_000017,3,count,1,How many times does the man's facial expression or gesture change across the frames?,extended/integrated AD likely needed,0.3883963677748515
tribe_prompted_all,0,Q76JRCyTnSc_000007_000017,4,object_attr,0,What organizational or planning materials are visible in the workspace?,extended/integrated AD likely needed,0.3883963677748515
tribe_prompted_all,1,058y9xGmmTQ_000206_000216,0,who_role,1,What is the man in the gray hoodie doing with his hands in the opening seconds?,standard AD priority,0.3472245020802409
tribe_prompted_all,1,058y9xGmmTQ_000206_000216,1,object_attr,0,What food brand or restaurant signage is visible in the final frame?,standard AD priority,0.3472245020802409
tribe_prompted_all,1,058y9xGmmTQ_000206_000216,2,who_role,1,Describe the man's appearance and clothing in the opening shots.,standard AD priority,0.3472245020802409
tribe_prompted_all,1,058y9xGmmTQ_000206_000216,3,spatial_relation,1,What type of setting or location is shown in the background?,standard AD priority,0.3472245020802409
tribe_prompted_all,1,058y9xGmmTQ_000206_000216,4,who_role,1,What is the man holding or consuming in the high-need opening sequence?,standard AD priority,0.3472245020802409
tribe_prompted_all,3,vLGOZvJ_v4Q_000285_000295,0,who_role,1,What is the person cooking in the black skillet?,standard AD priority,0.3732172811284784
tribe_prompted_all,3,vLGOZvJ_v4Q_000285_000295,1,who_role,1,What cooking utensil is the person using to manipulate the omelet?,standard AD priority,0.3732172811284784
tribe_prompted_all,3,vLGOZvJ_v4Q_000285_000295,2,spatial_relation,1,What type of cooking surface or appliance is visible in the background?,standard AD priority,0.3732172811284784
tribe_prompted_all,3,vLGOZvJ_v4Q_000285_000295,3,who_role,1,What liquid ingredient is the person pouring into the second skillet?,standard AD priority,0.3732172811284784
tribe_prompted_all,3,vLGOZvJ_v4Q_000285_000295,4,count,1,How many black skillets are on the stovetop during this cooking sequence?,standard AD priority,0.3732172811284784
tribe_prompted_all,4,B0EKYDSv_yQ_000002_000012,0,who_role,1,What is the child holding and doing with it at the kitchen counter?,standard AD priority,0.1987337515089805
tribe_prompted_all,4,B0EKYDSv_yQ_000002_000012,1,object_attr,0,What type of food is visible in the skillet?,standard AD priority,0.1987337515089805
tribe_prompted_all,4,B0EKYDSv_yQ_000002_000012,2,spatial_relation,1,Where is this scene taking place?,standard AD priority,0.1987337515089805
tribe_prompted_all,4,B0EKYDSv_yQ_000002_000012,3,spatial_relation,1,What is on the counter next to the skillet?,standard AD priority,0.1987337515089805
tribe_prompted_all,4,B0EKYDSv_yQ_000002_000012,4,who_role,1,What is the child's apparent emotional state during this activity?,standard AD priority,0.1987337515089805
tribe_prompted_all,5,PbGvLf7HvXQ_000063_000073,0,other,0,What is being prepared in the wooden bowl?,extended/integrated AD likely needed,0.6596447063981404
tribe_prompted_all,5,PbGvLf7HvXQ_000063_000073,1,other,0,Describe the hand motions being used to prepare the vegetables.,extended/integrated AD likely needed,0.6596447063981404
tribe_prompted_all,5,PbGvLf7HvXQ_000063_000073,2,other,0,What container holds the vegetables being prepared?,extended/integrated AD likely needed,0.6596447063981404
tribe_prompted_all,5,PbGvLf7HvXQ_000063_000073,3,object_attr,0,What is visible on the wooden surface to the right of the bowl?,extended/integrated AD likely needed,0.6596447063981404
tribe_prompted_all,5,PbGvLf7HvXQ_000063_000073,4,count,1,How many people are visible preparing the food in this clip?,extended/integrated AD likely needed,0.6596447063981404
tribe_prompted_all,6,0HEi6q3bGaw_000011_000021,0,action_relation,1,"What vehicles are visible on the snowy surface, and what are they doing?",standard AD priority,0.3976061903273661
tribe_prompted_all,6,0HEi6q3bGaw_000011_000021,1,object_attr,0,Describe the landscape and weather conditions visible in this scene.,standard AD priority,0.3976061903273661
tribe_prompted_all,6,0HEi6q3bGaw_000011_000021,2,spatial_relation,1,What color are the snowmobiles visible in the foreground of the frames?,standard AD priority,0.3976061903273661
tribe_prompted_all,6,0HEi6q3bGaw_000011_000021,3,spatial_relation,1,What is the relative position of the snowmobiles as the sequence progresses?,standard AD priority,0.3976061903273661
tribe_prompted_all,6,0HEi6q3bGaw_000011_000021,4,object_attr,0,What terrain features or obstacles are visible on the snowy surface?,standard AD priority,0.3976061903273661
tribe_prompted_all,7,09dQut5GJ68_000049_000059,0,who_role,1,"What is the person doing in the snow, and what equipment are they using?",standard AD priority,0.3871231532659878
tribe_prompted_all,7,09dQut5GJ68_000049_000059,1,object_attr,0,What color is the main equipment visible in the frames?,standard AD priority,0.3871231532659878
tribe_prompted_all,7,09dQut5GJ68_000049_000059,2,spatial_relation,1,What is the setting or terrain where this activity is taking place?,standard AD priority,0.3871231532659878
tribe_prompted_all,7,09dQut5GJ68_000049_000059,3,object_attr,0,What visual pattern or marks are visible on the snow surface?,standard AD priority,0.3871231532659878
tribe_prompted_all,7,09dQut5GJ68_000049_000059,4,spatial_relation,1,What is the perspective or camera angle showing in these frames?,standard AD priority,0.3871231532659878
tribe_prompted_all,8,hOirknJr3os_000001_000011,0,object_attr,0,What type of facility or venue is shown in the video?,standard AD priority,0.3789945682630365
tribe_prompted_all,8,hOirknJr3os_000001_000011,1,object_attr,0,What animals are visible in the middle section of the video?,standard AD priority,0.3789945682630365
tribe_prompted_all,8,hOirknJr3os_000001_000011,2,other,0,What signage or branding appears throughout the video?,standard AD priority,0.3789945682630365
tribe_prompted_all,8,hOirknJr3os_000001_000011,3,object_attr,0,What structures or infrastructure are visible at the facility?,standard AD priority,0.3789945682630365
tribe_prompted_all,8,hOirknJr3os_000001_000011,4,other,0,What is happening in the final frames of the video?,standard AD priority,0.3789945682630365
tribe_prompted_all,9,TF4q9y0rJoc_000000_000010,0,who_role,1,What sport or activity is the person performing on the snow-covered surface?,extended/integrated AD likely needed,0.5830793296168879
tribe_prompted_all,9,TF4q9y0rJoc_000000_000010,1,object_attr,0,Describe the lighting conditions and time of day for this skiing activity.,extended/integrated AD likely needed,0.5830793296168879
tribe_prompted_all,9,TF4q9y0rJoc_000000_000010,2,object_attr,0,What markers or boundary indicators are visible on the ski slope?,extended/integrated AD likely needed,0.5830793296168879
tribe_prompted_all,9,TF4q9y0rJoc_000000_000010,3,who_role,1,What is the skier's body position and movement direction as they descend?,extended/integrated AD likely needed,0.5830793296168879
tribe_prompted_all,9,TF4q9y0rJoc_000000_000010,4,spatial_relation,1,What structures or buildings are visible in the background of the ski area?,extended/integrated AD likely needed,0.5830793296168879
tribe_prompted_all,11,z8Q-s8AthrA_000002_000012,0,who_role,1,What is the young person in the yellow shirt doing at the track?,extended/integrated AD likely needed,0.4782412280361204
tribe_prompted_all,11,z8Q-s8AthrA_000002_000012,1,object_attr,0,What athletic equipment is visible on the track field?,extended/integrated AD likely needed,0.4782412280361204
tribe_prompted_all,11,z8Q-s8AthrA_000002_000012,2,who_role,1,What is the person attempting to do with the high jump bar?,extended/integrated AD likely needed,0.4782412280361204
tribe_prompted_all,11,z8Q-s8AthrA_000002_000012,3,spatial_relation,1,Describe the location and setting where this athletic activity takes place.,extended/integrated AD likely needed,0.4782412280361204
tribe_prompted_all,11,z8Q-s8AthrA_000002_000012,4,object_attr,0,What color is the landing mat beneath the high jump bar?,extended/integrated AD likely needed,0.4782412280361204
tribe_prompted_all,12,abaLFY_GI8k_000295_000305,0,who_role,1,What sport or activity are the young people playing in this outdoor setting?,extended/integrated AD likely needed,0.5182596900896645
tribe_prompted_all,12,abaLFY_GI8k_000295_000305,1,other,0,Describe the playing surface and immediate surroundings of the volleyball court.,extended/integrated AD likely needed,0.5182596900896645
tribe_prompted_all,12,abaLFY_GI8k_000295_000305,2,count,1,How many players are visible on the court at the moment shown in these frames?,extended/integrated AD likely needed,0.5182596900896645
tribe_prompted_all,12,abaLFY_GI8k_000295_000305,3,object_attr,0,What color clothing are the players wearing?,extended/integrated AD likely needed,0.5182596900896645
tribe_prompted_all,12,abaLFY_GI8k_000295_000305,4,spatial_relation,1,What infrastructure or structures are visible in the background of the court?,extended/integrated AD likely needed,0.5182596900896645
tribe_prompted_all,13,KFcH6BYZWhc_000011_000021,0,other,0,What sport is being played in this indoor facility?,standard AD priority,0.3757655783862
tribe_prompted_all,13,KFcH6BYZWhc_000011_000021,1,spatial_relation,1,Describe the main player's position and movement during the opening seconds.,standard AD priority,0.3757655783862
tribe_prompted_all,13,KFcH6BYZWhc_000011_000021,2,object_attr,0,What is visible on the ice surface that the player is tracking?,standard AD priority,0.3757655783862
tribe_prompted_all,13,KFcH6BYZWhc_000011_000021,3,action_relation,1,What equipment or structures are visible in the rink during the later sequence?,standard AD priority,0.3757655783862
tribe_prompted_all,13,KFcH6BYZWhc_000011_000021,4,count,1,How many players are actively visible on the ice in the final frames?,standard AD priority,0.3757655783862
tribe_prompted_all,14,UDD6YcChywc_000000_000010,0,other,0,What sport or activity is taking place on the marked surface?,extended/integrated AD likely needed,0.4003728105074168
tribe_prompted_all,14,UDD6YcChywc_000000_000010,1,who_role,1,Describe the person's body position and movement in the opening frames.,extended/integrated AD likely needed,0.4003728105074168
