source,clip_idx,q_idx,question_start_s,question_end_s,timestamp_source,question_need,question_recommendation,high_need,question,importance
adqa_tribe_claude,12,1,11.9,17.9,parsed:rationale,0.8469365964745483,high_need,True,Describe the playing surface and immediate surroundings of the volleyball court.,critical
adqa_tribe_claude,12,2,14.9,20.9,parsed:rationale,0.8593496250851108,high_need,True,How many players are visible on the court at the moment shown in these frames?,useful
adqa_tribe_claude,12,3,17.9,23.8,parsed:rationale,0.7902072610777042,high_need,True,What color clothing are the players wearing?,useful
adqa_tribe_claude,12,4,11.9,14.9,parsed:rationale,0.8185434369080119,high_need,True,What infrastructure or structures are visible in the background of the court?,critical
adqa_tribe_claude,13,1,0.0,3.0,parsed:rationale,0.6316933209115256,high_need,True,Describe the main player's position and movement during the opening seconds.,critical
adqa_tribe_claude,13,3,8.9,11.9,parsed:rationale,0.5195473008318268,high_need,True,What equipment or structures are visible in the rink during the later sequence?,useful
adqa_tribe_claude,14,1,0.0,3.0,parsed:rationale,0.48857157809252216,high_need,True,Describe the person's body position and movement in the opening frames.,critical
adqa_tribe_claude,14,2,11.9,14.9,parsed:rationale,0.5349318782000374,high_need,True,What happens to the curler between the first and final frames shown?,critical
adqa_tribe_claude,15,0,0.0,3.0,parsed:rationale,0.5114946333174631,high_need,True,What is the person wearing and what is their body position in the opening frames?,critical
adqa_tribe_claude,15,1,3.0,6.0,parsed:rationale,0.6143664889345589,high_need,True,What type of fencing and setting surrounds the person during the activity?,critical
adqa_tribe_claude,15,2,6.0,8.9,parsed:rationale,0.633079272327266,high_need,True,What is the person doing with the wooden fence as they move along the path?,critical
adqa_tribe_claude,17,2,11.9,14.9,parsed:rationale,0.9884878385277255,high_need,True,What happens to the person in the red hat during the sequence?,critical
adqa_tribe_claude,18,0,3.0,6.0,parsed:rationale,0.5965567866632182,high_need,True,What is covering the person's head and face in the first image?,critical
adqa_tribe_claude,18,1,8.9,11.9,parsed:rationale,0.7005899843162737,high_need,True,What is the person holding in their hands during the middle sequence?,critical
adqa_tribe_claude,18,3,11.9,14.9,parsed:rationale,0.79355584785525,high_need,True,What is the person wearing on their upper body?,useful
adqa_tribe_claude,18,4,14.9,16.4,parsed:rationale,0.6837089417348918,high_need,True,What happens to the basket covering in the final images?,critical
adqa_tribe_claude,19,0,0.0,3.0,parsed:rationale,0.5760032161779703,high_need,True,"What animals are visible on the wooden floor, and what are they doing?",critical
adqa_tribe_claude,19,1,0.0,6.0,parsed:rationale,0.5299548228635517,high_need,True,How many cats are present in this scene?,critical
adqa_tribe_claude,19,2,3.0,6.0,parsed:rationale,0.48390642954913304,high_need,True,What is the setting or location where this activity takes place?,useful
adqa_tribe_claude,19,4,6.0,8.9,parsed:rationale,0.4427657704022679,high_need,True,What is the primary type of interaction happening between the cats?,critical
